* Measurement data measured by REW V5.19
* Source: Microphone (4- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jul 4, 2019 1:42:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotics ER2SE - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.102493	-153.9427
20.600000	84.189613	-155.0901
21.200001	84.240479	-156.0574
21.799999	84.279411	-157.0084
22.400000	84.306412	-158.0699
23.000000	84.315567	-159.1920
23.600000	84.319260	-160.2583
24.299999	84.344643	-161.4346
25.000000	84.392693	-162.6620
25.799999	84.447227	-164.0711
26.500000	84.494370	-165.1785
27.200001	84.544876	-166.2095
28.000000	84.588577	-167.3328
29.000000	84.618866	-168.5429
30.000000	84.643707	-169.6542
30.700001	84.655449	-170.4471
31.500000	84.666382	-171.3703
32.500000	84.677994	-172.5648
33.500000	84.692169	-173.7049
34.500000	84.723892	-174.8095
35.500000	84.753296	-175.9034
36.500000	84.778336	-176.8520
37.500000	84.807220	-177.7503
38.700001	84.823647	-178.8021
40.000000	84.834961	-179.8699
41.200001	84.845688	179.1383
42.500000	84.866989	178.0243
43.700001	84.882385	177.0140
45.000000	84.906548	176.0138
46.200001	84.925797	175.1291
47.500000	84.936783	174.2410
48.700001	84.945778	173.4738
50.000000	84.956665	172.6094
51.500000	84.966148	171.5511
53.000000	84.976692	170.5804
54.500000	85.003685	169.6866
56.000000	85.024063	168.7666
58.000000	85.043083	167.7066
60.000000	85.093079	167.0514
61.500000	85.090843	165.7405
63.000000	85.090981	164.9899
65.000000	85.095734	163.8305
67.000000	85.121681	162.8256
69.000000	85.154572	161.8373
71.000000	85.171165	160.8725
73.000000	85.190887	159.8380
75.000000	85.212875	158.8893
77.500000	85.241302	157.7310
80.000000	85.265816	156.5948
82.500000	85.292976	155.4582
85.000000	85.309738	154.2719
87.500000	85.335571	153.1561
90.000000	85.354744	152.0413
92.500000	85.382553	150.9517
