* Measurement data measured by REW V5.19
* Source: Microphone (3- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jun 2, 2019 3:20:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 72.7 dB
* Note: ; 
* Measurement: Etymotics ER2XR - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.053757	168.3764
20.600000	81.067238	167.3739
21.200001	81.039223	166.4423
21.799999	80.985428	165.5067
22.400000	80.917938	164.5402
23.000000	80.848175	163.5413
23.600000	80.784943	162.5091
24.299999	80.723442	161.2727
25.000000	80.674515	160.0465
25.799999	80.632195	158.7108
26.500000	80.600410	157.6177
27.200001	80.566025	156.6189
28.000000	80.520538	155.5974
29.000000	80.451881	154.4547
30.000000	80.378174	153.3672
30.700001	80.321091	152.5433
31.500000	80.242737	151.5933
32.500000	80.152512	150.4702
33.500000	80.072510	149.3000
34.500000	79.996613	148.2568
35.500000	79.945145	147.2363
36.500000	79.876129	146.1991
37.500000	79.801254	145.3590
38.700001	79.725891	144.3436
40.000000	79.637840	143.2002
41.200001	79.558823	142.0803
42.500000	79.461044	140.9695
43.700001	79.395111	140.1060
45.000000	79.330292	139.0822
46.200001	79.238403	138.2572
47.500000	79.169724	137.5169
48.700001	79.095993	136.5649
50.000000	79.008972	135.7099
51.500000	78.932640	134.5885
53.000000	78.855873	133.6179
54.500000	78.767014	132.8024
56.000000	78.695793	131.9631
58.000000	78.565582	130.8549
60.000000	78.355179	130.7503
61.500000	78.448380	129.2075
63.000000	78.330536	128.2276
65.000000	78.281189	127.0181
67.000000	78.203323	126.0386
69.000000	78.112793	125.0767
71.000000	78.028946	124.0671
73.000000	77.963272	123.2441
75.000000	77.906143	122.2716
77.500000	77.824905	121.1559
80.000000	77.727097	119.8402
82.500000	77.659637	118.7402
85.000000	77.602585	117.6829
87.500000	77.525948	116.6161
90.000000	77.462616	115.4999
92.500000	77.375916	114.4800
95.000000	77.331512	113.5181
97.500000	77.267754	112.4289
100.000000	77.192825	111.1968
103.000000	77.111298	109.8122
106.000000	77.041214	108.6233
109.000000	76.969963	107.6136
112.000000	76.890518	106.3139
115.000000	76.832077	105.0545
118.000000	76.770576	103.9459
122.000000	76.680428	102.4164
125.000000	76.600037	101.3696
128.000000	76.537804	100.3274
132.000000	76.449364	98.8411
136.000000	76.389870	97.4533
140.000000	76.283768	96.0831
145.000000	76.188644	94.4000
150.000000	76.114426	92.7193
155.000000	75.989098	91.1246
160.000000	75.905418	89.6234
165.000000	75.831772	87.9772
170.000000	75.737709	86.5497
175.000000	75.659630	84.7931
180.000000	75.687622	83.7924
185.000000	75.506653	82.1460
190.000000	75.441574	80.6589
195.000000	75.360687	79.3609
200.000000	75.300819	77.7135
206.000000	75.228287	76.1832
212.000000	75.171829	74.4787
218.000000	75.117645	73.2620
224.000000	74.931335	71.1085
230.000000	74.909271	70.2619
236.000000	74.822510	68.0789
243.000000	74.817200	66.7690
250.000000	74.814705	65.0252
258.000000	74.674614	62.8789
265.000000	74.670250	61.1783
272.000000	74.586609	59.5104
