* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 30, 2020 8:21:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ER3XR Orange
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	78.991638	-125.3107
21.200001	79.120262	-126.3657
21.799999	79.208412	-127.6208
22.400000	79.331558	-128.8038
23.000000	79.447899	-129.5705
23.600000	79.533157	-130.4651
24.299999	79.670723	-131.7935
25.000000	79.805908	-132.9280
25.799999	79.899017	-134.1896
26.500000	79.977837	-135.3878
27.200001	80.107307	-136.3570
28.000000	80.224228	-137.3025
29.000000	80.319916	-138.7783
30.000000	80.410858	-139.9881
30.700001	80.505913	-140.8440
31.500000	80.581795	-141.7772
32.500000	80.657745	-142.9062
33.500000	80.739517	-144.0099
34.500000	80.821777	-145.1203
35.500000	80.883934	-146.1428
36.500000	80.946548	-147.0300
37.500000	81.004257	-147.9586
38.700001	81.065559	-149.1330
40.000000	81.134956	-150.2400
41.200001	81.198921	-151.2559
42.500000	81.260063	-152.2133
43.700001	81.311905	-153.0616
45.000000	81.357391	-154.1281
46.200001	81.388702	-154.8637
47.500000	81.425652	-155.8246
48.700001	81.455482	-156.5831
50.000000	81.498459	-157.3028
51.500000	81.536011	-158.2895
53.000000	81.567596	-159.1700
54.500000	81.585274	-159.9456
56.000000	81.618073	-160.7211
58.000000	81.648308	-161.7269
60.000000	81.660576	-162.8478
61.500000	81.693680	-163.3834
63.000000	81.707451	-164.0437
65.000000	81.743340	-164.8977
67.000000	81.736374	-165.7013
69.000000	81.754318	-166.4203
71.000000	81.744446	-167.1508
73.000000	81.757759	-167.8852
75.000000	81.754738	-168.5617
77.500000	81.758949	-169.3737
80.000000	81.759270	-170.1400
82.500000	81.752762	-170.8791
85.000000	81.747025	-171.5884
87.500000	81.739449	-172.2368
90.000000	81.698029	-172.9340
92.500000	81.717873	-173.5040
95.000000	81.703979	-174.1009
97.500000	81.690834	-174.6467
100.000000	81.672234	-175.1823
103.000000	81.654297	-175.7993
106.000000	81.631744	-176.3969
109.000000	81.606628	-176.9447
112.000000	81.583290	-177.4928
115.000000	81.558266	-178.0056
118.000000	81.534409	-178.5025
122.000000	81.497391	-179.0989
125.000000	81.466919	-179.5455
128.000000	81.436081	-179.9624
132.000000	81.397247	179.5226
136.000000	81.335342	178.9762
140.000000	81.311195	178.5222
145.000000	81.262550	177.9760
150.000000	81.205238	177.4606
155.000000	81.155899	176.9683
160.000000	81.099838	176.5374
165.000000	81.044373	176.1042
170.000000	80.989479	175.7096
175.000000	80.929367	175.3646
180.000000	80.865898	175.0296
185.000000	80.814857	174.7219
190.000000	80.757965	174.4294
195.000000	80.704086	174.1664
200.000000	80.648376	173.9110
206.000000	80.579651	173.5921
212.000000	80.514458	173.4203
218.000000	80.447037	173.1997
224.000000	80.382988	172.9804
230.000000	80.316780	172.8362
236.000000	80.253540	172.6754
243.000000	80.179359	172.5314
250.000000	80.107819	172.4122
258.000000	80.024536	172.3240
265.000000	79.950630	172.2286
272.000000	79.882111	172.1729
280.000000	79.803406	172.1441
290.000000	79.706970	172.1302
300.000000	79.608231	172.1354
307.000000	79.549370	172.1928
315.000000	79.471275	172.2677
325.000000	79.388908	172.4397
335.000000	79.294533	172.6189
345.000000	79.206238	172.7664
355.000000	79.148651	173.0078
365.000000	79.085678	173.2703
375.000000	79.039795	173.4612
387.000000	78.977211	173.6529
400.000000	78.908104	173.7869
412.000000	78.828217	173.8916
425.000000	78.740227	174.1313
437.000000	78.660286	174.3738
450.000000	78.575775	174.6797
462.000000	78.500961	174.9808
475.000000	78.421623	175.3256
487.000000	78.348366	175.6755
500.000000	78.273987	176.0685
515.000000	78.191597	176.5428
530.000000	78.109741	177.0562
