* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Apr 8, 2020 12:32:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotic ER3XR - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.495628	-152.9659
21.200001	82.527588	-152.9896
21.799999	82.534515	-153.0436
22.400000	82.524384	-153.1648
23.000000	82.508194	-153.3393
23.600000	82.497437	-153.5715
24.299999	82.495560	-153.9274
25.000000	82.501945	-154.3164
25.799999	82.520920	-154.7123
26.500000	82.543533	-154.9846
27.200001	82.568169	-155.1310
28.000000	82.608864	-155.1805
29.000000	82.655846	-155.3340
30.000000	82.655159	-155.4537
30.700001	82.649422	-155.4341
31.500000	82.650291	-155.4508
32.500000	82.653038	-155.5672
33.500000	82.659683	-155.7368
34.500000	82.677345	-155.8855
35.500000	82.702164	-156.1017
36.500000	82.698967	-156.1962
37.500000	82.714661	-156.0383
38.700001	82.740273	-156.0208
40.000000	82.742203	-155.9510
41.200001	82.743134	-155.9623
42.500000	82.739769	-155.9703
43.700001	82.742622	-156.0122
45.000000	82.733917	-156.0076
46.200001	82.738434	-155.8249
47.500000	82.759354	-155.7544
48.700001	82.748337	-155.7207
50.000000	82.737991	-155.4861
51.500000	82.749641	-155.3815
53.000000	82.728882	-155.2672
54.500000	82.745789	-155.1782
56.000000	82.738808	-155.0894
58.000000	82.754471	-154.9345
60.000000	82.775085	-155.6467
61.500000	82.685455	-154.6219
63.000000	82.727005	-154.3159
65.000000	82.725807	-153.8956
67.000000	82.697433	-153.5909
69.000000	82.692757	-153.3655
71.000000	82.679604	-153.0045
73.000000	82.680908	-152.7101
75.000000	82.652222	-152.4327
77.500000	82.625824	-152.0597
80.000000	82.606537	-151.6212
82.500000	82.609413	-151.2340
85.000000	82.578819	-150.8080
87.500000	82.566505	-150.3992
90.000000	82.542976	-150.0327
92.500000	82.529930	-149.5979
95.000000	82.517410	-149.1101
97.500000	82.469215	-148.6320
100.000000	82.449799	-148.2623
103.000000	82.424515	-147.7500
106.000000	82.391861	-147.1247
109.000000	82.372040	-146.5853
112.000000	82.348969	-146.0349
115.000000	82.308273	-145.3581
118.000000	82.295174	-145.0499
122.000000	82.203735	-144.3011
125.000000	82.213661	-143.4611
128.000000	82.162209	-142.8262
132.000000	82.134537	-142.1428
136.000000	82.082191	-141.2279
140.000000	82.029076	-140.3771
145.000000	81.975357	-139.3580
150.000000	81.925682	-138.2501
155.000000	81.865372	-137.1135
160.000000	81.778458	-136.1184
165.000000	81.744514	-135.0221
170.000000	81.698273	-133.8681
175.000000	81.646370	-132.8044
180.000000	81.567886	-131.5764
185.000000	81.510277	-130.6659
190.000000	81.469810	-129.5781
195.000000	81.410477	-128.3497
200.000000	81.352325	-127.3135
206.000000	81.281693	-125.8657
212.000000	81.203995	-124.5636
218.000000	81.150085	-123.1313
224.000000	81.084595	-121.7040
230.000000	81.022797	-120.3387
236.000000	80.939583	-119.1911
243.000000	80.877579	-117.5681
250.000000	80.820396	-115.7706
258.000000	80.752304	-113.9681
265.000000	80.676376	-112.3859
272.000000	80.622963	-110.8114
280.000000	80.549858	-108.8909
290.000000	80.477051	-106.6005
300.000000	80.381096	-104.1597
307.000000	80.322708	-102.7383
315.000000	80.264977	-100.8264
325.000000	80.194649	-98.5090
335.000000	80.106667	-96.3363
345.000000	80.075104	-93.9639
355.000000	79.977722	-91.6745
365.000000	79.904434	-89.5091
375.000000	79.841942	-87.2602
387.000000	79.787918	-84.5732
400.000000	79.702103	-81.6064
412.000000	79.626602	-78.9145
425.000000	79.561974	-76.0515
437.000000	79.515213	-73.4353
450.000000	79.436760	-70.5932
462.000000	79.374359	-67.9957
475.000000	79.316879	-65.0748
487.000000	79.266083	-62.5046
500.000000	79.190323	-59.7233
515.000000	79.131752	-56.4250
530.000000	79.091354	-53.0474
545.000000	79.063431	-49.9422
560.000000	79.034203	-46.6088
580.000000	79.021156	-42.5353
600.000000	78.956741	-38.6625
615.000000	78.920319	-35.7539
630.000000	78.894180	-32.9350
650.000000	78.822029	-28.9130
670.000000	78.764938	-25.0755
690.000000	78.725029	-20.9679
710.000000	78.698074	-17.1028
730.000000	78.613609	-13.1568
750.000000	78.578392	-9.1964
775.000000	78.517128	-4.3126
800.000000	78.482407	0.7788
825.000000	78.463303	5.8760
850.000000	78.441597	11.0468
875.000000	78.478729	16.1219
900.000000	78.519402	21.3083
925.000000	78.586761	26.5029
950.000000	78.677620	31.5575
975.000000	78.798820	36.6917
1000.000000	78.998825	42.1577
1030.000000	79.192177	47.2985
1060.000000	79.471893	52.9364
1090.000000	79.790497	58.2335
1120.000000	80.142357	63.1819
1150.000000	80.521523	67.5986
1180.000000	80.888565	71.6901
1220.000000	81.369446	76.4934
1250.000000	81.712410	79.7089
1280.000000	82.034248	82.6027
1320.000000	82.405243	86.1268
1360.000000	82.721954	89.4794
1400.000000	83.001953	92.5356
1450.000000	83.266075	96.2668
1500.000000	83.510597	100.0273
1550.000000	83.695099	103.7588
1600.000000	83.892807	107.4753
1650.000000	84.052528	111.1026
