* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Apr 3, 2020 11:27:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotic ER4XR - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	79.080711	-148.9221
21.200001	79.106331	-148.9887
21.799999	79.110306	-149.1087
22.400000	79.100838	-149.3242
23.000000	79.084198	-149.6358
23.600000	79.065231	-150.0095
24.299999	79.049370	-150.4457
25.000000	79.054405	-150.8480
25.799999	79.082535	-151.3396
26.500000	79.099739	-151.7434
27.200001	79.108253	-151.9346
28.000000	79.138046	-151.9389
29.000000	79.182137	-152.0357
30.000000	79.184631	-152.0970
30.700001	79.186836	-152.0749
31.500000	79.193169	-152.1510
32.500000	79.192154	-152.3436
33.500000	79.194641	-152.5866
34.500000	79.190170	-152.8127
35.500000	79.195099	-152.8471
36.500000	79.215714	-152.8307
37.500000	79.234665	-152.7158
38.700001	79.275352	-152.6944
40.000000	79.241463	-152.7726
41.200001	79.239349	-152.5169
42.500000	79.235504	-152.6222
43.700001	79.236221	-152.4669
45.000000	79.261505	-152.5527
46.200001	79.256592	-152.4761
47.500000	79.258560	-152.3684
48.700001	79.242546	-152.0889
50.000000	79.264206	-151.8348
51.500000	79.270424	-151.7411
53.000000	79.288170	-151.7767
54.500000	79.265968	-151.7320
56.000000	79.258522	-151.4770
58.000000	79.266052	-151.0042
60.000000	79.332603	-150.2552
61.500000	79.278763	-150.4653
63.000000	79.268471	-150.0387
65.000000	79.252487	-149.6728
67.000000	79.256920	-149.5229
69.000000	79.256157	-149.3246
71.000000	79.219154	-148.9194
73.000000	79.223396	-148.5556
75.000000	79.224312	-148.2016
77.500000	79.221817	-147.7012
80.000000	79.219681	-147.2348
82.500000	79.190208	-146.7910
85.000000	79.197990	-146.2664
87.500000	79.191925	-145.8281
90.000000	79.171158	-145.1653
92.500000	79.168694	-144.6135
95.000000	79.161896	-144.1263
97.500000	79.132324	-143.4858
100.000000	79.129135	-142.9365
103.000000	79.109673	-142.3783
106.000000	79.080299	-141.5832
109.000000	79.049179	-140.9198
112.000000	79.041100	-140.3542
115.000000	79.052254	-139.6779
118.000000	78.995239	-138.9912
122.000000	78.981041	-138.0089
125.000000	78.988693	-137.3274
128.000000	78.972969	-136.7955
132.000000	78.925026	-135.7864
136.000000	78.906433	-134.8598
140.000000	78.884766	-133.9739
145.000000	78.857544	-132.6847
150.000000	78.825592	-131.5818
155.000000	78.780205	-130.4485
160.000000	78.746323	-129.2765
165.000000	78.718674	-128.1249
170.000000	78.684700	-126.8609
175.000000	78.666229	-125.6303
180.000000	78.610802	-124.4163
185.000000	78.595306	-123.2723
190.000000	78.587509	-122.1565
195.000000	78.518692	-120.7766
200.000000	78.501381	-119.7241
206.000000	78.422241	-118.4517
212.000000	78.414909	-116.9274
218.000000	78.405441	-115.4905
224.000000	78.333199	-113.9682
230.000000	78.310875	-112.5697
236.000000	78.272659	-110.9819
243.000000	78.257629	-109.3461
250.000000	78.213593	-107.7647
258.000000	78.146057	-105.7522
265.000000	78.118034	-104.0997
272.000000	78.087997	-102.4358
280.000000	78.041504	-100.6910
290.000000	78.001930	-98.0433
300.000000	77.947937	-95.8407
307.000000	77.886230	-94.1297
315.000000	77.882858	-92.3460
325.000000	77.821678	-89.9408
335.000000	77.786507	-87.6144
345.000000	77.735214	-85.3528
355.000000	77.711945	-83.0042
365.000000	77.651413	-80.8115
375.000000	77.630806	-78.3645
387.000000	77.569054	-75.8030
400.000000	77.534698	-72.7315
412.000000	77.482544	-70.0922
425.000000	77.429115	-67.0242
437.000000	77.399216	-64.3778
450.000000	77.362122	-61.6484
462.000000	77.348846	-58.8117
475.000000	77.287201	-55.9401
487.000000	77.265114	-53.2894
500.000000	77.199051	-50.3279
515.000000	77.185822	-47.0428
530.000000	77.203011	-43.5351
545.000000	77.181763	-40.2846
560.000000	77.221573	-37.1778
580.000000	77.231583	-33.1964
600.000000	77.196266	-29.3037
615.000000	77.172859	-26.2861
630.000000	77.132965	-23.3355
650.000000	77.119423	-19.3858
670.000000	77.106468	-15.2512
690.000000	77.078201	-11.2972
710.000000	77.052505	-7.3455
730.000000	77.018921	-3.3459
750.000000	77.010201	0.7321
775.000000	77.023621	5.9480
800.000000	76.999786	11.1748
825.000000	77.042480	16.3267
850.000000	77.074944	21.4548
875.000000	77.138657	26.7421
900.000000	77.224411	31.7032
925.000000	77.325150	37.0170
950.000000	77.463272	42.1143
975.000000	77.605270	47.2112
1000.000000	77.801956	51.5644
1030.000000	78.070412	58.0564
1060.000000	78.380447	63.6948
1090.000000	78.713409	69.0153
1120.000000	79.109741	74.0196
1150.000000	79.515762	78.5737
1180.000000	79.926338	82.7780
1220.000000	80.463531	87.7268
1250.000000	80.856560	91.0459
1280.000000	81.218887	94.1432
1320.000000	81.655792	97.7897
1360.000000	82.044273	101.2527
1400.000000	82.391228	104.5185
1450.000000	82.763466	108.4558
1500.000000	83.096603	112.2460
1550.000000	83.410423	115.9755
1600.000000	83.705666	119.6138
1650.000000	83.964325	123.2424
1700.000000	84.240128	126.8143
1750.000000	84.496078	130.2846
1800.000000	84.776131	133.5163
1850.000000	85.041542	136.6647
1900.000000	85.304703	139.6164
1950.000000	85.564224	142.4015
2000.000000	85.816406	145.0528
2060.000000	86.132759	147.7814
2120.000000	86.423576	150.2708
2180.000000	86.705978	152.4405
2240.000000	86.954964	154.2662
2300.000000	87.178459	155.8291
2360.000000	87.359146	157.0953
2430.000000	87.523712	158.2325
2500.000000	87.616547	159.0824
2580.000000	87.648331	159.9057
2650.000000	87.602051	160.5591
2720.000000	87.496040	161.2328
2800.000000	87.321274	162.0472
2900.000000	87.020103	163.3899
3000.000000	86.669647	164.9223
3070.000000	86.405228	166.3551
3150.000000	86.098930	168.0497
3250.000000	85.710785	170.4211
3350.000000	85.330612	172.9581
3450.000000	84.986633	175.5753
3550.000000	84.644989	178.3042
3650.000000	84.336510	-178.9484
3750.000000	84.051262	-176.2885
3870.000000	83.737808	-173.1816
4000.000000	83.426498	-169.9861
4120.000000	83.180908	-167.4336
4250.000000	82.925842	-164.9903
4370.000000	82.684952	-162.9863
4500.000000	82.418823	-161.3069
