* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 6, 2021 2:26:58 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EST 112 L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.803375	-101.1418
21.200001	91.885712	-102.9418
21.799999	91.971916	-104.6648
22.400000	92.057564	-106.3944
23.000000	92.126030	-108.1030
23.600000	92.176346	-109.7273
24.299999	92.231750	-111.5297
25.000000	92.296509	-113.3262
25.799999	92.369225	-115.3586
26.500000	92.420723	-117.0197
27.200001	92.458099	-118.6008
28.000000	92.474724	-120.3841
29.000000	92.479042	-122.4149
30.000000	92.523529	-124.2991
30.700001	92.565392	-125.6636
31.500000	92.588043	-127.0985
32.500000	92.627823	-128.7694
33.500000	92.667610	-130.5987
34.500000	92.682182	-132.2498
35.500000	92.704376	-133.7276
36.500000	92.723915	-135.2061
37.500000	92.736809	-136.6390
38.700001	92.734886	-138.2443
40.000000	92.725235	-139.8951
41.200001	92.720108	-141.3777
42.500000	92.720154	-142.8807
43.700001	92.695389	-144.2678
45.000000	92.672798	-145.6578
46.200001	92.668770	-146.9137
47.500000	92.627563	-148.0999
48.700001	92.604408	-149.2314
50.000000	92.577850	-150.4800
51.500000	92.539093	-151.7230
53.000000	92.496719	-153.0278
54.500000	92.456535	-154.2289
56.000000	92.430023	-155.2733
58.000000	92.410614	-156.7432
60.000000	92.391220	-157.9955
61.500000	92.372635	-159.0216
63.000000	92.349358	-160.0000
65.000000	92.314240	-161.1645
67.000000	92.281258	-162.2612
69.000000	92.242813	-163.3643
71.000000	92.203079	-164.3743
73.000000	92.160614	-165.3344
75.000000	92.121765	-166.2636
77.500000	92.067139	-167.3519
80.000000	92.020111	-168.2721
82.500000	91.951584	-169.3476
85.000000	91.888924	-170.3076
87.500000	91.830139	-171.1318
90.000000	91.764984	-171.9926
92.500000	91.702309	-172.7440
95.000000	91.637810	-173.5072
97.500000	91.575165	-174.1953
100.000000	91.512222	-174.9001
103.000000	91.452469	-175.6115
106.000000	91.406387	-176.3356
109.000000	91.342987	-176.9720
112.000000	91.289963	-177.6213
115.000000	91.234207	-178.2222
118.000000	91.174988	-178.7803
122.000000	91.098793	-179.4522
125.000000	91.039528	-179.9400
128.000000	90.981628	179.6123
132.000000	90.904755	179.0583
136.000000	90.829659	178.5551
140.000000	90.753899	178.0882
145.000000	90.653061	177.5404
150.000000	90.563683	177.0943
155.000000	90.470078	176.6917
160.000000	90.378510	176.3118
165.000000	90.288521	175.9765
170.000000	90.198586	175.6880
175.000000	90.110741	175.4618
180.000000	90.032272	175.2606
185.000000	89.941612	175.0541
190.000000	89.858643	174.9195
195.000000	89.779831	174.8224
200.000000	89.699615	174.7224
206.000000	89.606071	174.6602
212.000000	89.513924	174.6318
218.000000	89.429359	174.6432
224.000000	89.344002	174.6455
230.000000	89.262115	174.6848
236.000000	89.182907	174.7288
243.000000	89.091721	174.8627
250.000000	89.003746	175.0019
258.000000	88.909027	175.2035
265.000000	88.824463	175.3696
272.000000	88.747925	175.5691
280.000000	88.662186	175.8368
290.000000	88.558151	176.1783
