* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 6, 2021 2:27:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EST 112 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.079659	-100.6235
21.200001	92.166588	-102.5208
21.799999	92.252640	-104.4518
22.400000	92.332085	-106.3157
23.000000	92.403214	-108.0029
23.600000	92.470703	-109.5570
24.299999	92.539246	-111.3716
25.000000	92.587616	-113.2081
25.799999	92.635757	-115.1986
26.500000	92.685806	-116.8177
27.200001	92.736954	-118.3068
28.000000	92.792664	-119.8746
29.000000	92.829765	-121.9135
30.000000	92.797195	-123.9782
30.700001	92.794571	-125.3054
31.500000	92.834839	-126.8357
32.500000	92.902664	-128.7799
33.500000	92.943237	-130.4885
34.500000	92.970947	-132.0557
35.500000	92.991547	-133.6661
36.500000	93.005608	-135.0909
37.500000	93.021362	-136.4123
38.700001	93.009041	-138.0851
40.000000	93.017654	-139.8405
41.200001	93.012207	-141.2908
42.500000	92.988609	-142.6544
43.700001	92.972076	-144.1421
45.000000	92.970276	-145.6500
46.200001	92.967140	-146.7225
47.500000	92.926910	-147.8810
48.700001	92.891235	-149.0086
50.000000	92.872025	-150.2088
51.500000	92.828506	-151.5305
53.000000	92.785522	-152.9822
54.500000	92.772728	-154.1322
56.000000	92.724098	-155.1834
58.000000	92.703766	-156.7119
60.000000	92.687965	-157.9865
61.500000	92.670113	-159.0027
63.000000	92.632729	-159.7822
65.000000	92.594780	-161.1296
67.000000	92.589165	-162.3925
69.000000	92.582802	-163.3762
71.000000	92.533852	-164.1183
73.000000	92.429741	-165.2602
75.000000	92.447670	-166.5476
