* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.625
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 26, 2020 10:20:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VE EVE20 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.727081	24.8848
21.200001	82.623108	24.3988
21.799999	82.671585	24.1366
22.400000	82.648666	23.6586
23.000000	82.592712	21.8246
23.600000	82.628227	20.7810
24.299999	82.605202	21.0436
25.000000	82.717697	20.2416
25.799999	82.901093	20.0938
26.500000	82.799049	19.2629
27.200001	82.862091	18.0485
28.000000	82.864243	17.8034
29.000000	82.830078	16.9367
30.000000	82.860809	15.7375
30.700001	82.926292	15.2105
31.500000	82.935135	14.7931
32.500000	82.897552	13.9984
33.500000	82.972076	13.3165
34.500000	82.967560	12.9253
35.500000	82.970245	12.0280
36.500000	82.963570	11.7419
37.500000	82.998589	11.2589
38.700001	82.960358	10.2555
40.000000	83.032127	9.7988
41.200001	82.990463	8.9808
42.500000	83.013763	8.4430
43.700001	83.018646	7.9501
45.000000	82.996979	7.3957
46.200001	83.052788	7.0790
47.500000	83.019249	6.3486
48.700001	82.976891	5.8031
50.000000	83.008965	5.4655
51.500000	83.038872	4.9263
53.000000	82.984154	4.3959
54.500000	83.015442	3.7577
56.000000	83.009933	3.5040
58.000000	83.012909	2.7794
60.000000	82.950195	2.4496
61.500000	82.985115	1.6978
63.000000	82.968010	1.3189
65.000000	82.957809	0.7506
67.000000	82.950333	0.2138
69.000000	82.937706	-0.2028
71.000000	82.924644	-0.7280
73.000000	82.916916	-1.0882
75.000000	82.883125	-1.6525
77.500000	82.866005	-2.1900
80.000000	82.851456	-2.6797
82.500000	82.828972	-3.1646
85.000000	82.807343	-3.6206
87.500000	82.784409	-4.1465
90.000000	82.759041	-4.5999
92.500000	82.726181	-5.0518
95.000000	82.707985	-5.4226
97.500000	82.752106	-6.1022
100.000000	82.665649	-6.1983
103.000000	82.625908	-6.7342
106.000000	82.593170	-7.1029
109.000000	82.561798	-7.5857
112.000000	82.526451	-8.0008
115.000000	82.488785	-8.3349
118.000000	82.451324	-8.7028
122.000000	82.403442	-9.1685
125.000000	82.360641	-9.5572
128.000000	82.324280	-9.9184
132.000000	82.279007	-10.3441
136.000000	82.227066	-10.7142
140.000000	82.172035	-11.1767
145.000000	82.112785	-11.6274
150.000000	82.050827	-12.0527
155.000000	81.982483	-12.4827
160.000000	81.920639	-12.9102
165.000000	81.851135	-13.2580
170.000000	81.787621	-13.6315
175.000000	81.721069	-13.9685
180.000000	81.656540	-14.2402
185.000000	81.592812	-14.6125
190.000000	81.527191	-14.8816
195.000000	81.469849	-15.2559
200.000000	81.392746	-15.4041
206.000000	81.314789	-15.7596
212.000000	81.240051	-15.9386
218.000000	81.169464	-16.1871
224.000000	81.091011	-16.4665
230.000000	81.005600	-16.6391
236.000000	80.919319	-16.9166
243.000000	80.831070	-17.0379
250.000000	80.745491	-17.2404
258.000000	80.650414	-17.4719
265.000000	80.556686	-17.5786
272.000000	80.474304	-17.7342
280.000000	80.375938	-17.8543
290.000000	80.257889	-17.9300
300.000000	80.124214	-18.1015
307.000000	80.052635	-18.1054
315.000000	79.960083	-18.1776
325.000000	79.840874	-18.1757
335.000000	79.723907	-18.1773
345.000000	79.617493	-18.1319
355.000000	79.510201	-18.0634
365.000000	79.397568	-17.9780
375.000000	79.293137	-17.8919
