* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 1, 2022 5:45:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EXT L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.192993	30.8730
21.200001	82.238182	29.2745
21.799999	82.264183	27.5856
22.400000	82.300835	26.0005
23.000000	82.307358	24.5417
23.600000	82.312012	22.9467
24.299999	82.364906	21.3756
25.000000	82.360161	20.1700
25.799999	82.293510	18.3839
26.500000	82.271698	16.7379
27.200001	82.263130	15.3047
28.000000	82.216164	13.7706
29.000000	82.196686	11.7008
30.000000	82.180679	9.9005
30.700001	82.131592	8.6320
31.500000	82.080338	7.2012
32.500000	82.039818	5.4409
33.500000	82.003662	3.7324
34.500000	81.974365	2.2197
35.500000	81.916733	0.5897
36.500000	81.860130	-0.9073
37.500000	81.800278	-2.3576
38.700001	81.741653	-4.2702
40.000000	81.690140	-5.9935
41.200001	81.598068	-7.6347
42.500000	81.495377	-9.2307
43.700001	81.478638	-10.9014
45.000000	81.421112	-12.6095
46.200001	81.355911	-13.9276
47.500000	81.272064	-15.5109
48.700001	81.196945	-16.8790
50.000000	81.120567	-18.1335
51.500000	81.050797	-19.9065
53.000000	80.968857	-21.3495
54.500000	80.867256	-23.0864
56.000000	80.788551	-24.2981
58.000000	80.681694	-26.2372
60.000000	80.524368	-28.1751
61.500000	80.495827	-29.5419
63.000000	80.406319	-30.8637
65.000000	80.289810	-32.5060
67.000000	80.183868	-34.1365
69.000000	80.068237	-35.6896
71.000000	79.958572	-37.2150
73.000000	79.850677	-38.7535
75.000000	79.736877	-40.1556
77.500000	79.598701	-41.9058
80.000000	79.462860	-43.6463
82.500000	79.317207	-45.2036
85.000000	79.180122	-46.7961
87.500000	79.039856	-48.2887
90.000000	78.911972	-49.7759
92.500000	78.780823	-51.1817
95.000000	78.655853	-52.5381
97.500000	78.529449	-53.9024
100.000000	78.415695	-55.1902
103.000000	78.260651	-56.6693
106.000000	78.415527	-56.9884
109.000000	78.016518	-59.3882
112.000000	77.847557	-60.9450
115.000000	77.720497	-62.2440
118.000000	77.587814	-63.5495
122.000000	77.419327	-65.1869
125.000000	77.285118	-66.3900
128.000000	77.169121	-67.5382
132.000000	77.002411	-68.9983
136.000000	76.858398	-70.4559
140.000000	76.709175	-71.8999
145.000000	76.521576	-73.5500
150.000000	76.340332	-75.1984
155.000000	76.163628	-76.6725
160.000000	75.994141	-78.1489
165.000000	75.830101	-79.5904
170.000000	75.667793	-80.9623
175.000000	75.516716	-82.2683
180.000000	75.371201	-83.5132
185.000000	75.220390	-84.6929
190.000000	75.084305	-85.8795
195.000000	74.940659	-86.9927
200.000000	74.811470	-88.0425
206.000000	74.657227	-89.3293
212.000000	74.528427	-90.3864
218.000000	74.367828	-91.6483
224.000000	74.230492	-92.7404
230.000000	74.092232	-93.8139
236.000000	73.971863	-94.8085
243.000000	73.827408	-95.9500
250.000000	73.692871	-97.0275
