* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 1, 2022 5:44:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EXT R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.811531	30.9214
21.200001	81.885361	29.4813
21.799999	81.903229	27.9223
22.400000	81.939583	26.0733
23.000000	81.997505	24.6414
23.600000	81.990707	23.3996
24.299999	81.979553	21.6714
25.000000	81.977226	20.2364
25.799999	81.942581	18.5787
26.500000	81.952614	17.0814
27.200001	81.935890	15.5360
28.000000	81.912933	13.6982
29.000000	81.880455	11.9085
30.000000	81.851326	10.0755
30.700001	81.814392	8.7597
31.500000	81.784828	7.2688
32.500000	81.711197	5.5014
33.500000	81.677185	4.1317
34.500000	81.643997	2.4299
35.500000	81.602776	0.5985
36.500000	81.544708	-0.9485
37.500000	81.501900	-2.4297
38.700001	81.426468	-4.3351
40.000000	81.382759	-6.0236
41.200001	81.315536	-7.6730
42.500000	81.248238	-9.3919
43.700001	81.178780	-11.1286
45.000000	81.121841	-12.6172
46.200001	81.047646	-14.0237
47.500000	80.992035	-15.5529
48.700001	80.890984	-16.9347
50.000000	80.834862	-18.4128
51.500000	80.767708	-20.1144
53.000000	80.684639	-21.7814
54.500000	80.589378	-23.2039
56.000000	80.516052	-24.7158
58.000000	80.404236	-26.6310
60.000000	80.237579	-28.5606
61.500000	80.209488	-29.8362
63.000000	80.129372	-31.1579
65.000000	80.023773	-32.8521
67.000000	79.899727	-34.5084
69.000000	79.788445	-36.1867
71.000000	79.690536	-37.6634
73.000000	79.567719	-39.2036
75.000000	79.457443	-40.6135
77.500000	79.325073	-42.4061
80.000000	79.186920	-44.1049
82.500000	79.051689	-45.7418
85.000000	78.922226	-47.3166
87.500000	78.786194	-48.8709
90.000000	78.659660	-50.3420
92.500000	78.524010	-51.8075
95.000000	78.392044	-53.1382
97.500000	78.273926	-54.5090
100.000000	78.135330	-55.8855
103.000000	77.992081	-57.3753
106.000000	77.872147	-58.8436
109.000000	77.719818	-60.3352
112.000000	77.588654	-61.6862
115.000000	77.464211	-63.0196
118.000000	77.340515	-64.4168
122.000000	77.169998	-66.0149
125.000000	77.057922	-67.3016
128.000000	76.930405	-68.4628
132.000000	76.703773	-69.7938
136.000000	76.529434	-71.0377
140.000000	76.475334	-72.8281
145.000000	76.287697	-74.5815
150.000000	76.114624	-76.2084
155.000000	75.951378	-77.6830
160.000000	75.766884	-79.2499
165.000000	75.606033	-80.6881
170.000000	75.454704	-82.0244
175.000000	75.306755	-83.3379
180.000000	75.165337	-84.6669
185.000000	75.016052	-85.8328
190.000000	74.881950	-87.0513
195.000000	74.746719	-88.1815
200.000000	74.618286	-89.2636
206.000000	74.470184	-90.5515
212.000000	74.323853	-91.7677
218.000000	74.180588	-92.9176
224.000000	74.051003	-94.0225
230.000000	73.920464	-95.0710
236.000000	73.798294	-96.1151
243.000000	73.657295	-97.2447
250.000000	73.524536	-98.3172
258.000000	73.382248	-99.5403
265.000000	73.264862	-100.4577
272.000000	73.146828	-101.4238
280.000000	73.019035	-102.4545
290.000000	72.868546	-103.6470
300.000000	72.728951	-104.8363
307.000000	72.640869	-105.5193
315.000000	72.538857	-106.3287
325.000000	72.422890	-107.2804
335.000000	72.310280	-108.1618
345.000000	72.207687	-108.9819
355.000000	72.106850	-109.7412
365.000000	72.015434	-110.5055
375.000000	71.934387	-111.1479
387.000000	71.838120	-111.9293
400.000000	71.751472	-112.7972
412.000000	71.656631	-113.4093
425.000000	71.569748	-114.0458
437.000000	71.495476	-114.5801
450.000000	71.418861	-115.1146
462.000000	71.360611	-115.5970
475.000000	71.286674	-116.0463
487.000000	71.222404	-116.4784
500.000000	71.146217	-116.7855
515.000000	71.054367	-117.1297
530.000000	70.957130	-117.2783
545.000000	70.878464	-117.1831
560.000000	70.816299	-116.9577
580.000000	70.779472	-116.5732
600.000000	70.770096	-116.2454
615.000000	70.772079	-115.9793
630.000000	70.783981	-115.7294
650.000000	70.795731	-115.3788
670.000000	70.825394	-115.0222
690.000000	70.856216	-114.6256
710.000000	70.895004	-114.1428
730.000000	70.939453	-113.6394
750.000000	70.990936	-113.0789
775.000000	71.067230	-112.3064
800.000000	71.158493	-111.3880
825.000000	71.282516	-110.4035
850.000000	71.439865	-109.3681
875.000000	71.624802	-108.4339
900.000000	71.829391	-107.6251
925.000000	72.039078	-106.8434
950.000000	72.267998	-106.1228
975.000000	72.509377	-105.4527
1000.000000	72.765823	-104.8968
1030.000000	73.092392	-104.3733
1060.000000	73.423920	-104.0052
1090.000000	73.765762	-103.8162
1120.000000	74.109116	-103.8109
1150.000000	74.447510	-103.9881
1180.000000	74.778976	-104.2970
1220.000000	75.203293	-104.9118
1250.000000	75.510780	-105.4890
1280.000000	75.804031	-106.1522
1320.000000	76.182350	-107.1629
1360.000000	76.543396	-108.2793
1400.000000	76.885574	-109.4970
1450.000000	77.298569	-111.1747
1500.000000	77.684601	-113.0255
1550.000000	78.045723	-115.0900
1600.000000	78.377579	-117.3344
1650.000000	78.667908	-119.7870
1700.000000	78.913406	-122.4137
1750.000000	79.104424	-125.1497
1800.000000	79.239990	-127.9454
1850.000000	79.312256	-130.7257
1900.000000	79.324493	-133.4110
1950.000000	79.281509	-135.9207
2000.000000	79.192528	-138.1833
2060.000000	79.036560	-140.5277
2120.000000	78.845238	-142.4257
2180.000000	78.630394	-143.8614
2240.000000	78.414719	-144.8630
2300.000000	78.205338	-145.4734
2360.000000	78.014885	-145.7280
2430.000000	77.821808	-145.6790
2500.000000	77.667763	-145.2953
2580.000000	77.549438	-144.5745
2650.000000	77.491158	-143.7732
2720.000000	77.482628	-142.8593
2800.000000	77.529633	-141.7714
2900.000000	77.666771	-140.4657
3000.000000	77.885971	-139.3326
3070.000000	78.081329	-138.6932
3150.000000	78.340492	-138.1572
3250.000000	78.721214	-137.8058
3350.000000	79.167580	-137.9882
3450.000000	79.649635	-138.9676
3550.000000	80.121841	-140.7902
3650.000000	80.549896	-143.4280
3750.000000	80.897575	-146.8052
3870.000000	81.159554	-151.6335
4000.000000	81.208771	-157.3161
4120.000000	81.033554	-162.3979
4250.000000	80.648453	-167.1954
4370.000000	80.175720	-170.6818
4500.000000	79.607834	-173.4389
4620.000000	79.076935	-175.1504
4750.000000	78.533607	-176.2528
4870.000000	78.074547	-176.7763
5000.000000	77.635895	-176.9805
5150.000000	77.211678	-176.9635
5300.000000	76.876801	-176.8548
5450.000000	76.614517	-176.8719
5600.000000	76.417152	-177.0394
5800.000000	76.257950	-177.7723
6000.000000	76.170746	-179.5355
6150.000000	76.084724	178.2973
6300.000000	75.917320	175.4875
6500.000000	75.468956	171.3233
6700.000000	74.714874	167.8043
6900.000000	73.704544	166.1539
7100.000000	72.581406	167.3369
7300.000000	71.553528	171.3671
7500.000000	70.748558	177.9033
7750.000000	70.255417	-171.5651
8000.000000	70.410088	-160.5961
8250.000000	71.076057	-151.2681
8500.000000	71.998795	-144.6803
8750.000000	72.892082	-140.9648
9000.000000	73.569939	-139.2213
9250.000000	73.995392	-138.1446
9500.000000	74.238358	-137.0622
9750.000000	74.403206	-135.6912
10000.000000	74.585831	-134.2001
10300.000000	74.935104	-132.8987
10600.000000	75.531586	-133.2530
10900.000000	76.393990	-136.9958
11200.000000	77.410110	-146.4291
11500.000000	78.033600	-163.6977
11800.000000	77.442421	174.2659
12200.000000	74.935234	150.5348
12500.000000	72.837440	140.0769
12800.000000	71.066025	134.0444
13200.000000	69.284668	130.2220
13600.000000	68.027603	129.4646
14000.000000	67.113419	130.7825
14500.000000	66.338203	134.7449
15000.000000	66.242607	139.4126
15500.000000	66.676598	138.8472
16000.000000	66.891190	132.2771
16500.000000	66.767044	120.9810
17000.000000	66.290878	104.2171
17500.000000	65.399994	80.9183
18000.000000	64.090828	49.2322
18500.000000	62.376465	4.2215
19000.000000	60.271416	-65.5046
19500.000000	58.347721	-173.1653
