* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -54.9 dBFS, measurement signal peak level -20.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2020 12:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0189 ms (6.5 mm, 0.26 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: VE Erlkonig - 1
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.757324	57.6854
21.200001	93.889221	56.3763
21.799999	94.020256	55.0941
22.400000	94.151939	53.7610
23.000000	94.272034	52.4240
23.600000	94.379944	51.1902
24.299999	94.505684	49.8917
25.000000	94.630302	48.5913
25.799999	94.745667	47.0541
26.500000	94.831398	45.7829
27.200001	94.929276	44.5527
28.000000	95.047905	43.1134
29.000000	95.174805	41.4778
30.000000	95.292473	40.0236
30.700001	95.364044	38.9707
31.500000	95.435883	37.8012
32.500000	95.533951	36.4103
33.500000	95.625793	35.0294
34.500000	95.705956	33.7262
35.500000	95.784698	32.4500
36.500000	95.855316	31.2109
37.500000	95.921753	30.0267
38.700001	95.995651	28.6288
40.000000	96.068260	27.1922
41.200001	96.131271	25.8951
42.500000	96.193756	24.5576
43.700001	96.251747	23.3655
45.000000	96.303345	22.1057
46.200001	96.344810	20.9728
47.500000	96.390045	19.7605
48.700001	96.428108	18.6743
50.000000	96.464203	17.5695
51.500000	96.502632	16.3209
53.000000	96.535820	15.0812
54.500000	96.564919	13.9084
56.000000	96.590439	12.7543
58.000000	96.619446	11.2544
60.000000	96.647812	9.8635
61.500000	96.658958	8.7909
63.000000	96.667801	7.7705
65.000000	96.677856	6.4723
67.000000	96.685295	5.1816
69.000000	96.687157	3.9386
71.000000	96.685020	2.7470
73.000000	96.680717	1.6025
75.000000	96.674721	0.4740
77.500000	96.659157	-0.8933
80.000000	96.641991	-2.2245
82.500000	96.622948	-3.5008
85.000000	96.597107	-4.7409
87.500000	96.568108	-5.9193
90.000000	96.539551	-7.0723
92.500000	96.502792	-8.2015
95.000000	96.464935	-9.2800
97.500000	96.427567	-10.3614
100.000000	96.386429	-11.4269
103.000000	96.338188	-12.0007
106.000000	96.276184	-13.7688
109.000000	96.222420	-14.8725
112.000000	96.163635	-15.9454
115.000000	96.103119	-17.0182
118.000000	96.039886	-18.0288
122.000000	95.955139	-19.3404
125.000000	95.888031	-20.2906
128.000000	95.822266	-21.2067
132.000000	95.729462	-22.4011
136.000000	95.637100	-23.5468
140.000000	95.542953	-24.6462
145.000000	95.424843	-25.9649
150.000000	95.302795	-27.2226
155.000000	95.181290	-28.4345
160.000000	95.057358	-29.5781
165.000000	94.933594	-30.6831
170.000000	94.808884	-31.7392
175.000000	94.685448	-32.7583
180.000000	94.559776	-33.7274
185.000000	94.435875	-34.6542
190.000000	94.311096	-35.5492
195.000000	94.187103	-36.4135
200.000000	94.063660	-37.2438
206.000000	93.914078	-38.2329
212.000000	93.769005	-39.1020
218.000000	93.622574	-39.9645
224.000000	93.476982	-40.7974
230.000000	93.333908	-41.5835
236.000000	93.189087	-42.3448
243.000000	93.023109	-43.1926
250.000000	92.858841	-43.9957
258.000000	92.673599	-44.8590
265.000000	92.512726	-45.5808
272.000000	92.352982	-46.2697
280.000000	92.171562	-47.0088
290.000000	91.950500	-47.8868
300.000000	91.730362	-48.6851
307.000000	91.581573	-49.2845
315.000000	91.409706	-49.8135
325.000000	91.197739	-50.4919
335.000000	90.990990	-51.1200
345.000000	90.787170	-51.7065
355.000000	90.584908	-52.2491
365.000000	90.388458	-52.7479
375.000000	90.194092	-53.2160
387.000000	89.964195	-53.7221
400.000000	89.721436	-54.2139
412.000000	89.501648	-54.6084
425.000000	89.266006	-55.0054
437.000000	89.056366	-55.3207
450.000000	88.830765	-55.6141
462.000000	88.626305	-55.8423
475.000000	88.410583	-56.0363
487.000000	88.216232	-56.1896
500.000000	88.009827	-56.3068
515.000000	87.777496	-56.4053
530.000000	87.552551	-56.4396
545.000000	87.330193	-56.4372
560.000000	87.116035	-56.3834
580.000000	86.838203	-56.2480
600.000000	86.571640	-56.0264
615.000000	86.378494	-55.8160
630.000000	86.190277	-55.5590
650.000000	85.949234	-55.1496
670.000000	85.718338	-54.6689
690.000000	85.499146	-54.1125
710.000000	85.293922	-53.5115
730.000000	85.094643	-52.7965
750.000000	84.911438	-52.0480
775.000000	84.700493	-51.0223
800.000000	84.513954	-49.9045
825.000000	84.348747	-48.6901
850.000000	84.209618	-47.4068
875.000000	84.096603	-46.0853
900.000000	84.011879	-44.6927
925.000000	83.958519	-43.2997
950.000000	83.935410	-41.9159
975.000000	83.941544	-40.5873
1000.000000	83.975487	-39.2904
1030.000000	84.052567	-37.8814
1060.000000	84.160156	-36.6572
1090.000000	84.290253	-35.6583
1120.000000	84.433495	-34.8477
1150.000000	84.578964	-34.2704
1180.000000	84.723709	-33.8836
