* Measurement data measured by REW V5.20 Beta 21
* Source: Input device not selected, no input selected, R, volume: 0.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 24, 2019 3:06:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fiio FA7 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.359131	-135.7722
20.600000	64.340981	-137.3042
21.200001	64.343040	-138.7013
21.799999	64.368713	-140.1154
22.400000	64.391335	-141.5428
23.000000	64.403725	-142.8138
23.600000	64.424126	-143.8828
24.299999	64.461800	-145.0142
25.000000	64.497917	-146.0929
25.799999	64.528572	-147.2690
26.500000	64.542610	-148.2709
27.200001	64.548203	-149.2408
28.000000	64.551254	-150.3669
29.000000	64.543434	-151.7688
30.000000	64.547913	-153.0713
30.700001	64.557999	-153.9816
31.500000	64.569733	-154.9452
32.500000	64.593842	-156.0475
33.500000	64.611412	-157.0796
34.500000	64.624512	-158.0076
35.500000	64.630722	-158.9377
36.500000	64.623627	-159.8173
37.500000	64.622925	-160.6383
38.700001	64.628906	-161.6592
40.000000	64.638123	-162.6995
41.200001	64.653000	-163.6187
42.500000	64.666664	-164.5533
43.700001	64.677231	-165.3701
45.000000	64.685432	-166.2128
46.200001	64.693970	-166.9653
47.500000	64.701729	-167.7513
48.700001	64.710243	-168.4581
50.000000	64.715576	-169.2003
51.500000	64.720734	-170.0152
53.000000	64.727188	-170.8337
54.500000	64.725197	-171.5951
56.000000	64.728531	-172.3055
58.000000	64.727242	-173.2251
60.000000	64.719513	-174.1216
61.500000	64.714455	-174.7729
63.000000	64.713417	-175.3750
65.000000	64.719765	-176.2123
67.000000	64.715164	-176.9614
69.000000	64.709702	-177.7032
71.000000	64.701103	-178.4647
73.000000	64.691589	-179.1688
75.000000	64.678970	-179.8373
77.500000	64.664665	179.3591
80.000000	64.657944	178.5638
82.500000	64.649269	177.7845
85.000000	64.640320	177.0581
87.500000	64.625298	176.3559
90.000000	64.602867	175.7198
92.500000	64.583511	175.0436
95.000000	64.568123	174.4021
97.500000	64.550102	173.7986
100.000000	64.533134	173.2159
103.000000	64.510994	172.4962
106.000000	64.483047	171.8197
109.000000	64.451485	171.2006
112.000000	64.411636	170.6012
115.000000	64.374390	170.0208
118.000000	64.330788	169.4887
122.000000	64.267708	168.9203
125.000000	64.220100	168.5900
128.000000	64.172562	168.4290
132.000000	64.128357	168.5837
136.000000	64.173233	169.1550
140.000000	64.382576	169.3063
145.000000	64.620728	167.5675
150.000000	64.638344	165.3005
155.000000	64.555176	163.5808
160.000000	64.459953	162.2922
165.000000	64.370911	161.2572
170.000000	64.290405	160.3297
175.000000	64.214729	159.5211
180.000000	64.140312	158.7571
185.000000	64.078125	158.0098
190.000000	64.015640	157.3256
195.000000	63.948944	156.6609
200.000000	63.882305	156.0444
206.000000	63.803528	155.3203
212.000000	63.737835	154.6213
218.000000	63.669365	153.9466
224.000000	63.597946	153.3476
230.000000	63.531525	152.7362
236.000000	63.465736	152.1800
243.000000	63.391823	151.5512
250.000000	63.322227	150.9998
258.000000	63.251362	150.3680
265.000000	63.196411	149.8166
272.000000	63.141373	149.2901
280.000000	63.079494	148.6287
290.000000	62.998539	147.7306
300.000000	62.906662	146.8792
307.000000	62.838120	146.2403
315.000000	62.753716	145.5488
325.000000	62.637379	144.8201
335.000000	62.525452	144.1682
345.000000	62.427811	143.5896
355.000000	62.323128	142.9724
365.000000	62.216362	142.3984
375.000000	62.109970	141.8792
387.000000	61.980446	141.2664
400.000000	61.851265	140.6448
412.000000	61.727985	140.2094
425.000000	61.598793	139.7520
437.000000	61.483456	139.3062
450.000000	61.355923	138.8866
462.000000	61.246181	138.5173
475.000000	61.127911	138.1622
487.000000	61.016846	137.8450
500.000000	60.901329	137.4870
515.000000	60.762436	137.1403
530.000000	60.634155	136.8620
545.000000	60.503273	136.6460
560.000000	60.375622	136.4049
580.000000	60.200878	136.1594
600.000000	60.037399	135.9672
615.000000	59.915257	135.8393
630.000000	59.794113	135.7467
650.000000	59.633923	135.6888
670.000000	59.471584	135.6835
690.000000	59.321316	135.7218
710.000000	59.168442	135.8311
730.000000	59.028244	135.9396
750.000000	58.886776	136.1169
775.000000	58.718822	136.3940
800.000000	58.557732	136.7380
825.000000	58.405197	137.1624
850.000000	58.266457	137.6454
875.000000	58.133171	138.2195
900.000000	58.020145	138.8254
925.000000	57.926010	139.4656
950.000000	57.841820	140.1517
975.000000	57.781898	140.8180
1000.000000	57.740112	141.4496
1030.000000	57.706551	142.1621
1060.000000	57.693459	142.7296
1090.000000	57.684441	143.1558
1120.000000	57.679764	143.4055
1150.000000	57.657501	143.5630
1180.000000	57.617645	143.7240
1220.000000	57.528240	144.2322
1250.000000	57.491169	145.0775
1280.000000	57.557388	146.0623
1320.000000	57.782730	146.2311
1360.000000	57.868561	144.7773
1400.000000	57.720558	143.5684
1450.000000	57.410454	143.6981
1500.000000	57.191814	145.9913
1550.000000	57.440971	149.2190
1600.000000	58.016624	149.3334
