* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 20, 2021 4:42:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Falcon Pro AI L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.498573	-84.9056
21.200001	84.704323	-86.5582
21.799999	84.904991	-88.3566
22.400000	85.075722	-90.3181
23.000000	85.209946	-92.1302
23.600000	85.345291	-93.6082
24.299999	85.528793	-95.2016
25.000000	85.687431	-97.0096
25.799999	85.783829	-99.1167
26.500000	85.854004	-100.7525
27.200001	85.961189	-102.4172
28.000000	86.086319	-104.4518
29.000000	86.210770	-106.6542
30.000000	86.338333	-108.6360
30.700001	86.414810	-110.0096
31.500000	86.506950	-111.4426
32.500000	86.624939	-113.2211
33.500000	86.698776	-114.9191
34.500000	86.771698	-116.6281
35.500000	86.836472	-118.3808
36.500000	86.913605	-119.8562
37.500000	86.982750	-121.3634
38.700001	87.037048	-123.0458
40.000000	87.119888	-124.8670
41.200001	87.164886	-126.3287
42.500000	87.228477	-127.9789
43.700001	87.266273	-129.4010
45.000000	87.341232	-130.7412
46.200001	87.386681	-132.2427
47.500000	87.421783	-133.5507
48.700001	87.464127	-134.7299
50.000000	87.483925	-136.0396
51.500000	87.543617	-137.5059
53.000000	87.575005	-138.8563
54.500000	87.585129	-140.1506
56.000000	87.629631	-141.3096
58.000000	87.666969	-142.8525
60.000000	87.678329	-144.4861
61.500000	87.718925	-145.3903
63.000000	87.738586	-146.3752
65.000000	87.739975	-147.6626
67.000000	87.757782	-148.8672
69.000000	87.794556	-149.9762
71.000000	87.800087	-151.1348
73.000000	87.808762	-152.1716
75.000000	87.810120	-153.2118
77.500000	87.810867	-154.3197
80.000000	87.822083	-155.4054
82.500000	87.826981	-156.6981
85.000000	87.822533	-157.7460
87.500000	87.824303	-158.7665
90.000000	87.814926	-159.6525
92.500000	87.810471	-160.6542
95.000000	87.816666	-161.4804
97.500000	87.800674	-162.3562
100.000000	87.794304	-163.1393
103.000000	87.790199	-164.1256
106.000000	87.788177	-164.9769
109.000000	87.785248	-165.8320
112.000000	87.770111	-166.6000
115.000000	87.766518	-167.4086
118.000000	87.769020	-168.1925
122.000000	87.745140	-169.1265
125.000000	87.742996	-169.7548
128.000000	87.719299	-170.4568
132.000000	87.702530	-171.3468
136.000000	87.683609	-172.0886
140.000000	87.668228	-172.9063
145.000000	87.639915	-173.8589
150.000000	87.608727	-174.7155
155.000000	87.579636	-175.5370
160.000000	87.542854	-176.2123
165.000000	87.512512	-177.0899
170.000000	87.470543	-177.8462
175.000000	87.444679	-178.5292
180.000000	87.411339	-179.1134
185.000000	87.359741	-179.7641
190.000000	87.320961	179.6169
195.000000	87.281609	179.0480
200.000000	87.239624	178.5411
206.000000	87.189262	177.7659
212.000000	87.135216	177.2624
218.000000	87.080521	176.6945
224.000000	87.024124	176.1461
230.000000	86.971100	175.6361
236.000000	86.920120	175.1396
243.000000	86.855270	174.5535
250.000000	86.784897	174.0829
258.000000	86.703934	173.5719
265.000000	86.638916	173.1281
272.000000	86.564445	172.6822
280.000000	86.480896	172.2265
290.000000	86.387764	171.7050
300.000000	86.290833	171.2446
307.000000	86.211060	170.9346
315.000000	86.130569	170.5747
325.000000	86.033958	170.2058
335.000000	85.926147	169.8909
345.000000	85.825485	169.6119
355.000000	85.728119	169.3298
365.000000	85.621124	169.1074
375.000000	85.521729	168.8968
387.000000	85.398178	168.6968
400.000000	85.268982	168.5375
412.000000	85.152290	168.3961
425.000000	85.021385	168.3396
437.000000	84.907166	168.2972
450.000000	84.780502	168.2748
462.000000	84.663681	168.3153
475.000000	84.546257	168.3847
487.000000	84.429276	168.4783
500.000000	84.308289	168.6330
515.000000	84.171150	168.8148
530.000000	84.038307	169.0745
545.000000	83.904861	169.3675
560.000000	83.776192	169.6924
580.000000	83.608978	170.1823
600.000000	83.446480	170.7447
615.000000	83.327194	171.2063
630.000000	83.211250	171.7168
650.000000	83.059410	172.4365
670.000000	82.915482	173.2041
690.000000	82.783524	174.0730
710.000000	82.651329	174.9663
730.000000	82.527313	175.9306
750.000000	82.411469	176.9438
775.000000	82.280807	178.3622
800.000000	82.173706	179.8433
825.000000	82.083237	-178.7107
850.000000	82.008331	-177.1876
875.000000	81.950790	-175.5802
900.000000	81.917145	-173.9911
925.000000	81.907646	-172.3763
950.000000	81.914314	-170.8016
975.000000	81.943558	-169.2454
1000.000000	81.990891	-167.7497
1030.000000	82.071884	-166.0480
1060.000000	82.170708	-164.4665
1090.000000	82.285797	-163.0308
1120.000000	82.411148	-161.7258
1150.000000	82.541817	-160.5820
1180.000000	82.672066	-159.5104
1220.000000	82.841660	-158.2822
1250.000000	82.967720	-157.4596
1280.000000	83.086433	-156.6749
1320.000000	83.241081	-155.6945
1360.000000	83.389381	-154.7148
