* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 20, 2021 4:45:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Falcon Pro L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.440033	-85.3819
21.200001	84.624718	-87.1961
21.799999	84.801804	-89.0585
22.400000	84.969818	-91.0446
23.000000	85.115143	-92.9543
23.600000	85.255264	-94.5674
24.299999	85.439041	-96.2001
25.000000	85.622932	-97.9289
25.799999	85.772606	-100.1275
26.500000	85.847382	-101.9568
27.200001	85.919968	-103.4746
28.000000	86.051849	-105.0373
29.000000	86.214020	-107.3141
30.000000	86.287483	-109.5237
30.700001	86.349060	-110.8580
31.500000	86.444450	-112.4158
32.500000	86.550613	-114.2643
33.500000	86.640594	-115.9849
34.500000	86.697197	-117.6622
35.500000	86.775528	-119.2511
36.500000	86.844612	-121.0524
37.500000	86.890343	-122.5626
38.700001	86.987373	-124.3960
40.000000	87.037605	-126.1226
41.200001	87.112717	-127.7912
42.500000	87.137184	-129.5606
43.700001	87.203537	-130.8612
45.000000	87.256058	-132.3468
46.200001	87.304001	-133.8431
47.500000	87.339691	-135.2178
48.700001	87.364700	-136.4025
50.000000	87.392761	-137.7230
51.500000	87.441383	-139.1702
53.000000	87.456558	-140.5444
54.500000	87.497673	-141.8877
56.000000	87.554405	-143.1561
58.000000	87.547134	-144.7794
60.000000	87.604446	-146.1968
61.500000	87.600479	-147.2968
63.000000	87.605934	-148.3450
65.000000	87.622482	-149.6825
67.000000	87.655495	-150.8827
69.000000	87.650726	-152.1481
71.000000	87.664116	-153.3408
73.000000	87.661949	-154.4382
75.000000	87.663895	-155.5266
77.500000	87.663338	-156.7975
80.000000	87.651474	-158.0537
82.500000	87.668808	-159.1982
85.000000	87.650269	-160.4143
87.500000	87.654930	-161.4797
90.000000	87.634911	-162.3150
92.500000	87.626289	-163.2835
95.000000	87.606720	-164.2461
97.500000	87.594315	-165.1729
100.000000	87.587402	-165.9436
103.000000	87.572968	-166.9767
106.000000	87.547951	-167.9583
109.000000	87.530937	-168.9427
112.000000	87.517494	-169.7516
115.000000	87.502831	-170.6589
118.000000	87.478127	-171.4801
122.000000	87.451317	-172.5181
125.000000	87.432320	-173.2215
128.000000	87.418701	-173.9281
132.000000	87.386421	-174.8741
136.000000	87.356506	-175.7073
140.000000	87.325333	-176.5411
145.000000	87.273262	-177.5321
150.000000	87.228912	-178.4904
155.000000	87.189430	-179.3851
160.000000	87.146011	179.8817
165.000000	87.085747	179.0082
170.000000	87.033897	178.1850
175.000000	86.982536	177.3549
180.000000	86.942780	177.0245
185.000000	86.863518	176.0910
190.000000	86.805519	175.4302
195.000000	86.754135	174.8354
200.000000	86.708412	174.1947
206.000000	86.636612	173.6133
212.000000	86.553566	172.8837
218.000000	86.475746	172.3250
224.000000	86.404137	171.7934
230.000000	86.323410	171.2233
236.000000	86.252762	170.7453
243.000000	86.161789	170.1721
250.000000	86.076401	169.6047
258.000000	85.970352	169.0822
265.000000	85.883453	168.6141
272.000000	85.789406	168.1406
280.000000	85.685738	167.7492
290.000000	85.556381	167.2233
300.000000	85.435974	166.7247
307.000000	85.342430	166.4597
315.000000	85.229355	166.1939
325.000000	85.108963	165.7863
335.000000	84.983383	165.5083
345.000000	84.847519	165.2648
355.000000	84.729485	165.0256
365.000000	84.601059	164.8517
375.000000	84.478630	164.7003
387.000000	84.331543	164.5533
400.000000	84.168587	164.4822
412.000000	84.023994	164.4338
425.000000	83.871094	164.4296
437.000000	83.736465	164.4787
450.000000	83.587959	164.5581
462.000000	83.449127	164.6704
475.000000	83.307213	164.8326
487.000000	83.172531	165.0327
500.000000	83.035507	165.2671
515.000000	82.872673	165.5539
530.000000	82.717087	165.9243
545.000000	82.568886	166.3380
560.000000	82.420021	166.7637
