* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 20, 2021 4:44:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Falcon Pro R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.105072	-84.4529
21.200001	84.301613	-86.3384
21.799999	84.473740	-87.9789
22.400000	84.662933	-89.6572
23.000000	84.837547	-91.6561
23.600000	84.953377	-93.7131
24.299999	85.057549	-95.6335
25.000000	85.201805	-97.1801
25.799999	85.353821	-99.0993
26.500000	85.419083	-100.7410
27.200001	85.487175	-102.2803
28.000000	85.605789	-104.3069
29.000000	85.752121	-106.7430
30.000000	85.935631	-108.6372
30.700001	86.043648	-110.0634
31.500000	86.106796	-111.6505
32.500000	86.180969	-113.4386
33.500000	86.278366	-115.2550
34.500000	86.386993	-117.0525
35.500000	86.466545	-118.8634
36.500000	86.514206	-120.4061
37.500000	86.586357	-122.0059
38.700001	86.675018	-123.9279
40.000000	86.784386	-125.6767
41.200001	86.796753	-127.1142
42.500000	86.854973	-128.7358
43.700001	86.909439	-130.4210
45.000000	86.965141	-131.8246
46.200001	86.998688	-133.3076
47.500000	87.047501	-134.6773
48.700001	87.068062	-135.9032
50.000000	87.072609	-137.1270
51.500000	87.122284	-138.7204
53.000000	87.181610	-140.0699
54.500000	87.200768	-141.3516
56.000000	87.232437	-142.6896
58.000000	87.275665	-144.2120
60.000000	87.278709	-145.5627
61.500000	87.291031	-146.8450
63.000000	87.309265	-147.9690
65.000000	87.330360	-149.2700
67.000000	87.358170	-150.4554
69.000000	87.351822	-151.7570
71.000000	87.368706	-153.0335
73.000000	87.382248	-154.0143
75.000000	87.379883	-155.1918
77.500000	87.398209	-156.4199
80.000000	87.325134	-157.2093
82.500000	87.358047	-158.7884
85.000000	87.368134	-160.0150
87.500000	87.370659	-161.0248
90.000000	87.361038	-162.0209
92.500000	87.340508	-163.0664
95.000000	87.339348	-164.0254
97.500000	87.324051	-164.8645
100.000000	87.305939	-165.7922
103.000000	87.299683	-166.7076
106.000000	87.281563	-167.7424
109.000000	87.268051	-168.6930
112.000000	87.249519	-169.5478
