* Measurement data measured by REW V5.19
* Source: Microphone (4- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jun 21, 2019 9:08:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CA Fibae 7 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.023987	-170.1328
20.600000	71.911980	-171.3612
21.200001	71.890793	-170.9168
21.799999	72.207878	-171.3809
22.400000	72.439186	-174.5144
23.000000	72.216866	-177.5263
23.600000	71.892555	-176.7888
24.299999	72.302704	-174.0538
25.000000	73.025154	-176.3811
25.799999	72.943878	178.8491
26.500000	72.537308	179.6056
27.200001	72.708511	-178.0973
28.000000	72.953331	-179.2713
29.000000	72.630653	-179.6367
30.000000	72.715294	-178.5486
30.700001	72.754166	-179.7209
31.500000	72.686890	179.3889
32.500000	72.783379	177.6784
33.500000	72.659271	175.4299
34.500000	72.625854	175.4367
35.500000	72.836334	174.8098
36.500000	72.915817	173.4543
37.500000	72.886612	172.7782
38.700001	72.937325	171.8489
40.000000	72.789986	170.1918
41.200001	72.782043	169.5362
42.500000	72.786186	167.7523
43.700001	72.789146	166.6551
45.000000	72.806244	165.8041
46.200001	72.861069	164.9772
47.500000	72.845039	164.2838
48.700001	72.867447	163.6136
50.000000	72.850555	163.0642
51.500000	72.925598	162.4396
53.000000	72.928162	161.3627
54.500000	72.865562	160.2500
56.000000	72.795166	159.1072
58.000000	72.805084	157.5315
60.000000	72.389511	152.2926
61.500000	72.583122	155.7943
63.000000	72.779434	154.0955
65.000000	72.856644	153.2818
67.000000	72.819038	152.5892
69.000000	72.812180	151.3874
71.000000	72.807106	149.8862
73.000000	72.811974	149.1967
75.000000	72.862930	148.2419
77.500000	72.814240	146.5901
80.000000	72.831436	145.1165
82.500000	72.827477	143.6612
85.000000	72.806358	142.4471
87.500000	72.787727	141.1987
90.000000	72.804680	139.5228
92.500000	72.766998	137.9373
95.000000	72.777596	136.7727
97.500000	72.781273	135.4872
100.000000	72.783691	134.1573
103.000000	72.772980	132.9004
106.000000	72.707855	131.2657
109.000000	72.674599	129.7313
112.000000	72.624557	128.2998
115.000000	72.651382	126.4812
118.000000	72.580032	125.1571
122.000000	72.520615	123.1348
125.000000	72.496765	121.6230
128.000000	72.473465	120.4449
132.000000	72.392517	118.9848
136.000000	72.358688	116.8437
140.000000	72.276100	114.7526
145.000000	72.229866	113.0755
150.000000	72.166054	110.9224
155.000000	72.074715	108.7794
160.000000	71.971825	106.6270
165.000000	71.858704	105.0316
170.000000	71.787979	103.4125
175.000000	71.702477	101.6311
180.000000	71.670959	101.4283
185.000000	71.512924	98.4788
190.000000	71.447311	97.6617
195.000000	71.492004	96.9431
200.000000	71.556122	95.8226
206.000000	71.671219	92.5624
212.000000	71.616928	90.0628
218.000000	71.503906	87.7178
224.000000	71.349243	85.4924
230.000000	71.299408	83.6093
236.000000	71.197174	81.8582
243.000000	71.121216	79.7959
250.000000	71.042145	77.6450
258.000000	70.907761	75.6223
265.000000	70.844574	73.7524
272.000000	70.753654	72.1653
280.000000	70.647598	70.1465
290.000000	70.571335	67.5548
300.000000	70.629921	66.2433
307.000000	70.326584	63.8455
315.000000	70.262558	62.0532
325.000000	70.153625	60.1937
335.000000	70.070854	58.1282
345.000000	69.956528	56.1352
355.000000	69.932152	54.4182
365.000000	69.792625	52.7495
375.000000	69.750877	51.2975
387.000000	69.692024	48.9381
400.000000	69.593666	47.4289
412.000000	69.499184	45.6562
425.000000	69.378250	43.7382
437.000000	69.369972	41.9908
450.000000	69.273346	39.8904
462.000000	69.188789	38.5486
475.000000	69.146584	37.7591
487.000000	69.053658	35.8052
500.000000	68.919678	34.2872
515.000000	68.909454	33.0083
530.000000	68.823395	31.5544
545.000000	68.779182	30.7540
560.000000	68.717178	29.4639
580.000000	68.642120	28.2582
600.000000	68.652359	26.4768
615.000000	68.542191	25.6187
630.000000	68.542366	24.6575
650.000000	68.496910	23.7565
670.000000	68.443115	22.2617
690.000000	68.388817	21.4470
710.000000	68.316856	20.7808
730.000000	68.317764	20.4384
750.000000	68.194923	19.9502
775.000000	68.288071	18.8965
800.000000	68.183136	18.7606
825.000000	68.231537	18.9199
850.000000	68.247086	18.5621
875.000000	68.311874	19.0076
900.000000	68.367432	19.3127
925.000000	68.468628	19.5793
950.000000	68.575256	20.0110
975.000000	68.729210	20.3793
1000.000000	69.017914	22.2858
1030.000000	69.169403	21.3198
1060.000000	69.459381	21.8643
1090.000000	69.795845	22.2923
1120.000000	70.152893	22.3070
1150.000000	70.523590	22.0332
1180.000000	70.918434	21.3442
1220.000000	71.408630	20.6402
1250.000000	71.765320	19.5145
1280.000000	72.070618	18.6864
1320.000000	72.475327	17.0364
1360.000000	72.873604	15.3585
1400.000000	73.175911	13.8101
1450.000000	73.569656	12.1044
1500.000000	73.944496	10.3412
1550.000000	74.313507	8.7360
1600.000000	74.679207	7.0766
1650.000000	75.013428	5.8404
1700.000000	75.417397	4.3727
1750.000000	75.783783	2.8683
1800.000000	76.172699	1.3195
1850.000000	76.579163	-0.1843
1900.000000	76.983833	-1.8533
1950.000000	77.404228	-3.6263
2000.000000	77.791122	-5.4250
2060.000000	78.305359	-8.4226
2120.000000	78.777367	-11.4023
2180.000000	79.216217	-14.8521
2240.000000	79.605179	-18.5331
2300.000000	79.915520	-22.6142
2360.000000	80.146011	-26.8156
2430.000000	80.317894	-31.8364
2500.000000	80.357613	-36.6365
2580.000000	80.264771	-41.6474
2650.000000	80.101524	-45.4943
2720.000000	79.873695	-48.6945
2800.000000	79.583366	-51.5285
2900.000000	79.214691	-53.9003
3000.000000	78.938873	-55.1204
3070.000000	78.767227	-55.3761
3150.000000	78.661018	-55.4583
3250.000000	78.710678	-55.2766
3350.000000	78.888641	-55.7725
3450.000000	79.096848	-57.0715
3550.000000	79.332001	-59.0298
3650.000000	79.499435	-61.9205
3750.000000	79.575218	-65.4899
3870.000000	79.450264	-70.7922
4000.000000	78.931839	-76.6544
4120.000000	78.012352	-81.2107
4250.000000	76.695396	-83.1613
4370.000000	75.346832	-81.7383
4500.000000	74.054008	-75.7980
4620.000000	73.337730	-66.8022
4750.000000	73.427620	-56.7855
4870.000000	74.094536	-51.1667
5000.000000	74.824837	-50.2840
5150.000000	74.978874	-52.6495
5300.000000	74.455627	-54.3038
5450.000000	73.571175	-53.0835
5600.000000	72.631180	-48.9287
5800.000000	71.686081	-40.5074
6000.000000	71.077522	-30.5533
6150.000000	70.787247	-23.2872
6300.000000	70.454094	-14.3925
6500.000000	70.645966	-0.7747
6700.000000	71.461868	11.1845
6900.000000	72.883369	19.9158
7100.000000	74.625511	22.8477
7300.000000	75.945175	16.9971
7500.000000	75.775139	8.0042
7750.000000	74.409256	5.1994
8000.000000	73.808228	3.2507
8250.000000	71.874626	-5.8525
8500.000000	67.830795	-3.9868
8750.000000	63.905182	13.2619
9000.000000	61.311378	37.7726
9250.000000	59.932304	64.4143
9500.000000	59.462467	90.6530
9750.000000	59.714233	113.6616
10000.000000	60.294342	133.0301
10300.000000	61.113922	152.3037
10600.000000	61.365135	167.6101
10900.000000	61.239113	-177.4250
11200.000000	60.870903	-159.1015
11500.000000	60.721096	-138.6372
11800.000000	61.066044	-117.0118
