* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530. Timing signal peak level -32.9 dBFS, measurement signal peak level -28.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS Using an acoustic timing reference
* Dated: Jan 20, 2020 6:56:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.415 ms (142 mm, 5.6 in) using IR start time relative to Acoustic reference on  R with no timing offset
* Measurement: Shozy Form 1.4 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.454727	-129.9861
21.200001	84.573547	-131.0735
21.799999	84.678192	-131.9977
22.400000	84.787086	-132.9467
23.000000	84.902588	-134.0202
23.600000	85.018784	-135.2636
24.299999	85.137802	-136.8487
25.000000	85.240982	-138.3465
25.799999	85.373947	-139.8849
26.500000	85.496651	-141.2233
27.200001	85.600998	-142.4749
28.000000	85.715897	-143.6694
29.000000	85.871452	-145.1700
30.000000	85.974998	-146.8039
30.700001	86.022530	-147.8088
31.500000	86.088318	-148.9066
32.500000	86.172089	-150.4423
33.500000	86.244484	-151.9723
34.500000	86.327072	-153.5020
35.500000	86.397346	-154.9922
36.500000	86.472015	-156.3062
37.500000	86.547859	-157.6362
38.700001	86.604683	-159.1322
40.000000	86.666451	-160.6612
41.200001	86.700127	-162.0890
42.500000	86.758041	-163.8197
43.700001	86.726677	-165.3329
45.000000	86.802780	-166.5406
46.200001	86.828239	-168.1864
47.500000	86.867371	-169.3975
48.700001	86.897797	-170.8424
50.000000	86.895554	-172.0614
51.500000	86.918785	-173.4790
53.000000	86.924881	-175.0174
54.500000	86.918449	-176.4850
56.000000	86.931976	-177.8453
58.000000	86.953133	-179.8289
60.000000	86.949219	177.9114
61.500000	86.917168	177.0907
63.000000	86.923958	175.7833
65.000000	86.909546	174.3063
67.000000	86.879951	172.7498
69.000000	86.863556	171.2686
71.000000	86.862946	169.7758
73.000000	86.861015	168.1010
75.000000	86.871872	166.7590
77.500000	86.880005	164.7805
80.000000	86.864166	162.8775
82.500000	86.832855	160.9410
85.000000	86.785461	158.9926
87.500000	86.769722	157.0035
90.000000	86.716301	154.4239
92.500000	86.683258	153.3515
95.000000	86.656326	151.6926
97.500000	86.593605	150.0357
100.000000	86.546982	148.2236
103.000000	86.488487	146.1390
106.000000	86.417686	144.0745
109.000000	86.357132	142.0433
112.000000	86.292122	140.0985
115.000000	86.214790	138.1141
118.000000	86.142059	136.0746
122.000000	86.033875	133.5532
125.000000	85.977325	131.7778
128.000000	85.881927	129.9322
132.000000	85.776871	127.4716
136.000000	85.672585	125.0671
140.000000	85.568878	122.6971
145.000000	85.425240	119.6741
150.000000	85.297104	116.9578
155.000000	85.175438	114.0786
160.000000	85.054474	111.3447
165.000000	84.919022	108.5215
170.000000	84.796417	105.8044
175.000000	84.675507	103.0845
180.000000	84.553017	100.4732
185.000000	84.417274	97.7026
190.000000	84.322372	95.1049
195.000000	84.162598	92.3713
200.000000	84.073250	90.1503
206.000000	83.920456	86.7728
212.000000	83.822388	83.5266
218.000000	83.678078	80.3913
224.000000	83.563957	77.2999
230.000000	83.449097	74.2111
236.000000	83.325226	71.0656
243.000000	83.195175	67.4481
250.000000	83.061020	63.9348
258.000000	82.916519	59.9211
265.000000	82.782471	56.2764
272.000000	82.676773	52.7222
280.000000	82.538261	48.6270
290.000000	82.364746	43.5021
300.000000	82.204071	38.4700
307.000000	82.118797	34.7971
315.000000	82.002319	30.7153
325.000000	81.876747	25.6033
335.000000	81.748825	20.5275
345.000000	81.646271	15.2456
355.000000	81.536392	10.0489
365.000000	81.431122	4.7275
375.000000	81.346786	-0.5558
387.000000	81.220398	-7.0806
400.000000	81.100395	-14.0497
412.000000	80.988449	-20.5424
425.000000	80.883560	-27.6038
437.000000	80.760071	-34.2469
450.000000	80.666054	-41.3539
462.000000	80.564461	-48.0081
475.000000	80.461975	-55.2051
487.000000	80.383621	-61.9219
500.000000	80.291489	-69.1681
515.000000	80.217941	-77.7484
530.000000	80.110382	-86.2312
545.000000	80.028114	-94.7792
560.000000	79.936630	-103.4637
580.000000	79.819992	-115.0500
600.000000	79.725517	-126.8549
615.000000	79.634140	-135.6697
630.000000	79.562485	-144.5136
650.000000	79.426018	-156.4166
670.000000	79.257668	-168.0016
690.000000	79.238632	-178.3798
710.000000	79.389366	169.2405
730.000000	79.339958	156.4500
750.000000	79.271599	144.0488
775.000000	79.192596	128.6501
800.000000	79.126259	113.2277
825.000000	79.069618	97.8331
850.000000	79.038750	82.3467
875.000000	79.015045	66.8750
900.000000	79.009773	51.2832
925.000000	79.022652	35.8477
950.000000	79.053139	20.1120
975.000000	79.121544	4.3638
1000.000000	79.152718	-11.1948
1030.000000	79.346268	-30.5421
1060.000000	79.517075	-50.0303
1090.000000	79.724167	-69.7081
1120.000000	79.935165	-89.7872
1150.000000	80.187584	-110.1688
1180.000000	80.439758	-130.9497
1220.000000	80.763748	-159.1150
1250.000000	81.003967	179.3167
1280.000000	81.232635	157.5785
1320.000000	81.494583	128.1653
1360.000000	81.727386	98.5121
1400.000000	81.940887	68.5897
1450.000000	82.170273	30.9551
1500.000000	82.378471	-6.8743
1550.000000	82.565933	-44.9286
1600.000000	82.749580	-83.2657
1650.000000	82.930885	-121.7534
1700.000000	83.098053	-160.5338
1750.000000	83.269302	160.5461
1800.000000	83.446014	121.3019
1850.000000	83.617493	81.7898
1900.000000	83.789253	42.0541
1950.000000	83.949509	1.9847
2000.000000	84.106148	-38.4492
2060.000000	84.268265	-87.1271
2120.000000	84.404564	-136.2336
2180.000000	84.515022	174.2991
2240.000000	84.591301	124.5725
2300.000000	84.628021	74.7164
2360.000000	84.635796	24.6111
2430.000000	84.613754	-33.9360
2500.000000	84.552048	-92.6357
2580.000000	84.454414	-159.6958
2650.000000	84.353539	141.6025
2720.000000	84.250664	82.8936
2800.000000	84.137520	15.7961
2900.000000	84.014069	-68.1311
3000.000000	83.945129	-152.1877
3070.000000	83.922958	148.8757
3150.000000	83.937134	81.3374
3250.000000	84.025696	-3.3501
3350.000000	84.194778	-88.6455
3450.000000	84.442146	-174.5627
3550.000000	84.766624	98.6282
3650.000000	85.156647	10.6152
3750.000000	85.581078	-79.0020
3870.000000	86.030724	170.1299
4000.000000	84.991776	44.5264
4120.000000	84.701538	-54.9209
4250.000000	84.165817	-175.2957
4370.000000	83.089455	80.1833
4500.000000	82.755791	-27.0889
4620.000000	83.699379	-127.5515
4750.000000	85.292458	115.6973
4870.000000	86.358002	1.2969
5000.000000	86.682510	-124.9956
5150.000000	86.289497	91.1465
5300.000000	85.647629	-49.3462
5450.000000	85.111038	172.6465
5600.000000	84.811523	35.9082
5800.000000	84.868080	-145.6528
6000.000000	85.511581	32.2578
6150.000000	86.437042	-105.3457
6300.000000	87.801514	115.0820
6500.000000	90.334137	-76.6611
6700.000000	93.231781	78.7705
6900.000000	94.318771	-140.5181
7100.000000	92.867348	4.7939
7300.000000	91.204758	160.3892
7500.000000	90.234673	-42.4863
7750.000000	89.023010	56.1348
8000.000000	85.973335	153.8481
8250.000000	81.768600	-98.6948
8500.000000	77.996803	18.3281
8750.000000	75.016991	139.2222
9000.000000	72.702103	-98.5840
9250.000000	70.944832	23.7773
9500.000000	69.617081	145.4717
9750.000000	68.744171	-93.7324
10000.000000	68.170326	26.2920
10300.000000	67.986115	95.8848
10600.000000	68.121834	162.9688
10900.000000	68.671616	-133.5039
11200.000000	69.404381	-74.2500
11500.000000	70.018738	-19.4639
11800.000000	70.262985	32.3203
12200.000000	69.965866	-20.8213
12500.000000	69.449219	30.9180
12800.000000	69.101837	82.9512
13200.000000	68.836411	30.3906
13600.000000	68.428482	-22.4727
14000.000000	68.234612	-74.3926
14500.000000	68.941391	132.4307
15000.000000	70.925278	-25.0625
15500.000000	75.590202	163.5020
16000.000000	78.317780	-27.5830
16500.000000	78.921196	134.7646
17000.000000	78.402954	-54.8145
17500.000000	78.377342	110.0527
18000.000000	77.346756	-75.9238
18500.000000	78.067963	97.7188
19000.000000	79.321587	-104.7891
19500.000000	78.104385	40.5137
