* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530. Timing signal peak level -28.8 dBFS, measurement signal peak level -28.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS Using an acoustic timing reference
* Dated: Jan 20, 2020 6:55:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.468 ms (161 mm, 6.32 in) using IR start time relative to Acoustic reference on  R with no timing offset
* Measurement: Shozy Form 1.4 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.682648	-133.6734
21.200001	85.833786	-134.6337
21.799999	85.963509	-135.6647
22.400000	86.064842	-136.8295
23.000000	86.137215	-137.9872
23.600000	86.214455	-139.0286
24.299999	86.340927	-140.3145
25.000000	86.469658	-141.8721
25.799999	86.572601	-143.6341
26.500000	86.654953	-144.9098
27.200001	86.749832	-146.0794
28.000000	86.852905	-147.4029
29.000000	86.959724	-149.0101
30.000000	87.035934	-150.5591
30.700001	87.083115	-151.5498
31.500000	87.149742	-152.6770
32.500000	87.242249	-154.1898
33.500000	87.338486	-155.7562
34.500000	87.429726	-157.3658
35.500000	87.498123	-158.8854
36.500000	87.556564	-160.1972
37.500000	87.619072	-161.4399
38.700001	87.669327	-163.0471
40.000000	87.677185	-164.6386
41.200001	87.707001	-166.0306
42.500000	87.743309	-167.6256
43.700001	87.798859	-169.1876
45.000000	87.803963	-170.9068
46.200001	87.824364	-172.0479
47.500000	87.863113	-173.5024
48.700001	87.869789	-174.7865
50.000000	87.876335	-176.1981
51.500000	87.876389	-177.7512
53.000000	87.887848	-179.2797
54.500000	87.894295	179.1838
56.000000	87.885643	177.7672
58.000000	87.875381	175.9209
60.000000	87.822838	174.4344
61.500000	87.861557	172.8378
63.000000	87.834900	171.4421
65.000000	87.815613	169.6148
67.000000	87.817047	167.8706
69.000000	87.795563	166.2300
71.000000	87.766159	164.6258
73.000000	87.731018	162.9765
75.000000	87.683411	161.3962
77.500000	87.661743	159.4496
80.000000	87.609497	157.7034
82.500000	87.566452	155.8743
85.000000	87.556953	153.7992
87.500000	87.560997	151.9480
90.000000	87.700813	149.7087
92.500000	87.489334	148.2192
95.000000	87.396896	146.5217
97.500000	87.337791	144.5685
100.000000	87.285172	142.6888
103.000000	87.215675	140.6345
106.000000	87.136490	138.4572
109.000000	87.063263	136.3932
112.000000	86.990639	134.3849
115.000000	86.906090	132.3232
118.000000	86.843933	130.4476
122.000000	86.746712	127.8004
125.000000	86.639053	125.8525
128.000000	86.562248	123.9654
132.000000	86.452393	121.3634
136.000000	86.407867	119.0051
140.000000	86.239929	116.3944
145.000000	85.966179	113.7459
150.000000	85.817192	110.4794
155.000000	85.743225	107.3760
160.000000	85.629303	104.6020
165.000000	85.510452	101.7866
170.000000	85.377205	98.9614
175.000000	85.255997	96.0964
180.000000	85.132401	93.3585
185.000000	85.012787	90.6030
190.000000	84.885170	87.8477
195.000000	84.766800	85.0263
200.000000	84.649536	82.3418
206.000000	84.514481	79.0941
212.000000	84.381531	75.8329
218.000000	84.240913	72.5183
224.000000	84.121399	69.2852
230.000000	84.012802	66.0883
236.000000	83.872482	62.8659
243.000000	83.737167	59.1127
250.000000	83.605820	55.3389
258.000000	83.464806	51.0445
265.000000	83.332748	47.2016
272.000000	83.232491	43.5032
280.000000	83.094345	39.1452
290.000000	82.941681	33.7310
300.000000	82.803047	28.3299
307.000000	82.684097	24.5002
315.000000	82.566940	20.2350
325.000000	82.424576	14.8413
335.000000	82.317360	9.2477
345.000000	82.183380	3.8130
355.000000	82.062691	-1.7554
365.000000	81.947060	-7.3127
375.000000	81.840248	-12.8776
387.000000	81.715919	-19.5299
400.000000	81.574127	-26.8042
412.000000	81.481514	-33.6880
425.000000	81.367828	-41.0284
437.000000	81.271896	-47.8881
450.000000	81.176056	-55.3937
462.000000	81.076721	-62.3519
475.000000	80.980652	-70.0267
487.000000	80.912560	-77.0842
500.000000	80.823898	-84.8416
515.000000	80.729988	-93.7718
530.000000	80.632309	-102.7876
545.000000	80.539368	-111.8732
560.000000	80.462486	-120.9620
580.000000	80.360336	-133.1094
600.000000	80.259254	-145.3738
615.000000	80.180573	-154.6449
630.000000	80.104446	-163.9419
650.000000	80.018967	-176.3452
670.000000	79.935402	171.0300
690.000000	79.868393	158.3917
710.000000	79.765564	145.7176
730.000000	79.676552	132.9659
750.000000	79.603050	120.3441
775.000000	79.562523	104.5593
800.000000	79.516495	88.2983
825.000000	79.474884	71.8939
850.000000	79.397072	55.4940
875.000000	79.338043	39.1683
900.000000	79.269981	22.9255
925.000000	79.245483	6.6766
950.000000	79.247993	-9.5144
975.000000	79.280426	-25.8074
1000.000000	79.381622	-41.9523
1030.000000	79.469254	-62.0696
1060.000000	79.628265	-82.2052
1090.000000	79.814697	-102.6410
1120.000000	80.027336	-123.4086
1150.000000	80.248665	-144.5938
1180.000000	80.501900	-166.0896
1220.000000	80.823486	164.6821
1250.000000	81.041565	142.4048
1280.000000	81.254555	119.7844
1320.000000	81.512207	89.4319
1360.000000	81.736832	58.6923
1400.000000	81.940872	27.7244
1450.000000	82.146057	-11.2261
1500.000000	82.345108	-50.4109
1550.000000	82.524117	-89.7493
1600.000000	82.688309	-129.3164
1650.000000	82.846695	-169.1777
1700.000000	83.006805	150.7335
1750.000000	83.160561	110.4094
1800.000000	83.316101	69.8893
1850.000000	83.463516	29.0759
1900.000000	83.604881	-11.9260
1950.000000	83.742470	-53.2554
2000.000000	83.890533	-94.6865
2060.000000	84.016045	-145.0231
2120.000000	84.144104	164.4299
2180.000000	84.246407	113.5759
2240.000000	84.316917	62.4736
2300.000000	84.360092	11.1033
2360.000000	84.371567	-40.4683
2430.000000	84.354813	-100.7434
2500.000000	84.308784	-161.1990
2580.000000	84.229797	129.6484
2650.000000	84.138847	69.0637
2720.000000	84.050438	8.5176
2800.000000	83.940918	-60.8538
2900.000000	83.824257	-147.5730
3000.000000	83.747292	125.5588
3070.000000	83.706909	64.6279
3150.000000	83.702362	-5.1279
3250.000000	83.750511	-92.7295
3350.000000	83.865456	179.3042
3450.000000	84.056404	90.6780
3550.000000	84.291603	1.3125
3650.000000	84.586868	-89.0115
3750.000000	84.891182	179.5991
3870.000000	85.198982	68.0842
4000.000000	85.299675	-54.9260
4120.000000	84.926140	-169.2747
4250.000000	83.971039	69.0161
4370.000000	82.971298	-38.3606
4500.000000	82.644615	-149.8892
4620.000000	83.473259	105.8330
4750.000000	84.940628	-14.3857
4870.000000	85.928818	-131.5693
5000.000000	86.207687	99.0078
5150.000000	85.821259	-48.5879
5300.000000	85.175415	166.8633
5450.000000	84.607620	24.6333
5600.000000	84.243080	-116.3262
5800.000000	84.169029	56.4932
6000.000000	84.609154	-130.8472
6150.000000	85.335579	87.7559
6300.000000	86.448357	-55.0991
6500.000000	88.570389	110.2451
6700.000000	91.264946	-93.6089
6900.000000	93.255508	48.3711
7100.000000	92.870148	-174.1963
