* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 12, 2021 3:22:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GL12 Filter L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.703415	-115.5520
21.200001	81.796593	-117.1584
21.799999	81.849327	-118.6041
22.400000	81.901558	-119.9591
23.000000	81.949615	-121.3283
23.600000	81.982941	-122.6306
24.299999	82.026062	-123.9474
25.000000	82.091682	-125.1740
25.799999	82.152252	-126.5888
26.500000	82.174072	-127.7065
27.200001	82.197815	-128.7917
28.000000	82.239655	-130.2549
29.000000	82.286346	-132.1085
30.000000	82.326180	-133.6234
30.700001	82.321251	-134.6435
31.500000	82.293846	-135.7492
32.500000	82.317329	-137.1960
33.500000	82.348907	-138.6109
34.500000	82.362221	-139.4680
35.500000	82.371597	-140.6146
36.500000	82.345436	-141.8903
37.500000	82.379631	-143.0397
38.700001	82.356796	-144.3406
40.000000	82.390961	-145.2572
41.200001	82.427917	-146.5564
42.500000	82.434669	-147.5289
43.700001	82.407417	-148.7069
45.000000	82.428238	-149.5602
46.200001	82.472504	-150.3911
47.500000	82.452271	-151.6796
48.700001	82.407532	-152.6423
50.000000	82.439720	-153.3453
51.500000	82.436615	-154.4058
53.000000	82.435257	-155.3486
54.500000	82.441208	-156.1949
56.000000	82.449249	-157.0096
58.000000	82.420013	-157.9666
60.000000	82.443527	-159.2598
61.500000	82.443176	-160.0371
63.000000	82.428871	-160.6991
65.000000	82.415741	-161.6003
67.000000	82.411896	-162.4102
69.000000	82.419670	-163.2439
71.000000	82.407936	-164.0726
73.000000	82.397827	-164.8154
75.000000	82.399834	-165.5858
77.500000	82.380585	-166.1328
80.000000	82.381691	-167.3062
82.500000	82.350784	-168.1324
85.000000	82.347206	-168.8499
87.500000	82.328163	-169.6369
90.000000	82.312149	-170.2878
