* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 12, 2021 3:21:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GL12 Filter R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.775795	-125.9026
21.200001	81.894806	-127.2105
21.799999	81.978409	-128.6537
22.400000	82.009918	-129.8441
23.000000	82.024681	-130.5061
23.600000	82.076797	-130.9206
24.299999	82.176758	-131.8311
25.000000	82.237450	-133.4901
25.799999	82.214035	-135.4622
26.500000	82.204651	-136.4497
27.200001	82.280319	-137.0402
28.000000	82.359421	-138.0894
29.000000	82.281250	-139.5175
30.000000	82.248741	-140.5548
30.700001	82.306175	-141.4570
31.500000	82.369370	-142.4261
32.500000	82.373093	-143.6270
33.500000	82.239914	-144.7361
34.500000	82.236671	-145.4821
35.500000	82.344826	-146.9387
36.500000	82.344864	-147.8869
37.500000	82.348740	-148.5605
38.700001	82.297691	-149.6375
40.000000	82.355972	-150.5031
41.200001	82.365860	-151.3488
42.500000	82.403191	-152.2720
43.700001	82.386932	-153.4217
45.000000	82.381401	-154.1714
46.200001	82.407417	-155.2434
47.500000	82.345741	-156.2027
48.700001	82.336800	-156.4244
50.000000	82.288422	-158.1200
51.500000	82.309402	-158.3588
53.000000	82.385109	-158.9863
54.500000	82.366043	-159.6204
56.000000	82.373451	-160.4355
58.000000	82.343651	-161.3225
60.000000	82.335648	-162.0010
61.500000	82.339470	-162.7378
63.000000	82.340080	-163.3803
65.000000	82.360222	-164.1554
67.000000	82.333321	-164.9126
69.000000	82.332489	-165.6256
71.000000	82.324860	-166.5247
73.000000	82.321465	-166.9998
75.000000	82.307907	-167.6423
77.500000	82.329208	-168.1814
80.000000	82.294312	-169.0873
82.500000	82.269691	-169.7659
85.000000	82.269402	-170.3920
87.500000	82.257301	-171.1149
90.000000	82.184196	-171.7745
92.500000	82.233856	-172.2414
95.000000	82.216599	-172.8290
97.500000	82.191063	-173.3463
100.000000	82.204018	-173.8445
103.000000	82.183495	-174.4964
106.000000	82.171829	-175.0600
109.000000	82.169853	-175.7096
112.000000	82.169922	-176.1639
115.000000	82.146767	-176.5223
118.000000	82.190193	-177.2515
122.000000	82.171036	-177.7502
125.000000	82.109634	-178.3669
128.000000	82.104736	-178.8722
132.000000	82.097473	-179.3934
136.000000	82.081253	179.9960
140.000000	82.057693	179.4944
145.000000	82.055084	178.7303
150.000000	82.016998	178.1390
155.000000	82.022720	177.4190
160.000000	81.975021	176.9413
165.000000	81.944214	176.3055
170.000000	81.920006	175.7758
175.000000	81.897118	175.1500
180.000000	81.875366	174.6617
185.000000	81.836121	174.1560
190.000000	81.811127	173.6636
195.000000	81.778091	173.2218
200.000000	81.746399	172.7529
206.000000	81.718704	172.1744
