* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 23, 2024 10:04:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Galaxy Buds 3 Pro ANC L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 83.074 119.1301
20.287556 83.206 118.0309
20.434568 83.394 116.4470
20.582645 83.604 114.6467
20.731796 83.820 112.7439
20.882027 84.033 110.7787
21.033346 84.241 108.7655
21.185762 84.442 106.7166
21.339283 84.635 104.6448
21.493916 84.820 102.5642
21.649670 84.995 100.4944
21.806553 85.160 98.4503
21.964573 85.312 96.4492
22.123737 85.451 94.5034
22.284056 85.574 92.6182
22.445536 85.680 90.7961
22.608185 85.771 89.0309
22.772013 85.845 87.3129
22.937029 85.905 85.6292
23.103241 85.954 83.9647
23.270657 85.993 82.3071
23.439285 86.026 80.6471
23.609137 86.056 78.9812
23.780218 86.086 77.3134
23.952539 86.117 75.6534
24.126110 86.150 74.0156
24.300938 86.183 72.4176
24.477032 86.214 70.8736
24.654402 86.242 69.3961
24.833057 86.263 67.9898
25.013008 86.276 66.6537
25.194263 86.279 65.3805
25.376831 86.273 64.1579
25.560722 86.258 62.9729
25.745945 86.236 61.8123
25.932510 86.210 60.6674
26.120428 86.183 59.5342
26.309708 86.157 58.4144
26.500359 86.134 57.3152
26.692390 86.113 56.2456
26.885815 86.096 55.2158
27.080641 86.079 54.2330
27.276878 86.063 53.3009
27.474539 86.046 52.4183
27.673630 86.027 51.5803
27.874165 86.006 50.7794
28.076153 85.984 50.0079
28.279604 85.961 49.2595
28.484529 85.938 48.5305
28.690941 85.914 47.8202
28.898848 85.889 47.1304
29.108261 85.863 46.4638
29.319191 85.834 45.8232
29.531651 85.802 45.2106
29.745649 85.768 44.6265
29.961199 85.731 44.0707
30.178310 85.694 43.5426
30.396996 85.658 43.0417
30.617264 85.626 42.5675
30.839128 85.598 42.1184
31.062601 85.575 41.6913
31.287693 85.556 41.2796
31.514416 85.538 40.8741
31.742783 85.522 40.4640
31.972803 85.504 40.0386
32.204491 85.484 39.5921
32.437859 85.462 39.1250
32.672916 85.438 38.6471
32.909679 85.414 38.1750
33.148155 85.390 37.7312
33.388359 85.366 37.3361
33.630306 85.342 37.0041
33.874004 85.317 36.7397
34.119469 85.292 36.5356
34.366711 85.266 36.3761
34.615746 85.241 36.2399
34.866585 85.217 36.1081
35.119244 85.197 35.9668
35.373734 85.181 35.8082
35.630066 85.169 35.6304
35.888256 85.159 35.4327
36.148315 85.150 35.2137
36.410259 85.139 34.9703
36.674103 85.125 34.7013
36.939857 85.110 34.4113
37.207539 85.094 34.1163
37.477161 85.079 33.8427
37.748737 85.068 33.6214
38.022282 85.060 33.4794
38.297806 85.053 33.4278
38.575329 85.045 33.4545
38.854862 85.034 33.5278
39.136421 85.017 33.6043
39.420021 84.996 33.6441
39.705673 84.972 33.6270
39.993397 84.950 33.5572
40.283207 84.932 33.4598
40.575115 84.917 33.3692
40.869141 84.903 33.3118
41.165295 84.888 33.2941
41.463596 84.868 33.3040
41.764057 84.844 33.3194
42.066696 84.818 33.3220
42.371529 84.793 33.3105
42.678570 84.772 33.3031
42.987835 84.756 33.3289
43.299343 84.742 33.4144
43.613110 84.728 33.5712
43.929150 84.712 33.7886
44.247478 84.693 34.0354
44.568115 84.674 34.2713
44.891075 84.655 34.4606
45.216373 84.635 34.5839
45.544029 84.610 34.6442
45.874062 84.581 34.6658
46.206486 84.548 34.6861
46.541317 84.517 34.7433
46.878574 84.494 34.8609
47.218277 84.484 35.0393
47.560440 84.487 35.2584
47.905083 84.495 35.4919
48.252224 84.500 35.7247
48.601879 84.497 35.9597
48.954067 84.487 36.2112
49.308807 84.472 36.4866
49.666119 84.456 36.7736
50.026020 84.437 37.0411
50.388531 84.412 37.2577
50.753666 84.378 37.4136
51.121449 84.339 37.5293
51.491894 84.302 37.6425
51.865025 84.274 37.7840
52.240860 84.255 37.9607
52.619419 84.241 38.1626
53.000721 84.222 38.3845
53.384785 84.193 38.6419
53.771633 84.158 38.9615
54.161285 84.125 39.3538
54.553761 84.098 39.7930
54.949081 84.075 40.2296
55.347263 84.050 40.6267
55.748333 84.015 40.9906
56.152309 83.969 41.3650
56.559212 83.920 41.7943
56.969063 83.875 42.2872
57.381886 83.837 42.8131
57.797699 83.803 43.3322
58.216526 83.769 43.8259
58.638386 83.733 44.3004
59.063305 83.698 44.7664
59.491302 83.668 45.2228
59.922401 83.643 45.6605
60.356625 83.617 46.0737
60.793995 83.584 46.4603
61.234531 83.541 46.8111
61.678261 83.489 47.1134
62.125206 83.433 47.3781
62.575390 83.378 47.6624
63.028835 83.328 48.0513
63.485569 83.288 48.6004
63.945610 83.256 49.2893
64.408989 83.230 50.0365
64.875725 83.206 50.7627
65.345840 83.184 51.4404
65.819366 83.163 52.0824
66.296318 83.144 52.6956
66.776726 83.123 53.2589
67.260620 83.094 53.7550
67.748016 83.053 54.2153
68.238945 83.003 54.7176
68.733429 82.948 55.3241
69.231499 82.890 56.0165
69.733177 82.830 56.7035
70.238495 82.764 57.3051
70.747475 82.697 57.8356
71.260139 82.637 58.3965
71.776520 82.594 59.0814
72.296638 82.565 59.8870
72.820526 82.539 60.7247
73.348213 82.508 61.5095
73.879723 82.469 62.2290
74.415085 82.422 62.9349
74.954330 82.363 63.6913
75.497482 82.285 64.5408
76.044571 82.192 65.4977
76.595619 82.100 66.5473
77.150665 82.025 67.6380
77.709732 81.971 68.6811
78.272850 81.934 69.5868
78.840050 81.904 70.3242
79.411354 81.874 70.9578
79.986801 81.836 71.6033
80.566422 81.785 72.3324
81.150238 81.722 73.1415
81.738289 81.648 74.0206
82.330597 81.572 75.0079
82.927200 81.499 76.1230
83.528122 81.435 77.2751
84.133400 81.379 78.3312
84.743065 81.329 79.2820
85.357147 81.282 80.2462
85.975677 81.235 81.2886
86.598694 81.187 82.3305
87.226227 81.135 83.3084
87.858307 81.084 84.3087
88.494965 81.035 85.4469
89.136238 80.981 86.6694
89.782158 80.918 87.8131
90.432755 80.846 88.8299
91.088066 80.770 89.8456
91.748131 80.695 90.9834
92.412979 80.624 92.2273
93.082642 80.556 93.4917
93.757156 80.490 94.7450
94.436562 80.423 96.0163
95.120888 80.354 97.3268
95.810173 80.285 98.6779
96.504456 80.218 100.0769
97.203766 80.148 101.5227
97.908142 80.068 102.9756
98.617622 79.978 104.3763
99.332245 79.883 105.6962
100.052048 79.790 106.9634
100.777069 79.704 108.2428
101.507339 79.626 109.5811
102.242905 79.563 110.9672
102.983795 79.519 112.3835
103.730057 79.490 113.8657
104.481728 79.461 115.4242
105.238846 79.419 116.9587
106.001450 79.369 118.3814
106.769577 79.317 119.7560
107.543274 79.261 121.1865
108.322578 79.195 122.6756
109.107529 79.120 124.1907
109.898170 79.047 125.7389
110.694534 78.979 127.3231
111.496674 78.921 128.9224
112.304626 78.874 130.5184
113.118431 78.836 132.1092
113.938133 78.802 133.7337
114.763779 78.768 135.4578
115.595406 78.733 137.2863
116.433060 78.693 139.1102
117.276779 78.636 140.7987
118.126617 78.555 142.3642
118.982613 78.461 143.9580
119.844810 78.378 145.6760
120.713257 78.323 147.4840
121.587997 78.293 149.3163
122.469070 78.270 151.1171
123.356529 78.236 152.8597
124.250420 78.191 154.6022
125.150787 78.151 156.4358
126.057678 78.121 158.3581
126.971146 78.090 160.3018
127.891228 78.047 162.2629
128.817978 77.991 164.2623
129.751450 77.936 166.2339
130.691681 77.894 168.0839
131.638733 77.861 169.8084
132.592636 77.829 171.4960
133.553452 77.793 173.2323
134.521240 77.752 175.0431
135.496033 77.711 176.9341
136.477890 77.675 178.9178
137.466858 77.644 -179.0231
138.462997 77.620 -176.9244
139.466354 77.610 -174.7986
140.476990 77.607 -172.6996
141.494949 77.592 -170.7192
142.520279 77.559 -168.8342
143.553040 77.514 -166.9236
144.593277 77.467 -164.9379
145.641052 77.423 -162.9093
146.696426 77.391 -160.8664
147.759445 77.373 -158.8359
148.830170 77.362 -156.8485
149.908661 77.347 -154.9137
150.994965 77.320 -152.9740
152.089142 77.281 -150.9042
153.191238 77.238 -148.6287
154.301331 77.202 -146.2331
155.419464 77.179 -143.9216
156.545700 77.165 -141.8110
157.680099 77.151 -139.8464
158.822708 77.130 -137.9290
159.973602 77.100 -135.9783
161.132843 77.074 -133.9224
162.300476 77.062 -131.7636
163.476578 77.053 -129.5871
164.661194 77.024 -127.4372
165.854401 76.970 -125.2608
167.056244 76.906 -123.0096
168.266800 76.855 -120.7077
169.486130 76.822 -118.4058
170.714294 76.795 -116.1225
171.951355 76.763 -113.8343
173.197388 76.726 -111.4848
174.452454 76.688 -109.1062
175.716614 76.642 -106.8305
176.989929 76.587 -104.7117
178.272476 76.536 -102.6566
179.564316 76.505 -100.5153
180.865509 76.502 -98.2253
182.176132 76.514 -95.8801
183.496262 76.526 -93.5786
184.825958 76.523 -91.2997
186.165283 76.498 -88.9829
187.514313 76.459 -86.5868
188.873123 76.418 -84.1189
190.241776 76.373 -81.6180
191.620346 76.321 -79.1204
193.008911 76.266 -76.6645
194.407532 76.224 -74.2680
195.816284 76.201 -71.9313
197.235245 76.179 -69.6211
198.664490 76.136 -67.2787
200.104095 76.076 -64.9004
201.554138 76.017 -62.5104
203.014679 75.971 -60.0568
204.485809 75.937 -57.4720
205.967590 75.910 -54.8050
207.460114 75.885 -52.1866
208.963455 75.860 -49.6811
210.477692 75.835 -47.1906
212.002899 75.811 -44.5999
213.539154 75.784 -41.8973
215.086548 75.755 -39.1491
216.645157 75.720 -36.4520
218.215057 75.676 -33.8144
219.796341 75.615 -31.1804
221.389069 75.542 -28.4846
222.993347 75.470 -25.7088
224.609253 75.411 -22.9265
226.236862 75.370 -20.1857
227.876266 75.343 -17.4463
229.527557 75.319 -14.6910
231.190811 75.293 -11.9155
232.866119 75.259 -9.1157
234.553558 75.218 -6.2971
236.253235 75.174 -3.4658
237.965225 75.133 -0.6286
239.689621 75.099 2.1982
241.426514 75.068 5.0320
243.175995 75.041 7.8971
244.938141 75.012 10.7971
246.713058 74.976 13.7158
248.500839 74.933 16.6593
250.301575 74.888 19.6293
252.115356 74.847 22.6011
253.942291 74.812 25.5569
255.782455 74.781 28.5070
257.635956 74.747 31.4865
259.502899 74.708 34.5113
261.383362 74.664 37.5702
263.277466 74.618 40.6516
265.185272 74.573 43.7487
267.106903 74.531 46.8607
269.042480 74.492 49.9827
270.992065 74.459 53.1035
272.955780 74.429 56.2166
274.933716 74.397 59.3293
276.925995 74.361 62.4680
278.932709 74.327 65.6614
280.953979 74.299 68.9238
282.989899 74.275 72.2142
285.040558 74.248 75.4751
287.106079 74.217 78.7104
289.186554 74.183 81.9530
291.282104 74.149 85.2130
293.392853 74.119 88.4944
295.518890 74.093 91.8076
297.660339 74.067 95.1140
299.817322 74.042 98.3806
301.989929 74.015 101.6437
304.178284 73.984 104.9411
306.382477 73.949 108.2749
308.602661 73.913 111.6405
310.838928 73.878 115.0579
313.091400 73.846 118.5328
315.360199 73.818 122.0002
317.645416 73.796 125.4053
319.947205 73.779 128.8220
322.265686 73.761 132.3264
324.600952 73.737 135.8892
326.953156 73.705 139.4515
329.322388 73.669 142.9801
331.708801 73.633 146.4756
334.112488 73.597 149.9988
336.533600 73.563 153.6084
338.972260 73.531 157.2802
341.428589 73.505 160.9710
343.902710 73.481 164.6699
346.394775 73.454 168.3463
348.904907 73.425 171.9572
351.433228 73.400 175.5428
353.979858 73.377 179.1646
356.544952 73.356 -177.1651
359.128632 73.338 -173.4601
361.731018 73.325 -169.7320
364.352264 73.315 -165.9749
366.992523 73.302 -162.1943
369.651917 73.287 -158.4336
372.330566 73.268 -154.7256
375.028625 73.253 -151.0123
377.746246 73.245 -147.2158
380.483551 73.243 -143.3227
383.240692 73.239 -139.3481
386.017822 73.227 -135.3343
