* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 23, 2024 8:28:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Galaxy Buds 3 Pro L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 81.882 -45.6986
20.287556 81.905 -45.7515
20.434568 81.939 -45.8180
20.582645 81.979 -45.8802
20.731796 82.023 -45.9339
20.882027 82.069 -45.9851
21.033346 82.115 -46.0426
21.185762 82.160 -46.1174
21.339283 82.201 -46.2211
21.493916 82.239 -46.3620
21.649670 82.271 -46.5469
21.806553 82.296 -46.7783
21.964573 82.315 -47.0526
22.123737 82.326 -47.3624
22.284056 82.331 -47.6941
22.445536 82.332 -48.0290
22.608185 82.329 -48.3478
22.772013 82.324 -48.6273
22.937029 82.321 -48.8489
23.103241 82.319 -48.9962
23.270657 82.320 -49.0600
23.439285 82.326 -49.0404
23.609137 82.335 -48.9444
23.780218 82.349 -48.7890
23.952539 82.365 -48.5962
24.126110 82.383 -48.3900
24.300938 82.402 -48.1960
24.477032 82.421 -48.0331
24.654402 82.441 -47.9164
24.833057 82.462 -47.8514
25.013008 82.485 -47.8367
25.194263 82.511 -47.8648
25.376831 82.540 -47.9234
25.560722 82.574 -48.0012
25.745945 82.612 -48.0880
25.932510 82.653 -48.1797
26.120428 82.696 -48.2773
26.309708 82.737 -48.3865
26.500359 82.775 -48.5161
26.692390 82.805 -48.6729
26.885815 82.827 -48.8604
27.080641 82.838 -49.0739
27.276878 82.837 -49.3014
27.474539 82.825 -49.5238
27.673630 82.802 -49.7177
27.874165 82.771 -49.8602
28.076153 82.734 -49.9342
28.279604 82.694 -49.9326
28.484529 82.655 -49.8607
28.690941 82.619 -49.7376
28.898848 82.589 -49.5893
29.108261 82.567 -49.4472
29.319191 82.554 -49.3362
29.531651 82.548 -49.2723
29.745649 82.549 -49.2565
29.961199 82.553 -49.2778
30.178310 82.558 -49.3139
30.396996 82.562 -49.3416
30.617264 82.561 -49.3404
30.839128 82.555 -49.3001
31.062601 82.546 -49.2216
31.287693 82.533 -49.1175
31.514416 82.520 -49.0056
31.742783 82.510 -48.9049
31.972803 82.503 -48.8287
32.204491 82.499 -48.7808
32.437859 82.498 -48.7543
32.672916 82.495 -48.7346
32.909679 82.488 -48.7044
33.148155 82.474 -48.6477
33.388359 82.453 -48.5560
33.630306 82.425 -48.4294
33.874004 82.395 -48.2773
34.119469 82.366 -48.1147
34.366711 82.344 -47.9590
34.615746 82.331 -47.8259
34.866585 82.328 -47.7235
35.119244 82.332 -47.6508
35.373734 82.339 -47.5971
35.630066 82.343 -47.5443
35.888256 82.341 -47.4729
36.148315 82.328 -47.3652
36.410259 82.307 -47.2130
36.674103 82.279 -47.0200
36.939857 82.251 -46.8014
37.207539 82.226 -46.5813
37.477161 82.211 -46.3826
37.748737 82.206 -46.2190
38.022282 82.210 -46.0905
38.297806 82.217 -45.9821
38.575329 82.220 -45.8719
38.854862 82.213 -45.7395
39.136421 82.194 -45.5732
39.420021 82.163 -45.3735
39.705673 82.127 -45.1497
39.993397 82.095 -44.9131
40.283207 82.076 -44.6717
40.575115 82.072 -44.4279
40.869141 82.083 -44.1811
41.165295 82.099 -43.9324
41.463596 82.110 -43.6861
41.764057 82.109 -43.4462
42.066696 82.093 -43.2108
42.371529 82.069 -42.9684
42.678570 82.044 -42.7039
42.987835 82.027 -42.4125
43.299343 82.019 -42.1113
43.613110 82.017 -41.8384
43.929150 82.010 -41.6364
44.247478 81.990 -41.5210
44.568115 81.955 -41.4546
44.891075 81.910 -41.3510
45.216373 81.865 -41.1113
45.544029 81.830 -40.6771
45.874062 81.810 -40.0717
46.206486 81.805 -39.3998
46.541317 81.806 -38.7966
46.878574 81.807 -38.3539
47.218277 81.804 -38.0687
47.560440 81.796 -37.8525
47.905083 81.781 -37.5929
48.252224 81.758 -37.2253
48.601879 81.724 -36.7643
48.954067 81.676 -36.2789
49.308807 81.619 -35.8350
49.666119 81.565 -35.4510
50.026020 81.527 -35.0968
50.388531 81.510 -34.7352
50.753666 81.512 -34.3622
51.121449 81.520 -34.0096
51.491894 81.521 -33.7068
51.865025 81.506 -33.4401
52.240860 81.480 -33.1520
52.619419 81.452 -32.7834
53.000721 81.427 -32.3235
53.384785 81.407 -31.8207
53.771633 81.384 -31.3389
54.161285 81.352 -30.9009
54.553761 81.313 -30.4692
54.949081 81.276 -29.9826
55.347263 81.248 -29.4135
55.748333 81.234 -28.7939
56.152309 81.227 -28.1892
56.559212 81.222 -27.6472
56.969063 81.214 -27.1749
57.381886 81.202 -26.7550
57.797699 81.186 -26.3753
58.216526 81.156 -26.0306
58.638386 81.107 -25.6975
59.063305 81.041 -25.3166
59.491302 80.978 -24.8156
59.922401 80.942 -24.1674
60.356625 80.945 -23.4315
60.793995 80.971 -22.7283
61.234531 80.990 -22.1599
61.678261 80.980 -21.7476
62.125206 80.942 -21.4253
62.575390 80.896 -21.0790
63.028835 80.857 -20.6066
63.485569 80.831 -19.9651
63.945610 80.809 -19.1897
64.408989 80.791 -18.3813
64.875725 80.783 -17.6588
65.345840 80.788 -17.0849
65.819366 80.794 -16.6115
66.296318 80.781 -16.1016
66.776726 80.740 -15.4349
67.260620 80.682 -14.6150
67.748016 80.628 -13.7873
68.238945 80.589 -13.1311
68.733429 80.560 -12.7159
69.231499 80.536 -12.4523
69.733177 80.517 -12.1683
70.238495 80.505 -11.7269
70.747475 80.501 -11.0967
71.260139 80.500 -10.3376
71.776520 80.495 -9.5373
72.296638 80.485 -8.7486
72.820526 80.469 -7.9722
73.348213 80.448 -7.1908
73.879723 80.425 -6.4091
74.415085 80.400 -5.6499
74.954330 80.369 -4.9207
75.497482 80.332 -4.2128
76.044571 80.293 -3.5395
76.595619 80.258 -2.9363
77.150665 80.233 -2.3961
77.709732 80.216 -1.8345
78.272850 80.201 -1.1574
78.840050 80.177 -0.3544
79.411354 80.143 0.4952
79.986801 80.108 1.2871
80.566422 80.085 1.9544
81.150238 80.075 2.5044
81.738289 80.065 3.0309
82.330597 80.050 3.6568
82.927200 80.040 4.4275
83.528122 80.035 5.2783
84.133400 80.019 6.1319
84.743065 79.978 6.9842
85.357147 79.921 7.8560
85.975677 79.872 8.7259
86.598694 79.835 9.5612
87.226227 79.798 10.3763
87.858307 79.751 11.2033
88.494965 79.705 12.0300
89.136238 79.679 12.8073
89.782158 79.672 13.5085
90.432755 79.666 14.1677
91.088066 79.640 14.8687
91.748131 79.590 15.6795
92.412979 79.533 16.5795
93.082642 79.483 17.4680
93.757156 79.440 18.2664
94.436562 79.402 18.9886
95.120888 79.373 19.7052
95.810173 79.359 20.4752
96.504456 79.354 21.3215
97.203766 79.346 22.2425
97.908142 79.320 23.2268
98.617622 79.270 24.2405
99.332245 79.203 25.1985
100.052048 79.139 26.0164
100.777069 79.100 26.7518
101.507339 79.081 27.6131
102.242905 79.055 28.7241
102.983795 79.006 29.9493
103.730057 78.954 31.0429
104.481728 78.921 31.9016
105.238846 78.909 32.6143
106.001450 78.904 33.3499
106.769577 78.891 34.2236
107.543274 78.858 35.1880
108.322578 78.812 36.1095
109.107529 78.770 36.9780
109.898170 78.731 37.8914
110.694534 78.677 38.8635
111.496674 78.612 39.8394
112.304626 78.558 40.8401
113.118431 78.525 41.9194
113.938133 78.506 43.0339
114.763779 78.495 44.1068
115.595406 78.492 45.1434
116.433060 78.485 46.1523
117.276779 78.462 47.1290
118.126617 78.431 48.1621
118.982613 78.398 49.2964
119.844810 78.359 50.4117
120.713257 78.313 51.4266
121.587997 78.266 52.3911
122.469070 78.226 53.3733
123.356529 78.200 54.4232
124.250420 78.186 55.5613
125.150787 78.174 56.7594
126.057678 78.155 57.9534
126.971146 78.131 59.0886
127.891228 78.103 60.1821
128.817978 78.068 61.2724
129.751450 78.023 62.3311
130.691681 77.967 63.3460
131.638733 77.906 64.3972
132.592636 77.851 65.5502
133.553452 77.806 66.7837
134.521240 77.771 68.0632
135.496033 77.739 69.4010
136.477890 77.712 70.7886
137.466858 77.687 72.1222
138.462997 77.662 73.3176
139.466354 77.630 74.4471
140.476990 77.581 75.6137
141.494949 77.518 76.7986
142.520279 77.458 77.9834
143.553040 77.415 79.1985
144.593277 77.387 80.4263
145.641052 77.365 81.6609
146.696426 77.345 82.9060
147.759445 77.331 84.1316
148.830170 77.322 85.3491
149.908661 77.308 86.6004
150.994965 77.279 87.8938
152.089142 77.231 89.1935
153.191238 77.172 90.4803
154.301331 77.112 91.7959
155.419464 77.060 93.1775
156.545700 77.021 94.6187
157.680099 76.994 96.1058
158.822708 76.974 97.6107
159.973602 76.947 99.0633
161.132843 76.910 100.4507
162.300476 76.869 101.8235
163.476578 76.831 103.1896
164.661194 76.803 104.5018
165.854401 76.786 105.6841
167.056244 76.773 106.7509
168.266800 76.754 107.8568
169.486130 76.726 109.1204
170.714294 76.701 110.5236
171.951355 76.686 112.0172
173.197388 76.672 113.5961
174.452454 76.646 115.2114
175.716614 76.608 116.7969
176.989929 76.566 118.3411
178.272476 76.522 119.8308
179.564316 76.476 121.2239
180.865509 76.435 122.5425
182.176132 76.405 123.8575
183.496262 76.380 125.2213
184.825958 76.348 126.6587
186.165283 76.308 128.1892
187.514313 76.279 129.8060
188.873123 76.269 131.4572
190.241776 76.263 133.0570
191.620346 76.242 134.5883
193.008911 76.209 136.0967
194.407532 76.175 137.5785
195.816284 76.146 138.9737
197.235245 76.126 140.2531
198.664490 76.115 141.4954
200.104095 76.111 142.8422
201.554138 76.104 144.3460
203.014679 76.083 145.9595
204.485809 76.052 147.6108
205.967590 76.021 149.2496
207.460114 75.997 150.8613
208.963455 75.975 152.4176
210.477692 75.947 153.9135
212.002899 75.922 155.3963
213.539154 75.905 156.8959
215.086548 75.895 158.4062
216.645157 75.882 159.9365
218.215057 75.864 161.4780
219.796341 75.846 163.0246
221.389069 75.829 164.5955
222.993347 75.813 166.1734
224.609253 75.797 167.7511
226.236862 75.782 169.3332
227.876266 75.764 170.9140
229.527557 75.741 172.4984
231.190811 75.713 174.0700
232.866119 75.688 175.6020
234.553558 75.666 177.1013
236.253235 75.645 178.5991
237.965225 75.626 -179.8990
239.689621 75.618 -178.3888
241.426514 75.620 -176.8764
243.175995 75.619 -175.3658
244.938141 75.611 -173.8300
246.713058 75.595 -172.2424
248.500839 75.574 -170.6201
250.301575 75.551 -169.0123
252.115356 75.530 -167.4376
253.942291 75.513 -165.8619
255.782455 75.495 -164.2690
257.635956 75.477 -162.6799
259.502899 75.459 -161.1154
261.383362 75.443 -159.5491
263.277466 75.428 -157.9570
265.185272 75.411 -156.3699
267.106903 75.394 -154.8055
269.042480 75.379 -153.2328
270.992065 75.368 -151.6308
272.955780 75.358 -150.0266
274.933716 75.347 -148.4403
276.925995 75.334 -146.8527
278.932709 75.323 -145.2559
280.953979 75.311 -143.6700
282.989899 75.295 -142.1201
285.040558 75.276 -140.5945
287.106079 75.254 -139.0419
289.186554 75.232 -137.4425
291.282104 75.209 -135.8288
293.392853 75.184 -134.2437
295.518890 75.159 -132.6460
297.660339 75.137 -130.9590
299.817322 75.117 -129.2074
301.989929 75.092 -127.4726
304.178284 75.065 -125.7554
306.382477 75.046 -124.0410
308.602661 75.040 -122.3501
310.838928 75.041 -120.7173
313.091400 75.041 -119.1312
315.360199 75.035 -117.4961
317.645416 75.027 -115.7559
319.947205 75.024 -113.9808
322.265686 75.024 -112.2828
324.600952 75.027 -110.6954
326.953156 75.033 -109.1604
329.322388 75.043 -107.6226
331.708801 75.055 -106.0678
334.112488 75.064 -104.5020
336.533600 75.068 -102.9200
338.972260 75.069 -101.3107
341.428589 75.064 -99.6750
343.902710 75.050 -98.0123
346.394775 75.028 -96.3191
348.904907 75.006 -94.6270
351.433228 74.992 -92.9885
353.979858 74.990 -91.4029
356.544952 74.994 -89.8232
