* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 23, 2024 8:29:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Galaxy Buds 3 Pro R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 82.105 -71.9726
20.287556 82.119 -72.0834
20.434568 82.140 -72.2359
20.582645 82.165 -72.4016
20.731796 82.195 -72.5714
20.882027 82.228 -72.7491
21.033346 82.266 -72.9405
21.185762 82.306 -73.1495
21.339283 82.347 -73.3783
21.493916 82.387 -73.6245
21.649670 82.425 -73.8815
21.806553 82.457 -74.1414
21.964573 82.484 -74.3923
22.123737 82.503 -74.6225
22.284056 82.514 -74.8227
22.445536 82.518 -74.9845
22.608185 82.516 -75.1056
22.772013 82.513 -75.1880
22.937029 82.510 -75.2385
23.103241 82.511 -75.2703
23.270657 82.519 -75.2980
23.439285 82.536 -75.3387
23.609137 82.563 -75.4075
23.780218 82.600 -75.5147
23.952539 82.644 -75.6658
24.126110 82.691 -75.8583
24.300938 82.739 -76.0839
24.477032 82.780 -76.3304
24.654402 82.813 -76.5819
24.833057 82.832 -76.8249
25.013008 82.837 -77.0465
25.194263 82.827 -77.2400
25.376831 82.805 -77.4032
25.560722 82.775 -77.5391
25.745945 82.742 -77.6555
25.932510 82.712 -77.7611
26.120428 82.690 -77.8655
26.309708 82.680 -77.9741
26.500359 82.684 -78.0887
26.692390 82.701 -78.2061
26.885815 82.727 -78.3198
27.080641 82.758 -78.4229
27.276878 82.788 -78.5101
27.474539 82.812 -78.5812
27.673630 82.826 -78.6413
27.874165 82.828 -78.7010
28.076153 82.819 -78.7731
28.279604 82.804 -78.8704
28.484529 82.785 -78.9995
28.690941 82.768 -79.1588
28.898848 82.756 -79.3360
29.108261 82.752 -79.5090
29.319191 82.755 -79.6513
29.531651 82.763 -79.7375
29.745649 82.773 -79.7502
29.961199 82.782 -79.6854
30.178310 82.786 -79.5549
30.396996 82.787 -79.3830
30.617264 82.785 -79.2031
30.839128 82.782 -79.0496
31.062601 82.781 -78.9483
31.287693 82.783 -78.9126
31.514416 82.785 -78.9386
31.742783 82.785 -79.0094
31.972803 82.779 -79.0989
32.204491 82.761 -79.1829
32.437859 82.729 -79.2425
32.672916 82.685 -79.2710
32.909679 82.632 -79.2708
33.148155 82.580 -79.2513
33.388359 82.537 -79.2213
33.630306 82.511 -79.1845
33.874004 82.506 -79.1367
34.119469 82.520 -79.0677
34.366711 82.546 -78.9669
34.615746 82.573 -78.8283
34.866585 82.590 -78.6558
35.119244 82.590 -78.4610
35.373734 82.569 -78.2613
35.630066 82.532 -78.0716
35.888256 82.484 -77.8996
36.148315 82.436 -77.7436
36.410259 82.396 -77.5936
36.674103 82.367 -77.4390
36.939857 82.350 -77.2737
37.207539 82.338 -77.1015
37.477161 82.326 -76.9337
37.748737 82.310 -76.7824
38.022282 82.288 -76.6532
38.297806 82.264 -76.5391
38.575329 82.243 -76.4226
38.854862 82.230 -76.2837
39.136421 82.226 -76.1087
39.420021 82.229 -75.8991
39.705673 82.232 -75.6695
39.993397 82.229 -75.4384
40.283207 82.216 -75.2168
40.575115 82.194 -75.0010
40.869141 82.168 -74.7731
41.165295 82.145 -74.5146
41.463596 82.130 -74.2197
41.764057 82.121 -73.9034
42.066696 82.111 -73.5992
42.371529 82.091 -73.3435
42.678570 82.055 -73.1547
42.987835 82.003 -73.0246
43.299343 81.944 -72.9220
43.613110 81.892 -72.8055
43.929150 81.862 -72.6415
44.247478 81.858 -72.4170
44.568115 81.875 -72.1352
44.891075 81.896 -71.8016
45.216373 81.905 -71.4129
45.544029 81.895 -70.9598
45.874062 81.867 -70.4406
46.206486 81.833 -69.8766
46.541317 81.808 -69.3158
46.878574 81.800 -68.8145
47.218277 81.805 -68.4077
47.560440 81.811 -68.0875
47.905083 81.806 -67.8097
48.252224 81.783 -67.5218
48.601879 81.746 -67.1918
48.954067 81.705 -66.8216
49.308807 81.668 -66.4361
49.666119 81.639 -66.0585
50.026020 81.613 -65.6907
50.388531 81.586 -65.3122
50.753666 81.559 -64.8967
51.121449 81.537 -64.4310
51.491894 81.528 -63.9208
51.865025 81.531 -63.3819
52.240860 81.536 -62.8255
52.619419 81.531 -62.2527
53.000721 81.506 -61.6631
53.384785 81.468 -61.0678
53.771633 81.427 -60.4934
54.161285 81.397 -59.9709
54.553761 81.379 -59.5139
54.949081 81.364 -59.1042
55.347263 81.341 -58.6960
55.748333 81.306 -58.2376
56.152309 81.263 -57.6984
56.559212 81.223 -57.0846
56.969063 81.191 -56.4324
57.381886 81.165 -55.7826
57.797699 81.143 -55.1545
58.216526 81.125 -54.5428
58.638386 81.114 -53.9349
59.063305 81.111 -53.3298
59.491302 81.109 -52.7369
59.922401 81.097 -52.1576
60.356625 81.068 -51.5724
60.793995 81.025 -50.9527
61.234531 80.981 -50.2840
61.678261 80.946 -49.5728
62.125206 80.921 -48.8261
62.575390 80.899 -48.0316
63.028835 80.875 -47.1746
63.485569 80.847 -46.2803
63.945610 80.816 -45.4281
64.408989 80.786 -44.7036
64.875725 80.761 -44.1246
65.345840 80.744 -43.6209
65.819366 80.736 -43.0928
66.296318 80.731 -42.4901
66.776726 80.718 -41.8294
67.260620 80.692 -41.1451
67.748016 80.653 -40.4416
68.238945 80.612 -39.6968
68.733429 80.574 -38.8951
69.231499 80.545 -38.0401
69.733177 80.522 -37.1454
70.238495 80.505 -36.2311
70.747475 80.491 -35.3315
71.260139 80.473 -34.4759
71.776520 80.444 -33.6470
72.296638 80.406 -32.7727
72.820526 80.365 -31.7940
73.348213 80.332 -30.7445
73.879723 80.308 -29.7317
74.415085 80.286 -28.8218
74.954330 80.258 -27.9633
75.497482 80.224 -27.0560
76.044571 80.188 -26.0839
76.595619 80.153 -25.1370
77.150665 80.122 -24.2937
77.709732 80.095 -23.5254
78.272850 80.075 -22.7427
78.840050 80.066 -21.9017
79.411354 80.069 -21.0338
79.986801 80.078 -20.1835
80.566422 80.082 -19.3518
81.150238 80.072 -18.4978
81.738289 80.046 -17.5716
82.330597 80.011 -16.5569
82.927200 79.974 -15.4895
83.528122 79.934 -14.4089
84.133400 79.888 -13.2865
84.743065 79.839 -12.0554
85.357147 79.797 -10.7370
85.975677 79.768 -9.4673
86.598694 79.745 -8.3492
87.226227 79.717 -7.3249
87.858307 79.674 -6.2401
88.494965 79.616 -4.9919
89.136238 79.558 -3.5978
89.782158 79.514 -2.1721
90.432755 79.487 -0.8498
91.088066 79.464 0.3151
91.748131 79.436 1.3850
92.412979 79.403 2.4422
93.082642 79.372 3.4913
93.757156 79.346 4.5102
94.436562 79.323 5.5625
95.120888 79.301 6.7638
95.810173 79.282 8.1292
96.504456 79.269 9.5416
97.203766 79.251 10.9040
97.908142 79.219 12.2499
98.617622 79.174 13.6453
99.332245 79.127 15.0424
100.052048 79.087 16.3360
100.777069 79.047 17.5283
101.507339 78.997 18.7216
102.242905 78.937 19.9801
102.983795 78.878 21.3149
103.730057 78.831 22.7442
104.481728 78.797 24.2616
105.238846 78.769 25.8117
106.001450 78.744 27.3502
106.769577 78.720 28.8626
107.543274 78.698 30.3465
108.322578 78.680 31.8287
109.107529 78.664 33.3239
109.898170 78.642 34.7926
110.694534 78.606 36.2349
111.496674 78.556 37.7323
112.304626 78.497 39.3186
113.118431 78.439 40.9406
113.938133 78.394 42.5520
114.763779 78.373 44.1267
115.595406 78.369 45.6546
116.433060 78.362 47.2000
117.276779 78.336 48.8613
118.126617 78.286 50.6626
118.982613 78.224 52.5624
119.844810 78.171 54.5028
120.713257 78.132 56.3895
121.587997 78.100 58.1289
122.469070 78.068 59.7424
123.356529 78.028 61.3666
124.250420 77.973 63.0751
125.150787 77.913 64.7898
126.057678 77.868 66.4554
126.971146 77.846 68.1507
127.891228 77.834 69.9595
128.817978 77.817 71.9026
129.751450 77.785 73.9372
130.691681 77.745 75.9461
131.638733 77.702 77.8655
132.592636 77.659 79.7551
133.553452 77.615 81.6765
134.521240 77.567 83.6588
135.496033 77.515 85.7371
136.477890 77.467 87.8806
137.466858 77.429 89.9764
138.462997 77.402 91.9684
139.466354 77.379 93.9376
140.476990 77.348 95.9655
141.494949 77.310 98.0072
142.520279 77.268 100.0278
143.553040 77.224 102.1297
144.593277 77.170 104.4368
145.641052 77.107 106.9276
146.696426 77.047 109.4141
147.759445 77.001 111.7411
148.830170 76.966 113.9338
149.908661 76.935 116.0696
150.994965 76.904 118.2162
152.089142 76.873 120.4872
153.191238 76.843 122.8996
154.301331 76.815 125.3022
155.419464 76.785 127.5817
156.545700 76.747 129.7733
157.680099 76.699 131.9943
158.822708 76.644 134.3651
159.973602 76.597 136.9088
161.132843 76.565 139.5348
162.300476 76.546 142.1958
163.476578 76.525 144.8786
164.661194 76.484 147.5313
165.854401 76.422 150.1348
167.056244 76.361 152.6818
168.266800 76.321 155.1888
169.486130 76.302 157.7122
170.714294 76.286 160.2751
171.951355 76.260 162.8569
173.197388 76.226 165.4544
174.452454 76.188 168.0833
175.716614 76.152 170.7766
176.989929 76.123 173.5490
178.272476 76.097 176.3428
179.564316 76.064 179.1382
180.865509 76.018 -178.0032
182.176132 75.964 -175.0519
183.496262 75.913 -172.0409
184.825958 75.877 -169.0393
186.165283 75.861 -166.0981
187.514313 75.859 -163.2129
188.873123 75.858 -160.3736
190.241776 75.837 -157.5342
191.620346 75.796 -154.6193
193.008911 75.752 -151.6151
194.407532 75.720 -148.5352
195.816284 75.702 -145.4014
197.235245 75.693 -142.2427
198.664490 75.685 -139.1110
200.104095 75.676 -136.0418
201.554138 75.669 -132.9762
203.014679 75.666 -129.8318
204.485809 75.655 -126.6067
205.967590 75.624 -123.3323
207.460114 75.575 -120.0575
208.963455 75.528 -116.8345
210.477692 75.499 -113.6655
212.002899 75.486 -110.5014
213.539154 75.476 -107.2534
215.086548 75.450 -103.8662
216.645157 75.408 -100.3863
218.215057 75.360 -96.9146
219.796341 75.323 -93.4960
221.389069 75.303 -90.0697
222.993347 75.297 -86.5610
224.609253 75.295 -83.0001
226.236862 75.284 -79.4595
227.876266 75.264 -75.9870
229.527557 75.244 -72.5637
231.190811 75.228 -69.0769
232.866119 75.210 -65.4526
234.553558 75.190 -61.7155
236.253235 75.169 -57.9380
237.965225 75.149 -54.1993
239.689621 75.125 -50.5132
241.426514 75.100 -46.8676
243.175995 75.076 -43.2078
244.938141 75.057 -39.4596
246.713058 75.042 -35.5946
248.500839 75.030 -31.6439
250.301575 75.017 -27.6942
252.115356 74.999 -23.7826
253.942291 74.976 -19.8695
255.782455 74.952 -15.9210
257.635956 74.929 -11.9257
259.502899 74.910 -7.8882
261.383362 74.894 -3.8040
263.277466 74.876 0.3066
265.185272 74.858 4.4200
267.106903 74.836 8.5601
269.042480 74.813 12.7701
270.992065 74.791 17.0291
272.955780 74.770 21.2837
274.933716 74.753 25.5226
276.925995 74.736 29.7809
278.932709 74.719 34.0896
280.953979 74.707 38.4520
282.989899 74.698 42.8511
285.040558 74.694 47.2454
287.106079 74.690 51.6194
289.186554 74.682 55.9841
291.282104 74.667 60.3406
293.392853 74.645 64.7023
295.518890 74.613 69.1183
297.660339 74.575 73.6658
299.817322 74.540 78.3837
301.989929 74.516 83.2219
304.178284 74.500 88.0699
306.382477 74.482 92.8870
308.602661 74.458 97.6890
310.838928 74.429 102.4724
313.091400 74.402 107.2345
315.360199 74.379 112.0221
317.645416 74.360 116.9010
319.947205 74.338 121.8760
322.265686 74.305 126.9367
324.600952 74.264 132.0941
326.953156 74.225 137.3146
329.322388 74.195 142.5308
331.708801 74.176 147.7228
334.112488 74.165 152.9412
336.533600 74.158 158.2267
338.972260 74.154 163.5667
341.428589 74.151 168.9251
343.902710 74.151 174.2759
346.394775 74.153 179.6436
348.904907 74.155 -174.9283
351.433228 74.154 -169.4360
353.979858 74.148 -163.9131
