* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -49.1 dBFS, measurement signal peak level -30.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: Apr 4, 2022 4:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.2178 ms (-418 mm, -(1 ft 4.45 in)) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Buds Live Dynamic
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	74.171410	133.3376
21.200001	75.073761	128.5040
21.799999	75.671791	128.0745
22.400000	75.903175	128.1890
23.000000	76.167717	126.4436
23.600000	76.434929	123.3654
24.299999	76.832047	119.1560
25.000000	77.267822	117.8764
25.799999	77.426819	115.5158
26.500000	77.956970	112.3902
27.200001	78.095909	113.5106
28.000000	78.091270	112.0634
29.000000	78.984306	110.1519
30.000000	79.186775	107.1063
30.700001	79.490479	105.3127
31.500000	79.639091	103.0633
32.500000	79.799995	100.7738
33.500000	80.075554	98.9749
34.500000	80.325562	97.1487
35.500000	80.555061	95.4895
36.500000	80.849686	93.8041
37.500000	80.912155	92.5922
38.700001	81.133583	89.3578
40.000000	81.378891	88.1474
41.200001	81.567902	85.8755
42.500000	81.685349	84.6907
43.700001	81.807587	82.1992
45.000000	81.954758	80.3678
46.200001	82.041451	78.2955
47.500000	82.092140	76.3784
48.700001	82.299095	75.3726
50.000000	82.317863	72.8265
51.500000	82.343018	71.1945
53.000000	82.469604	68.8785
54.500000	82.545540	67.6354
56.000000	82.555534	64.8098
58.000000	82.602211	63.2070
60.000000	82.527710	61.9031
61.500000	82.567093	60.5197
63.000000	82.580544	58.7052
65.000000	82.564850	57.5504
67.000000	82.464409	56.7008
69.000000	82.474182	55.7970
71.000000	82.511520	54.4358
73.000000	82.470932	53.2440
75.000000	82.370964	52.5591
77.500000	82.350945	51.9515
80.000000	82.299652	51.4050
82.500000	82.306335	50.6547
85.000000	82.364578	49.4737
87.500000	82.301712	48.2260
90.000000	82.231178	47.6334
92.500000	82.133110	46.9516
95.000000	82.072464	47.1373
97.500000	81.899055	45.5821
100.000000	81.888748	45.1891
103.000000	81.718925	44.3952
106.000000	81.719086	43.2673
109.000000	81.563080	42.5883
112.000000	81.437477	42.2831
115.000000	81.183456	42.5635
118.000000	80.964645	42.6788
122.000000	80.810379	42.5764
125.000000	80.618454	42.8426
128.000000	80.427658	43.2634
132.000000	80.215698	43.9437
136.000000	79.985168	44.8002
140.000000	79.841438	45.7886
145.000000	79.630302	46.8013
150.000000	79.309204	48.2293
155.000000	79.113998	50.1305
160.000000	78.715256	51.5995
165.000000	78.590332	53.8786
170.000000	78.429497	56.1771
175.000000	78.207794	57.0424
180.000000	78.099937	59.4193
185.000000	77.835213	61.6093
190.000000	77.695625	63.4970
195.000000	77.433266	66.3178
200.000000	77.348190	68.2696
206.000000	77.204651	70.6346
212.000000	77.021187	73.8463
218.000000	76.863708	77.1413
224.000000	76.737961	79.5898
230.000000	76.679123	82.5206
236.000000	76.612053	85.7547
243.000000	76.435287	88.9102
250.000000	76.470596	93.0367
258.000000	76.398453	96.6201
265.000000	76.393410	100.2662
272.000000	76.234070	104.0115
280.000000	76.163795	107.7811
290.000000	76.171890	112.6024
300.000000	76.204361	117.4854
307.000000	76.163147	121.0583
315.000000	76.178062	124.6103
325.000000	76.276077	128.7288
335.000000	76.313637	133.3978
345.000000	76.358986	136.7626
355.000000	76.406143	139.1258
365.000000	76.245956	141.9617
375.000000	75.951279	145.8169
387.000000	75.691109	151.3477
400.000000	75.524460	157.8149
412.000000	75.455917	163.5652
425.000000	75.425194	170.1191
437.000000	75.393997	175.3316
450.000000	75.318611	-178.2621
462.000000	75.220490	-172.8215
475.000000	75.262794	-167.0922
487.000000	75.241814	-162.0180
500.000000	75.161758	-155.9230
515.000000	75.139542	-149.5126
530.000000	75.087234	-143.1660
545.000000	75.039154	-135.6062
560.000000	74.954559	-129.0860
580.000000	74.934967	-120.3889
600.000000	74.877991	-110.9935
615.000000	74.844467	-105.0265
630.000000	74.745255	-97.3206
650.000000	74.770889	-87.4873
670.000000	74.705673	-79.2131
690.000000	74.720024	-69.8948
710.000000	74.759514	-61.3875
730.000000	74.699112	-53.5984
750.000000	74.641731	-44.6998
775.000000	74.536011	-34.3382
800.000000	74.415634	-23.4042
825.000000	74.330261	-12.3714
850.000000	74.240166	-1.4187
875.000000	74.155701	9.7101
900.000000	74.047653	20.9211
925.000000	74.011337	32.9106
950.000000	74.000137	44.2531
975.000000	73.912071	55.4542
1000.000000	73.898521	67.0992
1030.000000	73.877167	80.3750
1060.000000	73.803055	93.4475
1090.000000	73.805992	107.3015
1120.000000	73.733734	120.6332
1150.000000	73.684082	134.1847
1180.000000	73.751747	147.6565
1220.000000	73.611824	165.0970
1250.000000	73.562675	178.5995
1280.000000	73.510239	-167.8962
1320.000000	73.313995	-149.9554
1360.000000	73.092239	-131.3931
1400.000000	72.928856	-112.7170
1450.000000	72.750511	-88.5281
1500.000000	72.656540	-64.1463
1550.000000	72.622299	-39.1360
1600.000000	72.643341	-14.5618
1650.000000	72.751396	10.3467
1700.000000	72.994774	34.9402
1750.000000	73.282951	59.8582
1800.000000	73.669601	83.7305
1850.000000	74.109474	107.7182
1900.000000	74.605942	131.0361
1950.000000	75.177803	154.3375
2000.000000	75.666817	176.6890
2060.000000	76.351524	-156.8545
2120.000000	77.053154	-130.8430
2180.000000	77.843689	-106.1519
2240.000000	78.493530	-81.7249
2300.000000	79.134598	-58.4772
2360.000000	79.612854	-36.0714
2430.000000	80.062607	-10.9275
2500.000000	80.165321	13.2664
2580.000000	80.023994	44.2814
2650.000000	79.739914	70.7723
2720.000000	79.196747	99.4365
2800.000000	78.995689	136.0398
2900.000000	79.290031	179.4507
3000.000000	79.623672	-139.6716
3070.000000	79.722832	-111.6545
3150.000000	79.702286	-79.5695
3250.000000	79.647293	-39.3977
3350.000000	79.527390	0.8270
3450.000000	79.304825	41.8983
3550.000000	79.124413	83.2233
3650.000000	78.913383	124.8076
3750.000000	78.783371	166.2965
3870.000000	78.634575	-143.8492
4000.000000	78.485756	-90.6586
4120.000000	78.334274	-42.1256
4250.000000	78.097519	8.3667
4370.000000	77.446060	53.1002
4500.000000	75.657890	103.3188
4620.000000	73.719414	157.5393
4750.000000	72.276062	-139.7102
4870.000000	71.470520	-80.8455
5000.000000	70.943634	-17.9548
5150.000000	70.459534	54.2893
5300.000000	70.047043	126.5020
5450.000000	69.735695	-160.2698
5600.000000	69.563545	-85.9526
5800.000000	69.811371	15.1226
6000.000000	70.938042	116.9453
6150.000000	72.427109	-168.2788
6300.000000	74.324867	-96.6797
6500.000000	77.307037	-6.0688
6700.000000	80.562416	76.0732
6900.000000	83.371796	148.2383
7100.000000	84.595100	-147.0059
7300.000000	84.140625	-78.8167
7500.000000	82.995422	-3.5327
7750.000000	81.741333	98.0767
8000.000000	80.938004	-156.1921
8250.000000	80.833015	-48.9741
8500.000000	81.282181	55.2192
8750.000000	81.482468	156.6675
9000.000000	81.721535	-101.7261
9250.000000	82.277008	-4.0913
9500.000000	82.084236	86.1719
9750.000000	80.313644	178.7632
10000.000000	77.989029	-80.4883
10300.000000	75.256943	47.6479
10600.000000	73.204269	-178.6455
10900.000000	71.794365	-43.9062
11200.000000	70.864746	90.7549
11500.000000	70.332664	-135.5776
11800.000000	70.040405	-2.8047
12200.000000	70.101242	171.4111
12500.000000	70.132202	-60.4609
12800.000000	70.088867	67.6172
13200.000000	70.813644	-120.3042
13600.000000	72.110001	41.0474
14000.000000	72.367012	-165.5161
14500.000000	71.791534	23.4009
15000.000000	69.071083	-150.6846
15500.000000	64.400131	40.9575
16000.000000	58.836952	-112.2065
16500.000000	53.251400	113.9961
17000.000000	51.440887	-6.9980
17500.000000	53.992378	-140.7676
18000.000000	57.901440	65.9009
18500.000000	62.382118	-110.3975
19000.000000	65.750046	44.1660
19500.000000	65.105972	-178.5605
