* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -49.6 dBFS, measurement signal peak level -32.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: Apr 4, 2022 3:59:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.1588 ms (-397 mm, -(1 ft 3.65 in)) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Galaxy Buds Live L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	74.094032	118.5073
21.200001	75.415710	114.3760
21.799999	75.683502	112.6143
22.400000	75.684151	109.6008
23.000000	76.160316	108.4621
23.600000	76.386871	107.3017
24.299999	76.527824	103.9129
25.000000	76.937714	102.9940
25.799999	77.520035	100.3669
26.500000	78.040894	96.3541
27.200001	78.075119	94.3626
28.000000	78.114555	92.7796
29.000000	78.686356	89.7073
30.000000	78.995003	87.7196
30.700001	78.991135	86.4943
31.500000	79.270363	84.4997
32.500000	79.440781	82.8665
33.500000	79.685898	80.6130
34.500000	79.871071	79.1203
35.500000	80.099632	76.6187
36.500000	80.276482	74.4212
37.500000	80.406647	72.7156
38.700001	80.819344	70.6568
40.000000	80.807053	68.2675
41.200001	80.876465	65.5930
42.500000	81.132927	64.3728
43.700001	81.114380	62.6136
45.000000	81.175880	60.4338
46.200001	81.345963	59.0356
47.500000	81.319542	56.3293
48.700001	81.126274	55.2964
50.000000	81.325577	54.6953
51.500000	81.284424	52.6476
53.000000	81.324944	51.0537
54.500000	81.238670	49.9821
56.000000	81.029732	48.8188
58.000000	81.185173	47.5225
60.000000	80.955833	46.5440
61.500000	80.954544	45.8283
63.000000	80.842789	44.7610
65.000000	80.932617	45.2477
67.000000	80.834908	44.4515
69.000000	80.844460	43.2726
71.000000	80.832329	43.3229
73.000000	80.808029	42.1501
75.000000	80.760231	43.2291
77.500000	80.857101	42.9400
80.000000	80.738266	41.8408
82.500000	80.812180	41.8527
85.000000	80.849251	41.1676
87.500000	80.805099	40.7517
90.000000	80.726456	40.8328
92.500000	80.772774	39.7974
95.000000	80.730087	39.6222
97.500000	80.636658	39.2718
100.000000	80.586815	37.9884
103.000000	80.438614	38.1521
106.000000	80.366913	37.5601
109.000000	80.354233	37.5095
112.000000	80.114426	36.3555
115.000000	79.914299	36.8973
118.000000	79.717674	37.2225
122.000000	79.491531	37.8814
125.000000	79.314407	38.1552
128.000000	79.163582	38.0379
132.000000	78.982552	39.6495
136.000000	78.715202	40.3702
140.000000	78.515945	42.0822
145.000000	78.122490	42.7553
150.000000	77.893585	45.1068
155.000000	77.539436	47.0438
160.000000	77.404984	48.9127
165.000000	77.176987	50.3426
170.000000	77.016426	52.8421
175.000000	76.820091	55.3218
180.000000	76.613335	57.4030
185.000000	76.509460	59.8773
190.000000	76.245750	62.7648
195.000000	76.158104	65.3138
200.000000	75.870979	68.3152
206.000000	75.770798	71.6648
212.000000	75.577812	74.9285
218.000000	75.538742	78.2164
224.000000	75.447510	82.0444
230.000000	75.452690	85.4948
236.000000	75.399254	88.9607
243.000000	75.335007	93.1608
250.000000	75.387405	96.9895
258.000000	75.350601	101.0731
265.000000	75.406982	105.3259
272.000000	75.462898	108.8149
280.000000	75.617905	113.1839
290.000000	75.705162	118.1645
300.000000	75.884499	123.6014
307.000000	76.022400	126.3545
315.000000	76.107597	129.7300
325.000000	76.249802	134.7603
335.000000	76.492317	138.2087
345.000000	76.786385	141.5629
355.000000	77.018280	143.4920
365.000000	76.947678	145.5448
375.000000	76.771515	148.7165
387.000000	76.656982	152.7334
400.000000	76.417671	158.9516
412.000000	76.406921	163.8285
425.000000	76.446228	169.5780
437.000000	76.441986	174.0391
450.000000	76.524460	178.9761
462.000000	76.533112	-176.2232
475.000000	76.535049	-171.9984
487.000000	76.594772	-167.3223
500.000000	76.558411	-162.3670
515.000000	76.576874	-157.3188
530.000000	76.550026	-151.3691
545.000000	76.454987	-146.0624
560.000000	76.397079	-140.8016
580.000000	76.274780	-133.2502
600.000000	76.144119	-125.9416
615.000000	75.979103	-119.6310
630.000000	75.979980	-115.1838
650.000000	75.815323	-106.5947
670.000000	75.633163	-98.3190
690.000000	75.444229	-90.3553
710.000000	75.348289	-81.4477
730.000000	75.118469	-73.6714
750.000000	74.971809	-65.2300
775.000000	74.720566	-54.7761
800.000000	74.513550	-43.9034
825.000000	74.300560	-32.3800
850.000000	74.173378	-21.3088
875.000000	73.994736	-9.7996
900.000000	73.893417	1.7128
925.000000	73.830116	12.7425
950.000000	73.726387	24.2724
975.000000	73.689926	35.5255
1000.000000	73.640289	46.4095
1030.000000	73.606415	59.7252
1060.000000	73.571838	73.0568
1090.000000	73.487007	86.0063
1120.000000	73.442162	98.9146
1150.000000	73.362892	111.9465
1180.000000	73.344795	125.2053
1220.000000	73.218964	141.9612
1250.000000	73.116226	154.7958
1280.000000	72.992401	168.0547
1320.000000	72.765732	-174.3080
1360.000000	72.616676	-156.4672
1400.000000	72.400421	-138.0925
1450.000000	72.206703	-114.7555
1500.000000	72.066689	-90.9138
1550.000000	71.982346	-66.6676
1600.000000	71.982330	-42.6631
1650.000000	72.106766	-18.5078
1700.000000	72.293137	5.6121
1750.000000	72.561569	29.6593
1800.000000	72.965584	53.0477
1850.000000	73.410431	76.2407
1900.000000	73.864769	98.7846
1950.000000	74.505600	121.0119
2000.000000	75.160583	142.6458
2060.000000	76.072090	168.1089
2120.000000	76.964310	-167.1698
2180.000000	77.925568	-143.2209
2240.000000	78.954033	-120.2297
2300.000000	79.887924	-98.1401
2360.000000	80.835663	-77.3964
2430.000000	81.757195	-53.9094
2500.000000	82.338974	-31.4500
2580.000000	82.957352	-4.1853
2650.000000	83.385681	17.8741
2720.000000	83.327103	40.9961
2800.000000	83.346802	70.1267
2900.000000	83.476089	107.2296
3000.000000	83.543419	144.1075
3070.000000	83.616852	169.9331
3150.000000	83.564903	-159.8115
3250.000000	83.457710	-121.4885
3350.000000	83.444244	-83.1667
3450.000000	83.105431	-43.9346
3550.000000	82.922310	-4.5269
3650.000000	82.809486	35.4241
3750.000000	82.615204	75.5487
3870.000000	82.567230	123.1094
4000.000000	82.364227	174.2429
4120.000000	82.374069	-140.2504
4250.000000	81.812195	-93.1008
4370.000000	80.664795	-48.3789
4500.000000	79.247276	1.9355
4620.000000	77.457573	52.8110
4750.000000	75.923416	111.7661
4870.000000	75.000092	167.3633
5000.000000	74.196152	-132.8813
5150.000000	73.287003	-64.3081
5300.000000	72.487411	4.8013
5450.000000	71.631409	75.3374
5600.000000	70.814491	147.8208
5800.000000	70.338593	-111.5332
6000.000000	71.057587	-9.6943
6150.000000	72.262299	64.4026
6300.000000	74.022118	135.1021
6500.000000	76.776337	-137.3535
6700.000000	79.764114	-58.7715
6900.000000	82.321968	9.7417
7100.000000	83.233864	70.8870
7300.000000	82.419327	135.4077
7500.000000	81.088196	-152.7783
7750.000000	79.593880	-55.7278
8000.000000	78.617462	45.0342
8250.000000	78.453461	147.2161
8500.000000	78.764542	-114.0132
8750.000000	78.999298	-17.8252
9000.000000	79.152359	78.1641
9250.000000	79.705009	171.5415
9500.000000	79.640167	-102.3447
9750.000000	78.177483	-16.9277
10000.000000	75.730179	75.8389
10300.000000	72.895271	-163.1255
10600.000000	70.891418	-36.5576
10900.000000	69.591988	91.3896
11200.000000	68.794296	-141.7339
11500.000000	68.198524	-15.0010
11800.000000	67.882874	110.6982
12200.000000	67.891495	-83.7705
12500.000000	67.787407	38.3003
12800.000000	67.489876	162.0049
13200.000000	68.344284	-30.3345
13600.000000	70.150978	126.7842
14000.000000	71.525826	-87.2461
14500.000000	71.664886	82.0630
15000.000000	67.969887	-108.9453
15500.000000	62.538750	75.9429
16000.000000	56.565041	-83.7061
16500.000000	50.894146	136.8501
17000.000000	49.317402	7.8711
17500.000000	51.900105	-135.3135
18000.000000	55.824291	61.0054
18500.000000	60.249161	-124.9102
19000.000000	63.623768	21.8320
19500.000000	63.244602	145.8042
