* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -51.3 dBFS, measurement signal peak level -33.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: Apr 4, 2022 4:01:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.2122 ms (-416 mm, -(1 ft 4.37 in)) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Buds Live Soft
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	72.302925	136.4715
21.200001	73.015617	133.1818
21.799999	73.862991	128.6246
22.400000	74.276566	126.6679
23.000000	74.124741	126.1621
23.600000	74.323578	123.3796
24.299999	75.117279	120.6748
25.000000	75.367798	119.5466
25.799999	75.647301	116.7587
26.500000	75.973694	116.0247
27.200001	76.006271	114.1437
28.000000	76.420715	111.0253
29.000000	76.569527	108.8526
30.000000	76.692322	107.8154
30.700001	77.177368	107.6177
31.500000	77.313339	105.4726
32.500000	77.328537	102.8477
33.500000	77.691589	102.7963
34.500000	78.000992	99.9472
35.500000	78.054962	98.7299
36.500000	78.258270	97.7881
37.500000	78.670670	96.9433
38.700001	78.955399	94.2963
40.000000	78.930130	92.3952
41.200001	79.338501	90.4011
42.500000	79.436867	88.1323
43.700001	79.704552	85.7591
45.000000	79.951164	84.3975
46.200001	79.959320	82.9636
47.500000	80.118919	81.4310
48.700001	80.193985	80.4726
50.000000	80.267227	77.3548
51.500000	80.443230	76.4828
53.000000	80.548561	74.8641
54.500000	80.697731	71.8092
56.000000	80.764496	69.5849
58.000000	81.048195	68.0445
60.000000	80.928978	63.9068
61.500000	80.939232	63.0393
63.000000	80.746025	62.2823
65.000000	80.976227	59.9515
67.000000	80.968155	60.0830
69.000000	81.020958	56.9495
71.000000	80.859352	57.7364
73.000000	80.992111	56.3499
75.000000	80.876640	54.5128
77.500000	80.656326	52.8286
80.000000	80.746490	53.0588
82.500000	80.554367	51.4608
85.000000	80.596909	51.5438
87.500000	80.589172	50.0106
90.000000	80.727531	48.4657
92.500000	80.609642	47.9554
95.000000	80.662773	45.9422
97.500000	80.499931	45.7127
100.000000	80.527733	44.6966
103.000000	80.309120	44.2844
106.000000	80.228180	43.2838
109.000000	80.031700	42.9729
112.000000	79.942947	42.4499
115.000000	79.795944	41.8569
118.000000	79.504471	41.7663
122.000000	79.282372	42.0211
125.000000	79.125931	42.4842
128.000000	78.884201	42.9007
132.000000	78.675674	43.0813
136.000000	78.449318	44.6012
140.000000	78.287323	44.9527
145.000000	77.924660	45.6897
150.000000	77.688583	48.0707
155.000000	77.350601	48.8619
160.000000	77.209549	50.6124
165.000000	76.892540	52.6955
170.000000	76.697998	54.2316
175.000000	76.545151	56.3930
180.000000	76.236374	58.3616
185.000000	76.059837	60.6991
190.000000	75.725403	62.6294
195.000000	75.641350	64.9150
200.000000	75.433548	67.1113
206.000000	75.276321	70.3562
212.000000	75.105911	73.2134
218.000000	74.964516	76.5343
224.000000	74.750877	79.7322
230.000000	74.713150	82.9389
236.000000	74.556496	85.7393
243.000000	74.450722	90.1165
250.000000	74.342270	93.3409
258.000000	74.266029	97.8002
265.000000	74.172592	101.8513
272.000000	74.165329	105.3297
280.000000	74.113358	109.4114
290.000000	74.084831	115.0374
300.000000	74.122124	119.6269
307.000000	74.161415	123.4818
315.000000	74.222664	127.5353
325.000000	74.325058	131.6964
335.000000	74.401413	136.2962
345.000000	74.514557	140.2421
355.000000	74.540932	142.3371
365.000000	74.369461	146.2761
375.000000	74.164200	150.2931
387.000000	73.969910	155.7242
400.000000	73.775490	162.6782
412.000000	73.732368	168.7296
425.000000	73.843842	174.6080
437.000000	73.828369	-179.4407
450.000000	73.717720	-172.9122
462.000000	73.701492	-167.2435
475.000000	73.649246	-161.2765
487.000000	73.655159	-155.9053
500.000000	73.633743	-149.5459
515.000000	73.567886	-142.8509
530.000000	73.624496	-136.0331
545.000000	73.724724	-129.6512
560.000000	73.719940	-122.5112
580.000000	73.708260	-113.3695
600.000000	73.719612	-103.9021
615.000000	73.785202	-97.1611
630.000000	73.810471	-90.7328
650.000000	73.821777	-81.2108
670.000000	73.906471	-72.0267
690.000000	73.988861	-63.6489
710.000000	74.153534	-55.0037
730.000000	74.148521	-47.1190
750.000000	74.180405	-39.3802
775.000000	74.160057	-28.7773
800.000000	74.125031	-17.6676
825.000000	74.057869	-7.4702
850.000000	74.088585	3.9681
875.000000	74.055969	14.1791
900.000000	73.935577	24.4155
925.000000	73.939987	35.7117
950.000000	73.938118	46.9409
975.000000	73.864227	57.6595
1000.000000	73.903465	68.7140
1030.000000	73.887733	82.0664
1060.000000	73.800354	94.8872
1090.000000	73.831551	107.6913
1120.000000	73.773636	120.6062
1150.000000	73.802605	133.1777
1180.000000	73.803207	146.4568
1220.000000	73.705482	163.1063
1250.000000	73.597885	176.2078
1280.000000	73.563782	-170.9359
1320.000000	73.375076	-153.3039
1360.000000	73.217087	-135.1377
1400.000000	73.007912	-117.0015
1450.000000	72.861145	-93.3616
1500.000000	72.682152	-69.3894
1550.000000	72.648148	-44.9040
1600.000000	72.684013	-20.5507
1650.000000	72.816841	4.0662
1700.000000	72.965111	28.3018
1750.000000	73.299965	52.6183
1800.000000	73.617676	76.1976
1850.000000	74.084259	100.0108
1900.000000	74.554558	123.1514
1950.000000	75.123466	146.0187
2000.000000	75.610252	167.8098
2060.000000	76.275955	-166.2511
2120.000000	76.945770	-140.7083
2180.000000	77.682159	-116.1770
2240.000000	78.402496	-92.1378
2300.000000	79.065056	-69.3391
2360.000000	79.620262	-47.3057
2430.000000	80.172249	-22.9094
2500.000000	80.257721	1.2845
2580.000000	80.319016	30.3566
2650.000000	80.129944	54.7755
2720.000000	79.754173	81.8391
2800.000000	79.417465	114.5385
2900.000000	79.409378	155.2853
3000.000000	79.430038	-165.1127
3070.000000	79.239830	-137.7463
3150.000000	79.042107	-106.2390
