* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630. Timing signal peak level -45.2 dBFS, measurement signal peak level -27.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: May 18, 2024 6:52:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 7.3113 ms (2.508 m, 8 ft 2.7 in) using IR start time relative to Acoustic reference played from 512kMeasSweep_20_to_20000_48k_PCM24_LR_refL.wav with no timing offset
* Measurement: Galaxy Buds Pro 2 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 87.748 -171.2892
20.507813 87.720 -172.7457
20.874023 87.682 -174.0984
21.240234 87.659 -175.4401
21.606445 87.658 -176.9066
21.972656 87.678 -178.5661
22.338867 87.711 179.6482
22.705078 87.745 177.9077
23.071289 87.755 176.3882
23.437500 87.719 175.1737
23.803711 87.630 174.2189
24.169922 87.517 173.3733
24.536133 87.438 172.4459
24.902344 87.441 171.3021
25.268555 87.533 169.9489
25.634766 87.659 168.5355
26.000977 87.737 167.2531
26.367188 87.708 166.2106
26.733399 87.567 165.3570
27.099610 87.372 164.4774
27.465821 87.213 163.2995
27.832032 87.159 161.7040
28.198243 87.217 159.8715
28.564454 87.336 158.1780
28.930665 87.443 156.9148
29.296876 87.492 156.0884
29.663087 87.481 155.4308
30.029298 87.435 154.5934
30.395509 87.384 153.4135
30.761720 87.344 152.0591
31.127931 87.313 150.9045
31.494142 87.284 150.2150
31.860353 87.256 149.9006
32.226563 87.228 149.5449
32.592774 87.195 148.6981
32.958985 87.146 147.2083
33.325196 87.075 145.3278
33.691407 86.986 143.5319
34.057618 86.898 142.2012
34.423829 86.833 141.4002
34.790040 86.803 140.9015
35.156251 86.802 140.4133
35.522462 86.808 139.7971
35.888673 86.801 139.0922
36.254884 86.774 138.3793
36.621095 86.731 137.6475
36.987306 86.679 136.7874
37.353517 86.620 135.6990
37.719728 86.558 134.3936
38.085939 86.497 132.9944
38.452150 86.451 131.6464
38.818361 86.426 130.4257
39.184572 86.418 129.3239
39.550783 86.411 128.3000
39.916994 86.391 127.3271
40.283205 86.357 126.3923
40.649416 86.325 125.4753
41.015627 86.307 124.5594
41.381838 86.300 123.6754
41.748049 86.282 122.9174
42.114260 86.233 122.3807
42.480471 86.154 122.0553
42.846682 86.069 121.7663
43.212893 86.008 121.2449
43.579103 85.988 120.3082
43.945314 85.997 118.9958
44.311525 86.013 117.5280
44.677736 86.014 116.1296
45.043947 85.997 114.8922
45.410158 85.970 113.7761
45.776369 85.939 112.7189
46.142580 85.905 111.7271
46.508791 85.860 110.8588
46.875002 85.810 110.1330
47.241213 85.765 109.4805
47.607424 85.733 108.8024
47.973635 85.706 108.0712
48.339846 85.666 107.3466
48.706057 85.596 106.6730
49.072268 85.504 105.9775
49.438479 85.422 105.1055
49.804690 85.388 104.0010
50.170901 85.418 102.8386
50.537112 85.486 101.9030
50.903323 85.543 101.2926
51.269534 85.545 100.7670
51.635745 85.480 99.9266
52.001956 85.373 98.6054
52.368167 85.277 97.1364
52.734378 85.227 96.1417
53.100589 85.227 95.8936
53.466800 85.242 95.8748
53.833011 85.221 95.1006
54.199222 85.146 93.0007
54.565432 85.051 90.1615
54.931643 84.993 88.2441
55.297854 85.008 88.7860
55.664065 85.119 91.7099
56.030276 85.292 95.0610
56.396487 85.390 96.4619
56.762698 85.298 94.7278
57.128909 85.070 90.4069
57.495120 84.861 85.5511
57.861331 84.770 82.4516
58.227542 84.795 81.7881
58.593753 84.890 82.2097
58.959964 84.973 81.8000
59.326175 84.981 79.7522
59.692386 84.925 76.8478
60.058597 84.837 74.7020
60.424808 84.737 74.4103
60.791019 84.638 75.6647
61.157230 84.540 77.0786
61.523441 84.429 77.3627
61.889652 84.323 76.2622
62.255863 84.270 74.5563
62.622074 84.292 73.2377
62.988285 84.351 72.6249
63.354496 84.384 72.2551
63.720707 84.342 71.5063
64.086918 84.232 70.2147
64.453129 84.108 68.7961
64.819340 84.025 67.8378
65.185551 84.004 67.5177
65.551762 84.025 67.4220
65.917972 84.057 66.9333
66.284183 84.081 65.7592
66.650394 84.096 64.1346
67.016605 84.098 62.5923
67.382816 84.067 61.5338
67.749027 83.980 60.9647
68.115238 83.851 60.5563
68.481449 83.727 59.9130
68.847660 83.667 58.8493
69.213871 83.693 57.5066
69.580082 83.764 56.2255
69.946293 83.807 55.2989
70.312504 83.774 54.8155
70.678715 83.681 54.6341
71.044926 83.591 54.4401
71.411137 83.558 53.8976
71.777348 83.582 52.8651
72.143559 83.612 51.4972
72.509770 83.593 50.1272
72.875981 83.516 49.0414
73.242192 83.420 48.2970
73.608403 83.355 47.6891
73.974614 83.332 46.9258
74.340825 83.308 45.8941
74.707036 83.233 44.7597
75.073247 83.099 43.8167
75.439458 82.956 43.2221
75.805669 82.877 42.8162
76.171880 82.892 42.2211
76.538091 82.958 41.1863
76.904301 82.992 39.8256
77.270512 82.945 38.5161
77.636723 82.830 37.5956
78.002934 82.715 37.0885
78.369145 82.658 36.6615
78.735356 82.659 35.9159
79.101567 82.667 34.7736
79.467778 82.628 33.5643
79.833989 82.537 32.7606
80.200200 82.442 32.5880
80.566411 82.396 32.7892
80.932622 82.405 32.7825
81.298833 82.421 32.1275
81.665044 82.390 30.8504
82.031255 82.308 29.3818
82.397466 82.228 28.2464
82.763677 82.214 27.7249
83.129888 82.285 27.7141
83.496099 82.390 27.9157
83.862310 82.440 28.1425
84.228521 82.378 28.4077
84.594732 82.216 28.7629
84.960943 82.035 29.0877
85.327154 81.927 29.0610
85.693365 81.942 28.4123
86.059576 82.056 27.2228
86.425787 82.202 25.9140
86.791998 82.312 24.9266
87.158209 82.357 24.4058
87.524420 82.351 24.1189
87.890631 82.337 23.6428
88.256841 82.351 22.7114
88.623052 82.408 21.4614
88.989263 82.488 20.3372
89.355474 82.550 19.7246
89.721685 82.557 19.6385
90.087896 82.503 19.6927
90.454107 82.409 19.3391
90.820318 82.322 18.2224
91.186529 82.289 16.4331
91.552740 82.332 14.4510
91.918951 82.436 12.7877
92.285162 82.566 11.6398
92.651373 82.694 10.8330
93.017584 82.808 10.0332
93.383795 82.902 9.0122
93.750006 82.965 7.7810
94.116217 82.986 6.5273
94.482428 82.960 5.4412
94.848639 82.900 4.5699
95.214850 82.841 3.7935
95.581061 82.812 2.9218
95.947272 82.823 1.8419
96.313483 82.853 0.5975
96.679694 82.869 -0.6612
97.045905 82.847 -1.7992
97.412116 82.790 -2.7943
97.778327 82.718 -3.7521
98.144538 82.656 -4.8304
98.510749 82.615 -6.1165
98.876960 82.591 -7.5453
99.243170 82.574 -8.9263
99.609381 82.560 -10.0669
99.975592 82.548 -10.9101
100.341803 82.540 -11.5913
100.708014 82.531 -12.3622
101.074225 82.515 -13.4237
101.440436 82.488 -14.7822
101.806647 82.461 -16.2309
102.172858 82.449 -17.4763
102.539069 82.458 -18.3362
102.905280 82.476 -18.8652
103.271491 82.480 -19.3115
103.637702 82.448 -19.9429
104.003913 82.377 -20.8828
104.370124 82.294 -22.0586
104.736335 82.234 -23.2786
105.102546 82.221 -24.3828
105.468757 82.246 -25.3524
105.834968 82.275 -26.2878
106.201179 82.271 -27.2904
106.567390 82.222 -28.3676
106.933601 82.148 -29.4348
107.299812 82.083 -30.4044
107.666023 82.052 -31.2827
108.032234 82.050 -32.1819
108.398445 82.047 -33.2229
108.764656 82.015 -34.4165
109.130867 81.950 -35.6260
109.497078 81.877 -36.6451
109.863289 81.831 -37.3489
110.229500 81.825 -37.8149
110.595710 81.840 -38.2989
110.961921 81.837 -39.0724
111.328132 81.793 -40.2522
111.694343 81.721 -41.7271
112.060554 81.664 -43.2069
112.426765 81.661 -44.3815
112.792976 81.713 -45.1134
113.159187 81.779 -45.5179
113.525398 81.801 -45.8677
113.891609 81.742 -46.4220
114.257820 81.614 -47.3000
114.624031 81.472 -48.4353
114.990242 81.382 -49.6212
115.356453 81.377 -50.6538
115.722664 81.437 -51.4802
116.088875 81.507 -52.2247
116.455086 81.533 -53.0743
116.821297 81.499 -54.1339
117.187508 81.430 -55.3480
117.553719 81.373 -56.5350
117.919930 81.365 -57.5259
118.286141 81.406 -58.3121
118.652352 81.458 -59.0640
119.018563 81.471 -59.9963
119.384774 81.413 -61.2006
119.750985 81.294 -62.5652
120.117196 81.156 -63.8307
120.483407 81.057 -64.7645
120.849618 81.031 -65.3520
121.215829 81.074 -65.8358
121.582040 81.144 -66.5398
121.948250 81.192 -67.6344
122.314461 81.192 -69.0297
122.680672 81.148 -70.4425
123.046883 81.088 -71.5771
123.413094 81.042 -72.3173
123.779305 81.024 -72.8037
124.145516 81.027 -73.3296
124.511727 81.033 -74.1325
124.877938 81.028 -75.2423
125.244149 81.011 -76.4804
125.610360 80.991 -77.5911
125.976571 80.975 -78.4133
126.342782 80.960 -78.9806
126.708993 80.937 -79.4843
127.075204 80.895 -80.1382
127.441415 80.836 -81.0436
127.807626 80.776 -82.1377
128.173837 80.738 -83.2480
128.540048 80.733 -84.2148
128.906259 80.757 -84.9988
129.272470 80.786 -85.6986
129.638681 80.791 -86.4747
130.004892 80.753 -87.4454
130.371103 80.675 -88.6199
130.737314 80.579 -89.8929
131.103525 80.498 -91.0984
131.469736 80.457 -92.0988
131.835947 80.464 -92.8639
132.202158 80.503 -93.4879
132.568369 80.546 -94.1323
132.934579 80.567 -94.9376
133.300790 80.553 -95.9544
133.667001 80.511 -97.1240
134.033212 80.461 -98.3134
134.399423 80.428 -99.3902
134.765634 80.427 -100.2969
135.131845 80.456 -101.0765
135.498056 80.497 -101.8297
135.864267 80.520 -102.6442
136.230478 80.503 -103.5551
136.596689 80.439 -104.5574
136.962900 80.340 -105.6432
137.329111 80.232 -106.8170
137.695322 80.149 -108.0687
138.061533 80.111 -109.3302
138.427744 80.123 -110.4742
138.793955 80.169 -111.3821
139.160166 80.222 -112.0323
139.526377 80.255 -112.5299
139.892588 80.252 -113.0462
140.258799 80.209 -113.7090
140.625010 80.136 -114.5234
140.991221 80.052 -115.3849
141.357432 79.983 -116.1777
141.723643 79.948 -116.8864
142.089854 79.951 -117.6187
142.456065 79.980 -118.5186
142.822276 80.011 -119.6449
143.188487 80.016 -120.9264
143.554698 79.983 -122.2177
143.920909 79.915 -123.3956
144.287119 79.835 -124.4177
144.653330 79.772 -125.3128
145.019541 79.742 -126.1284
145.385752 79.743 -126.8948
145.751963 79.752 -127.6354
146.118174 79.747 -128.3954
146.484385 79.721 -129.2395
146.850596 79.692 -130.2018
147.216807 79.686 -131.2365
147.583018 79.718 -132.2296
147.949229 79.771 -133.0847
148.315440 79.809 -133.8098
148.681651 79.799 -134.5202
149.047862 79.736 -135.3582
149.414073 79.650 -136.3925
149.780284 79.587 -137.5704
150.146495 79.576 -138.7648
150.512706 79.605 -139.8828
150.878917 79.635 -140.9351
151.245128 79.628 -141.9980
151.611339 79.579 -143.1221
151.977550 79.514 -144.2690
152.343761 79.466 -145.3307
152.709972 79.449 -146.2103
153.076183 79.442 -146.8937
153.442394 79.413 -147.4440
153.808605 79.351 -147.9502
154.174816 79.278 -148.4895
154.541027 79.234 -149.1324
154.907238 79.248 -149.9531
155.273448 79.310 -151.0077
155.639659 79.379 -152.2864
156.005870 79.413 -153.6883
156.372081 79.397 -155.0510
156.738292 79.348 -156.2283
157.104503 79.299 -157.1771
157.470714 79.269 -157.9858
157.836925 79.261 -158.8036
158.203136 79.259 -159.7217
158.569347 79.250 -160.7091
158.935558 79.229 -161.6537
159.301769 79.199 -162.4658
159.667980 79.162 -163.1530
160.034191 79.122 -163.8094
160.400402 79.084 -164.5358
160.766613 79.057 -165.3679
161.132824 79.052 -166.2702
161.499035 79.066 -167.1927
161.865246 79.080 -168.1250
162.231457 79.066 -169.0974
162.597668 79.010 -170.1346
162.963879 78.920 -171.2158
163.330090 78.832 -172.2805
163.696301 78.784 -173.2767
164.062512 78.793 -174.2047
164.428723 78.843 -175.1044
