* Measurement data measured by REW V5.20 Beta 15
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -32.4 dBFS, measurement signal peak level -32.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  Using an acoustic timing reference
* Dated: Jul 21, 2019 9:07:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.702 ms (-241 mm, -9.48 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Galaxy Buds - Treble
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.174061	-121.2703
20.600000	62.274368	-122.7779
21.200001	62.378780	-123.8086
21.799999	62.520729	-125.0749
22.400000	62.624241	-126.5315
23.000000	62.719246	-127.5962
23.600000	62.899326	-128.4572
24.299999	63.156868	-130.1297
25.000000	63.269829	-132.1104
25.799999	63.275719	-133.0216
26.500000	63.398861	-132.9794
27.200001	63.592152	-133.5298
28.000000	63.701843	-134.6263
29.000000	63.785645	-135.4342
30.000000	63.896324	-136.5956
30.700001	63.945221	-137.3080
31.500000	64.057999	-138.1716
32.500000	64.103455	-139.5228
33.500000	64.234329	-139.4551
34.500000	64.516861	-141.3613
35.500000	64.310471	-143.3571
36.500000	64.199081	-142.3766
37.500000	64.408989	-142.5419
38.700001	64.535133	-145.0308
40.000000	64.259727	-146.5888
41.200001	64.463814	-145.2900
42.500000	64.824509	-147.2012
43.700001	64.891815	-148.2380
45.000000	64.856903	-149.2702
46.200001	64.778008	-148.6913
47.500000	64.810036	-149.3643
48.700001	64.816956	-149.6929
50.000000	64.813095	-152.0489
51.500000	64.586288	-151.5572
53.000000	64.740211	-150.9202
54.500000	64.754959	-151.4934
56.000000	64.689880	-151.2816
58.000000	64.684608	-152.5809
60.000000	63.332779	-155.6364
61.500000	64.452835	-150.1118
63.000000	64.603455	-152.7146
65.000000	64.933022	-153.9670
67.000000	64.824951	-152.8111
69.000000	64.872551	-152.2696
71.000000	65.019226	-152.3550
73.000000	64.929695	-153.1732
75.000000	64.987885	-152.3431
77.500000	65.142426	-153.0708
80.000000	64.986893	-152.2194
82.500000	65.071060	-151.8924
85.000000	65.088982	-152.2677
87.500000	65.032997	-151.7494
90.000000	65.211571	-151.0774
92.500000	65.210861	-150.8943
95.000000	65.259949	-151.3056
97.500000	65.197067	-151.4705
100.000000	65.160439	-151.1030
103.000000	65.237206	-151.0371
106.000000	65.320335	-150.5589
109.000000	65.393425	-150.2989
112.000000	65.365387	-149.9212
115.000000	65.464111	-149.9610
118.000000	65.511192	-149.0472
122.000000	65.604500	-149.1118
125.000000	65.581833	-149.2596
128.000000	65.701584	-148.3824
132.000000	65.821228	-148.7711
136.000000	65.818871	-148.5654
140.000000	65.800018	-148.5500
145.000000	65.935524	-147.4663
150.000000	65.996590	-146.8773
155.000000	65.997154	-146.2784
160.000000	66.119995	-146.8810
165.000000	66.210304	-146.1249
170.000000	66.178352	-145.5856
175.000000	66.379974	-145.6030
180.000000	66.382149	-143.9752
185.000000	66.307831	-144.0638
190.000000	66.424591	-143.9743
195.000000	66.283463	-142.7662
200.000000	66.499687	-143.0511
206.000000	66.389984	-142.0550
212.000000	66.410233	-141.1981
218.000000	66.379326	-141.0551
224.000000	66.412621	-140.3228
230.000000	66.459869	-139.4170
236.000000	66.427216	-139.0420
243.000000	66.434174	-137.1408
250.000000	66.407097	-136.1606
258.000000	66.639694	-134.6561
265.000000	66.663589	-133.9434
272.000000	66.648354	-133.1942
280.000000	66.715569	-132.6107
