* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep With no timing reference
* Dated: Feb 17, 2020 7:21:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Galaxy Buds+ Dynamic
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.289360	43.4978
20.600000	79.391129	42.5112
21.200001	79.410522	41.8922
21.799999	79.432777	41.5731
22.400000	79.473969	41.0417
23.000000	79.482727	40.2304
23.600000	79.458588	39.4729
24.299999	79.453125	38.6748
25.000000	79.452423	37.6337
25.799999	79.393593	36.7039
26.500000	79.398529	36.5271
27.200001	79.506241	36.1268
28.000000	79.589470	35.0435
29.000000	79.590782	34.1113
30.000000	79.604042	33.3145
30.700001	79.565804	32.8184
31.500000	79.545212	32.5375
32.500000	79.530655	31.6387
33.500000	79.403534	31.0236
34.500000	79.373703	30.9614
35.500000	79.387253	30.2962
36.500000	79.331276	29.5776
37.500000	79.269913	29.3297
38.700001	79.249863	28.8438
40.000000	79.113472	28.5673
41.200001	79.079216	28.5658
42.500000	78.985176	28.2208
43.700001	78.881058	27.8810
45.000000	78.780518	28.2330
46.200001	78.788033	27.7232
47.500000	78.655922	27.4058
48.700001	78.550270	27.6699
50.000000	78.626350	28.3781
51.500000	78.531013	26.9093
53.000000	78.288773	28.5304
54.500000	78.229683	29.1952
56.000000	78.268730	31.2055
58.000000	78.173248	29.5693
60.000000	77.997147	30.2539
61.500000	77.848679	29.9461
63.000000	77.678741	30.1686
65.000000	77.647896	30.5146
67.000000	77.568886	30.7779
69.000000	77.462288	31.0906
71.000000	77.351074	31.5440
73.000000	77.086288	32.5616
75.000000	77.022400	33.3858
77.500000	76.869247	33.6203
80.000000	76.730896	34.9663
82.500000	76.577942	35.7574
85.000000	76.359756	37.0584
87.500000	76.168381	38.2876
90.000000	76.081108	38.9868
92.500000	75.955292	39.8701
95.000000	75.772888	41.0012
97.500000	75.679192	42.1984
100.000000	75.552223	43.3251
103.000000	75.357964	45.1012
106.000000	75.188522	46.2505
109.000000	75.048561	48.0165
112.000000	74.959579	49.0113
115.000000	74.818649	50.5063
118.000000	74.714760	52.0649
122.000000	74.486343	54.1507
125.000000	74.343102	55.9845
128.000000	74.195770	57.4753
132.000000	74.111794	59.2026
136.000000	73.909348	61.7075
140.000000	73.741730	63.5212
145.000000	73.534607	66.5462
150.000000	73.362854	69.1082
155.000000	73.239883	71.6013
160.000000	72.908150	74.6770
165.000000	72.797935	76.9067
170.000000	72.730789	78.9277
175.000000	72.506516	82.3150
180.000000	72.254654	84.9913
185.000000	72.262077	87.8346
190.000000	72.118141	90.2395
195.000000	71.957703	93.4006
200.000000	71.812538	95.8618
206.000000	71.632385	99.0530
212.000000	71.533676	102.2115
218.000000	71.376724	105.9676
224.000000	71.213493	109.2012
230.000000	71.068947	112.6818
236.000000	70.956604	116.2790
243.000000	71.021820	121.0638
250.000000	70.948143	124.0975
258.000000	70.917450	128.1782
265.000000	70.862671	130.7013
272.000000	70.717072	133.9430
280.000000	70.589012	137.7298
290.000000	70.521263	142.7084
300.000000	70.408142	147.2254
307.000000	70.301315	150.2471
315.000000	70.116737	154.2321
325.000000	69.973495	158.7885
335.000000	69.904785	163.0049
345.000000	69.715103	168.3249
355.000000	69.701225	172.3003
365.000000	69.559219	176.7234
375.000000	69.478577	-178.5373
387.000000	69.328903	-172.9543
400.000000	69.196075	-167.0859
412.000000	69.123970	-161.8770
425.000000	69.013741	-155.9014
437.000000	68.904480	-151.0588
450.000000	68.858688	-145.3898
462.000000	68.781006	-140.8849
475.000000	68.689789	-135.1754
487.000000	68.662834	-129.9292
500.000000	68.575264	-124.5631
515.000000	68.495171	-118.6669
530.000000	68.410904	-113.1037
545.000000	68.254395	-106.9150
560.000000	68.192230	-100.7755
580.000000	68.169327	-92.8831
600.000000	68.048637	-85.8512
615.000000	67.960915	-79.7972
630.000000	67.985031	-73.8858
650.000000	67.931160	-66.4006
670.000000	67.827980	-59.2202
690.000000	67.767914	-51.7003
710.000000	67.742592	-44.2553
730.000000	67.721863	-37.3241
750.000000	67.777542	-29.7894
775.000000	67.687225	-21.3776
800.000000	67.582153	-12.6688
825.000000	67.658310	-3.9630
850.000000	67.623001	5.0311
875.000000	67.661880	13.1008
900.000000	67.692688	21.8401
925.000000	67.811043	30.1734
950.000000	67.905861	38.9399
975.000000	68.039017	46.7709
1000.000000	68.346603	55.5901
1030.000000	68.462227	64.2904
1060.000000	68.746017	73.2682
1090.000000	69.072472	82.0207
1120.000000	69.386948	89.8842
1150.000000	69.743492	96.9791
1180.000000	69.956459	103.7183
1220.000000	70.167641	112.9922
1250.000000	70.297340	120.0583
1280.000000	70.468864	127.0827
1320.000000	70.745033	136.1562
1360.000000	71.019180	144.8041
1400.000000	71.318748	153.1952
1450.000000	71.593033	163.5899
1500.000000	71.843231	173.2062
1550.000000	72.107689	-177.0708
1600.000000	72.337791	-167.7469
1650.000000	72.629074	-158.4534
1700.000000	72.843536	-149.5095
1750.000000	73.142326	-140.8417
1800.000000	73.409218	-132.4987
1850.000000	73.751396	-124.2000
1900.000000	74.044662	-116.2064
1950.000000	74.361061	-108.3849
2000.000000	74.747719	-101.3278
2060.000000	75.051102	-92.6312
2120.000000	75.515236	-84.4630
2180.000000	75.919144	-76.9243
2240.000000	76.385445	-69.7085
2300.000000	76.881256	-62.8901
2360.000000	77.331444	-57.0673
2430.000000	77.797211	-50.4424
2500.000000	78.334183	-44.8475
2580.000000	78.878105	-39.3632
2650.000000	79.245308	-35.0294
2720.000000	79.570724	-31.6682
2800.000000	79.779167	-28.5449
2900.000000	79.886116	-25.2086
3000.000000	79.806488	-21.4648
3070.000000	79.687592	-18.9598
3150.000000	79.437859	-15.5515
3250.000000	79.170471	-10.8580
3350.000000	78.738510	-5.9507
3450.000000	78.451988	-0.3649
3550.000000	78.170464	5.4631
3650.000000	77.906174	11.0331
3750.000000	77.747032	16.2488
3870.000000	77.659698	22.6915
4000.000000	77.726273	28.9813
4120.000000	77.830986	34.4167
4250.000000	78.071175	39.1017
4370.000000	78.414978	42.4616
4500.000000	78.696037	44.2150
4620.000000	78.935471	44.7997
4750.000000	79.098778	43.8271
4870.000000	79.099380	42.1419
5000.000000	78.793159	40.1931
5150.000000	78.412720	38.8292
5300.000000	77.932785	38.4230
5450.000000	77.504349	38.6930
5600.000000	77.214264	39.3709
5800.000000	77.120071	40.2972
6000.000000	77.324196	40.9516
6150.000000	77.657486	40.3212
6300.000000	78.171867	38.2961
6500.000000	79.037483	32.9969
6700.000000	80.037109	25.2324
6900.000000	81.140297	12.4026
7100.000000	82.185684	-4.0715
7300.000000	82.891258	-25.4055
7500.000000	82.939346	-49.4504
7750.000000	81.764946	-80.6112
8000.000000	79.992867	-107.0261
8250.000000	77.970001	-131.6337
8500.000000	75.925285	-154.8078
8750.000000	73.887543	-177.9154
9000.000000	71.645142	160.3854
9250.000000	69.242142	139.0894
9500.000000	66.633652	119.8950
9750.000000	63.722607	103.0515
10000.000000	60.985973	90.7509
10300.000000	58.255718	83.8611
10600.000000	57.223934	78.9998
10900.000000	57.820831	68.0416
11200.000000	58.714073	49.1008
11500.000000	59.430157	26.0597
11800.000000	60.136673	-0.8179
12200.000000	61.290260	-38.5843
12500.000000	62.464905	-70.8633
12800.000000	63.724457	-107.1512
13200.000000	65.063690	-161.0244
13600.000000	65.829445	140.0316
14000.000000	66.112755	75.9154
14500.000000	65.986305	-6.4931
