* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 31, 2024 8:53:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gate R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.595 147.1604
0.732422 41.989 116.6499
1.098633 44.209 91.3154
1.464844 46.897 72.0977
1.831055 49.737 57.6484
2.197266 52.542 46.0423
2.563477 55.191 35.8669
2.929688 57.608 26.4071
3.295898 59.755 17.4432
3.662109 61.628 9.0096
4.028320 63.251 1.2237
4.394531 64.664 -5.8172
4.760742 65.914 -12.0960
5.126953 67.048 -17.6978
5.493164 68.097 -22.7888
5.859375 69.075 -27.5551
6.225586 69.981 -32.1314
6.591797 70.808 -36.5591
6.958008 71.549 -40.7934
7.324219 72.212 -44.7510
7.690430 72.814 -48.3720
8.056641 73.377 -51.6679
8.422852 73.919 -54.7294
8.789062 74.446 -57.6854
9.155273 74.950 -60.6368
9.521484 75.419 -63.6083
9.887695 75.843 -66.5485
10.253906 76.223 -69.3713
10.620117 76.567 -72.0115
10.986328 76.892 -74.4623
11.352539 77.206 -76.7737
11.718750 77.513 -79.0160
12.084961 77.808 -81.2366
12.451172 78.086 -83.4393
12.817383 78.342 -85.5976
13.183594 78.579 -87.6842
13.549805 78.801 -89.6921
13.916016 79.011 -91.6327
14.282227 79.207 -93.5169
14.648438 79.390 -95.3403
15.014648 79.560 -97.0859
15.380859 79.722 -98.7444
15.747070 79.881 -100.3310
16.113281 80.039 -101.8836
16.479492 80.194 -103.4395
16.845703 80.340 -105.0104
17.211914 80.473 -106.5748
17.578125 80.592 -108.0956
17.944336 80.703 -109.5471
18.310547 80.809 -110.9312
18.676758 80.913 -112.2705
19.042969 81.016 -113.5860
19.409180 81.115 -114.8816
19.775391 81.209 -116.1465
20.141602 81.299 -117.3742
20.507812 81.387 -118.5765
20.874023 81.465 -119.7789
21.240234 81.534 -120.9979
21.606445 81.587 -122.2211
21.972656 81.625 -123.4092
22.338867 81.651 -124.5206
22.705078 81.671 -125.5414
23.071289 81.694 -126.4983
23.437500 81.722 -127.4411
23.803711 81.749 -128.4082
24.169922 81.771 -129.4010
24.536133 81.783 -130.3878
24.902344 81.787 -131.3310
25.268555 81.788 -132.2179
25.634766 81.793 -133.0697
26.000977 81.801 -133.9238
26.367188 81.807 -134.8027
26.733398 81.807 -135.6960
27.099609 81.800 -136.5682
27.465820 81.789 -137.3874
27.832031 81.779 -138.1513
28.198242 81.776 -138.8914
28.564453 81.778 -139.6501
28.930664 81.779 -140.4480
29.296875 81.773 -141.2667
29.663086 81.758 -142.0615
30.029297 81.739 -142.7933
30.395508 81.722 -143.4572
30.761719 81.711 -144.0858
31.127930 81.708 -144.7231
31.494141 81.705 -145.3904
31.860352 81.698 -146.0720
32.226562 81.687 -146.7338
32.592773 81.674 -147.3572
32.958984 81.666 -147.9606
33.325195 81.661 -148.5854
33.691406 81.653 -149.2561
34.057617 81.635 -149.9484
34.423828 81.604 -150.5957
34.790039 81.566 -151.1335
35.156250 81.535 -151.5525
35.522461 81.522 -151.9158
35.888672 81.527 -152.3221
36.254883 81.539 -152.8378
36.621094 81.544 -153.4529
36.987305 81.535 -154.0954
37.353516 81.514 -154.6879
37.719727 81.492 -155.2041
38.085938 81.478 -155.6818
38.452148 81.469 -156.1831
38.818359 81.459 -156.7366
39.184570 81.439 -157.3093
39.550781 81.406 -157.8300
39.916992 81.371 -158.2462
40.283203 81.346 -158.5691
40.649414 81.338 -158.8729
41.015625 81.344 -159.2475
41.381836 81.351 -159.7386
41.748047 81.347 -160.3214
42.114258 81.324 -160.9194
42.480469 81.285 -161.4509
42.846680 81.241 -161.8721
43.212891 81.203 -162.1944
43.579102 81.177 -162.4699
43.945312 81.163 -162.7576
44.311523 81.154 -163.0927
44.677734 81.146 -163.4763
45.043945 81.133 -163.8857
45.410156 81.116 -164.2940
45.776367 81.097 -164.6860
46.142578 81.078 -165.0622
46.508789 81.059 -165.4307
46.875000 81.040 -165.7958
47.241211 81.021 -166.1528
47.607422 81.000 -166.4920
47.973633 80.981 -166.8097
48.339844 80.965 -167.1149
48.706055 80.952 -167.4264
49.072266 80.941 -167.7609
49.438477 80.927 -168.1195
49.804688 80.908 -168.4854
50.170898 80.883 -168.8326
50.537109 80.856 -169.1420
50.903320 80.831 -169.4129
51.269531 80.809 -169.6626
51.635742 80.791 -169.9144
52.001953 80.775 -170.1824
52.368164 80.758 -170.4640
52.734375 80.740 -170.7463
53.100586 80.722 -171.0198
53.466797 80.706 -171.2898
53.833008 80.693 -171.5746
54.199219 80.679 -171.8895
54.565430 80.660 -172.2291
54.931641 80.634 -172.5630
55.297852 80.603 -172.8526
55.664062 80.572 -173.0787
56.030273 80.549 -173.2607
56.396484 80.535 -173.4462
56.762695 80.525 -173.6764
57.128906 80.512 -173.9513
57.495117 80.491 -174.2258
57.861328 80.465 -174.4438
58.227539 80.443 -174.5867
58.593750 80.435 -174.6991
58.959961 80.440 -174.8642
59.326172 80.450 -175.1441
59.692383 80.448 -175.5310
60.058594 80.427 -175.9469
60.424805 80.388 -176.2929
60.791016 80.343 -176.5120
61.157227 80.306 -176.6242
61.523438 80.285 -176.7078
61.889648 80.276 -176.8426
62.255859 80.267 -177.0569
62.622070 80.249 -177.3179
62.988281 80.221 -177.5638
63.354492 80.188 -177.7492
63.720703 80.159 -177.8721
64.086914 80.137 -177.9683
64.453125 80.124 -178.0834
64.819336 80.113 -178.2428
65.185547 80.100 -178.4413
65.551758 80.082 -178.6519
65.917969 80.059 -178.8461
66.284180 80.036 -179.0109
66.650391 80.016 -179.1552
67.016602 79.999 -179.3022
67.382812 79.985 -179.4727
67.749023 79.970 -179.6710
68.115234 79.951 -179.8815
68.481445 79.928 179.9193
68.847656 79.903 179.7448
69.213867 79.881 179.5885
69.580078 79.862 179.4286
69.946289 79.844 179.2477
70.312500 79.823 179.0493
70.678711 79.797 178.8583
71.044922 79.768 178.7039
71.411133 79.740 178.5975
71.777344 79.719 178.5229
72.143555 79.707 178.4446
72.509766 79.701 178.3293
72.875977 79.696 178.1632
73.242188 79.687 177.9555
73.608398 79.672 177.7302
73.974609 79.651 177.5148
74.340820 79.624 177.3317
74.707031 79.597 177.1928
75.073242 79.572 177.0961
75.439453 79.553 177.0241
75.805664 79.540 176.9483
76.171875 79.532 176.8416
76.538086 79.525 176.6920
76.904297 79.513 176.5091
77.270508 79.496 176.3167
77.636719 79.474 176.1381
78.002930 79.449 175.9836
78.369141 79.425 175.8495
78.735352 79.400 175.7275
79.101562 79.377 175.6148
79.467773 79.353 175.5150
79.833984 79.331 175.4305
80.200195 79.312 175.3541
80.566406 79.297 175.2695
80.932617 79.284 175.1628
81.298828 79.269 175.0345
81.665039 79.251 174.9021
82.031250 79.231 174.7882
82.397461 79.211 174.7021
82.763672 79.197 174.6290
83.129883 79.188 174.5376
83.496094 79.180 174.4024
83.862305 79.168 174.2262
84.228516 79.147 174.0433
84.594727 79.119 173.9008
84.960938 79.089 173.8267
85.327148 79.066 173.8073
85.693359 79.053 173.7936
86.059570 79.047 173.7335
86.425781 79.040 173.6094
86.791992 79.024 173.4523
87.158203 78.998 173.3205
87.524414 78.968 173.2589
87.890625 78.944 173.2652
88.256836 78.932 173.2903
88.623047 78.930 173.2711
88.989258 78.930 173.1722
89.355469 78.924 173.0068
89.721680 78.906 172.8232
90.087891 78.878 172.6737
90.454102 78.847 172.5870
90.820312 78.817 172.5599
91.186523 78.795 172.5674
91.552734 78.780 172.5779
91.918945 78.772 172.5636
92.285156 78.767 172.5041
92.651367 78.763 172.3905
93.017578 78.753 172.2310
93.383789 78.734 172.0526
93.750000 78.707 171.8928
94.116211 78.675 171.7811
94.482422 78.644 171.7234
94.848633 78.618 171.6992
95.214844 78.598 171.6766
95.581055 78.583 171.6332
95.947266 78.568 171.5665
96.313477 78.553 171.4882
96.679688 78.536 171.4105
97.045898 78.519 171.3367
97.412109 78.503 171.2645
97.778320 78.487 171.1935
98.144531 78.471 171.1286
98.510742 78.456 171.0739
98.876953 78.443 171.0244
99.243164 78.433 170.9668
99.609375 78.423 170.8918
99.975586 78.411 170.8065
100.341797 78.395 170.7337
100.708008 78.378 170.6938
101.074219 78.366 170.6837
101.440430 78.360 170.6712
101.806641 78.359 170.6151
102.172852 78.357 170.4971
102.539062 78.344 170.3406
102.905273 78.321 170.1994
103.271484 78.290 170.1218
103.637695 78.261 170.1173
104.003906 78.240 170.1501
104.370117 78.228 170.1672
104.736328 78.218 170.1382
105.102539 78.204 170.0754
105.468750 78.184 170.0188
105.834961 78.162 169.9993
106.201172 78.144 170.0126
106.567383 78.133 170.0239
106.933594 78.126 169.9984
107.299805 78.118 169.9316
107.666016 78.103 169.8523
108.032227 78.085 169.7975
108.398438 78.067 169.7817
108.764648 78.055 169.7859
109.130859 78.049 169.7753
109.497070 78.045 169.7278
109.863281 78.039 169.6484
110.229492 78.029 169.5597
110.595703 78.017 169.4800
110.961914 78.003 169.4112
111.328125 77.989 169.3453
111.694336 77.974 169.2798
112.060547 77.956 169.2247
112.426758 77.938 169.1921
112.792969 77.922 169.1803
113.159180 77.910 169.1701
113.525391 77.900 169.1404
113.891602 77.888 169.0886
114.257812 77.873 169.0351
114.624023 77.855 169.0062
114.990234 77.839 169.0081
115.356445 77.828 169.0179
115.722656 77.822 169.0018
116.088867 77.816 168.9449
116.455078 77.805 168.8660
116.821289 77.788 168.8022
117.187500 77.771 168.7772
117.553711 77.757 168.7795
117.919922 77.750 168.7717
118.286133 77.744 168.7240
118.652344 77.735 168.6413
119.018555 77.718 168.5610
119.384766 77.696 168.5223
119.750977 77.677 168.5343
120.117188 77.664 168.5677
120.483398 77.658 168.5790
120.849609 77.653 168.5450
121.215820 77.644 168.4802
121.582031 77.628 168.4220
121.948242 77.608 168.4003
122.314453 77.592 168.4146
122.680664 77.581 168.4366
123.046875 77.574 168.4346
123.413086 77.566 168.3987
123.779297 77.554 168.3470
124.145508 77.538 168.3094
124.511719 77.520 168.3040
124.877930 77.507 168.3238
125.244141 77.498 168.3425
125.610352 77.493 168.3352
125.976562 77.487 168.2958
126.342773 77.477 168.2403
126.708984 77.463 168.1941
127.075195 77.448 168.1730
127.441406 77.434 168.1732
127.807617 77.424 168.1754
128.173828 77.416 168.1611
128.540039 77.407 168.1281
128.906250 77.394 168.0920
129.272461 77.379 168.0745
129.638672 77.364 168.0855
130.004883 77.353 168.1138
130.371094 77.347 168.1334
130.737305 77.344 168.1208
131.103516 77.339 168.0720
131.469727 77.329 168.0051
131.835938 77.313 167.9482
132.202148 77.296 167.9212
132.568359 77.280 167.9243
132.934570 77.268 167.9395
133.300781 77.259 167.9438
133.666992 77.253 167.9240
134.033203 77.245 167.8828
134.399414 77.233 167.8360
134.765625 77.219 167.8015
135.131836 77.204 167.7888
135.498047 77.192 167.7939
135.864258 77.184 167.8007
136.230469 77.178 167.7903
136.596680 77.172 167.7523
136.962891 77.163 167.6926
137.329102 77.148 167.6332
137.695312 77.129 167.6017
138.061523 77.110 167.6142
138.427734 77.094 167.6638
138.793945 77.085 167.7222
139.160156 77.082 167.7559
139.526367 77.080 167.7476
139.892578 77.074 167.7079
140.258789 77.062 167.6664
140.625000 77.047 167.6512
140.991211 77.033 167.6686
141.357422 77.023 167.6990
141.723633 77.018 167.7126
142.089844 77.014 167.6923
142.456055 77.007 167.6451
142.822266 76.994 167.5963
143.188477 76.978 167.5691
143.554688 76.962 167.5699
143.920898 76.949 167.5874
144.287109 76.938 167.6061
144.653320 76.927 167.6208
145.019531 76.917 167.6385
145.385742 76.907 167.6664
145.751953 76.900 167.7000
146.118164 76.897 167.7220
146.484375 76.894 167.7165
146.850586 76.890 167.6849
147.216797 76.880 167.6479
147.583008 76.867 167.6309
147.949219 76.854 167.6428
148.315430 76.845 167.6678
