* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep with no timing reference
* Dated: Jan 21, 2022 7:41:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Grell TWS/X1-2.3 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.784309	-137.6081
21.200001	85.888870	-140.0264
21.799999	85.984428	-142.3349
22.400000	86.059921	-144.4855
23.000000	86.127975	-146.4678
23.600000	86.200653	-148.4160
24.299999	86.303925	-150.6924
25.000000	86.393074	-152.7967
25.799999	86.463097	-155.3006
26.500000	86.534439	-157.4621
27.200001	86.584518	-159.3885
28.000000	86.637390	-161.4808
29.000000	86.714081	-164.1730
30.000000	86.782600	-166.8541
30.700001	86.810272	-168.5874
31.500000	86.853027	-170.4843
32.500000	86.912056	-172.8431
33.500000	86.947479	-175.1998
34.500000	86.978355	-177.3505
35.500000	87.011276	-179.5354
36.500000	87.050797	178.3010
37.500000	87.082352	176.2254
38.700001	87.088028	173.7501
40.000000	87.161980	171.2211
41.200001	87.148361	168.8157
42.500000	87.146988	166.5555
43.700001	87.153351	164.3003
45.000000	87.166580	161.9201
46.200001	87.150345	159.8576
47.500000	87.169952	157.3875
48.700001	87.104836	155.4955
50.000000	87.102554	153.4972
51.500000	87.093201	150.8108
53.000000	87.064575	148.4032
54.500000	87.025169	146.1190
56.000000	86.994331	143.7130
58.000000	86.912415	140.7883
60.000000	86.838478	137.8570
61.500000	86.750572	136.0475
63.000000	86.719589	133.8668
65.000000	86.631325	131.0775
67.000000	86.525818	128.4835
69.000000	86.432213	125.9366
71.000000	86.331619	123.4647
73.000000	86.230614	121.1090
75.000000	86.081810	118.5589
77.500000	85.898788	115.9637
80.000000	85.766441	113.2513
82.500000	85.580666	111.0632
85.000000	85.433174	107.8716
87.500000	85.275307	105.7197
90.000000	84.992714	102.6172
92.500000	84.916756	100.9954
95.000000	84.755020	99.0693
97.500000	84.563644	96.7234
100.000000	84.383163	94.8892
103.000000	84.152512	92.4537
106.000000	83.921768	90.7924
109.000000	83.708961	88.5344
112.000000	83.538353	86.6400
115.000000	83.336113	84.4809
118.000000	83.191261	83.4386
122.000000	82.861824	80.9293
125.000000	82.708984	79.7492
128.000000	82.516327	78.3539
132.000000	82.311546	76.3506
136.000000	82.079514	74.7184
140.000000	81.903748	73.1947
145.000000	81.686989	71.3007
150.000000	81.494194	69.4824
155.000000	81.334045	67.6978
160.000000	81.218498	66.0667
165.000000	81.052101	64.4393
170.000000	80.931519	62.8014
175.000000	80.845604	61.1680
180.000000	80.764740	59.3364
185.000000	80.713219	57.7172
190.000000	80.641342	55.9511
195.000000	80.573059	54.1342
200.000000	80.534164	52.2251
206.000000	80.470665	50.0294
212.000000	80.416527	47.9961
218.000000	80.391037	45.4774
224.000000	80.329742	43.1138
230.000000	80.295753	40.9117
236.000000	80.247498	38.4834
243.000000	80.182648	35.6578
250.000000	80.066536	33.0841
258.000000	79.961395	30.1341
265.000000	79.864655	27.6890
272.000000	79.788467	25.4191
280.000000	79.764786	22.8001
290.000000	79.785858	19.0743
300.000000	79.683762	14.9868
307.000000	79.601059	12.2274
315.000000	79.487961	9.3479
325.000000	79.351257	5.9781
335.000000	79.237427	2.4845
345.000000	79.123299	-0.7731
355.000000	79.022415	-3.9803
365.000000	78.896774	-7.1244
375.000000	78.803497	-10.1836
387.000000	78.700569	-13.7490
400.000000	78.583084	-17.6127
412.000000	78.498268	-21.1003
425.000000	78.399261	-24.8501
437.000000	78.329437	-28.2491
450.000000	78.263000	-31.8788
462.000000	78.211823	-35.2726
475.000000	78.148476	-38.8610
487.000000	78.092361	-42.1286
500.000000	78.044273	-45.6741
515.000000	77.995262	-49.7359
530.000000	77.930565	-53.8351
545.000000	77.865715	-57.8475
560.000000	77.804276	-61.8126
580.000000	77.718842	-67.0170
600.000000	77.634392	-72.0094
615.000000	77.558540	-75.7194
630.000000	77.500511	-79.3390
650.000000	77.452835	-84.1492
670.000000	77.361687	-88.9096
690.000000	77.259949	-93.3470
710.000000	77.178024	-97.6393
730.000000	77.107010	-101.8366
750.000000	77.043503	-105.8354
775.000000	76.973732	-110.6703
800.000000	76.925735	-115.2468
