* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 7, 2022 2:24:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HOOK-X L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.511948	-110.6700
21.200001	85.632797	-112.5259
21.799999	85.756332	-114.4277
22.400000	85.856743	-116.2588
23.000000	85.911087	-117.9981
23.600000	85.960464	-119.7112
24.299999	86.033920	-121.6074
25.000000	86.095337	-123.4450
25.799999	86.127090	-125.3467
26.500000	86.123207	-127.1353
27.200001	86.185822	-128.9304
28.000000	86.227676	-130.4392
29.000000	86.224892	-132.8674
30.000000	86.236145	-134.6908
30.700001	86.226639	-136.1565
31.500000	86.244415	-137.7300
32.500000	86.242752	-139.4316
33.500000	86.230354	-140.8471
34.500000	86.279785	-143.1929
35.500000	86.290459	-144.7686
36.500000	86.212639	-146.2479
37.500000	86.223785	-147.6130
38.700001	86.207031	-149.4247
40.000000	86.177971	-150.9293
41.200001	86.163513	-152.8062
42.500000	86.140869	-154.2742
43.700001	86.103134	-155.4349
45.000000	86.068573	-156.9792
46.200001	86.056976	-158.5592
47.500000	86.007629	-159.5217
48.700001	85.952988	-161.0149
50.000000	85.940155	-162.2969
51.500000	85.887497	-163.6568
53.000000	85.883255	-164.9245
54.500000	85.787094	-166.1439
56.000000	85.716400	-167.5351
58.000000	85.663811	-168.9276
60.000000	85.574997	-170.3294
61.500000	85.533516	-171.4373
63.000000	85.496239	-172.3507
65.000000	85.415085	-173.6871
67.000000	85.343742	-174.8814
69.000000	85.259293	-175.9490
71.000000	85.187767	-177.0696
73.000000	85.117584	-178.1133
75.000000	85.033058	-179.0525
77.500000	84.927849	179.7793
80.000000	84.823807	178.6552
82.500000	84.723801	177.6385
85.000000	84.625755	176.6500
87.500000	84.525627	175.7637
90.000000	84.414757	174.8808
92.500000	84.332428	173.8688
95.000000	84.231033	173.3095
97.500000	84.139305	172.6976
100.000000	84.019028	171.8950
103.000000	83.925705	171.1796
106.000000	83.814377	170.4618
109.000000	83.708435	169.8032
112.000000	83.600510	169.1189
115.000000	83.496948	168.6117
118.000000	83.397858	168.0695
122.000000	83.264656	167.4116
125.000000	83.165611	166.9748
128.000000	83.069778	166.5437
132.000000	82.941284	166.0309
136.000000	82.815384	165.5749
140.000000	82.691383	165.1371
145.000000	82.538574	164.7118
150.000000	82.390503	164.2828
155.000000	82.251961	163.9374
160.000000	82.105759	163.6548
165.000000	81.971619	163.3990
170.000000	81.836601	163.1923
175.000000	81.705841	163.0673
180.000000	81.581642	162.9240
185.000000	81.458023	162.8468
190.000000	81.333336	162.7850
195.000000	81.217529	162.7599
200.000000	81.104980	162.7257
206.000000	80.970543	162.7824
212.000000	80.839706	162.8409
218.000000	80.719254	162.9326
224.000000	80.600487	163.0425
230.000000	80.481346	163.1791
236.000000	80.369560	163.3505
243.000000	80.241714	163.5721
250.000000	80.117981	163.8142
258.000000	79.985489	164.1057
265.000000	79.875198	164.4018
272.000000	79.767426	164.6909
280.000000	79.645287	165.0609
290.000000	79.507393	165.5476
300.000000	79.377060	166.0491
307.000000	79.284912	166.4376
315.000000	79.186371	166.8578
325.000000	79.070114	167.4200
335.000000	78.960289	167.9952
345.000000	78.856270	168.5843
355.000000	78.758141	169.1763
365.000000	78.662643	169.7833
375.000000	78.574478	170.4000
387.000000	78.475471	171.1351
400.000000	78.375504	171.9608
412.000000	78.285187	172.7062
425.000000	78.197937	173.5505
437.000000	78.120613	174.3047
450.000000	78.043251	175.1341
462.000000	77.979332	175.9075
475.000000	77.911873	176.7422
487.000000	77.852058	177.5243
500.000000	77.796776	178.3643
515.000000	77.735031	179.3344
530.000000	77.680550	-179.7005
545.000000	77.626518	-178.7268
560.000000	77.583900	-177.7578
580.000000	77.531143	-176.4521
600.000000	77.485451	-175.1613
615.000000	77.459579	-174.1837
630.000000	77.434090	-173.1950
650.000000	77.409416	-171.8822
670.000000	77.396355	-170.5800
690.000000	77.385139	-169.2693
710.000000	77.385376	-167.9686
730.000000	77.393539	-166.6452
750.000000	77.410492	-165.3333
775.000000	77.446182	-163.6906
800.000000	77.489212	-162.0592
825.000000	77.557495	-160.4369
850.000000	77.636444	-158.8665
875.000000	77.731895	-157.2948
900.000000	77.839523	-155.7961
925.000000	77.964729	-154.3535
950.000000	78.100044	-152.9758
975.000000	78.249107	-151.6409
1000.000000	78.415367	-150.3939
1030.000000	78.632553	-149.0429
1060.000000	78.866043	-147.8409
1090.000000	79.105316	-146.8455
1120.000000	79.348412	-146.0379
1150.000000	79.591095	-145.3947
1180.000000	79.827576	-144.9036
1220.000000	80.133759	-144.4551
1250.000000	80.357361	-144.2212
1280.000000	80.573875	-144.0960
1320.000000	80.857925	-144.0693
1360.000000	81.140373	-144.2242
1400.000000	81.422981	-144.5909
1450.000000	81.768524	-145.5691
1500.000000	82.055206	-147.3526
1550.000000	82.157532	-149.7482
1600.000000	82.028419	-151.4791
1650.000000	81.859016	-151.7003
1700.000000	81.800140	-151.1306
1750.000000	81.845001	-150.5627
1800.000000	81.936188	-150.2325
1850.000000	82.041840	-150.1440
1900.000000	82.145996	-150.2440
1950.000000	82.243355	-150.4503
2000.000000	82.340317	-150.7493
2060.000000	82.460060	-151.3770
2120.000000	82.529366	-152.3998
2180.000000	82.520828	-153.4557
2240.000000	82.461624	-154.3726
2300.000000	82.357025	-155.1600
2360.000000	82.198822	-155.7448
2430.000000	81.934479	-155.8988
2500.000000	81.623199	-154.7980
2580.000000	81.508568	-151.7819
2650.000000	81.737167	-149.9551
2720.000000	81.958916	-149.8158
2800.000000	82.057541	-150.2508
2900.000000	82.056435	-150.5361
3000.000000	82.012352	-150.4528
3070.000000	81.972343	-150.2236
3150.000000	81.923187	-149.7381
3250.000000	81.911415	-148.8577
3350.000000	81.943604	-148.1250
3450.000000	81.980179	-147.5403
3550.000000	82.016716	-146.8789
3650.000000	82.094269	-146.3288
3750.000000	82.172020	-146.0736
3870.000000	82.204102	-145.9819
4000.000000	82.270561	-144.8806
4120.000000	82.536057	-144.9424
4250.000000	82.685562	-146.6556
4370.000000	82.591545	-149.0257
4500.000000	82.107773	-150.7785
4620.000000	81.413185	-150.2435
4750.000000	80.664650	-143.4467
4870.000000	81.405701	-136.1927
5000.000000	82.272873	-136.2801
5150.000000	82.729454	-138.1776
5300.000000	82.972580	-140.2944
5450.000000	82.987198	-142.7752
5600.000000	82.825691	-144.0139
5800.000000	82.722725	-145.2682
6000.000000	82.440468	-147.0007
