* Measurement data measured by REW V5.20 Beta 59
* Source: C:\Users\ahngu\OneDrive\Headphones\House Curves\Harman2017_IEM.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 1, 2018 8:51:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Harman2017_IEM
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	9.830000	0
20.600000	9.834220	0
21.200001	9.838325	0
21.799999	9.842684	0
22.400000	9.846845	0
23.000000	9.849942	0
23.600000	9.850634	0
24.299999	9.850337	0
25.000000	9.850000	0
25.799999	9.850000	0
26.500000	9.850056	0
27.200001	9.850566	0
28.000000	9.850445	0
29.000000	9.847366	0
30.000000	9.842202	0
30.700001	9.840666	0
31.500000	9.840582	0
32.500000	9.831556	0
33.500000	9.797721	0
34.500000	9.752220	0
35.500000	9.703865	0
36.500000	9.655954	0
37.500000	9.609272	0
38.700001	9.570172	0
40.000000	9.510688	0
41.200001	9.400229	0
42.500000	9.261375	0
43.700001	9.153414	0
45.000000	9.061974	0
46.200001	8.979952	0
47.500000	8.876412	0
48.700001	8.778619	0
50.000000	8.674367	0
51.500000	8.558105	0
53.000000	8.439666	0
54.500000	8.316143	0
56.000000	8.186600	0
58.000000	7.996663	0
60.000000	7.795772	0
61.500000	7.651995	0
63.000000	7.521457	0
65.000000	7.358245	0
67.000000	7.211876	0
69.000000	7.069752	0
71.000000	6.914271	0
73.000000	6.740760	0
75.000000	6.565993	0
77.500000	6.361313	0
80.000000	6.166222	0
82.500000	5.978360	0
85.000000	5.798738	0
87.500000	5.629727	0
90.000000	5.471507	0
92.500000	5.319726	0
95.000000	5.173850	0
97.500000	5.029310	0
100.000000	4.881583	0
103.000000	4.693960	0
106.000000	4.505584	0
109.000000	4.320186	0
112.000000	4.140647	0
115.000000	3.970209	0
118.000000	3.813034	0
122.000000	3.614698	0
125.000000	3.470930	0
128.000000	3.331367	0
132.000000	3.152137	0
136.000000	2.981091	0
140.000000	2.815081	0
145.000000	2.609824	0
150.000000	2.410264	0
155.000000	2.218585	0
160.000000	2.037133	0
165.000000	1.870536	0
170.000000	1.716657	0
175.000000	1.568759	0
180.000000	1.422401	0
185.000000	1.281631	0
190.000000	1.145167	0
195.000000	1.016695	0
200.000000	0.900179	0
206.000000	0.787759	0
212.000000	0.688394	0
218.000000	0.591192	0
224.000000	0.496485	0
230.000000	0.409253	0
236.000000	0.329212	0
243.000000	0.251658	0
250.000000	0.199404	0
258.000000	0.169375	0
265.000000	0.159784	0
272.000000	0.162442	0
280.000000	0.173706	0
290.000000	0.182359	0
300.000000	0.197547	0
307.000000	0.230166	0
315.000000	0.291810	0
325.000000	0.372552	0
335.000000	0.431953	0
345.000000	0.475427	0
355.000000	0.500146	0
365.000000	0.509201	0
375.000000	0.509936	0
387.000000	0.504892	0
400.000000	0.500164	0
412.000000	0.507684	0
425.000000	0.522334	0
437.000000	0.537580	0
450.000000	0.554327	0
462.000000	0.569886	0
475.000000	0.583076	0
487.000000	0.597454	0
500.000000	0.619199	0
515.000000	0.654446	0
530.000000	0.696266	0
545.000000	0.747801	0
560.000000	0.799437	0
580.000000	0.855101	0
600.000000	0.893780	0
615.000000	0.913836	0
630.000000	0.925567	0
650.000000	0.943945	0
670.000000	0.979383	0
690.000000	1.031087	0
710.000000	1.102055	0
730.000000	1.190069	0
750.000000	1.277528	0
775.000000	1.357596	0
800.000000	1.428712	0
825.000000	1.511212	0
850.000000	1.597934	0
875.000000	1.676902	0
900.000000	1.743855	0
925.000000	1.802716	0
950.000000	1.850662	0
975.000000	1.894379	0
1000.000000	1.938181	0
1030.000000	1.995317	0
1060.000000	2.061801	0
1090.000000	2.141493	0
1120.000000	2.237573	0
1150.000000	2.354609	0
1180.000000	2.499469	0
1220.000000	2.710791	0
1250.000000	2.868725	0
1280.000000	3.029361	0
1320.000000	3.254245	0
1360.000000	3.498104	0
1400.000000	3.749982	0
1450.000000	4.068003	0
1500.000000	4.387274	0
1550.000000	4.702097	0
1600.000000	5.017576	0
1650.000000	5.341394	0
1700.000000	5.673664	0
1750.000000	6.011711	0
1800.000000	6.355450	0
1850.000000	6.696929	0
1900.000000	7.014398	0
1950.000000	7.330157	0
2000.000000	7.671126	0
2060.000000	8.178700	0
2120.000000	8.700703	0
2180.000000	9.185221	0
2240.000000	9.622839	0
2300.000000	10.022646	0
2360.000000	10.379664	0
2430.000000	10.749488	0
2500.000000	11.072514	0
2580.000000	11.387709	0
2650.000000	11.617685	0
2720.000000	11.803254	0
2800.000000	11.975634	0
2900.000000	12.158164	0
3000.000000	12.288528	0
3070.000000	12.327305	0
3150.000000	12.315383	0
3250.000000	12.248817	0
3350.000000	12.143608	0
3450.000000	12.008457	0
3550.000000	11.853193	0
3650.000000	11.684323	0
3750.000000	11.505927	0
3870.000000	11.286232	0
4000.000000	11.044605	0
4120.000000	10.819444	0
4250.000000	10.582796	0
4370.000000	10.380790	0
4500.000000	10.181416	0
4620.000000	10.010224	0
4750.000000	9.829134	0
4870.000000	9.680529	0
5000.000000	9.550436	0
5150.000000	9.445714	0
5300.000000	9.374390	0
5450.000000	9.338945	0
5600.000000	9.319608	0
5800.000000	9.294436	0
6000.000000	9.256759	0
6150.000000	9.215971	0
6300.000000	9.159481	0
6500.000000	9.072795	0
6700.000000	8.980017	0
6900.000000	8.882219	0
7100.000000	8.775888	0
7300.000000	8.664145	0
7500.000000	8.562719	0
7750.000000	8.571191	0
8000.000000	8.480476	0
8250.000000	8.203074	0
8500.000000	7.503942	0
8750.000000	5.856259	0
9000.000000	3.223724	0
9250.000000	0.712725	0
9500.000000	-0.543644	0
9750.000000	-1.198535	0
10000.000000	-1.573058	0
10300.000000	-1.943740	0
10600.000000	-2.182010	0
10900.000000	-2.420053	0
11200.000000	-2.633028	0
11500.000000	-2.789973	0
11800.000000	-2.872432	0
12200.000000	-2.938891	0
12500.000000	-2.294971	0
12800.000000	-1.957452	0
13200.000000	-3.711919	0
13600.000000	-10.987103	0
14000.000000	-18.576607	0
14500.000000	-23.229465	0
15000.000000	-24.760639	0
15500.000000	-25.133427	0
16000.000000	-25.094688	0
16500.000000	-25.738754	0
17000.000000	-26.875237	0
17500.000000	-27.388889	0
18000.000000	-26.595354	0
18500.000000	-25.445107	0
19000.000000	-24.935005	0
19500.000000	-24.943808	0
20000.000000	-25.063999	0
