* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 8, 2021 8:57:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Helios R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	78.710098	53.5372
21.200001	78.796005	50.9528
21.799999	78.829529	48.4090
22.400000	78.844543	45.9932
23.000000	78.870255	43.6887
23.600000	78.912071	41.4142
24.299999	78.952538	38.7956
25.000000	78.951286	36.3797
25.799999	78.914291	34.0356
26.500000	78.895187	32.1050
27.200001	78.883423	29.9266
28.000000	78.831009	27.2356
29.000000	78.732460	24.2106
30.000000	78.663879	21.4436
30.700001	78.615929	19.5788
31.500000	78.561859	17.6197
32.500000	78.493515	15.2084
33.500000	78.390121	12.7999
34.500000	78.298416	10.6208
35.500000	78.229919	8.4550
36.500000	78.117462	6.3453
37.500000	78.003410	4.4456
38.700001	77.904533	2.1748
40.000000	77.764709	-0.1598
41.200001	77.639175	-2.1425
42.500000	77.566078	-4.4114
43.700001	77.402733	-6.2160
45.000000	77.227135	-8.2008
46.200001	77.088974	-10.1840
47.500000	76.961510	-11.7189
48.700001	76.826401	-13.0988
50.000000	76.707565	-14.7534
51.500000	76.534088	-16.4495
53.000000	76.380638	-18.1720
54.500000	76.241386	-19.7259
56.000000	76.068321	-21.1236
58.000000	75.881638	-23.1748
60.000000	75.638367	-24.6046
61.500000	75.552208	-26.2724
63.000000	75.423492	-27.6236
65.000000	75.218506	-29.0933
67.000000	75.031532	-30.7318
69.000000	74.842575	-31.9730
71.000000	74.668526	-33.2958
73.000000	74.508324	-34.5592
75.000000	74.330818	-35.7375
77.500000	74.125259	-37.0629
80.000000	73.919479	-38.4416
82.500000	73.707748	-39.6335
85.000000	73.525162	-40.7093
87.500000	73.486740	-42.1972
90.000000	73.285927	-40.0635
92.500000	72.784485	-43.9783
95.000000	72.685883	-44.4751
97.500000	72.645538	-45.5948
100.000000	72.475883	-46.5265
103.000000	72.296654	-47.4235
106.000000	72.122818	-48.2249
109.000000	71.946228	-48.9685
112.000000	71.815140	-49.8232
115.000000	71.650215	-50.4613
118.000000	71.489426	-51.1805
122.000000	71.306038	-52.1026
125.000000	71.189201	-52.7077
128.000000	71.051697	-53.2544
132.000000	70.900620	-54.0436
136.000000	70.736908	-54.6027
140.000000	70.596886	-55.2807
145.000000	70.412216	-55.9551
150.000000	70.265945	-56.7165
155.000000	70.135124	-57.2686
160.000000	70.001740	-57.9436
165.000000	69.866570	-58.4604
170.000000	69.747025	-58.9808
175.000000	69.644417	-59.6246
180.000000	69.560211	-59.9168
