* Measurement data measured by REW V5.20 Beta 22
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS  Using a loopback as a timing reference
* Dated: Sep 7, 2019 9:36:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: KB Ear Hi7 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.066124	-160.8902
20.600000	87.033585	-160.8865
21.200001	86.974556	-160.5056
21.799999	86.936409	-160.1093
22.400000	86.900200	-159.9653
23.000000	86.843048	-159.9587
23.600000	86.784973	-159.8924
24.299999	86.759163	-159.8226
25.000000	86.763664	-160.0135
25.799999	86.746399	-160.3858
26.500000	86.716484	-160.5194
27.200001	86.699608	-160.4923
28.000000	86.684097	-160.4473
29.000000	86.637451	-160.3109
30.000000	86.581757	-160.0483
30.700001	86.541794	-159.9178
31.500000	86.486549	-159.8218
32.500000	86.418777	-159.7043
33.500000	86.362747	-159.6469
34.500000	86.309418	-159.5954
35.500000	86.253777	-159.4662
36.500000	86.199661	-159.1467
37.500000	86.162872	-158.7717
38.700001	86.102982	-158.3877
40.000000	86.026535	-157.9414
41.200001	85.949852	-157.5652
42.500000	85.877625	-157.1788
43.700001	85.813461	-156.8364
45.000000	85.751465	-156.3898
46.200001	85.697418	-155.9435
47.500000	85.632179	-155.4166
48.700001	85.570206	-154.9018
50.000000	85.501434	-154.3582
51.500000	85.423271	-153.7449
53.000000	85.346848	-153.1197
54.500000	85.276787	-152.4388
56.000000	85.208473	-151.7515
58.000000	85.117142	-150.8068
60.000000	85.029182	-149.8623
61.500000	84.960266	-149.1477
63.000000	84.897888	-148.4024
65.000000	84.817383	-147.4207
67.000000	84.735611	-146.4170
69.000000	84.658104	-145.4214
71.000000	84.580864	-144.4212
73.000000	84.508453	-143.3977
75.000000	84.432907	-142.4076
77.500000	84.345901	-141.1330
80.000000	84.256096	-139.8530
82.500000	84.180313	-138.5259
85.000000	84.091217	-137.3165
87.500000	84.005051	-136.0702
90.000000	83.923492	-134.7438
92.500000	83.845650	-133.4805
95.000000	83.767174	-132.2214
97.500000	83.693810	-130.9708
100.000000	83.618439	-129.7310
103.000000	83.526001	-128.1871
106.000000	83.425728	-126.6102
109.000000	83.343307	-125.1244
112.000000	83.260094	-123.6231
115.000000	83.155823	-122.0917
118.000000	83.060715	-120.5098
122.000000	82.939331	-118.4409
125.000000	82.847687	-116.8434
128.000000	82.748085	-115.2569
132.000000	82.629433	-113.1174
136.000000	82.511978	-110.9777
140.000000	82.394104	-108.7517
145.000000	82.256042	-106.0330
150.000000	82.110435	-103.2233
155.000000	81.969109	-100.3620
160.000000	81.835602	-97.3701
165.000000	81.718544	-94.1312
170.000000	81.656723	-90.7268
175.000000	81.684547	-87.5282
180.000000	81.743347	-84.9606
185.000000	81.750595	-82.8179
190.000000	81.706650	-80.7222
195.000000	81.637177	-78.5331
200.000000	81.559311	-76.2856
206.000000	81.463921	-73.4603
212.000000	81.368759	-70.5979
218.000000	81.277405	-67.7200
224.000000	81.187866	-64.7929
230.000000	81.111221	-61.9118
236.000000	81.040665	-58.9760
243.000000	80.954353	-55.6104
250.000000	80.874741	-52.2477
258.000000	80.789665	-48.4097
265.000000	80.725166	-45.1118
272.000000	80.659225	-41.8155
280.000000	80.592438	-38.0831
290.000000	80.512512	-33.4455
300.000000	80.441231	-28.8551
307.000000	80.394531	-25.6897
315.000000	80.348381	-22.1076
325.000000	80.289520	-17.6422
335.000000	80.237183	-13.2552
345.000000	80.184715	-8.9099
355.000000	80.141151	-4.6158
365.000000	80.098885	-0.4172
375.000000	80.057571	3.7962
387.000000	80.010391	8.7310
400.000000	79.961349	14.0694
412.000000	79.914078	18.9703
425.000000	79.873924	24.2189
437.000000	79.844414	29.0511
450.000000	79.822281	34.2125
462.000000	79.799942	38.9119
475.000000	79.786324	43.9361
487.000000	79.776505	48.5395
500.000000	79.773369	53.4239
515.000000	79.769936	59.0021
530.000000	79.771255	64.5059
545.000000	79.777100	69.9031
560.000000	79.784058	75.2260
580.000000	79.798698	82.2280
600.000000	79.811981	89.1473
615.000000	79.829018	94.2718
630.000000	79.845856	99.3177
650.000000	79.874992	105.9767
670.000000	79.904579	112.5562
690.000000	79.937752	119.0304
710.000000	79.981537	125.4420
730.000000	80.024124	131.7845
750.000000	80.075134	138.0320
775.000000	80.147346	145.7839
800.000000	80.229431	153.4224
825.000000	80.323875	160.9458
850.000000	80.428139	168.3669
875.000000	80.549423	175.7330
900.000000	80.681671	-177.0338
925.000000	80.837921	-169.8592
950.000000	81.011322	-162.8145
975.000000	81.208420	-155.8706
1000.000000	81.441452	-149.1091
1030.000000	81.714058	-141.2155
1060.000000	82.035339	-133.6040
1090.000000	82.377747	-126.3209
1120.000000	82.737900	-119.3685
1150.000000	83.111061	-112.7993
1180.000000	83.485374	-106.5641
1220.000000	83.982353	-98.7746
1250.000000	84.342247	-93.2827
1280.000000	84.694695	-88.0403
1320.000000	85.142624	-81.3980
1360.000000	85.574417	-75.1227
1400.000000	85.984589	-69.1376
1450.000000	86.478172	-62.0880
1500.000000	86.956482	-55.4468
1550.000000	87.421570	-49.2440
1600.000000	87.871902	-43.4863
1650.000000	88.307892	-38.1843
1700.000000	88.727020	-33.3564
1750.000000	89.116898	-28.9965
1800.000000	89.472893	-25.0883
1850.000000	89.791992	-21.6301
1900.000000	90.056458	-18.5391
1950.000000	90.266266	-15.7744
2000.000000	90.425842	-13.2418
2060.000000	90.520103	-10.4031
2120.000000	90.544518	-7.6129
2180.000000	90.501923	-4.7643
2240.000000	90.405602	-1.7677
2300.000000	90.278618	1.4445
2360.000000	90.138199	4.8873
2430.000000	89.983986	9.2159
2500.000000	89.848274	13.8640
2580.000000	89.769127	19.4703
2650.000000	89.799942	24.5747
2720.000000	89.962761	29.6443
2800.000000	90.349091	34.8717
2900.000000	91.085800	39.1783
3000.000000	91.827759	40.1106
3070.000000	92.201576	39.3229
3150.000000	92.504684	37.7714
3250.000000	92.765137	34.9724
3350.000000	92.901146	30.7470
3450.000000	92.795898	24.9692
3550.000000	92.310486	18.2391
3650.000000	91.394646	11.9167
3750.000000	90.104843	7.4233
3870.000000	88.348839	5.4731
4000.000000	86.520309	7.5018
4120.000000	85.161842	12.1254
4250.000000	84.179947	18.4637
4370.000000	83.705536	23.9831
4500.000000	83.510010	28.6216
4620.000000	83.512085	31.4457
4750.000000	83.611122	33.1241
4870.000000	83.746017	33.6270
5000.000000	83.909843	33.4619
5150.000000	84.497734	31.8965
5300.000000	84.721825	28.5782
5450.000000	85.111290	24.7885
5600.000000	85.569221	19.9117
5800.000000	86.293488	11.6553
6000.000000	87.138161	1.1385
6150.000000	87.828217	-8.4270
6300.000000	88.561707	-19.6237
6500.000000	89.527534	-37.3509
6700.000000	90.432266	-58.7973
6900.000000	91.060204	-84.6035
7100.000000	91.042763	-114.3557
