* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 30, 2021 3:59:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Holocene L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.349243	66.5374
21.200001	86.473900	65.1721
21.799999	86.578789	63.8116
22.400000	86.667099	62.4685
23.000000	86.739296	61.2090
23.600000	86.805649	60.0334
24.299999	86.878845	58.6670
25.000000	86.934219	57.2768
25.799999	86.972549	55.8007
26.500000	87.003250	54.6456
27.200001	87.041199	53.5162
28.000000	87.085114	52.1789
29.000000	87.125755	50.5571
30.000000	87.162811	49.1582
30.700001	87.195801	48.2332
31.500000	87.229454	47.1349
32.500000	87.255188	45.7816
33.500000	87.275818	44.5457
34.500000	87.302490	43.4085
35.500000	87.332489	42.2875
36.500000	87.351105	41.1992
37.500000	87.367050	40.1807
38.700001	87.388626	38.9783
40.000000	87.415031	37.7497
41.200001	87.432068	36.7006
42.500000	87.455147	35.6339
43.700001	87.466293	34.6372
45.000000	87.481026	33.6358
46.200001	87.493195	32.7067
47.500000	87.504044	31.8210
48.700001	87.514511	30.9962
50.000000	87.522430	30.1442
51.500000	87.535629	29.2479
53.000000	87.539948	28.3405
54.500000	87.549538	27.4990
56.000000	87.556068	26.7072
58.000000	87.570755	25.6821
60.000000	87.559097	24.8543
61.500000	87.571518	24.0501
63.000000	87.584229	23.3808
65.000000	87.584381	22.5415
67.000000	87.597427	21.7564
69.000000	87.591759	20.9668
71.000000	87.594582	20.2851
73.000000	87.596588	19.5863
75.000000	87.593605	18.9485
77.500000	87.596069	18.1637
80.000000	87.589424	17.4244
82.500000	87.583061	16.7184
85.000000	87.565018	16.0597
87.500000	87.570450	15.4978
90.000000	87.515022	14.5627
92.500000	87.564850	14.2639
95.000000	87.551208	13.7151
97.500000	87.546631	13.1926
100.000000	87.543228	12.6859
103.000000	87.542511	12.1304
106.000000	87.536545	11.5896
109.000000	87.534668	11.1247
112.000000	87.539429	10.6028
115.000000	87.491432	10.8773
118.000000	87.530075	9.6655
122.000000	87.524895	9.1136
125.000000	87.523598	8.6566
128.000000	87.516510	8.2636
132.000000	87.511398	7.7650
136.000000	87.508911	7.3127
140.000000	87.504173	6.8524
145.000000	87.498489	6.2931
150.000000	87.481506	5.7839
155.000000	87.471359	5.3179
160.000000	87.459656	4.8534
165.000000	87.447693	4.4262
170.000000	87.434006	4.0089
175.000000	87.418694	3.6085
180.000000	87.407722	3.2410
185.000000	87.386436	2.8395
190.000000	87.368195	2.5376
195.000000	87.358711	2.2093
200.000000	87.337776	1.9032
206.000000	87.315323	1.5475
212.000000	87.296074	1.2246
218.000000	87.272949	0.9036
224.000000	87.250923	0.5923
230.000000	87.224274	0.2712
236.000000	87.202446	0.0470
243.000000	87.177879	-0.2699
250.000000	87.147842	-0.5690
258.000000	87.115463	-0.8631
265.000000	87.084732	-1.1264
272.000000	87.055817	-1.3733
280.000000	87.020554	-1.6338
290.000000	86.977173	-1.9291
300.000000	86.927216	-2.1891
307.000000	86.899323	-2.3875
315.000000	86.862679	-2.5826
325.000000	86.818588	-2.8049
335.000000	86.772163	-2.9966
345.000000	86.731293	-3.1768
355.000000	86.677002	-3.3514
365.000000	86.628662	-3.4960
375.000000	86.582153	-3.6294
387.000000	86.524864	-3.7715
400.000000	86.463303	-3.8772
412.000000	86.404327	-3.9739
425.000000	86.342361	-4.0513
437.000000	86.283737	-4.0945
450.000000	86.221581	-4.1095
462.000000	86.164307	-4.1201
475.000000	86.101875	-4.0938
487.000000	86.044357	-4.0550
500.000000	85.983002	-4.0021
515.000000	85.913513	-3.9117
530.000000	85.845253	-3.7842
545.000000	85.776390	-3.6379
560.000000	85.708366	-3.4566
580.000000	85.620811	-3.1744
600.000000	85.535049	-2.8540
615.000000	85.474075	-2.5825
630.000000	85.413757	-2.2891
650.000000	85.338318	-1.8533
670.000000	85.266792	-1.3621
690.000000	85.200500	-0.8467
710.000000	85.139320	-0.2939
730.000000	85.084579	0.3003
750.000000	85.037041	0.9376
775.000000	84.989471	1.7678
800.000000	84.953293	2.6392
825.000000	84.933861	3.5259
850.000000	84.930458	4.4359
875.000000	84.943878	5.3439
900.000000	84.971901	6.2350
925.000000	85.019318	7.0680
950.000000	85.082245	7.8516
975.000000	85.159058	8.5477
1000.000000	85.245773	9.1359
1030.000000	85.363388	9.7064
1060.000000	85.486755	10.0888
1090.000000	85.609665	10.3112
1120.000000	85.727654	10.3486
1150.000000	85.833626	10.2626
1180.000000	85.927177	10.0452
1220.000000	86.024857	9.6247
1250.000000	86.077545	9.2411
1280.000000	86.113968	8.8263
1320.000000	86.137039	8.2644
1360.000000	86.135773	7.7322
1400.000000	86.112808	7.2253
1450.000000	86.062660	6.6900
1500.000000	85.992950	6.2560
1550.000000	85.906052	5.9301
1600.000000	85.808708	5.7159
1650.000000	85.702934	5.5821
1700.000000	85.593094	5.5621
1750.000000	85.479057	5.6303
1800.000000	85.363792	5.7887
1850.000000	85.245407	6.0269
1900.000000	85.129631	6.3528
1950.000000	85.015289	6.7738
2000.000000	84.905014	7.2631
2060.000000	84.778770	7.9343
2120.000000	84.660461	8.7312
2180.000000	84.556572	9.6154
2240.000000	84.464554	10.5878
2300.000000	84.386444	11.6492
2360.000000	84.327217	12.7686
2430.000000	84.283676	14.1510
2500.000000	84.269188	15.5795
2580.000000	84.294121	17.2413
2650.000000	84.353897	18.6814
2720.000000	84.451576	20.0719
2800.000000	84.610924	21.5275
2900.000000	84.877335	23.0854
3000.000000	85.223320	24.1828
3070.000000	85.502968	24.5804
3150.000000	85.857864	24.5679
3250.000000	86.325996	23.6949
3350.000000	86.777138	21.6817
3450.000000	87.139183	18.4806
3550.000000	87.324532	14.2672
3650.000000	87.256645	9.6209
3750.000000	86.915756	5.3745
3870.000000	86.231552	2.0719
4000.000000	85.399841	1.5892
4120.000000	84.830963	3.7719
4250.000000	84.686264	7.3550
4370.000000	84.987450	9.2587
4500.000000	85.377846	7.9087
4620.000000	85.385963	4.9287
4750.000000	85.061996	2.5877
4870.000000	84.658615	1.5441
5000.000000	84.162720	1.3895
5150.000000	83.573837	2.6038
5300.000000	83.068863	5.2750
5450.000000	82.721634	9.0060
5600.000000	82.550804	13.3419
5800.000000	82.601105	19.4714
6000.000000	82.950150	25.4021
6150.000000	83.392059	29.3568
6300.000000	83.969696	32.6087
6500.000000	84.897812	35.4058
6700.000000	85.899834	35.9113
6900.000000	86.783340	33.9078
7100.000000	87.348679	30.1631
7300.000000	87.529053	26.0725
7500.000000	87.359436	23.0726
7750.000000	86.957481	22.2267
8000.000000	86.689301	24.0157
8250.000000	86.705826	26.9156
8500.000000	86.993111	29.5136
8750.000000	87.417458	31.0536
9000.000000	87.896042	31.8219
9250.000000	88.468964	31.9047
9500.000000	89.173470	30.3681
9750.000000	89.843750	26.1808
10000.000000	90.196777	19.5521
10300.000000	90.000229	10.9266
10600.000000	89.357681	4.3296
10900.000000	88.679108	-0.0389
11200.000000	88.199249	-3.7839
11500.000000	87.916977	-8.9828
11800.000000	87.551575	-17.2672
12200.000000	86.371956	-30.7447
12500.000000	84.893188	-40.8072
12800.000000	83.020020	-48.1692
13200.000000	80.514313	-53.3905
13600.000000	78.396301	-55.4880
14000.000000	76.778976	-56.6912
14500.000000	75.448143	-59.3141
15000.000000	74.813393	-65.9422
15500.000000	74.578896	-80.4872
16000.000000	73.813080	-105.5232
16500.000000	71.678749	-135.6049
17000.000000	68.540276	-166.7966
17500.000000	65.083244	164.8315
18000.000000	62.529305	134.1802
18500.000000	61.181335	95.3365
19000.000000	61.318993	43.5770
19500.000000	62.428703	-32.4110
