* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 30, 2021 4:00:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Holocene R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.442322	62.3508
21.200001	86.544098	61.0975
21.799999	86.622055	59.9234
22.400000	86.692535	58.8318
23.000000	86.762245	57.7964
23.600000	86.833412	56.7214
24.299999	86.905487	55.3194
25.000000	86.948883	53.8538
25.799999	86.976112	52.3752
26.500000	87.005531	51.2708
27.200001	87.037071	50.2018
28.000000	87.059845	48.9970
29.000000	87.089165	47.5863
30.000000	87.131973	46.1808
30.700001	87.154526	45.2584
31.500000	87.178322	44.3380
32.500000	87.213203	43.2301
33.500000	87.237350	42.0970
34.500000	87.253113	41.0080
35.500000	87.259689	39.9811
36.500000	87.268204	38.9968
37.500000	87.287880	37.9355
38.700001	87.326874	36.7518
40.000000	87.365677	35.7622
41.200001	87.352325	34.9410
42.500000	87.333809	33.7496
43.700001	87.369537	32.6144
45.000000	87.417099	31.9473
46.200001	87.403313	31.3940
47.500000	87.374657	30.2374
48.700001	87.421005	29.2833
50.000000	87.480408	28.9771
51.500000	87.417610	28.5446
53.000000	87.333565	27.0783
54.500000	87.352386	25.5958
56.000000	87.437073	24.7792
58.000000	87.461823	24.2726
60.000000	87.493652	23.4435
61.500000	87.482094	23.0253
63.000000	87.477829	22.5071
65.000000	87.506912	21.7415
67.000000	87.502174	21.0168
69.000000	87.506111	20.3343
71.000000	87.509766	19.6691
73.000000	87.509323	19.0487
75.000000	87.510864	18.4368
77.500000	87.508148	17.7276
80.000000	87.504463	17.0592
82.500000	87.505005	16.4291
85.000000	87.499130	15.8068
87.500000	87.493958	15.2618
90.000000	87.447289	14.4376
92.500000	87.491127	14.1283
95.000000	87.484856	13.5759
97.500000	87.486320	13.2151
100.000000	87.482445	12.7248
103.000000	87.480080	12.1881
106.000000	87.479904	11.7040
109.000000	87.479202	11.2137
112.000000	87.481255	10.7566
115.000000	87.479156	10.3485
118.000000	87.479515	9.9211
122.000000	87.481377	9.4026
125.000000	87.482071	9.0318
128.000000	87.487396	8.6910
132.000000	87.483536	8.3506
136.000000	87.483047	7.7765
140.000000	87.478233	7.3569
145.000000	87.475410	6.8743
150.000000	87.470154	6.4184
155.000000	87.465195	5.9726
160.000000	87.457413	5.5576
165.000000	87.450737	5.1591
170.000000	87.440392	4.7887
175.000000	87.432037	4.4419
180.000000	87.415787	4.0757
185.000000	87.411690	3.7815
190.000000	87.400177	3.4520
195.000000	87.405197	3.2065
200.000000	87.379974	2.9040
206.000000	87.362976	2.5712
212.000000	87.347176	2.2933
218.000000	87.331429	1.9805
224.000000	87.317642	1.7058
230.000000	87.294518	1.4122
236.000000	87.277817	1.1843
243.000000	87.257797	0.9110
250.000000	87.235092	0.6486
258.000000	87.223595	0.4064
265.000000	87.188034	0.1533
272.000000	87.163002	-0.0845
280.000000	87.136978	-0.3301
290.000000	87.099739	-0.6143
300.000000	87.070465	-0.8596
307.000000	87.040550	-1.0212
315.000000	87.013298	-1.1833
325.000000	86.975372	-1.3925
335.000000	86.936813	-1.5734
345.000000	86.899109	-1.7272
355.000000	86.860504	-1.8789
365.000000	86.822281	-2.0113
375.000000	86.785728	-2.1315
387.000000	86.736275	-2.2557
400.000000	86.683693	-2.3560
412.000000	86.636307	-2.4305
425.000000	86.585823	-2.5058
437.000000	86.535828	-2.5343
450.000000	86.484840	-2.5487
462.000000	86.437271	-2.5533
475.000000	86.385574	-2.5344
487.000000	86.338791	-2.4980
500.000000	86.286629	-2.4387
515.000000	86.229462	-2.3432
530.000000	86.170883	-2.2181
545.000000	86.113342	-2.0809
560.000000	86.056595	-1.9080
580.000000	85.983200	-1.6366
600.000000	85.913269	-1.3267
615.000000	85.861465	-1.0698
630.000000	85.813393	-0.7900
650.000000	85.751518	-0.3858
670.000000	85.692299	0.0798
690.000000	85.638947	0.5686
710.000000	85.591331	1.1034
730.000000	85.549644	1.6645
750.000000	85.513664	2.2564
775.000000	85.480774	3.0421
800.000000	85.461700	3.8620
825.000000	85.456238	4.7095
850.000000	85.465378	5.5638
875.000000	85.490509	6.4116
900.000000	85.535339	7.2298
925.000000	85.594322	8.0116
950.000000	85.668968	8.7201
975.000000	85.758682	9.3557
1000.000000	85.857956	9.8899
1030.000000	85.988022	10.3558
1060.000000	86.123924	10.6617
1090.000000	86.259247	10.7862
1120.000000	86.387970	10.7437
1150.000000	86.506126	10.5423
1180.000000	86.609093	10.2345
1220.000000	86.720154	9.6648
1250.000000	86.782196	9.1717
1280.000000	86.826424	8.6471
1320.000000	86.859024	7.9263
1360.000000	86.865746	7.2217
1400.000000	86.849236	6.5632
1450.000000	86.804535	5.8189
1500.000000	86.736031	5.1762
1550.000000	86.648636	4.6324
1600.000000	86.549057	4.2083
1650.000000	86.437897	3.8805
1700.000000	86.318169	3.6626
1750.000000	86.193459	3.5390
1800.000000	86.062790	3.5153
1850.000000	85.929535	3.5966
1900.000000	85.795319	3.7701
1950.000000	85.662209	4.0419
2000.000000	85.530304	4.4076
2060.000000	85.376854	4.9709
2120.000000	85.231560	5.6533
2180.000000	85.097351	6.4667
2240.000000	84.978348	7.4031
2300.000000	84.874512	8.4251
2360.000000	84.790634	9.5345
2430.000000	84.721344	10.9197
2500.000000	84.686096	12.3565
2580.000000	84.686546	14.0108
2650.000000	84.726006	15.4431
2720.000000	84.802048	16.8218
2800.000000	84.935104	18.2873
2900.000000	85.172966	19.8545
3000.000000	85.487488	20.9718
3070.000000	85.748123	21.3815
3150.000000	86.078415	21.3947
3250.000000	86.516495	20.5315
3350.000000	86.936752	18.5354
3450.000000	87.266495	15.3344
3550.000000	87.417366	11.1189
3650.000000	87.313347	6.4378
3750.000000	86.931549	2.1519
3870.000000	86.183609	-1.2901
4000.000000	85.243103	-1.9510
4120.000000	84.515671	0.2836
4250.000000	84.150200	4.6456
4370.000000	84.324295	8.3476
4500.000000	84.857773	9.1771
4620.000000	85.169334	6.5110
4750.000000	84.992966	2.7786
4870.000000	84.526596	0.7358
5000.000000	83.909805	0.2275
5150.000000	83.199356	1.5483
5300.000000	82.604630	4.5155
5450.000000	82.183533	8.5880
5600.000000	81.952599	13.3294
5800.000000	81.934227	20.0959
6000.000000	82.232269	26.7848
6150.000000	82.649811	31.4301
6300.000000	83.223022	35.4847
6500.000000	84.201180	39.5338
6700.000000	85.347420	41.3114
6900.000000	86.500092	40.1777
7100.000000	87.402840	36.1940
7300.000000	87.836487	30.5634
7500.000000	87.724014	25.7601
7750.000000	87.282539	23.2023
8000.000000	86.873795	23.8871
8250.000000	86.759895	26.5157
8500.000000	86.988121	29.1766
8750.000000	87.401505	30.6175
9000.000000	87.873848	31.1958
9250.000000	88.441719	30.9070
9500.000000	89.130760	28.9760
9750.000000	89.767303	24.1324
10000.000000	90.003990	16.7419
10300.000000	89.558914	7.8807
10600.000000	88.662880	2.1191
10900.000000	87.801643	-0.6828
11200.000000	87.217239	-2.3391
11500.000000	86.941368	-4.8292
11800.000000	86.823097	-9.9335
12200.000000	86.343361	-21.4565
12500.000000	85.430779	-32.4961
12800.000000	83.869675	-42.4133
13200.000000	81.387016	-50.6659
13600.000000	79.103722	-54.4686
14000.000000	77.267136	-56.3900
14500.000000	75.631264	-58.7840
15000.000000	74.705887	-62.7526
15500.000000	74.688828	-72.8509
16000.000000	74.929649	-95.7088
16500.000000	73.491524	-131.9551
17000.000000	69.998077	-165.7849
17500.000000	66.232559	165.1935
18000.000000	63.069420	136.0247
18500.000000	61.536125	102.2103
19000.000000	61.615047	45.1624
19500.000000	60.242733	-31.4320
