* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258. Timing signal peak level -32.4 dBFS, measurement signal peak level -29.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Sep 8, 2020 9:03:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0656 ms (-22 mm, -0.89 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Sony IER-M9 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.905006	-130.0242
21.200001	85.936516	-131.3563
21.799999	85.966354	-132.5546
22.400000	85.973557	-133.6427
23.000000	85.991821	-134.7416
23.600000	86.014465	-135.7324
24.299999	86.009544	-137.0553
25.000000	86.024666	-138.3858
25.799999	86.022995	-139.5976
26.500000	86.057053	-140.7324
27.200001	86.075714	-141.5884
28.000000	86.029266	-142.9571
29.000000	86.030930	-144.2816
30.000000	85.984871	-145.6495
30.700001	86.010895	-146.6929
31.500000	86.002357	-147.6237
32.500000	86.012550	-148.8600
33.500000	86.007477	-150.0109
34.500000	86.009171	-151.1422
35.500000	86.005089	-152.2415
36.500000	85.993256	-153.2555
37.500000	85.982025	-154.3007
38.700001	85.953087	-155.4261
40.000000	85.936577	-156.6947
41.200001	85.923882	-157.6826
42.500000	85.879677	-158.7227
43.700001	85.851677	-159.7397
45.000000	85.806778	-160.7395
46.200001	85.774132	-161.7254
47.500000	85.736252	-162.6895
48.700001	85.689476	-163.5186
50.000000	85.653938	-164.4212
51.500000	85.598785	-165.4026
53.000000	85.563484	-166.3858
54.500000	85.494102	-167.2309
56.000000	85.459084	-168.0649
58.000000	85.427834	-169.2407
60.000000	85.391602	-170.4158
61.500000	85.355148	-170.9287
63.000000	85.339142	-171.6811
65.000000	85.285042	-172.6553
67.000000	85.263756	-173.5666
69.000000	85.209351	-174.5111
71.000000	85.147614	-175.0763
73.000000	85.100441	-175.9662
75.000000	85.054512	-176.7412
77.500000	84.995117	-177.6782
80.000000	84.917252	-178.5121
82.500000	84.852074	-179.2563
85.000000	84.778297	-179.9961
87.500000	84.705971	179.2265
90.000000	84.639755	178.5335
92.500000	84.562653	177.9088
