* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: May 15, 2019 11:28:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CFA IO | Foam
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.141846	2.5265
20.600000	72.201653	1.7749
21.200001	72.232788	1.1204
21.799999	72.240761	0.3586
22.400000	72.229340	-0.4520
23.000000	72.217064	-1.3388
23.600000	72.203400	-2.3679
24.299999	72.168388	-3.6009
25.000000	72.141174	-4.5684
25.799999	72.184578	-5.5340
26.500000	72.253349	-6.6468
27.200001	72.286301	-7.8566
28.000000	72.289612	-8.9502
29.000000	72.307343	-10.0199
30.000000	72.313576	-11.1352
30.700001	72.302299	-11.8142
31.500000	72.314743	-12.5367
32.500000	72.339745	-13.8005
33.500000	72.328644	-14.9688
34.500000	72.374512	-16.1506
35.500000	72.364250	-17.5771
36.500000	72.361359	-18.3360
37.500000	72.428009	-19.4231
38.700001	72.406845	-20.8216
40.000000	72.386864	-21.8205
41.200001	72.422562	-22.7494
42.500000	72.418167	-24.2858
43.700001	72.391670	-25.2115
45.000000	72.394218	-26.4601
46.200001	72.395432	-27.4156
47.500000	72.403152	-28.8657
48.700001	72.356346	-29.8650
50.000000	72.380920	-30.9132
51.500000	72.368599	-32.3312
53.000000	72.395645	-33.4920
54.500000	72.393188	-34.6075
56.000000	72.435104	-35.7714
58.000000	72.436287	-37.2704
60.000000	72.423363	-37.9613
61.500000	72.416313	-39.8928
63.000000	72.387428	-40.6470
65.000000	72.384598	-42.4846
67.000000	72.370796	-44.2492
69.000000	72.378647	-45.8372
71.000000	72.376572	-47.0720
73.000000	72.376785	-48.6444
75.000000	72.346878	-50.2171
77.500000	72.296516	-51.8606
80.000000	72.296860	-53.4672
82.500000	72.268700	-55.1541
85.000000	72.259529	-56.9054
87.500000	72.250931	-58.5641
90.000000	72.250397	-60.2086
92.500000	72.239883	-61.7631
95.000000	72.224884	-63.3130
97.500000	72.212257	-65.1836
100.000000	72.186974	-66.6146
103.000000	72.160118	-68.3888
106.000000	72.130524	-70.2879
109.000000	72.114822	-72.1671
112.000000	72.100990	-74.0200
115.000000	72.088379	-75.6931
118.000000	72.059494	-77.4738
122.000000	72.026146	-79.9009
125.000000	72.030823	-81.7462
128.000000	71.974228	-83.3572
132.000000	71.937775	-85.7119
136.000000	71.907692	-88.1490
140.000000	71.914078	-90.3204
145.000000	71.845665	-92.9386
150.000000	71.754814	-95.4683
155.000000	71.742599	-98.1855
160.000000	71.686615	-100.8281
165.000000	71.611427	-103.7119
170.000000	71.570923	-106.0690
175.000000	71.529663	-108.3555
180.000000	71.465614	-111.1919
185.000000	71.391388	-113.5730
190.000000	71.398918	-116.2985
195.000000	71.323174	-118.4000
200.000000	71.285995	-120.9563
206.000000	71.187744	-123.6533
212.000000	71.156792	-126.8350
218.000000	71.103325	-129.5406
224.000000	71.048157	-132.5975
230.000000	70.955460	-135.0501
236.000000	70.959282	-137.6270
243.000000	70.829590	-140.7072
250.000000	70.756554	-143.9395
258.000000	70.651711	-147.1796
265.000000	70.555153	-150.2405
272.000000	70.560699	-153.1237
280.000000	70.446220	-156.5913
290.000000	70.302658	-160.5132
300.000000	70.204948	-164.6737
307.000000	70.167007	-167.2145
315.000000	70.058838	-170.6002
325.000000	70.000183	-174.3233
335.000000	69.878174	-178.0258
345.000000	69.768234	178.1669
355.000000	69.667801	174.5687
365.000000	69.583633	171.0223
375.000000	69.447525	167.5651
387.000000	69.324799	163.0275
400.000000	69.236221	158.6340
412.000000	69.118729	154.5424
425.000000	68.955750	150.3320
437.000000	68.892700	146.4482
450.000000	68.832855	142.0807
462.000000	68.712082	138.3315
475.000000	68.605644	134.3603
487.000000	68.452225	130.6855
500.000000	68.402496	126.8169
515.000000	68.296875	122.2215
530.000000	68.169769	118.0552
545.000000	68.054993	114.0393
560.000000	67.992401	109.8556
580.000000	67.856865	104.3006
600.000000	67.714417	98.7493
615.000000	67.695213	94.6580
630.000000	67.541451	90.9920
650.000000	67.469986	85.7685
670.000000	67.391861	81.1053
690.000000	67.368973	76.1534
710.000000	67.280983	71.3294
730.000000	67.146851	66.5750
750.000000	67.210182	62.3026
775.000000	67.100784	56.5125
800.000000	67.155777	51.4039
825.000000	67.149933	45.9768
850.000000	67.198235	41.1935
875.000000	67.257263	36.2223
900.000000	67.319000	31.2171
925.000000	67.461525	26.6292
950.000000	67.597366	21.9703
975.000000	67.770744	17.3661
1000.000000	67.889183	13.6075
1030.000000	68.386658	6.9609
1060.000000	68.737556	1.1585
1090.000000	69.164673	-4.7888
1120.000000	69.653709	-10.8268
1150.000000	70.127846	-17.2942
1180.000000	70.693275	-24.2090
1220.000000	71.374832	-33.8622
1250.000000	71.931931	-41.3835
1280.000000	72.490234	-49.2249
1320.000000	73.239983	-60.2327
1360.000000	73.983696	-71.8532
1400.000000	74.697411	-84.2168
1450.000000	75.593010	-100.9510
1500.000000	76.351425	-119.3884
1550.000000	76.845421	-139.5096
1600.000000	76.927460	-160.5240
1650.000000	76.518394	178.6196
1700.000000	75.728485	159.5651
1750.000000	74.682320	142.5982
1800.000000	73.575294	127.8071
1850.000000	72.432541	115.0853
1900.000000	71.333366	103.9094
1950.000000	70.368248	93.7877
2000.000000	69.384392	84.0279
2060.000000	68.423378	74.5128
2120.000000	67.515892	65.8057
2180.000000	66.639648	56.9446
2240.000000	65.979698	48.9248
2300.000000	65.333160	41.5566
2360.000000	64.746353	34.4757
2430.000000	64.250160	26.2751
2500.000000	63.717548	19.1625
2580.000000	63.276028	10.5070
2650.000000	62.999466	3.6535
2720.000000	62.742641	-3.2259
2800.000000	62.521427	-10.0714
2900.000000	62.365196	-19.0875
3000.000000	62.518356	-26.7062
3070.000000	62.538193	-32.9781
3150.000000	62.814167	-38.6771
3250.000000	63.230164	-47.2714
3350.000000	63.797264	-55.6005
3450.000000	64.582642	-63.4048
3550.000000	65.551743	-71.4844
3650.000000	67.015152	-81.2814
3750.000000	68.753494	-94.0979
3870.000000	70.987144	-117.7208
4000.000000	71.671318	-156.1029
4120.000000	69.372902	174.0361
4250.000000	66.074028	159.2535
4370.000000	63.726288	158.4626
4500.000000	62.972076	165.1965
4620.000000	64.111473	170.4377
4750.000000	66.588120	167.3083
4870.000000	68.732880	153.6532
5000.000000	69.784714	132.5133
5150.000000	69.494049	111.6910
5300.000000	68.605576	97.9591
5450.000000	67.910278	89.0914
5600.000000	67.510811	83.3896
5800.000000	67.493233	78.0247
6000.000000	68.025925	73.4082
6150.000000	68.801147	70.0466
6300.000000	69.880508	65.8368
6500.000000	71.725845	57.4414
6700.000000	73.726448	41.6580
6900.000000	74.525711	17.1097
7100.000000	73.042725	-4.0750
7300.000000	70.743813	-10.8894
7500.000000	69.488342	-3.6388
7750.000000	71.554199	0.8254
8000.000000	72.936958	-14.7858
8250.000000	72.036278	-28.0470
8500.000000	70.933861	-31.5438
8750.000000	70.347397	-31.1187
