* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Nov 7, 2019 3:12:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: iBasso IT04 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.076935	-146.0462
21.200001	85.090660	-146.0418
21.799999	85.079140	-146.1224
22.400000	85.039406	-146.2708
23.000000	84.988815	-146.3727
23.600000	84.959030	-146.4621
24.299999	84.952751	-146.7613
25.000000	84.936218	-147.2602
25.799999	84.888245	-147.6397
26.500000	84.863007	-147.6350
27.200001	84.873489	-147.5225
28.000000	84.897537	-147.4843
29.000000	84.889946	-147.4763
30.000000	84.851379	-147.2590
30.700001	84.832741	-147.0815
31.500000	84.808197	-147.0168
32.500000	84.755516	-146.9566
33.500000	84.719582	-146.8435
34.500000	84.683739	-146.8198
35.500000	84.641945	-146.5636
36.500000	84.636597	-146.2288
37.500000	84.615784	-145.9906
38.700001	84.576897	-145.4591
40.000000	84.548279	-144.9407
41.200001	84.518669	-144.5546
42.500000	84.460663	-144.2140
43.700001	84.419739	-143.7246
45.000000	84.380051	-143.2557
46.200001	84.347961	-142.7373
47.500000	84.304932	-142.1780
48.700001	84.272507	-141.6006
50.000000	84.231842	-141.0655
51.500000	84.176041	-140.3715
53.000000	84.125168	-139.6850
54.500000	84.068604	-138.8835
56.000000	84.031883	-138.1740
58.000000	83.964111	-137.3070
60.000000	83.882431	-136.1533
61.500000	83.878113	-135.2121
63.000000	83.848038	-134.4270
65.000000	83.824402	-133.2632
67.000000	83.754623	-132.2663
69.000000	83.706116	-131.0797
71.000000	83.663918	-129.9953
73.000000	83.617943	-128.8452
75.000000	83.581535	-127.6689
77.500000	83.548950	-126.2662
80.000000	83.490509	-124.9009
82.500000	83.435394	-123.4466
85.000000	83.396584	-122.0450
87.500000	83.353050	-120.6607
90.000000	83.313911	-119.2660
92.500000	83.279602	-117.8520
95.000000	83.233093	-116.4398
97.500000	83.198746	-115.0727
100.000000	83.154129	-113.7026
103.000000	83.106308	-112.0708
106.000000	83.056999	-110.3884
109.000000	83.008537	-108.6833
112.000000	82.966080	-106.9799
115.000000	82.918762	-105.2991
118.000000	82.858795	-103.6097
122.000000	82.811623	-101.4008
125.000000	82.769104	-99.8165
128.000000	82.720413	-98.0810
132.000000	82.657234	-95.8349
136.000000	82.603745	-93.6878
140.000000	82.540863	-91.4185
145.000000	82.482826	-88.6045
150.000000	82.402290	-85.8473
155.000000	82.353920	-83.1447
160.000000	82.290802	-80.3671
165.000000	82.234222	-77.6191
170.000000	82.177353	-74.8725
175.000000	82.118690	-72.0707
180.000000	82.066231	-69.4021
185.000000	82.012146	-66.6633
190.000000	81.965492	-63.9522
195.000000	81.919937	-61.2193
200.000000	81.877815	-58.5352
206.000000	81.823227	-55.3662
212.000000	81.770195	-52.2228
218.000000	81.718750	-49.0460
224.000000	81.677048	-45.9077
230.000000	81.614151	-42.8045
236.000000	81.577988	-39.6551
243.000000	81.521942	-36.1068
250.000000	81.491684	-32.5807
258.000000	81.429184	-28.4166
265.000000	81.380554	-24.8755
272.000000	81.336151	-21.3861
280.000000	81.300095	-17.4665
290.000000	81.246269	-12.4992
300.000000	81.185539	-7.5415
307.000000	81.137527	-4.2116
315.000000	81.089928	-0.2965
325.000000	81.053017	4.4843
335.000000	81.011421	9.1778
345.000000	80.963112	13.9030
355.000000	80.909378	18.5736
365.000000	80.860275	23.2589
375.000000	80.825722	27.8273
387.000000	80.776443	33.2220
400.000000	80.721420	39.1089
412.000000	80.675667	44.4994
425.000000	80.627136	50.2389
437.000000	80.582024	55.5547
450.000000	80.536301	61.2400
462.000000	80.491806	66.5044
475.000000	80.452805	72.1044
487.000000	80.417770	77.2148
500.000000	80.369835	82.7002
515.000000	80.321434	89.0370
530.000000	80.277313	95.3180
545.000000	80.230537	101.5171
560.000000	80.189774	107.6392
580.000000	80.141136	115.8940
600.000000	80.089348	123.8800
615.000000	80.064850	129.9124
630.000000	80.025261	135.8626
650.000000	79.990509	143.6770
670.000000	79.949928	151.5603
690.000000	79.913826	159.2143
710.000000	79.880524	166.7657
730.000000	79.846359	174.3831
750.000000	79.808006	-178.1811
775.000000	79.731094	-168.9088
800.000000	79.660843	-159.5840
825.000000	79.585403	-150.1644
850.000000	79.532372	-140.5770
875.000000	79.495201	-130.8582
900.000000	79.518143	-120.9972
925.000000	79.645767	-111.4999
950.000000	79.776764	-102.5883
975.000000	79.862961	-93.9479
1000.000000	79.948410	-84.8683
1030.000000	80.089394	-74.8046
1060.000000	80.265701	-64.5566
1090.000000	80.440636	-54.5741
1120.000000	80.648270	-44.8893
1150.000000	80.875450	-35.4941
1180.000000	81.109352	-26.3488
1220.000000	81.426819	-14.7249
1250.000000	81.658287	-6.2133
1280.000000	81.877258	2.0144
1320.000000	82.161026	12.5231
1360.000000	82.421600	22.8281
1400.000000	82.667671	32.7979
1450.000000	82.941689	44.7867
1500.000000	83.189308	56.4050
1550.000000	83.406349	67.6381
1600.000000	83.575966	78.5447
1650.000000	83.710304	89.1379
1700.000000	83.788147	99.5088
1750.000000	83.821465	109.7698
1800.000000	83.804314	120.0461
1850.000000	83.747375	130.4102
1900.000000	83.656639	141.0148
1950.000000	83.565559	151.9185
2000.000000	83.483749	163.2499
2060.000000	83.511223	177.3321
2120.000000	83.704895	-168.3749
2180.000000	84.111343	-154.6222
2240.000000	84.705795	-142.2753
2300.000000	85.334885	-131.8032
2360.000000	85.885094	-123.1958
2430.000000	86.252480	-114.7670
2500.000000	86.301033	-106.6849
2580.000000	86.087616	-96.6805
2650.000000	85.792145	-86.9239
2720.000000	85.501778	-76.3911
2800.000000	85.224113	-63.7969
2900.000000	85.007271	-47.6367
3000.000000	84.943550	-31.7949
3070.000000	84.990883	-21.0836
3150.000000	85.083176	-9.5862
3250.000000	85.233498	3.5984
3350.000000	85.341095	15.5510
3450.000000	85.348984	26.3808
3550.000000	85.226471	36.4594
3650.000000	84.943794	46.0497
3750.000000	84.506805	55.3953
3870.000000	83.736481	66.8629
4000.000000	82.637466	80.3920
4120.000000	81.440414	94.7580
4250.000000	80.074738	113.4697
4370.000000	79.026817	134.4244
4500.000000	78.706810	160.5378
4620.000000	79.477669	-177.3307
4750.000000	80.745819	-160.5522
4870.000000	81.565598	-149.6962
5000.000000	81.997467	-139.4541
5150.000000	82.178909	-127.4639
5300.000000	82.259644	-115.1387
5450.000000	82.353134	-102.9153
5600.000000	82.472275	-91.0645
5800.000000	82.764679	-77.5522
6000.000000	82.610573	-66.8550
6150.000000	82.016518	-58.9167
6300.000000	81.023041	-48.1675
6500.000000	79.899071	-26.0951
6700.000000	80.203873	-0.3978
6900.000000	81.663635	20.8875
7100.000000	83.597519	36.7778
7300.000000	85.803764	48.3810
7500.000000	88.372734	55.1273
7750.000000	91.887711	52.8445
8000.000000	94.491997	34.7019
8250.000000	93.978790	5.7858
8500.000000	91.095383	-7.9695
8750.000000	88.422546	-10.9846
9000.000000	86.272865	-9.9104
9250.000000	84.546303	-7.5695
9500.000000	83.113770	-5.0781
9750.000000	81.888374	-3.1802
10000.000000	80.780846	-2.1804
10300.000000	79.440285	-2.3683
10600.000000	77.894775	-2.9403
10900.000000	76.185204	-2.3015
11200.000000	74.540298	0.8099
11500.000000	73.403984	6.5111
11800.000000	73.051094	10.5361
12200.000000	72.818069	9.6459
12500.000000	72.587021	7.9836
12800.000000	72.623283	5.4772
13200.000000	73.077484	-0.2893
13600.000000	74.139297	-11.8967
14000.000000	75.111526	-30.4457
14500.000000	76.201530	-60.8018
15000.000000	76.789146	-105.1595
15500.000000	74.307381	-157.0159
16000.000000	69.163910	170.7374
16500.000000	66.795815	149.6569
17000.000000	64.396156	122.6916
17500.000000	62.210388	98.6743
18000.000000	60.552628	75.1644
18500.000000	60.053814	50.6861
19000.000000	60.644974	15.1268
19500.000000	59.776295	-35.4388
