* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 27, 2021 2:09:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aune Jasper - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	78.042084	-107.2010
21.200001	78.124832	-108.9369
21.799999	78.255539	-110.3797
22.400000	78.456718	-112.0830
23.000000	78.638733	-114.0365
23.600000	78.761131	-115.5644
24.299999	78.904823	-116.5974
25.000000	79.052460	-117.8823
25.799999	79.125900	-120.1334
26.500000	79.204613	-122.2959
27.200001	79.337929	-124.4444
28.000000	79.436684	-125.6962
29.000000	79.621170	-126.0608
30.000000	79.481674	-129.7753
30.700001	79.125092	-131.6440
31.500000	79.250580	-131.5856
32.500000	79.894302	-133.2500
33.500000	80.041092	-134.5254
34.500000	80.006180	-135.5671
35.500000	80.047752	-137.4335
36.500000	80.282150	-139.3082
37.500000	80.299866	-139.4297
38.700001	80.252495	-142.3277
40.000000	79.398048	-146.6885
41.200001	80.238998	-144.2141
42.500000	80.635971	-146.6197
43.700001	80.457794	-146.8386
45.000000	80.552032	-148.7050
46.200001	80.683624	-149.2204
47.500000	80.525162	-150.4432
48.700001	80.499237	-150.9652
50.000000	80.593857	-151.7995
51.500000	80.593277	-153.3843
53.000000	80.695770	-155.1234
54.500000	80.660904	-155.5993
56.000000	80.693741	-156.9232
58.000000	80.565720	-158.0650
60.000000	80.749924	-159.9869
61.500000	81.024818	-150.4064
63.000000	80.806969	-158.8737
65.000000	80.793625	-162.9349
67.000000	80.703476	-162.7107
69.000000	80.739746	-164.1935
71.000000	80.685738	-165.0332
73.000000	80.686066	-165.9801
75.000000	80.657188	-166.7773
77.500000	80.665421	-167.7573
80.000000	80.630112	-168.7410
82.500000	80.603531	-169.7034
85.000000	80.634094	-170.7867
87.500000	80.553558	-171.3670
90.000000	80.516655	-172.1787
92.500000	80.503113	-174.5168
95.000000	80.475655	-173.5633
97.500000	80.435539	-174.2787
100.000000	80.398773	-175.0359
103.000000	80.379089	-175.6189
106.000000	80.319260	-176.2079
109.000000	80.269356	-176.9081
112.000000	80.232796	-177.5217
115.000000	80.173462	-178.2544
118.000000	80.139183	-178.7647
122.000000	80.068710	-179.3431
125.000000	80.013550	-179.8893
128.000000	79.969391	179.6404
132.000000	79.899826	179.0427
136.000000	79.834030	178.4978
140.000000	79.769875	178.0413
145.000000	79.666809	177.3280
150.000000	79.600159	176.8127
155.000000	79.510742	176.4110
160.000000	79.444427	176.0106
165.000000	79.358948	175.5319
