* Measurement data measured by REW V5.20 Beta 13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jul 13, 2019 8:22:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KXXS - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.549438	-152.7586
20.600000	85.650375	-153.8568
21.200001	85.725410	-154.7151
21.799999	85.793640	-155.6347
22.400000	85.836441	-156.7022
23.000000	85.854996	-157.7668
23.600000	85.875771	-158.7685
24.299999	85.917580	-159.9796
25.000000	85.960907	-161.2506
25.799999	86.008217	-162.6056
26.500000	86.056969	-163.6981
27.200001	86.103348	-164.7492
28.000000	86.143944	-165.8540
29.000000	86.184616	-167.1261
30.000000	86.204422	-168.3828
30.700001	86.211975	-169.2183
31.500000	86.226479	-170.2393
32.500000	86.218719	-171.6292
33.500000	86.203110	-172.7388
34.500000	86.232643	-173.8140
35.500000	86.250778	-174.9628
36.500000	86.268707	-175.9454
37.500000	86.283760	-176.9913
38.700001	86.265671	-178.1576
40.000000	86.234879	-179.3402
41.200001	86.201660	179.6638
42.500000	86.183884	178.5948
43.700001	86.181465	177.5650
45.000000	86.155739	176.4428
46.200001	86.140984	175.6066
47.500000	86.116081	174.6258
48.700001	86.087746	173.7780
50.000000	86.035576	172.8748
51.500000	85.997124	171.9949
53.000000	85.980843	171.0869
54.500000	85.947853	170.0815
56.000000	85.916603	169.2235
58.000000	85.851189	168.1317
60.000000	85.784348	167.3704
61.500000	85.765991	166.3003
63.000000	85.708710	165.5331
65.000000	85.660912	164.5201
67.000000	85.601822	163.5335
69.000000	85.544708	162.6902
71.000000	85.490883	161.8260
73.000000	85.433151	160.9669
75.000000	85.370041	160.1925
77.500000	85.299675	159.1615
80.000000	85.232513	158.1536
82.500000	85.161926	157.2411
85.000000	85.089081	156.3287
87.500000	85.021492	155.3958
90.000000	84.940079	154.1101
92.500000	84.871140	153.8127
95.000000	84.801430	153.1356
97.500000	84.712532	152.4013
100.000000	84.640808	151.6595
103.000000	84.560295	150.7715
106.000000	84.455910	150.0256
109.000000	84.361122	149.1773
112.000000	84.273590	148.4438
115.000000	84.168694	147.7787
118.000000	84.086052	147.1268
122.000000	83.971268	146.2935
125.000000	83.879822	145.7015
128.000000	83.781967	145.1414
132.000000	83.674896	144.5066
136.000000	83.559578	143.7740
140.000000	83.468536	143.1397
145.000000	83.332382	142.2371
150.000000	83.188057	141.5569
155.000000	83.046143	140.9263
160.000000	82.910416	140.3588
165.000000	82.806313	139.7204
170.000000	82.673233	139.1977
175.000000	82.558662	138.5744
180.000000	82.431183	138.2997
185.000000	82.323219	137.6248
190.000000	82.208786	137.3012
195.000000	82.091858	136.8918
200.000000	81.987556	136.5412
206.000000	81.861542	136.1096
212.000000	81.749527	135.8461
218.000000	81.639069	135.4644
224.000000	81.528282	135.2479
230.000000	81.416779	135.0116
236.000000	81.314415	134.8542
243.000000	81.240402	134.9110
250.000000	81.201141	134.6372
258.000000	81.141060	134.0781
265.000000	81.048737	133.5067
272.000000	80.961594	133.0677
280.000000	80.856827	132.7552
290.000000	80.731171	132.3731
300.000000	80.603043	131.9746
307.000000	80.532593	131.8170
315.000000	80.453468	131.6172
325.000000	80.372932	131.5303
335.000000	80.307755	131.1454
345.000000	80.215317	130.6592
355.000000	80.145767	130.4816
365.000000	80.066086	130.2452
375.000000	79.998016	130.0138
387.000000	79.920731	129.7240
400.000000	79.833534	129.3752
412.000000	79.767349	129.1447
425.000000	79.700645	128.8729
437.000000	79.642700	128.7087
450.000000	79.582016	128.5021
462.000000	79.542648	128.1755
475.000000	79.473358	127.9763
487.000000	79.431030	127.7777
500.000000	79.387405	127.5446
515.000000	79.341095	127.2493
530.000000	79.314377	127.0858
545.000000	79.270248	126.8000
560.000000	79.253510	126.5430
580.000000	79.194107	126.2994
600.000000	79.151817	126.0760
615.000000	79.114716	125.9413
630.000000	79.094398	125.7682
650.000000	79.082466	125.5998
