* Measurement data measured by REW V5.31.3
* Source: Microphone (CalDigit Thunderbolt 3 Audio), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 10:25:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kadenz R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.769 -5.4752
0.732422 45.560 34.9285
1.098633 54.034 60.5106
1.464844 60.830 52.7894
1.831055 65.713 39.6547
2.197266 69.420 26.1236
2.563477 72.329 13.4069
2.929688 74.664 1.8750
3.295898 76.581 -8.3859
3.662109 78.195 -17.4400
4.028320 79.593 -25.4547
4.394531 80.834 -32.6555
4.760742 81.951 -39.2700
5.126953 82.956 -45.4742
5.493164 83.852 -51.3613
5.859375 84.639 -56.9414
6.225586 85.320 -62.1652
6.591797 85.909 -66.9653
6.958008 86.425 -71.3010
7.324219 86.891 -75.1943
7.690430 87.328 -78.7368
8.056641 87.742 -82.0562
8.422852 88.131 -85.2590
8.789062 88.484 -88.3834
9.155273 88.792 -91.3946
9.521484 89.059 -94.2225
9.887695 89.295 -96.8167
10.253906 89.515 -99.1874
10.620117 89.731 -101.4060
10.986328 89.946 -103.5671
11.352539 90.153 -105.7381
11.718750 90.342 -107.9318
12.084961 90.507 -110.1139
12.451172 90.648 -112.2331
12.817383 90.768 -114.2509
13.183594 90.876 -116.1550
13.549805 90.975 -117.9558
13.916016 91.069 -119.6731
14.282227 91.159 -121.3237
14.648438 91.244 -122.9165
15.014648 91.323 -124.4522
15.380859 91.397 -125.9266
15.747070 91.466 -127.3349
16.113281 91.532 -128.6773
16.479492 91.597 -129.9613
16.845703 91.661 -131.2009
17.211914 91.724 -132.4101
17.578125 91.784 -133.5969
17.944336 91.838 -134.7616
18.310547 91.887 -135.8999
18.676758 91.930 -137.0072
19.042969 91.966 -138.0796
19.409180 91.996 -139.1114
19.775391 92.021 -140.0941
20.141602 92.041 -141.0216
20.507812 92.059 -141.8991
20.874023 92.070 -142.7466
21.240234 92.078 -143.5893
21.606445 92.078 -144.4395
21.972656 92.069 -145.2843
22.338867 92.051 -146.0921
22.705078 92.028 -146.8372
23.071289 92.008 -147.5244
23.437500 91.994 -148.1925
23.803711 91.985 -148.8896
24.169922 91.974 -149.6370
24.536133 91.955 -150.4110
24.902344 91.925 -151.1585
25.268555 91.889 -151.8348
25.634766 91.855 -152.4365
26.000977 91.830 -153.0034
26.367188 91.812 -153.5883
26.733398 91.794 -154.2175
27.099609 91.769 -154.8742
27.465820 91.736 -155.5146
27.832031 91.697 -156.1016
28.198242 91.658 -156.6286
28.564453 91.622 -157.1168
28.930664 91.590 -157.5925
29.296875 91.560 -158.0652
29.663086 91.529 -158.5259
30.029297 91.499 -158.9645
30.395508 91.473 -159.3862
30.761719 91.452 -159.8129
31.127930 91.433 -160.2660
31.494141 91.412 -160.7478
31.860352 91.387 -161.2390
32.226562 91.357 -161.7119
32.592773 91.324 -162.1497
32.958984 91.294 -162.5545
33.325195 91.265 -162.9389
33.691406 91.239 -163.3132
34.057617 91.216 -163.6804
34.423828 91.194 -164.0427
34.790039 91.176 -164.4096
35.156250 91.159 -164.7960
35.522461 91.139 -165.2074
35.888672 91.114 -165.6271
36.254883 91.083 -166.0210
36.621094 91.049 -166.3598
36.987305 91.019 -166.6437
37.353516 90.998 -166.9082
37.719727 90.984 -167.2009
38.085938 90.971 -167.5467
38.452148 90.953 -167.9298
38.818359 90.927 -168.3070
39.184570 90.897 -168.6412
39.550781 90.868 -168.9287
39.916992 90.846 -169.1988
40.283203 90.829 -169.4872
40.649414 90.813 -169.8071
41.015625 90.792 -170.1427
41.381836 90.769 -170.4685
41.748047 90.745 -170.7740
42.114258 90.722 -171.0707
42.480469 90.700 -171.3748
42.846680 90.674 -171.6834
43.212891 90.642 -171.9672
43.579102 90.609 -172.1905
43.945312 90.580 -172.3445
44.311523 90.563 -172.4641
44.677734 90.559 -172.6128
45.043945 90.560 -172.8408
45.410156 90.557 -173.1509
45.776367 90.542 -173.4957
46.142578 90.515 -173.8087
46.508789 90.483 -174.0467
46.875000 90.455 -174.2156
47.241211 90.437 -174.3629
47.607422 90.426 -174.5423
47.973633 90.416 -174.7769
48.339844 90.399 -175.0475
48.706055 90.374 -175.3102
49.072266 90.346 -175.5290
49.438477 90.318 -175.7000
49.804688 90.297 -175.8502
50.170898 90.281 -176.0148
50.537109 90.266 -176.2106
50.903320 90.249 -176.4265
51.269531 90.228 -176.6366
51.635742 90.206 -176.8238
52.001953 90.187 -176.9948
52.368164 90.172 -177.1729
52.734375 90.158 -177.3764
53.100586 90.140 -177.6003
53.466797 90.119 -177.8180
53.833008 90.094 -178.0017
54.199219 90.072 -178.1458
54.565430 90.056 -178.2734
54.931641 90.046 -178.4196
55.297852 90.038 -178.6061
55.664062 90.027 -178.8255
56.030273 90.009 -179.0484
56.396484 89.987 -179.2459
56.762695 89.966 -179.4088
57.128906 89.946 -179.5502
57.495117 89.930 -179.6920
57.861328 89.915 -179.8469
58.227539 89.899 179.9888
58.593750 89.881 179.8283
58.959961 89.862 179.6822
59.326172 89.843 179.5503
59.692383 89.826 179.4233
60.058594 89.811 179.2906
60.424805 89.796 179.1474
60.791016 89.779 178.9958
61.157227 89.761 178.8427
61.523438 89.741 178.6958
61.889648 89.720 178.5609
62.255859 89.699 178.4401
62.622070 89.680 178.3305
62.988281 89.663 178.2239
63.354492 89.649 178.1104
63.720703 89.635 177.9830
64.086914 89.621 177.8424
64.453125 89.606 177.6961
64.819336 89.588 177.5531
65.185547 89.571 177.4179
65.551758 89.554 177.2878
65.917969 89.537 177.1572
66.284180 89.520 177.0245
66.650391 89.502 176.8960
67.016602 89.483 176.7815
67.382812 89.465 176.6860
67.749023 89.450 176.6020
68.115234 89.439 176.5112
68.481445 89.431 176.3953
68.847656 89.421 176.2494
69.213867 89.407 176.0874
69.580078 89.387 175.9356
69.946289 89.365 175.8158
70.312500 89.345 175.7312
70.678711 89.329 175.6631
71.044922 89.318 175.5831
71.411133 89.309 175.4714
71.777344 89.298 175.3300
72.143555 89.282 175.1796
72.509766 89.261 175.0461
72.875977 89.239 174.9438
73.242188 89.220 174.8685
73.608398 89.204 174.8028
73.974609 89.192 174.7279
74.340820 89.181 174.6339
74.707031 89.169 174.5221
75.073242 89.155 174.4014
75.439453 89.139 174.2834
75.805664 89.120 174.1787
76.171875 89.100 174.0949
76.538086 89.081 174.0334
76.904297 89.066 173.9867
77.270508 89.054 173.9397
77.636719 89.045 173.8762
78.002930 89.036 173.7879
78.369141 89.025 173.6801
78.735352 89.010 173.5677
79.101562 88.993 173.4662
79.467773 88.974 173.3822
79.833984 88.956 173.3119
80.200195 88.940 173.2466
80.566406 88.924 173.1810
80.932617 88.909 173.1151
81.298828 88.894 173.0508
81.665039 88.880 172.9866
82.031250 88.867 172.9161
82.397461 88.854 172.8339
82.763672 88.840 172.7410
83.129883 88.824 172.6461
83.496094 88.807 172.5595
83.862305 88.789 172.4854
84.228516 88.773 172.4188
84.594727 88.758 172.3502
84.960938 88.743 172.2753
85.327148 88.727 172.1990
85.693359 88.709 172.1326
86.059570 88.692 172.0837
86.425781 88.677 172.0483
86.791992 88.666 172.0119
87.158203 88.656 171.9593
87.524414 88.647 171.8853
87.890625 88.635 171.7982
88.256836 88.621 171.7127
88.623047 88.605 171.6391
88.989258 88.590 171.5759
89.355469 88.575 171.5134
89.721680 88.561 171.4437
90.087891 88.545 171.3700
90.454102 88.527 171.3049
90.820312 88.508 171.2603
91.186523 88.491 171.2360
91.552734 88.478 171.2161
91.918945 88.469 171.1791
92.285156 88.461 171.1125
92.651367 88.450 171.0223
93.017578 88.434 170.9288
93.383789 88.416 170.8542
93.750000 88.397 170.8077
94.116211 88.380 170.7819
94.482422 88.367 170.7588
94.848633 88.357 170.7231
95.214844 88.347 170.6703
95.581055 88.336 170.6073
95.947266 88.322 170.5451
96.313477 88.308 170.4920
96.679688 88.294 170.4489
97.045898 88.281 170.4111
97.412109 88.269 170.3723
97.778320 88.257 170.3283
98.144531 88.245 170.2795
98.510742 88.232 170.2298
98.876953 88.218 170.1838
99.243164 88.204 170.1443
99.609375 88.191 170.1104
99.975586 88.178 170.0783
100.341797 88.165 170.0445
100.708008 88.153 170.0078
101.074219 88.141 169.9695
101.440430 88.129 169.9316
101.806641 88.118 169.8938
102.172852 88.106 169.8531
102.539062 88.095 169.8069
102.905273 88.083 169.7557
103.271484 88.071 169.7034
103.637695 88.057 169.6554
104.003906 88.043 169.6147
104.370117 88.029 169.5809
104.736328 88.016 169.5520
105.102539 88.004 169.5263
105.468750 87.992 169.5022
105.834961 87.982 169.4759
106.201172 87.973 169.4418
106.567383 87.963 169.3960
106.933594 87.951 169.3424
107.299805 87.936 169.2949
107.666016 87.919 169.2702
108.032227 87.903 169.2754
108.398438 87.892 169.2983
108.764648 87.886 169.3113
109.130859 87.883 169.2892
109.497070 87.878 169.2277
109.863281 87.868 169.1491
110.229492 87.852 169.0883
110.595703 87.834 169.0680
110.961914 87.820 169.0811
111.328125 87.813 169.0938
111.694336 87.809 169.0703
112.060547 87.805 168.9991
112.426758 87.793 168.9032
112.792969 87.774 168.8248
113.159180 87.751 168.7972
113.525391 87.730 168.8224
113.891602 87.718 168.8704
114.257812 87.712 168.9001
114.624023 87.710 168.8865
114.990234 87.704 168.8340
115.356445 87.693 168.7704
115.722656 87.677 168.7258
116.088867 87.661 168.7140
116.455078 87.647 168.7268
116.821289 87.638 168.7427
117.187500 87.632 168.7419
117.553711 87.626 168.7172
117.919922 87.618 168.6755
118.286133 87.607 168.6308
118.652344 87.595 168.5951
119.018555 87.582 168.5730
119.384766 87.571 168.5605
119.750977 87.560 168.5494
120.117188 87.551 168.5325
120.483398 87.542 168.5081
120.849609 87.532 168.4800
121.215820 87.522 168.4546
121.582031 87.511 168.4349
121.948242 87.501 168.4178
122.314453 87.492 168.3969
122.680664 87.482 168.3685
123.046875 87.471 168.3373
123.413086 87.458 168.3154
123.779297 87.444 168.3126
124.145508 87.432 168.3280
124.511719 87.424 168.3472
124.877930 87.419 168.3512
125.244141 87.414 168.3307
125.610352 87.406 168.2932
125.976562 87.395 168.2584
126.342773 87.382 168.2429
126.708984 87.370 168.2474
127.075195 87.360 168.2567
127.441406 87.354 168.2524
127.807617 87.346 168.2283
128.173828 87.336 168.1943
128.540039 87.324 168.1681
128.906250 87.311 168.1587
129.272461 87.299 168.1602
129.638672 87.290 168.1571
130.004883 87.280 168.1400
130.371094 87.269 168.1143
130.737305 87.255 168.0970
131.103516 87.241 168.1014
131.469727 87.229 168.1248
131.835938 87.221 168.1491
132.202148 87.216 168.1538
132.568359 87.211 168.1320
132.934570 87.202 168.0953
133.300781 87.190 168.0646
133.666992 87.176 168.0545
134.033203 87.164 168.0641
134.399414 87.154 168.0797
134.765625 87.146 168.0870
135.131836 87.138 168.0817
135.498047 87.129 168.0710
135.864258 87.119 168.0658
136.230469 87.108 168.0712
136.596680 87.099 168.0826
136.962891 87.091 168.0905
137.329102 87.084 168.0880
137.695312 87.076 168.0760
138.061523 87.067 168.0622
138.427734 87.056 168.0546
138.793945 87.046 168.0557
139.160156 87.036 168.0611
139.526367 87.028 168.0631
139.892578 87.019 168.0569
140.258789 87.009 168.0450
140.625000 86.998 168.0370
140.991211 86.985 168.0436
141.357422 86.974 168.0683
141.723633 86.966 168.1024
142.089844 86.961 168.1277
142.456055 86.959 168.1267
142.822266 86.955 168.0956
143.188477 86.946 168.0498
143.554688 86.932 168.0164
143.920898 86.916 168.0179
144.287109 86.903 168.0562
144.653320 86.895 168.1093
145.019531 86.893 168.1451
145.385742 86.892 168.1418
145.751953 86.889 168.1026
146.118164 86.881 168.0520
146.484375 86.867 168.0190
146.850586 86.852 168.0178
147.216797 86.840 168.0411
147.583008 86.831 168.0686
147.949219 86.824 168.0829
148.315430 86.818 168.0804
148.681641 86.809 168.0699
149.047852 86.799 168.0627
149.414062 86.789 168.0639
