* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2024 8:41:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Klean L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.083 158.7231
0.732422 42.086 133.9461
1.098633 44.380 107.2260
1.464844 47.722 83.7385
1.831055 51.319 65.1905
2.197266 54.674 50.3192
2.563477 57.627 37.8133
2.929688 60.168 26.9541
3.295898 62.342 17.4090
3.662109 64.215 9.0061
4.028320 65.851 1.5996
4.394531 67.306 -4.9851
4.760742 68.620 -10.9432
5.126953 69.816 -16.4483
5.493164 70.906 -21.6137
5.859375 71.894 -26.4843
6.225586 72.791 -31.0628
6.591797 73.609 -35.3463
6.958008 74.362 -39.3542
7.324219 75.060 -43.1310
7.690430 75.712 -46.7297
8.056641 76.319 -50.1892
8.422852 76.881 -53.5230
8.789062 77.401 -56.7245
9.155273 77.882 -59.7834
9.521484 78.330 -62.7012
9.887695 78.752 -65.4956
10.253906 79.149 -68.1922
10.620117 79.523 -70.8095
10.986328 79.872 -73.3502
11.352539 80.198 -75.8038
11.718750 80.505 -78.1613
12.084961 80.795 -80.4285
12.451172 81.073 -82.6291
12.817383 81.339 -84.7911
13.183594 81.589 -86.9265
13.549805 81.820 -89.0204
13.916016 82.032 -91.0396
14.282227 82.230 -92.9585
14.648438 82.421 -94.7822
15.014648 82.610 -96.5486
15.380859 82.796 -98.3039
15.747070 82.971 -100.0679
16.113281 83.132 -101.8191
16.479492 83.277 -103.5110
16.845703 83.411 -105.1104
17.211914 83.544 -106.6273
17.578125 83.679 -108.1103
17.944336 83.812 -109.6097
18.310547 83.936 -111.1355
18.676758 84.044 -112.6485
19.042969 84.138 -114.0902
19.409180 84.226 -115.4303
19.775391 84.317 -116.6943
20.141602 84.412 -117.9447
20.507812 84.504 -119.2316
20.874023 84.578 -120.5519
21.240234 84.632 -121.8511
21.606445 84.668 -123.0665
21.972656 84.700 -124.1771
22.338867 84.736 -125.2219
22.705078 84.778 -126.2711
23.071289 84.821 -127.3740
23.437500 84.854 -128.5253
23.803711 84.872 -129.6754
24.169922 84.879 -130.7699
24.536133 84.882 -131.7877
24.902344 84.888 -132.7495
25.268555 84.898 -133.6948
25.634766 84.910 -134.6506
26.000977 84.920 -135.6178
26.367188 84.926 -136.5827
26.733398 84.929 -137.5365
27.099609 84.930 -138.4822
27.465820 84.927 -139.4242
27.832031 84.917 -140.3519
28.198242 84.901 -141.2365
28.564453 84.882 -142.0490
28.930664 84.865 -142.7849
29.296875 84.857 -143.4761
29.663086 84.859 -144.1748
30.029297 84.864 -144.9199
30.395508 84.866 -145.7109
30.761719 84.858 -146.5095
31.127930 84.843 -147.2674
31.494141 84.825 -147.9615
31.860352 84.814 -148.6102
32.226562 84.808 -149.2595
32.592773 84.806 -149.9495
32.958984 84.800 -150.6855
33.325195 84.785 -151.4346
33.691406 84.760 -152.1498
34.057617 84.731 -152.8004
34.423828 84.705 -153.3902
34.790039 84.685 -153.9505
35.156250 84.672 -154.5162
35.522461 84.660 -155.1040
35.888672 84.649 -155.7086
36.254883 84.635 -156.3157
36.621094 84.620 -156.9169
36.987305 84.605 -157.5144
37.353516 84.590 -158.1129
37.719727 84.573 -158.7090
38.085938 84.553 -159.2911
38.452148 84.532 -159.8489
38.818359 84.512 -160.3832
39.184570 84.494 -160.9056
39.550781 84.477 -161.4278
39.916992 84.459 -161.9512
40.283203 84.440 -162.4678
40.649414 84.421 -162.9715
41.015625 84.402 -163.4682
41.381836 84.383 -163.9711
41.748047 84.362 -164.4854
42.114258 84.336 -164.9959
42.480469 84.304 -165.4733
42.846680 84.272 -165.8976
43.212891 84.244 -166.2783
43.579102 84.223 -166.6524
43.945312 84.207 -167.0566
44.311523 84.190 -167.4983
44.677734 84.167 -167.9493
45.043945 84.139 -168.3704
45.410156 84.112 -168.7449
45.776367 84.091 -169.0932
46.142578 84.076 -169.4541
46.508789 84.063 -169.8510
46.875000 84.047 -170.2729
47.241211 84.027 -170.6873
47.607422 84.004 -171.0713
47.973633 83.986 -171.4330
48.339844 83.971 -171.8022
48.706055 83.956 -172.2016
49.072266 83.937 -172.6239
49.438477 83.911 -173.0368
49.804688 83.880 -173.4091
50.170898 83.850 -173.7343
50.537109 83.824 -174.0317
50.903320 83.801 -174.3269
51.269531 83.780 -174.6317
51.635742 83.759 -174.9430
52.001953 83.738 -175.2554
52.368164 83.717 -175.5728
52.734375 83.695 -175.9039
53.100586 83.670 -176.2476
53.466797 83.641 -176.5854
53.833008 83.608 -176.8921
54.199219 83.577 -177.1568
54.565430 83.550 -177.3953
54.931641 83.532 -177.6406
55.297852 83.517 -177.9204
55.664062 83.501 -178.2394
56.030273 83.483 -178.5818
56.396484 83.460 -178.9259
56.762695 83.435 -179.2578
57.128906 83.408 -179.5714
57.495117 83.381 -179.8641
57.861328 83.357 179.8628
58.227539 83.336 179.5969
58.593750 83.320 179.3127
58.959961 83.304 178.9866
59.326172 83.282 178.6226
59.692383 83.247 178.2656
60.058594 83.202 177.9817
60.424805 83.158 177.8121
60.791016 83.127 177.7321
61.157227 83.114 177.6552
61.523438 83.115 177.4889
61.889648 83.114 177.2017
62.255859 83.098 176.8467
62.622070 83.065 176.5216
62.988281 83.025 176.2964
63.354492 82.993 176.1617
63.720703 82.975 176.0388
64.086914 82.965 175.8458
64.453125 82.952 175.5648
64.819336 82.924 175.2550
65.185547 82.885 175.0045
65.551758 82.845 174.8583
65.917969 82.817 174.7808
66.284180 82.806 174.6796
66.650391 82.802 174.4774
67.016602 82.791 174.1708
67.382812 82.763 173.8347
67.749023 82.719 173.5694
68.115234 82.673 173.4325
68.481445 82.640 173.3981
68.847656 82.627 173.3719
69.213867 82.630 173.2540
69.580078 82.632 173.0022
69.946289 82.621 172.6553
70.312500 82.591 172.3051
70.678711 82.545 172.0415
71.044922 82.499 171.9032
71.411133 82.463 171.8593
71.777344 82.445 171.8309
72.143555 82.441 171.7384
72.509766 82.439 171.5440
72.875977 82.429 171.2661
73.242188 82.406 170.9621
73.608398 82.370 170.6961
73.974609 82.328 170.5087
74.340820 82.289 170.4029
74.707031 82.259 170.3483
75.073242 82.241 170.2983
75.439453 82.232 170.2102
75.805664 82.226 170.0593
76.171875 82.218 169.8451
76.538086 82.202 169.5909
76.904297 82.175 169.3372
77.270508 82.140 169.1285
77.636719 82.101 168.9948
78.002930 82.068 168.9346
78.369141 82.045 168.9113
78.735352 82.033 168.8702
79.101562 82.028 168.7688
79.467773 82.020 168.6012
79.833984 82.005 168.3981
80.200195 81.981 168.2031
80.566406 81.953 168.0411
80.932617 81.925 167.9059
81.298828 81.897 167.7744
81.665039 81.867 167.6382
82.031250 81.831 167.5211
82.397461 81.791 167.4650
82.763672 81.757 167.4898
83.129883 81.737 167.5602
83.496094 81.736 167.5928
83.862305 81.746 167.5058
84.228516 81.751 167.2760
84.594727 81.739 166.9585
84.960938 81.706 166.6540
85.327148 81.660 166.4480
85.693359 81.616 166.3615
86.059570 81.584 166.3450
86.425781 81.567 166.3193
86.791992 81.557 166.2307
87.158203 81.545 166.0793
87.524414 81.527 165.9044
87.890625 81.504 165.7478
88.256836 81.480 165.6245
88.623047 81.458 165.5206
88.989258 81.440 165.4130
89.355469 81.421 165.2911
89.721680 81.401 165.1635
90.087891 81.379 165.0461
90.454102 81.356 164.9473
90.820312 81.334 164.8613
91.186523 81.315 164.7741
91.552734 81.295 164.6765
91.918945 81.274 164.5717
92.285156 81.250 164.4730
92.651367 81.226 164.3931
93.017578 81.203 164.3333
93.383789 81.183 164.2800
93.750000 81.168 164.2113
94.116211 81.154 164.1116
94.482422 81.137 163.9826
94.848633 81.115 163.8444
95.214844 81.089 163.7247
95.581055 81.062 163.6409
95.947266 81.038 163.5878
96.313477 81.021 163.5406
96.679688 81.007 163.4713
97.045898 80.994 163.3682
97.412109 80.978 163.2436
97.778320 80.957 163.1247
98.144531 80.934 163.0341
98.510742 80.912 162.9744
98.876953 80.894 162.9281
99.243164 80.880 162.8723
99.609375 80.866 162.7953
99.975586 80.850 162.7037
100.341797 80.830 162.6155
100.708008 80.808 162.5468
101.074219 80.787 162.5016
101.440430 80.767 162.4716
101.806641 80.751 162.4428
102.172852 80.736 162.4034
102.539062 80.723 162.3465
102.905273 80.709 162.2698
103.271484 80.693 162.1757
103.637695 80.674 162.0723
104.003906 80.651 161.9740
104.370117 80.624 161.8964
104.736328 80.598 161.8486
105.102539 80.575 161.8253
105.468750 80.556 161.8080
105.834961 80.541 161.7751
106.201172 80.528 161.7157
106.567383 80.513 161.6360
106.933594 80.495 161.5547
107.299805 80.475 161.4892
107.666016 80.456 161.4429
108.032227 80.440 161.4039
108.398438 80.427 161.3545
108.764648 80.414 161.2847
109.130859 80.399 161.1999
109.497070 80.381 161.1167
109.863281 80.361 161.0510
110.229492 80.341 161.0078
110.595703 80.323 160.9787
110.961914 80.308 160.9492
111.328125 80.294 160.9085
111.694336 80.279 160.8559
112.060547 80.263 160.7984
112.426758 80.246 160.7447
112.792969 80.228 160.6989
113.159180 80.210 160.6595
113.525391 80.192 160.6227
113.891602 80.175 160.5867
114.257812 80.158 160.5525
114.624023 80.142 160.5214
114.990234 80.126 160.4920
115.356445 80.112 160.4589
115.722656 80.098 160.4166
116.088867 80.084 160.3638
116.455078 80.068 160.3054
116.821289 80.051 160.2499
117.187500 80.034 160.2029
117.553711 80.018 160.1628
117.919922 80.003 160.1209
118.286133 79.989 160.0682
118.652344 79.975 160.0029
119.018555 79.957 159.9328
119.384766 79.938 159.8711
119.750977 79.917 159.8278
120.117188 79.898 159.8033
120.483398 79.881 159.7888
120.849609 79.866 159.7723
121.215820 79.852 159.7473
121.582031 79.838 159.7156
121.948242 79.823 159.6841
122.314453 79.808 159.6586
122.680664 79.794 159.6386
123.046875 79.782 159.6183
123.413086 79.770 159.5904
123.779297 79.758 159.5515
124.145508 79.745 159.5039
124.511719 79.730 159.4547
124.877930 79.713 159.4115
125.244141 79.695 159.3790
125.610352 79.678 159.3570
125.976562 79.661 159.3406
126.342773 79.646 159.3231
126.708984 79.631 159.2996
127.075195 79.615 159.2704
127.441406 79.599 159.2411
127.807617 79.582 159.2187
128.173828 79.566 159.2057
128.540039 79.552 159.1968
128.906250 79.540 159.1806
129.272461 79.529 159.1476
129.638672 79.516 159.0983
130.004883 79.501 159.0443
130.371094 79.484 159.0016
130.737305 79.467 158.9792
131.103516 79.451 158.9722
131.469727 79.439 158.9650
131.835938 79.428 158.9435
132.202148 79.417 158.9053
132.568359 79.403 158.8623
132.934570 79.387 158.8304
133.300781 79.371 158.8176
133.666992 79.356 158.8175
134.033203 79.344 158.8150
134.399414 79.332 158.7990
134.765625 79.320 158.7705
135.131836 79.305 158.7411
135.498047 79.288 158.7226
135.864258 79.272 158.7169
136.230469 79.258 158.7158
136.596680 79.245 158.7082
136.962891 79.233 158.6888
137.329102 79.221 158.6602
137.695312 79.207 158.6281
138.061523 79.192 158.5952
138.427734 79.177 158.5621
138.793945 79.161 158.5322
139.160156 79.145 158.5135
139.526367 79.129 158.5139
139.892578 79.116 158.5305
140.258789 79.109 158.5440
140.625000 79.105 158.5277
140.991211 79.102 158.4661
141.357422 79.093 158.3701
141.723633 79.076 158.2745
142.089844 79.052 158.2180
142.456055 79.027 158.2187
142.822266 79.006 158.2640
143.188477 78.992 158.3214
143.554688 78.983 158.3621
143.920898 78.974 158.3777
144.287109 78.964 158.3790
144.653320 78.952 158.3798
145.019531 78.940 158.3831
145.385742 78.929 158.3815
145.751953 78.916 158.3688
146.118164 78.901 158.3505
146.484375 78.884 158.3413
146.850586 78.867 158.3517
147.216797 78.852 158.3762
147.583008 78.841 158.3947
147.949219 78.832 158.3884
148.315430 78.822 158.3553
148.681641 78.809 158.3124
149.047852 78.793 158.2823
