* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.625
* Format: 1M Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 26, 2020 8:24:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audeze i4 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.259834	10.2726
20.600000	76.260559	10.1736
21.200001	76.080193	8.4702
21.799999	75.908073	7.3730
22.400000	76.322525	6.0979
23.000000	75.815788	6.9863
23.600000	75.859795	4.2293
24.299999	75.975792	6.1424
25.000000	76.328545	8.4627
25.799999	76.006737	8.2296
26.500000	75.976395	8.1703
27.200001	75.838501	6.1753
28.000000	76.005615	6.5225
29.000000	75.626938	5.2760
30.000000	75.972069	5.3566
30.700001	75.939766	5.8702
31.500000	75.884689	5.9838
32.500000	75.845909	6.7426
33.500000	75.939270	6.6668
34.500000	75.945786	6.0667
35.500000	75.874466	5.2292
36.500000	75.944885	6.7843
37.500000	76.033516	5.4632
38.700001	75.838425	4.0618
40.000000	75.842293	4.6826
41.200001	75.752625	3.1087
42.500000	75.879807	4.9666
43.700001	75.972542	4.5480
45.000000	75.834312	5.9451
46.200001	75.866302	6.7400
47.500000	76.030266	4.1452
48.700001	75.997490	5.0206
50.000000	75.930435	5.8481
51.500000	75.619942	2.6446
53.000000	75.821091	5.8766
54.500000	75.746597	4.6072
56.000000	75.874199	4.5263
58.000000	75.682304	4.6195
60.000000	75.701080	3.9580
61.500000	75.660408	5.1907
63.000000	75.804916	5.9467
65.000000	75.739403	5.5522
67.000000	75.787422	5.1817
69.000000	75.705185	4.6893
71.000000	75.796303	4.8838
73.000000	75.752083	4.7706
75.000000	75.837906	4.7844
77.500000	75.824478	4.8923
80.000000	75.841240	6.1876
82.500000	75.736931	5.2181
85.000000	75.749786	5.5231
87.500000	75.751183	5.8465
90.000000	75.585236	6.6888
92.500000	75.893822	5.0913
95.000000	74.701340	4.4131
97.500000	75.850586	4.6729
100.000000	75.819366	6.5136
103.000000	75.825722	5.8895
106.000000	75.740662	6.2260
109.000000	75.764137	6.1526
112.000000	75.820084	6.0450
115.000000	75.805267	6.3294
118.000000	75.703590	6.0370
122.000000	75.956055	7.1519
125.000000	75.792618	6.8857
128.000000	75.780685	7.0260
132.000000	75.786438	6.9837
136.000000	75.807030	7.4482
140.000000	75.775642	7.2748
145.000000	75.811203	7.3033
150.000000	75.862785	7.5766
155.000000	75.756622	7.6841
160.000000	75.861237	8.2681
165.000000	75.831665	8.6614
170.000000	75.896019	8.5122
175.000000	75.934586	9.1828
180.000000	75.905083	9.5453
185.000000	75.898590	9.2642
190.000000	75.894264	9.3971
195.000000	75.944656	9.5845
200.000000	75.977928	10.0428
206.000000	75.943810	10.2258
212.000000	75.994850	10.3702
218.000000	75.968483	10.8743
224.000000	75.957695	10.8483
230.000000	76.085419	11.5815
236.000000	76.034851	11.6102
243.000000	76.093575	11.8645
250.000000	76.099319	12.1842
258.000000	76.122871	12.4896
265.000000	76.144501	12.9957
272.000000	76.178543	13.4569
280.000000	76.177864	13.5549
290.000000	76.258675	13.8348
300.000000	76.269432	14.4597
307.000000	76.291580	14.6807
315.000000	76.356590	14.8687
325.000000	76.388573	15.3286
335.000000	76.453659	15.6955
345.000000	76.515907	16.1917
355.000000	76.552521	16.4863
365.000000	76.619324	17.1247
375.000000	76.678360	17.2809
387.000000	76.728943	17.9215
400.000000	76.829422	18.4110
412.000000	76.890419	18.8635
425.000000	76.988953	19.3174
437.000000	77.065788	19.7201
450.000000	77.143631	20.1337
462.000000	77.239571	20.6384
475.000000	77.325912	21.0497
487.000000	77.426270	21.3723
500.000000	77.523476	21.7260
515.000000	77.642273	22.1999
530.000000	77.765457	22.5856
545.000000	77.896431	23.0182
560.000000	78.029549	23.3885
580.000000	78.219902	23.7253
600.000000	78.395691	24.0978
615.000000	78.544525	24.2191
630.000000	78.692505	24.3732
650.000000	78.874138	24.4319
670.000000	79.089798	24.5686
690.000000	79.279907	24.4339
710.000000	79.493134	24.3499
730.000000	79.687325	24.0710
750.000000	79.888184	23.7213
775.000000	80.127777	23.0839
800.000000	80.360519	22.3109
825.000000	80.561897	21.3295
850.000000	80.739914	20.2352
875.000000	80.889519	19.0445
900.000000	80.995018	17.8562
925.000000	81.062019	16.6769
950.000000	81.099823	15.6690
975.000000	81.105484	14.8133
1000.000000	81.096443	14.2915
1030.000000	81.102425	14.0662
1060.000000	81.152069	14.2129
1090.000000	81.272690	14.5554
1120.000000	81.459099	14.7416
1150.000000	81.715271	14.7455
1180.000000	82.000214	14.3732
1220.000000	82.414986	13.3129
1250.000000	82.743141	11.9941
1280.000000	83.060623	10.2399
1320.000000	83.447311	7.2717
1360.000000	83.766922	3.5914
1400.000000	83.985497	-0.7230
1450.000000	84.056480	-6.5306
1500.000000	83.936142	-12.3954
1550.000000	83.605865	-17.9039
1600.000000	83.122284	-22.6569
1650.000000	82.537209	-26.4712
1700.000000	81.905991	-29.4050
1750.000000	81.260040	-31.4886
1800.000000	80.622261	-32.8918
1850.000000	80.014359	-33.7345
1900.000000	79.430634	-34.0972
1950.000000	78.875443	-34.1934
2000.000000	78.344780	-33.9448
2060.000000	77.741325	-33.3377
2120.000000	77.189125	-32.2812
2180.000000	76.678848	-31.1292
2240.000000	76.195686	-29.7487
2300.000000	75.696396	-28.1966
2360.000000	75.202911	-26.0505
2430.000000	74.851257	-22.6886
2500.000000	74.499443	-20.0040
2580.000000	74.229553	-16.4058
2650.000000	74.078392	-13.4180
2720.000000	73.988052	-10.6344
2800.000000	73.895073	-7.1203
2900.000000	74.289673	-3.9050
3000.000000	74.455612	-2.8597
3070.000000	74.535385	-2.4852
3150.000000	74.605522	-2.2286
3250.000000	74.660011	-1.8596
3350.000000	74.782127	-2.3008
3450.000000	74.861366	-3.0688
3550.000000	74.957474	-6.2985
3650.000000	74.639420	-9.3999
3750.000000	74.236374	-12.9581
3870.000000	73.271233	-17.3469
4000.000000	71.678513	-19.6348
4120.000000	69.925163	-17.8285
4250.000000	68.017052	-10.2947
4370.000000	66.787880	1.4947
4500.000000	66.213959	15.9684
4620.000000	66.851227	29.4813
4750.000000	67.744522	37.6392
4870.000000	68.739838	41.7023
5000.000000	69.334145	42.5053
5150.000000	69.369995	45.8794
5300.000000	69.836388	52.4917
5450.000000	70.661453	56.6671
5600.000000	71.495987	59.4686
5800.000000	72.632538	61.4821
6000.000000	73.690765	62.4369
6150.000000	74.610504	61.7374
6300.000000	75.513939	60.1043
6500.000000	76.776146	54.3790
6700.000000	77.610840	45.3691
6900.000000	77.735275	34.7532
7100.000000	77.002991	24.4687
7300.000000	75.817383	17.1062
7500.000000	74.215187	14.4734
7750.000000	72.550751	18.4344
