* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 24, 2021 5:33:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A4 Pro Blk Blk L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.884583	-101.1233
21.200001	87.069611	-102.9073
21.799999	87.268951	-104.8908
22.400000	87.431908	-106.9660
23.000000	87.527634	-108.8753
23.600000	87.573685	-110.5267
24.299999	87.614441	-112.3031
25.000000	87.678314	-114.1363
25.799999	87.769615	-116.2571
26.500000	87.830353	-117.9055
27.200001	87.864769	-119.3566
28.000000	87.889107	-121.1443
29.000000	87.920013	-123.5707
30.000000	88.026245	-125.4115
30.700001	88.096603	-126.6776
31.500000	88.030548	-128.1871
32.500000	87.906029	-129.4885
33.500000	88.047058	-131.4479
34.500000	88.169563	-134.0540
35.500000	88.173294	-135.6499
36.500000	88.177338	-137.0598
37.500000	88.178101	-138.6538
38.700001	88.175682	-140.1886
40.000000	88.192398	-141.7822
41.200001	88.178749	-143.4499
42.500000	88.183907	-144.8061
43.700001	88.207779	-146.3162
45.000000	88.216774	-148.0044
46.200001	88.181992	-149.4620
47.500000	88.117493	-150.6619
48.700001	88.161613	-151.8575
50.000000	88.128365	-153.2169
51.500000	88.068024	-154.5424
53.000000	88.062096	-155.7248
54.500000	88.055336	-156.8733
56.000000	87.996323	-158.1704
58.000000	87.966423	-159.6030
60.000000	87.908508	-160.9551
61.500000	87.906647	-162.0286
63.000000	87.866211	-163.0986
65.000000	87.796478	-164.2025
67.000000	87.765869	-165.5516
69.000000	87.713814	-166.6728
71.000000	87.658142	-167.6225
73.000000	87.589752	-168.5675
75.000000	87.541077	-169.4359
77.500000	87.485069	-170.6061
80.000000	87.391762	-171.6867
82.500000	87.339630	-172.6478
85.000000	87.258240	-173.4792
87.500000	87.171692	-174.4350
90.000000	87.125923	-175.2180
92.500000	87.037964	-176.0490
95.000000	86.952591	-176.7384
97.500000	86.891747	-177.2075
100.000000	86.841583	-178.1537
103.000000	86.737495	-178.7761
106.000000	86.651459	-179.4835
109.000000	86.572205	179.7569
112.000000	86.492104	179.2728
115.000000	86.416840	178.7641
118.000000	86.334854	178.2615
122.000000	86.239944	177.6565
125.000000	86.162567	177.2195
128.000000	86.094444	176.7751
132.000000	86.000427	176.2549
136.000000	85.897858	175.9254
140.000000	85.803696	175.5649
145.000000	85.685066	175.0474
150.000000	85.562492	174.6366
155.000000	85.470177	174.4450
160.000000	85.352036	174.2065
165.000000	85.244865	173.9904
170.000000	85.147278	173.8691
175.000000	85.055710	173.6927
180.000000	84.942917	173.7110
185.000000	84.853981	173.5048
190.000000	84.762779	173.4640
195.000000	84.654800	173.4514
200.000000	84.582916	173.4936
206.000000	84.488541	173.6323
212.000000	84.393875	173.6526
218.000000	84.283562	173.8072
224.000000	84.197510	173.9979
230.000000	84.119461	174.0657
236.000000	84.032654	174.3099
243.000000	83.929497	174.4421
250.000000	83.847313	174.7643
258.000000	83.741241	175.1045
265.000000	83.655434	175.4272
272.000000	83.576462	175.7457
280.000000	83.494743	176.1730
290.000000	83.389961	176.6251
300.000000	83.289268	177.2050
307.000000	83.233055	177.5579
315.000000	83.158669	178.0325
325.000000	83.078491	178.5915
335.000000	83.005806	179.2519
345.000000	82.930664	179.8542
355.000000	82.860664	-179.5570
365.000000	82.796539	-178.9200
375.000000	82.737808	-178.2446
387.000000	82.673378	-177.4665
400.000000	82.608009	-176.6545
412.000000	82.550468	-175.8405
425.000000	82.491669	-174.9947
437.000000	82.449860	-174.1536
450.000000	82.402039	-173.3182
462.000000	82.365639	-172.4975
475.000000	82.327957	-171.5801
487.000000	82.291794	-170.7523
500.000000	82.266777	-169.8667
