* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 24, 2021 5:41:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A4 Pro Blk Red R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.134766	-109.7002
21.200001	86.234901	-111.6743
21.799999	86.330894	-113.6334
22.400000	86.431694	-115.5325
23.000000	86.538727	-117.2717
23.600000	86.653328	-118.9184
24.299999	86.762268	-120.9808
25.000000	86.786964	-123.1731
25.799999	86.740692	-125.2986
26.500000	86.749321	-126.7880
27.200001	86.823296	-128.4318
28.000000	86.879257	-130.5435
29.000000	86.879524	-132.7756
30.000000	86.896988	-134.9866
30.700001	86.886810	-136.6374
31.500000	86.867554	-138.2057
32.500000	86.886581	-139.9501
33.500000	86.889648	-141.8619
34.500000	86.872284	-143.6030
35.500000	86.877197	-145.2114
36.500000	86.868378	-146.8654
37.500000	86.847061	-148.4228
38.700001	86.825638	-150.3034
40.000000	86.784592	-152.0562
41.200001	86.777931	-153.7289
42.500000	86.733124	-155.3448
43.700001	86.704582	-156.8544
45.000000	86.658829	-158.5663
46.200001	86.630814	-159.8448
47.500000	86.578163	-161.0735
48.700001	86.494553	-162.3746
50.000000	86.470665	-163.9750
51.500000	86.416618	-165.5988
53.000000	86.352791	-166.7385
54.500000	86.278931	-168.1044
56.000000	86.271446	-169.1313
58.000000	86.192146	-170.9894
60.000000	86.075699	-172.5064
61.500000	86.044601	-173.4994
63.000000	85.973541	-174.5940
65.000000	85.877090	-175.7370
67.000000	85.781250	-177.0403
69.000000	85.700493	-178.2032
71.000000	85.609718	-179.3714
73.000000	85.523857	179.6126
75.000000	85.430923	178.5737
77.500000	85.322800	177.3726
80.000000	85.221855	176.1765
82.500000	84.955963	175.2534
85.000000	84.985535	174.1583
87.500000	84.870689	173.3426
90.000000	84.781982	172.3735
92.500000	84.653740	171.6497
95.000000	84.547745	171.0310
97.500000	84.419235	170.7881
100.000000	84.353722	169.4002
103.000000	84.230865	168.5253
106.000000	84.105972	167.9158
109.000000	84.012871	167.1705
112.000000	83.899956	166.6476
115.000000	83.785683	166.0748
118.000000	83.673302	165.5378
122.000000	83.532463	164.8160
125.000000	83.445518	164.3959
128.000000	83.329117	163.9396
132.000000	83.210152	163.5511
136.000000	83.072227	162.9977
140.000000	82.949783	162.5038
145.000000	82.779320	162.0801
150.000000	82.632446	161.7175
155.000000	82.494995	161.3342
160.000000	82.353622	161.1013
165.000000	82.226746	160.8235
170.000000	82.092140	160.5903
175.000000	81.946808	160.3914
180.000000	81.835495	160.1462
185.000000	81.705696	160.1698
190.000000	81.591400	160.0230
195.000000	81.498962	159.9430
200.000000	81.363655	160.0054
206.000000	81.236618	159.8804
212.000000	81.119858	159.8427
218.000000	80.984306	160.1241
224.000000	80.883560	159.9145
230.000000	80.778107	160.0262
236.000000	80.665131	160.0925
243.000000	80.539642	160.1461
250.000000	80.434540	160.3324
258.000000	80.302704	160.4966
265.000000	80.186058	160.7265
272.000000	80.092812	160.9132
280.000000	79.976990	161.1028
290.000000	79.839333	161.5425
300.000000	79.724701	161.7019
307.000000	79.633026	161.9807
315.000000	79.538788	162.2366
325.000000	79.425934	162.6077
335.000000	79.305969	162.9892
345.000000	79.210930	163.3392
355.000000	79.117722	163.7235
365.000000	79.028542	164.1104
375.000000	78.931313	164.4794
387.000000	78.817162	165.0150
400.000000	78.723083	165.4507
412.000000	78.634567	165.9653
425.000000	78.533310	166.5084
437.000000	78.449646	166.9672
450.000000	78.354027	167.5364
462.000000	78.272972	167.9975
475.000000	78.196030	168.5654
487.000000	78.124672	169.0381
500.000000	78.049706	169.5593
515.000000	77.970474	170.2271
530.000000	77.878120	170.9044
545.000000	77.811317	171.5209
560.000000	77.737762	172.1623
580.000000	77.635010	173.0125
600.000000	77.551682	173.9181
615.000000	77.481979	174.5576
630.000000	77.430458	175.2157
650.000000	77.352142	176.1124
670.000000	77.291473	177.0369
690.000000	77.208664	177.9562
710.000000	77.141571	178.7866
730.000000	77.026176	-179.9526
750.000000	77.007912	-178.7890
775.000000	76.977753	-177.4087
800.000000	76.949898	-176.0970
825.000000	76.933563	-174.7321
850.000000	76.930946	-173.3808
875.000000	76.946838	-172.0149
900.000000	76.967278	-170.7178
925.000000	77.013725	-169.4040
950.000000	77.072716	-168.1786
975.000000	77.142212	-167.0335
1000.000000	77.232445	-165.9009
1030.000000	77.345276	-164.7926
1060.000000	77.472549	-163.8298
1090.000000	77.591309	-162.9817
1120.000000	77.716217	-162.2946
1150.000000	77.830269	-161.7410
1180.000000	77.928963	-161.3155
1220.000000	78.048920	-160.8319
1250.000000	78.129524	-160.5927
1280.000000	78.187660	-160.3414
1320.000000	78.250031	-160.0187
1360.000000	78.295845	-159.6729
1400.000000	78.321648	-159.2996
1450.000000	78.338715	-158.7321
1500.000000	78.344154	-158.0911
1550.000000	78.342529	-157.2979
1600.000000	78.346008	-156.3924
1650.000000	78.343140	-155.3735
1700.000000	78.347214	-154.2803
1750.000000	78.358948	-153.0768
1800.000000	78.391464	-151.7881
1850.000000	78.425888	-150.3688
1900.000000	78.482681	-148.8893
1950.000000	78.561394	-147.3479
2000.000000	78.666092	-145.7661
2060.000000	78.824730	-143.8516
2120.000000	79.028679	-141.9193
2180.000000	79.281509	-140.0963
2240.000000	79.569016	-138.5411
2300.000000	79.884178	-137.1478
2360.000000	80.218483	-135.9857
2430.000000	80.630096	-134.8439
2500.000000	81.083794	-133.9510
2580.000000	81.642532	-133.3981
2650.000000	82.159409	-133.4355
2720.000000	82.680603	-134.0533
2800.000000	83.252388	-135.4510
2900.000000	83.897148	-138.0729
3000.000000	84.443504	-141.5061
3070.000000	84.761162	-144.2755
3150.000000	85.059158	-147.8168
3250.000000	85.300552	-152.7494
3350.000000	85.367035	-158.0230
3450.000000	85.234940	-163.3179
3550.000000	84.911385	-168.1749
3650.000000	84.431740	-172.2581
3750.000000	83.848122	-175.3223
3870.000000	83.085670	-177.5667
4000.000000	82.265762	-178.3185
4120.000000	81.597336	-177.6639
4250.000000	81.038025	-175.8130
4370.000000	80.758202	-173.5054
4500.000000	80.789261	-171.6239
4620.000000	81.028885	-172.3997
4750.000000	81.005707	-176.8557
4870.000000	80.362198	178.7542
5000.000000	79.276512	177.0665
5150.000000	78.076660	178.7905
5300.000000	77.115860	-177.5647
5450.000000	76.381096	-172.8223
5600.000000	76.006958	-167.8392
5800.000000	75.530197	-162.7892
6000.000000	75.190773	-157.1680
6150.000000	75.048264	-153.0461
6300.000000	74.990044	-149.0696
6500.000000	75.007233	-144.0680
6700.000000	75.151672	-139.3569
6900.000000	75.406189	-135.0869
7100.000000	75.788605	-131.1077
7300.000000	76.320427	-127.8084
7500.000000	76.990448	-125.5060
7750.000000	77.975151	-124.6007
8000.000000	78.955376	-126.5147
8250.000000	79.649330	-130.6201
8500.000000	79.996399	-134.9107
8750.000000	80.147293	-138.0493
9000.000000	80.298828	-139.5997
9250.000000	80.649185	-139.8468
9500.000000	81.360390	-139.6876
9750.000000	82.538681	-140.4323
10000.000000	84.182472	-143.9161
10300.000000	86.778740	-154.2425
10600.000000	89.276772	-178.7606
10900.000000	89.465790	145.6571
11200.000000	87.379662	117.2987
11500.000000	85.200943	98.2719
11800.000000	83.416985	78.4550
12200.000000	79.968536	49.6426
12500.000000	76.419365	31.9199
12800.000000	72.259239	20.8080
13200.000000	66.606117	23.1072
13600.000000	64.066261	41.9399
14000.000000	64.891876	49.8061
14500.000000	66.385086	43.5552
15000.000000	67.934982	29.5924
15500.000000	70.169037	6.2640
16000.000000	72.375603	-40.9968
16500.000000	70.384445	-106.4167
17000.000000	65.878326	-172.1478
17500.000000	60.099495	133.3760
18000.000000	57.286850	75.0015
18500.000000	56.892944	11.4597
19000.000000	57.287388	-59.6344
19500.000000	56.552071	-145.9214
