* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jan 21, 2022 7:00:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Lea R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.273537	-111.4089
21.200001	86.418282	-113.1886
21.799999	86.549179	-115.0245
22.400000	86.688644	-116.8510
23.000000	86.805122	-118.4809
23.600000	86.906311	-120.0952
24.299999	87.033195	-121.9091
25.000000	87.141479	-123.6493
25.799999	87.261124	-125.5512
26.500000	87.355652	-127.0530
27.200001	87.440842	-128.6116
28.000000	87.540504	-130.3924
29.000000	87.645370	-132.3975
30.000000	87.723999	-134.2798
30.700001	87.780113	-135.6385
31.500000	87.838898	-137.0529
32.500000	87.904877	-138.7335
33.500000	87.961685	-140.4145
34.500000	88.010826	-142.0032
35.500000	88.065331	-143.4388
36.500000	88.091583	-144.9985
37.500000	88.136269	-146.2846
38.700001	88.169609	-147.7523
40.000000	88.193771	-149.3572
41.200001	88.221542	-150.8492
42.500000	88.239403	-152.3476
43.700001	88.235321	-153.7470
45.000000	88.233963	-154.9317
46.200001	88.243469	-156.1530
47.500000	88.257812	-157.2623
48.700001	88.246727	-158.3645
50.000000	88.231384	-159.5828
51.500000	88.221970	-160.7628
53.000000	88.216576	-161.9370
54.500000	88.186478	-162.9761
56.000000	88.168907	-164.0934
58.000000	88.138222	-165.4704
60.000000	88.115761	-166.7276
61.500000	88.077019	-167.5710
63.000000	88.041588	-168.3817
65.000000	87.990845	-169.4935
67.000000	87.944496	-170.4598
69.000000	87.894791	-171.4452
71.000000	87.848877	-172.3457
73.000000	87.794960	-173.1763
75.000000	87.748352	-173.9337
77.500000	87.678802	-174.8488
80.000000	87.617043	-175.6794
82.500000	87.540413	-176.4967
85.000000	87.462440	-177.2684
87.500000	87.387848	-177.9538
90.000000	87.326851	-178.5158
92.500000	87.271515	-179.1971
95.000000	87.190369	-179.7182
97.500000	87.123047	179.7480
100.000000	87.053871	179.2744
103.000000	86.974243	178.7480
106.000000	86.889603	178.2566
109.000000	86.807671	177.8167
112.000000	86.731293	177.4263
115.000000	86.652222	177.0637
118.000000	86.575485	176.7260
122.000000	86.479858	176.3389
125.000000	86.406960	176.0788
128.000000	86.331818	175.8676
132.000000	86.243065	175.5948
136.000000	86.150406	175.3561
140.000000	86.058739	175.1714
145.000000	85.954430	174.9550
150.000000	85.855347	174.8213
155.000000	85.754547	174.7266
160.000000	85.657532	174.6339
165.000000	85.560516	174.5856
170.000000	85.475433	174.6321
175.000000	85.388748	174.6712
180.000000	85.313263	174.7739
185.000000	85.232628	174.8017
190.000000	85.157082	174.8924
195.000000	85.081955	175.0025
200.000000	85.012299	175.1324
206.000000	84.933975	175.3528
212.000000	84.856430	175.5459
218.000000	84.784241	175.7286
224.000000	84.713089	175.9705
230.000000	84.650284	176.1863
236.000000	84.585548	176.4047
243.000000	84.514153	176.7518
250.000000	84.445496	177.0774
258.000000	84.374237	177.4321
265.000000	84.313316	177.7711
272.000000	84.256508	178.1264
280.000000	84.194855	178.5443
290.000000	84.123093	179.0416
300.000000	84.053734	179.5932
307.000000	84.009048	179.9469
315.000000	83.961433	-179.6219
325.000000	83.905457	-179.0666
335.000000	83.852432	-178.5263
345.000000	83.803101	-177.9697
355.000000	83.754562	-177.4243
365.000000	83.713631	-176.8687
375.000000	83.673790	-176.2952
387.000000	83.628113	-175.6134
400.000000	83.583771	-174.8914
412.000000	83.545799	-174.2178
425.000000	83.508560	-173.4782
437.000000	83.476326	-172.7910
450.000000	83.445595	-172.0542
462.000000	83.418961	-171.3731
475.000000	83.393845	-170.6340
487.000000	83.370308	-169.9413
500.000000	83.351074	-169.1951
515.000000	83.328979	-168.3335
530.000000	83.312019	-167.4702
545.000000	83.297363	-166.5903
560.000000	83.284294	-165.7157
580.000000	83.272675	-164.5351
600.000000	83.265556	-163.3607
615.000000	83.265465	-162.4667
630.000000	83.266243	-161.5668
650.000000	83.272842	-160.3484
670.000000	83.286407	-159.1252
690.000000	83.306534	-157.8870
710.000000	83.331924	-156.6390
730.000000	83.363892	-155.3615
750.000000	83.404800	-154.0835
775.000000	83.467506	-152.4696
800.000000	83.543747	-150.8559
825.000000	83.637016	-149.2410
850.000000	83.747520	-147.6319
875.000000	83.875107	-146.0539
900.000000	84.020920	-144.5140
925.000000	84.186684	-143.0263
950.000000	84.371902	-141.6414
975.000000	84.579163	-140.3706
1000.000000	84.798103	-139.2460
1030.000000	85.088509	-138.2486
1060.000000	85.322678	-137.7475
1090.000000	85.542244	-136.7134
1120.000000	85.858063	-136.4172
1150.000000	85.991196	-137.1267
1180.000000	85.937729	-135.9924
1220.000000	86.256348	-133.8734
1250.000000	86.535866	-133.2143
1280.000000	86.785103	-132.8586
1320.000000	87.081207	-132.5772
1360.000000	87.343613	-132.3640
1400.000000	87.589668	-132.2258
1450.000000	87.875015	-132.0377
1500.000000	88.147705	-131.8611
1550.000000	88.412712	-131.6922
1600.000000	88.676041	-131.5473
1650.000000	88.937569	-131.4445
1700.000000	89.201958	-131.3993
1750.000000	89.466972	-131.4174
1800.000000	89.731506	-131.5297
1850.000000	89.995201	-131.7391
1900.000000	90.255882	-132.0453
1950.000000	90.512863	-132.4534
2000.000000	90.763428	-132.9565
2060.000000	91.055351	-133.7110
2120.000000	91.335648	-134.6066
2180.000000	91.600334	-135.6537
2240.000000	91.844971	-136.8308
2300.000000	92.069489	-138.1317
2360.000000	92.270744	-139.5386
2430.000000	92.471100	-141.2753
2500.000000	92.634552	-143.0832
2580.000000	92.776833	-145.1781
2650.000000	92.864410	-146.9868
2720.000000	92.921066	-148.7449
2800.000000	92.951363	-150.6535
2900.000000	92.952164	-152.8595
3000.000000	92.921768	-154.8567
3070.000000	92.888535	-156.1332
3150.000000	92.844238	-157.4881
3250.000000	92.783211	-159.0562
3350.000000	92.719620	-160.5165
3450.000000	92.656151	-161.9167
3550.000000	92.592445	-163.2932
3650.000000	92.528656	-164.6788
3750.000000	92.461609	-166.0951
3870.000000	92.372406	-167.8710
4000.000000	92.259964	-169.9052
4120.000000	92.132973	-171.9075
4250.000000	91.962265	-174.2063
4370.000000	91.765053	-176.4292
4500.000000	91.499313	-178.9116
4620.000000	91.198418	178.7875
4750.000000	90.807709	176.3697
4870.000000	90.386253	174.3012
5000.000000	89.866409	172.3245
5150.000000	89.197472	170.5087
5300.000000	88.472763	169.2966
5450.000000	87.716743	168.7267
5600.000000	86.947456	168.8071
5800.000000	85.929749	169.8926
6000.000000	84.942856	172.0782
6150.000000	84.245087	174.6998
6300.000000	83.758774	178.0522
6500.000000	83.200981	-179.0953
6700.000000	82.572006	-175.5044
6900.000000	82.053535	-171.2982
7100.000000	81.666885	-166.7534
7300.000000	81.422607	-162.2659
7500.000000	81.273613	-157.8575
7750.000000	81.276726	-152.1632
8000.000000	81.580139	-146.8202
8250.000000	82.198433	-142.4362
8500.000000	83.189407	-139.6583
8750.000000	84.622887	-139.8383
9000.000000	86.472336	-145.8350
9250.000000	88.133293	-162.3212
9500.000000	87.954437	172.0983
9750.000000	85.559425	152.2363
10000.000000	82.573257	143.4041
10300.000000	79.387680	141.3252
10600.000000	76.749107	143.8405
10900.000000	74.518814	149.1111
11200.000000	72.597366	157.2983
11500.000000	71.168152	170.1208
11800.000000	71.232819	-172.5186
12200.000000	74.244133	-164.0913
12500.000000	75.504318	-173.7085
12800.000000	75.467178	177.6541
13200.000000	75.145973	171.5611
13600.000000	75.221848	167.1818
14000.000000	75.773102	161.5243
14500.000000	77.098251	150.0818
15000.000000	79.031990	128.5978
15500.000000	80.372940	91.4011
16000.000000	79.291016	46.2611
16500.000000	76.711983	7.9198
17000.000000	74.417175	-26.2129
17500.000000	72.859451	-62.5084
18000.000000	72.070152	-105.4615
18500.000000	72.161957	-160.9415
19000.000000	71.333481	118.4785
19500.000000	67.834755	39.8857
