* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -68.7 dBFS, measurement signal peak level -31.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2020 12:59:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0421 ms (-14 mm, -0.57 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: TA Legacy 4 - 11
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.023262	-133.8899
21.200001	81.236702	-135.9236
21.799999	81.395699	-137.1309
22.400000	81.459412	-138.0000
23.000000	81.458038	-139.1057
23.600000	81.450577	-140.7050
24.299999	81.485786	-142.8628
25.000000	81.560524	-144.6750
25.799999	81.636223	-146.1328
26.500000	81.662827	-147.3535
27.200001	81.666061	-148.8377
28.000000	81.683029	-150.6277
29.000000	81.736710	-152.4696
30.000000	81.762558	-154.0657
30.700001	81.753181	-155.2563
31.500000	81.745056	-156.6034
32.500000	81.757500	-158.0896
33.500000	81.752953	-159.4941
34.500000	81.724289	-160.9245
35.500000	81.713715	-162.3293
36.500000	81.705437	-163.6274
37.500000	81.676651	-164.7693
38.700001	81.633492	-166.0677
40.000000	81.593307	-167.4811
41.200001	81.554184	-168.6902
42.500000	81.511566	-169.8860
43.700001	81.457703	-170.9908
45.000000	81.396889	-172.0484
46.200001	81.341843	-173.0076
47.500000	81.288551	-174.0122
48.700001	81.240753	-174.8921
50.000000	81.177315	-175.7626
51.500000	81.109512	-176.7409
53.000000	81.042679	-177.6322
54.500000	80.979797	-178.4507
56.000000	80.909042	-179.3501
58.000000	80.802681	179.7028
60.000000	80.742760	178.7216
61.500000	80.643875	178.2599
63.000000	80.559067	177.7458
65.000000	80.467606	176.9802
67.000000	80.374275	176.3056
69.000000	80.285652	175.7222
71.000000	80.192406	175.1583
73.000000	80.104004	174.6517
75.000000	80.014526	174.1552
77.500000	79.909790	173.5968
80.000000	79.743973	173.2428
82.500000	79.694122	172.7269
85.000000	79.603378	172.3382
87.500000	79.504890	172.0354
90.000000	79.413216	171.7103
92.500000	79.323433	171.5148
95.000000	79.237808	171.2724
97.500000	79.146675	171.0792
100.000000	79.067421	170.8715
103.000000	78.966522	170.6848
106.000000	78.874001	170.6824
109.000000	78.780113	170.4175
112.000000	78.696754	170.4077
115.000000	78.614403	170.2896
118.000000	78.535095	170.3262
122.000000	78.432144	170.2656
125.000000	78.355988	170.2912
128.000000	78.288116	170.2548
132.000000	78.193726	170.3602
136.000000	78.108353	170.4327
140.000000	78.024368	170.5044
145.000000	77.924767	170.6384
150.000000	77.826408	170.7705
155.000000	77.736488	170.9617
160.000000	77.660744	171.1277
165.000000	77.575974	171.3651
170.000000	77.498222	171.5540
175.000000	77.429993	171.8127
180.000000	77.366646	171.9648
185.000000	77.298538	172.2414
190.000000	77.230591	172.5026
195.000000	77.174576	172.7800
200.000000	77.119194	173.0289
206.000000	77.056610	173.3364
212.000000	76.992889	173.6749
218.000000	76.935730	173.9973
224.000000	76.879288	174.2980
230.000000	76.827858	174.6161
236.000000	76.776558	174.9364
243.000000	76.721413	175.2835
250.000000	76.667633	175.7479
258.000000	76.612801	176.1473
265.000000	76.564278	176.5577
272.000000	76.523064	176.9424
280.000000	76.470604	177.3983
290.000000	76.411819	177.9304
300.000000	76.358818	178.5260
307.000000	76.321014	178.8274
315.000000	76.277664	179.3144
325.000000	76.234230	179.8538
335.000000	76.186295	-179.6358
345.000000	76.140099	-179.0936
355.000000	76.099800	-178.5387
365.000000	76.063560	-177.9807
375.000000	76.023773	-177.4513
387.000000	75.977371	-176.8036
400.000000	75.933548	-176.1098
412.000000	75.891327	-175.4258
425.000000	75.844353	-174.7280
437.000000	75.814232	-174.0644
450.000000	75.769745	-173.3171
462.000000	75.733131	-172.6403
475.000000	75.699905	-171.9137
487.000000	75.664398	-171.1864
500.000000	75.627892	-170.3992
515.000000	75.590645	-169.4919
530.000000	75.560097	-168.5222
545.000000	75.533958	-167.5412
560.000000	75.518814	-166.5323
580.000000	75.503761	-165.2044
600.000000	75.508553	-163.9225
615.000000	75.519859	-163.0238
630.000000	75.527512	-162.1382
650.000000	75.536179	-160.9927
670.000000	75.537964	-159.8805
690.000000	75.536461	-158.7309
710.000000	75.539162	-157.5229
730.000000	75.538231	-156.3230
750.000000	75.544243	-155.0023
775.000000	75.559967	-153.3446
800.000000	75.589653	-151.6432
825.000000	75.627983	-149.8606
850.000000	75.689987	-148.0138
875.000000	75.770264	-146.1704
900.000000	75.866318	-144.3420
925.000000	75.987534	-142.4772
950.000000	76.134781	-140.6578
975.000000	76.303810	-138.9127
1000.000000	76.493752	-137.2749
1030.000000	76.747772	-135.4494
1060.000000	77.021912	-133.8720
1090.000000	77.298973	-132.5442
1120.000000	77.573265	-131.4359
1150.000000	77.844856	-130.4494
1180.000000	78.114441	-129.5901
1220.000000	78.463982	-128.6905
1250.000000	78.712601	-128.1650
1280.000000	78.945847	-127.7160
1320.000000	79.237946	-127.2108
1360.000000	79.509880	-126.7007
1400.000000	79.773773	-126.1910
1450.000000	80.097229	-125.5623
1500.000000	80.425484	-124.9133
1550.000000	80.771439	-124.3294
1600.000000	81.133942	-123.8548
1650.000000	81.519958	-123.5794
1700.000000	81.918808	-123.5683
1750.000000	82.323395	-123.9500
1800.000000	82.712708	-124.7246
1850.000000	83.065948	-125.9313
1900.000000	83.357162	-127.4649
1950.000000	83.566193	-129.1589
2000.000000	83.694992	-130.7521
2060.000000	83.771179	-132.2627
2120.000000	83.814369	-133.2001
2180.000000	83.879768	-133.6579
2240.000000	83.995232	-133.8749
2300.000000	84.166702	-134.1026
2360.000000	84.383659	-134.5794
2430.000000	84.663368	-135.6026
2500.000000	84.931534	-137.2227
2580.000000	85.165871	-139.7421
2650.000000	85.276016	-142.3426
2720.000000	85.279625	-145.0745
2800.000000	85.156670	-148.0493
2900.000000	84.845520	-151.1561
3000.000000	84.422310	-153.2766
3070.000000	84.097977	-154.1285
3150.000000	83.724579	-154.5281
3250.000000	83.281708	-154.2885
3350.000000	82.871628	-153.2990
3450.000000	82.546173	-151.6990
3550.000000	82.296555	-149.7875
3650.000000	82.121376	-147.5986
3750.000000	82.025558	-145.2580
3870.000000	82.015839	-142.3620
4000.000000	82.142242	-139.2818
4120.000000	82.391045	-136.7013
4250.000000	82.807907	-134.4898
4370.000000	83.321304	-133.3746
4500.000000	83.962975	-133.7348
4620.000000	84.521339	-135.8594
4750.000000	84.923843	-139.7371
