* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -68.0 dBFS, measurement signal peak level -32.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2020 12:58:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0358 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: TA Legacy 4 - 00
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.142639	-136.9665
21.200001	81.350540	-139.0517
21.799999	81.504135	-140.2770
22.400000	81.575493	-141.1769
23.000000	81.583466	-142.4534
23.600000	81.559174	-144.2774
24.299999	81.560516	-146.4463
25.000000	81.651878	-148.1768
25.799999	81.757607	-150.0316
26.500000	81.738892	-151.5608
27.200001	81.709343	-152.8015
28.000000	81.775833	-154.4128
29.000000	81.821274	-156.6803
30.000000	81.789940	-158.1593
30.700001	81.797737	-159.3272
31.500000	81.789017	-160.9364
32.500000	81.762192	-162.5433
33.500000	81.748589	-163.9389
34.500000	81.725342	-165.4137
35.500000	81.702866	-166.9484
36.500000	81.652176	-168.3582
37.500000	81.601303	-169.5277
38.700001	81.566658	-170.8989
40.000000	81.525612	-172.4807
41.200001	81.471985	-173.8146
42.500000	81.430725	-175.1777
43.700001	81.346748	-176.5235
45.000000	81.272194	-177.6917
46.200001	81.213226	-178.7255
47.500000	81.132133	-179.7374
48.700001	81.056900	179.2522
50.000000	80.984444	178.3477
51.500000	80.900383	177.2822
53.000000	80.799805	176.3033
54.500000	80.713646	175.3514
56.000000	80.618347	174.4732
58.000000	80.502129	173.3761
60.000000	80.362610	172.3456
61.500000	80.280037	171.6691
63.000000	80.202866	171.0311
65.000000	80.078995	170.1717
67.000000	79.960518	169.3800
69.000000	79.831795	168.7311
71.000000	79.719749	168.0811
73.000000	79.604317	167.4421
75.000000	79.495766	166.8211
77.500000	79.358948	166.2443
80.000000	79.218437	165.6376
82.500000	79.076614	165.1615
85.000000	78.952850	164.6997
87.500000	78.902863	164.3513
