* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Feb 17, 2021 5:55:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Legacy 9 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.713379	28.5757
21.200001	96.691711	27.0419
21.799999	96.672386	25.4884
22.400000	96.650017	23.9168
23.000000	96.620895	22.4254
23.600000	96.592133	21.0379
24.299999	96.560997	19.4329
25.000000	96.518234	17.7816
25.799999	96.454582	15.9680
26.500000	96.403931	14.4926
27.200001	96.358536	13.0616
28.000000	96.301102	11.4681
29.000000	96.222908	9.5286
30.000000	96.141823	7.6136
30.700001	96.101883	6.3358
31.500000	96.060776	4.9214
32.500000	96.001389	3.1937
33.500000	95.938950	1.5428
34.500000	95.877304	-0.0695
35.500000	95.809196	-1.6159
36.500000	95.739838	-3.1234
37.500000	95.668213	-4.6343
38.700001	95.576172	-6.3783
40.000000	95.475807	-8.1522
41.200001	95.382507	-9.7677
42.500000	95.280563	-11.4627
43.700001	95.185249	-12.9789
45.000000	95.080147	-14.5270
46.200001	94.986221	-15.9570
47.500000	94.870117	-17.4705
48.700001	94.770988	-18.7583
50.000000	94.661827	-20.1882
51.500000	94.536346	-21.7895
53.000000	94.408249	-23.3033
54.500000	94.282188	-24.7664
56.000000	94.175827	-26.2221
58.000000	94.047165	-28.0701
60.000000	93.912506	-29.8873
61.500000	93.821022	-31.1538
63.000000	93.723351	-32.4064
65.000000	93.591209	-34.0367
67.000000	93.459702	-35.6136
69.000000	93.331795	-37.1306
71.000000	93.202309	-38.5956
73.000000	93.067764	-40.0004
75.000000	92.940811	-41.4115
77.500000	92.776802	-43.0702
80.000000	92.612740	-44.6779
82.500000	92.454437	-46.2303
85.000000	92.294998	-47.7144
87.500000	92.137062	-49.1506
90.000000	91.984077	-50.5440
92.500000	91.825508	-51.9039
95.000000	91.675323	-53.2008
97.500000	91.522957	-54.4692
100.000000	91.379440	-55.7016
103.000000	91.222702	-57.1150
106.000000	91.072647	-58.4948
109.000000	90.923454	-59.8289
112.000000	90.779556	-61.1181
115.000000	90.634872	-62.3840
118.000000	90.494522	-63.5869
122.000000	90.310699	-65.1421
125.000000	90.173615	-66.2524
128.000000	90.039871	-67.3387
132.000000	89.865196	-68.7415
136.000000	89.694275	-70.0967
140.000000	89.525558	-71.4213
145.000000	89.321960	-72.9754
150.000000	89.123543	-74.4908
155.000000	88.931000	-75.9368
160.000000	88.744987	-77.3263
165.000000	88.563004	-78.6629
170.000000	88.388283	-79.9420
175.000000	88.216248	-81.1860
180.000000	88.051514	-82.4103
185.000000	87.890137	-83.5386
190.000000	87.733429	-84.6537
195.000000	87.584427	-85.7337
200.000000	87.436356	-86.7666
206.000000	87.264755	-87.9903
212.000000	87.099174	-89.1499
218.000000	86.942696	-90.2679
224.000000	86.789413	-91.3748
230.000000	86.638840	-92.4074
236.000000	86.496315	-93.4053
243.000000	86.336212	-94.5258
250.000000	86.180710	-95.6192
258.000000	86.010406	-96.8141
265.000000	85.871437	-97.8195
272.000000	85.734421	-98.7812
280.000000	85.582359	-99.8355
290.000000	85.406319	-101.0854
300.000000	85.234825	-102.2692
307.000000	85.126556	-103.0810
