* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Feb 17, 2021 5:54:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Legacy 9 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.476715	32.8479
21.200001	96.465065	31.2111
21.799999	96.450829	29.5729
22.400000	96.433945	27.9703
23.000000	96.414337	26.4590
23.600000	96.395432	25.0174
24.299999	96.372154	23.3329
25.000000	96.339943	21.6400
25.799999	96.295944	19.8007
26.500000	96.259781	18.2876
27.200001	96.222458	16.8075
28.000000	96.170052	15.1408
29.000000	96.095070	13.1419
30.000000	96.024704	11.2239
30.700001	95.992554	9.9018
31.500000	95.954208	8.4198
32.500000	95.901344	6.6353
33.500000	95.846619	4.9238
34.500000	95.790527	3.2605
35.500000	95.730019	1.6445
36.500000	95.667702	0.0959
37.500000	95.606903	-1.4076
38.700001	95.532623	-3.1957
40.000000	95.427544	-5.0801
41.200001	95.345291	-6.6985
42.500000	95.257111	-8.5403
43.700001	95.162804	-9.9604
45.000000	95.070282	-11.5953
46.200001	94.972260	-13.0853
47.500000	94.874229	-14.5862
48.700001	94.780289	-15.9294
50.000000	94.676926	-17.3922
51.500000	94.555603	-18.9782
53.000000	94.440781	-20.5549
54.500000	94.313095	-22.1107
56.000000	94.212433	-23.5490
58.000000	94.089333	-25.4368
60.000000	93.957878	-27.2849
61.500000	93.872482	-28.5884
63.000000	93.783554	-29.8424
65.000000	93.657967	-31.5346
67.000000	93.534508	-33.1612
69.000000	93.410637	-34.7039
71.000000	93.282974	-36.2053
73.000000	93.156349	-37.6643
75.000000	93.031891	-39.0793
77.500000	92.874664	-40.7680
80.000000	92.722229	-42.4146
82.500000	92.564896	-43.9860
85.000000	92.410156	-45.5218
87.500000	92.261574	-46.9813
90.000000	92.098106	-48.3997
92.500000	91.956833	-49.7996
95.000000	91.807152	-51.1317
97.500000	91.659508	-52.4402
100.000000	91.516113	-53.6836
103.000000	91.364624	-55.1377
106.000000	91.218834	-56.5384
109.000000	91.076233	-57.9010
112.000000	90.933517	-59.2149
115.000000	90.793282	-60.4905
118.000000	90.655487	-61.7227
122.000000	90.472572	-63.3179
125.000000	90.338760	-64.4502
128.000000	90.208939	-65.5692
132.000000	90.034714	-67.0075
136.000000	89.866989	-68.3955
140.000000	89.701225	-69.7325
145.000000	89.500061	-71.3391
150.000000	89.304321	-72.8751
155.000000	89.116188	-74.3529
160.000000	88.929199	-75.7666
165.000000	88.751106	-77.1221
170.000000	88.574974	-78.4443
175.000000	88.407249	-79.7170
180.000000	88.241547	-80.9561
185.000000	88.081924	-82.0975
190.000000	87.927307	-83.2379
195.000000	87.776215	-84.3431
200.000000	87.629181	-85.4125
