* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2023 6:14:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.670	-128.4382
20.600000	85.837	-130.5298
21.200001	85.921	-132.9296
21.799999	85.902	-135.0578
22.400000	85.863	-136.5767
23.000000	85.882	-137.8245
23.600000	85.935	-139.3490
24.299999	85.955	-141.4274
25.000000	85.925	-143.3099
25.799999	85.910	-145.1800
26.500000	85.914	-146.8906
27.200001	85.906	-148.6497
28.000000	85.883	-150.6109
29.000000	85.827	-152.8977
30.000000	85.775	-154.8357
30.700001	85.751	-156.1537
31.500000	85.717	-157.6252
32.500000	85.677	-159.3958
33.500000	85.617	-161.1520
34.500000	85.562	-162.7149
35.500000	85.515	-164.4449
36.500000	85.433	-166.0513
37.500000	85.380	-167.5147
38.700001	85.312	-169.3867
40.000000	85.223	-171.2428
41.200001	85.147	-172.6783
42.500000	85.101	-174.3868
43.700001	84.999	-175.9611
45.000000	84.904	-177.4177
46.200001	84.825	-178.7670
47.500000	84.739	179.5477
48.700001	84.611	178.3692
50.000000	84.555	177.2636
51.500000	84.468	175.8285
53.000000	84.372	174.4868
54.500000	84.274	173.2128
56.000000	84.164	171.8990
58.000000	84.040	170.1604
60.000000	83.860	168.7028
61.500000	83.795	167.7020
63.000000	83.691	166.6898
65.000000	83.566	165.3727
67.000000	83.427	164.1489
69.000000	83.294	162.9223
71.000000	83.151	161.9224
73.000000	83.027	160.7482
75.000000	82.904	159.6172
77.500000	82.749	158.2683
80.000000	82.588	157.2825
82.500000	82.426	156.4528
85.000000	82.239	155.4982
87.500000	82.049	154.3288
90.000000	81.961	153.2350
92.500000	81.848	152.7494
95.000000	81.625	151.8257
97.500000	81.517	150.8087
100.000000	81.354	150.4765
103.000000	81.182	149.2507
106.000000	81.072	148.5767
109.000000	80.832	147.7262
112.000000	80.735	147.1173
115.000000	80.538	146.6389
118.000000	80.443	146.0921
122.000000	80.178	144.9974
125.000000	80.061	144.8069
128.000000	79.973	143.7224
132.000000	79.709	143.5070
136.000000	79.602	143.1658
140.000000	79.427	142.2653
145.000000	79.122	141.6160
150.000000	78.896	141.3444
155.000000	78.752	141.0312
160.000000	78.553	140.6096
165.000000	78.344	140.0179
170.000000	78.162	139.6644
175.000000	78.013	139.2744
180.000000	77.825	139.1620
185.000000	77.601	138.9694
190.000000	77.460	138.7044
195.000000	77.307	138.5618
200.000000	77.121	138.4854
206.000000	76.925	138.2836
212.000000	76.761	138.1904
218.000000	76.560	138.2529
224.000000	76.415	138.1110
230.000000	76.237	138.0952
236.000000	76.090	137.7580
243.000000	75.836	138.2109
250.000000	75.709	138.0134
258.000000	75.455	137.8796
265.000000	75.299	138.4060
272.000000	75.168	138.9830
280.000000	74.952	138.7543
290.000000	74.755	138.8547
300.000000	74.605	139.2636
307.000000	74.418	139.7880
315.000000	74.335	139.5266
325.000000	74.037	139.7099
335.000000	73.891	140.5696
345.000000	73.727	140.9699
355.000000	73.551	141.1041
365.000000	73.430	141.3893
375.000000	73.295	142.0440
387.000000	73.129	142.4377
400.000000	72.945	143.0599
412.000000	72.793	143.6365
425.000000	72.642	144.2722
437.000000	72.514	144.8763
450.000000	72.373	145.4662
462.000000	72.255	146.0147
475.000000	72.139	146.6436
487.000000	72.027	147.1270
500.000000	71.897	147.7017
515.000000	71.750	148.4923
530.000000	71.633	149.3847
545.000000	71.529	150.2863
560.000000	71.456	151.2386
580.000000	71.335	152.1598
600.000000	71.242	153.2770
615.000000	71.183	154.0780
630.000000	71.121	154.9321
650.000000	71.064	155.9756
670.000000	71.001	156.9886
690.000000	70.957	158.0602
710.000000	70.925	159.1222
730.000000	70.902	160.1690
750.000000	70.888	161.2010
775.000000	70.881	162.4478
800.000000	70.897	163.7607
825.000000	70.935	165.0605
850.000000	70.985	166.2864
875.000000	71.043	167.4953
900.000000	71.131	168.6507
925.000000	71.233	169.7717
950.000000	71.350	170.7768
975.000000	71.480	171.7561
1000.000000	71.629	172.6436
1030.000000	71.819	173.5619
1060.000000	72.024	174.3517
1090.000000	72.232	174.9748
1120.000000	72.450	175.4645
1150.000000	72.674	175.8033
1180.000000	72.899	175.9578
1220.000000	73.192	176.0375
1250.000000	73.408	175.9379
1280.000000	73.615	175.7133
1320.000000	73.877	175.2653
1360.000000	74.120	174.6536
1400.000000	74.351	173.9023
1450.000000	74.607	172.8734
1500.000000	74.822	171.7010
1550.000000	74.998	170.5052
1600.000000	75.135	169.3259
1650.000000	75.245	168.2169
1700.000000	75.318	167.2706
1750.000000	75.374	166.4932
1800.000000	75.422	165.9431
1850.000000	75.481	165.5184
1900.000000	75.531	165.3368
1950.000000	75.625	165.3361
2000.000000	75.760	165.2608
2060.000000	75.947	164.9044
2120.000000	76.118	164.1331
2180.000000	76.238	163.2693
2240.000000	76.321	162.6001
2300.000000	76.404	162.0568
2360.000000	76.504	161.5540
2430.000000	76.625	160.8438
2500.000000	76.727	159.8402
2580.000000	76.777	158.4521
2650.000000	76.720	157.1123
2720.000000	76.528	156.1100
2800.000000	76.152	156.2236
2900.000000	75.676	159.7359
3000.000000	75.805	166.9503
3070.000000	76.540	171.2819
3150.000000	77.711	172.2404
3250.000000	78.916	167.3774
3350.000000	79.319	159.6042
3450.000000	79.039	153.1564
3550.000000	78.455	149.4784
3650.000000	77.838	148.1115
3750.000000	77.281	148.1771
3870.000000	76.711	149.4398
4000.000000	76.211	151.7719
4120.000000	75.855	154.5578
4250.000000	75.569	157.9725
4370.000000	75.397	161.4370
4500.000000	75.311	165.3474
4620.000000	75.307	169.0547
4750.000000	75.401	173.0940
4870.000000	75.575	176.7091
5000.000000	75.854	-179.5020
5150.000000	76.297	-175.5353
5300.000000	76.892	-172.1445
5450.000000	77.613	-169.7625
5600.000000	78.456	-168.7392
5800.000000	79.672	-170.5045
6000.000000	80.693	-176.9041
6150.000000	81.016	175.5750
6300.000000	80.772	167.4621
6500.000000	79.678	159.1677
6700.000000	78.178	155.5727
6900.000000	76.686	156.0182
7100.000000	75.387	159.3251
7300.000000	74.360	164.1636
7500.000000	73.529	169.8506
7750.000000	72.780	177.7706
8000.000000	72.332	-173.9040
8250.000000	72.170	-165.6661
8500.000000	72.283	-157.9122
8750.000000	72.669	-151.0484
9000.000000	73.322	-145.6577
9250.000000	74.246	-142.7263
9500.000000	75.313	-143.8565
9750.000000	76.095	-150.3593
10000.000000	76.057	-160.7760
10300.000000	74.543	-172.7316
10600.000000	71.833	-175.6022
10900.000000	69.652	-167.6525
11200.000000	68.663	-158.6572
11500.000000	68.146	-151.9198
11800.000000	67.846	-146.3940
12200.000000	67.835	-140.5114
12500.000000	68.207	-137.7727
12800.000000	68.935	-137.3471
13200.000000	70.445	-143.5003
13600.000000	71.823	-162.4914
14000.000000	71.024	169.0522
14500.000000	67.588	148.5557
15000.000000	64.682	136.1670
15500.000000	62.330	129.1443
16000.000000	60.740	122.3393
16500.000000	59.744	113.3540
17000.000000	59.194	100.2807
17500.000000	59.022	82.0951
18000.000000	59.229	55.7545
18500.000000	59.587	18.6089
19000.000000	59.818	-32.1417
19500.000000	60.343	-100.5873
