* Measurement data measured by REW V5.20 Beta 59
* Source: C:\Users\ahngu\OneDrive\Headphones\House Curves\Harman2019_IE.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 6, 2020 9:46:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Harman2019_IE
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.500877	0
20.600000	77.509979	0
21.200001	77.519875	0
21.799999	77.529602	0
22.400000	77.539062	0
23.000000	77.548172	0
23.600000	77.556854	0
24.299999	77.566330	0
25.000000	77.574951	0
25.799999	77.583603	0
26.500000	77.589958	0
27.200001	77.595039	0
28.000000	77.599113	0
29.000000	77.601288	0
30.000000	77.599411	0
30.700001	77.592728	0
31.500000	77.582146	0
32.500000	77.565201	0
33.500000	77.544075	0
34.500000	77.518700	0
35.500000	77.488983	0
36.500000	77.454872	0
37.500000	77.416290	0
38.700001	77.363976	0
40.000000	77.298553	0
41.200001	77.221848	0
42.500000	77.131409	0
43.700001	77.043266	0
45.000000	76.943741	0
46.200001	76.849030	0
47.500000	76.744347	0
48.700001	76.646667	0
50.000000	76.540985	0
51.500000	76.430008	0
53.000000	76.324982	0
54.500000	76.220123	0
56.000000	76.115356	0
58.000000	75.975739	0
60.000000	75.836105	0
61.500000	75.731300	0
63.000000	75.626373	0
65.000000	75.486206	0
67.000000	75.345650	0
69.000000	75.204575	0
71.000000	75.062889	0
73.000000	74.920479	0
75.000000	74.777237	0
77.500000	74.596848	0
80.000000	74.412659	0
82.500000	74.202568	0
85.000000	73.986069	0
87.500000	73.769882	0
90.000000	73.556190	0
92.500000	73.347183	0
95.000000	73.145058	0
97.500000	72.951996	0
100.000000	72.770653	0
103.000000	72.585808	0
106.000000	72.416870	0
109.000000	72.251534	0
112.000000	72.089722	0
115.000000	71.931419	0
118.000000	71.776619	0
122.000000	71.575638	0
125.000000	71.428940	0
128.000000	71.285690	0
132.000000	71.100037	0
136.000000	70.920448	0
140.000000	70.746895	0
145.000000	70.538391	0
150.000000	70.339249	0
155.000000	70.150955	0
160.000000	69.972908	0
165.000000	69.804520	0
170.000000	69.645592	0
175.000000	69.495934	0
180.000000	69.355362	0
185.000000	69.223663	0
190.000000	69.100655	0
195.000000	68.986145	0
200.000000	68.881020	0
206.000000	68.770966	0
212.000000	68.675995	0
218.000000	68.594933	0
224.000000	68.526772	0
230.000000	68.470520	0
236.000000	68.425156	0
243.000000	68.380814	0
250.000000	68.339836	0
258.000000	68.299820	0
265.000000	68.270638	0
272.000000	68.246719	0
280.000000	68.225616	0
290.000000	68.208199	0
300.000000	68.200294	0
307.000000	68.199265	0
315.000000	68.200211	0
325.000000	68.204094	0
335.000000	68.210716	0
345.000000	68.219856	0
355.000000	68.231255	0
365.000000	68.244659	0
375.000000	68.259834	0
387.000000	68.280022	0
400.000000	68.303139	0
412.000000	68.323296	0
425.000000	68.346184	0
437.000000	68.368309	0
450.000000	68.393242	0
462.000000	68.417007	0
475.000000	68.443451	0
487.000000	68.468376	0
500.000000	68.495598	0
515.000000	68.524597	0
530.000000	68.553612	0
545.000000	68.583664	0
560.000000	68.615051	0
580.000000	68.659523	0
600.000000	68.708176	0
615.000000	68.748062	0
630.000000	68.788567	0
650.000000	68.843285	0
670.000000	68.898781	0
690.000000	68.955017	0
710.000000	69.011963	0
730.000000	69.069588	0
750.000000	69.127853	0
775.000000	69.201530	0
800.000000	69.275948	0
825.000000	69.343529	0
850.000000	69.408943	0
875.000000	69.477203	0
900.000000	69.549446	0
925.000000	69.626793	0
950.000000	69.710358	0
975.000000	69.801285	0
1000.000000	69.901802	0
1030.000000	70.038940	0
1060.000000	70.179565	0
1090.000000	70.322212	0
1120.000000	70.466888	0
1150.000000	70.613594	0
1180.000000	70.762337	0
1220.000000	70.963860	0
1250.000000	71.117393	0
1280.000000	71.272995	0
1320.000000	71.483696	0
1360.000000	71.698097	0
1400.000000	71.916214	0
1450.000000	72.194122	0
1500.000000	72.480278	0
1550.000000	72.806107	0
1600.000000	73.141113	0
1650.000000	73.477303	0
1700.000000	73.812218	0
1750.000000	74.143410	0
1800.000000	74.468422	0
1850.000000	74.784813	0
1900.000000	75.090111	0
1950.000000	75.381889	0
2000.000000	75.656448	0
2060.000000	75.947853	0
2120.000000	76.226303	0
2180.000000	76.497017	0
2240.000000	76.759552	0
2300.000000	77.013451	0
2360.000000	77.258255	0
2430.000000	77.531761	0
2500.000000	77.791550	0
2580.000000	78.070740	0
2650.000000	78.298714	0
