* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Apr 9, 2021 10:32:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Lokahi - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.950020	-115.3655
21.200001	93.014091	-117.0141
21.799999	93.050674	-118.5635
22.400000	93.082977	-120.0152
23.000000	93.120247	-121.4547
23.600000	93.164627	-122.9278
24.299999	93.223061	-124.7190
25.000000	93.255630	-126.4975
25.799999	93.243431	-128.0231
26.500000	93.265915	-128.9389
27.200001	93.333427	-130.2474
28.000000	93.345306	-132.3412
29.000000	93.288490	-134.3076
30.000000	93.339653	-135.8238
30.700001	93.373291	-137.1543
31.500000	93.361443	-138.5358
32.500000	93.375214	-139.9952
33.500000	93.413040	-141.5271
34.500000	93.427200	-142.9427
35.500000	93.444565	-144.3089
36.500000	93.445442	-145.7980
37.500000	93.423615	-147.0697
38.700001	93.423035	-148.4471
40.000000	93.416412	-149.9357
41.200001	93.428207	-151.2832
42.500000	93.406776	-152.8106
43.700001	93.378571	-154.0072
45.000000	93.367531	-155.2917
46.200001	93.347473	-156.4580
47.500000	93.321808	-157.6428
48.700001	93.288559	-158.8065
50.000000	93.245277	-159.8032
51.500000	93.236908	-160.9864
53.000000	93.197540	-162.2319
54.500000	93.150505	-163.7451
56.000000	93.086235	-164.4304
58.000000	93.062286	-165.6919
60.000000	93.126968	-167.2904
61.500000	93.102776	-168.3364
63.000000	93.113655	-169.3879
65.000000	93.078232	-170.8133
67.000000	93.062141	-171.8621
69.000000	93.037300	-172.9015
71.000000	92.966454	-174.2156
73.000000	92.954002	-175.0206
75.000000	92.895164	-176.1142
77.500000	92.802246	-177.6004
80.000000	92.764809	-178.9163
82.500000	92.730362	-179.9268
85.000000	92.642380	179.0127
87.500000	92.588432	177.6224
90.000000	92.551682	176.8599
92.500000	92.427620	175.5406
