* Measurement data measured by REW V5.20 Beta 55
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 6, 2020 3:27:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 12.4 dB
* Note: ; 
* Measurement: UM ME1 CIEM - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	66.656776	-123.3893
21.200001	66.662308	-121.3375
21.799999	66.781647	-119.4424
22.400000	66.803513	-119.0878
23.000000	66.832870	-119.7327
23.600000	67.145531	-122.2095
24.299999	67.506477	-127.8931
25.000000	67.218513	-131.3661
25.799999	66.944710	-125.4082
26.500000	67.975830	-121.6496
27.200001	68.801315	-127.6382
28.000000	68.324753	-135.5558
29.000000	67.527443	-129.4810
30.000000	68.481277	-124.1251
30.700001	68.684372	-126.5730
31.500000	68.580223	-130.7211
32.500000	68.354607	-135.2672
33.500000	68.058609	-132.5139
34.500000	68.392715	-128.8352
35.500000	68.557198	-129.9377
36.500000	68.823891	-131.6159
37.500000	69.079689	-132.7355
38.700001	69.268196	-133.9345
40.000000	68.825020	-134.4088
41.200001	69.031448	-134.2463
42.500000	69.021339	-134.1991
43.700001	69.615593	-134.2392
45.000000	69.585907	-134.1555
46.200001	69.964104	-135.8024
47.500000	69.618294	-137.6292
48.700001	69.286301	-136.8866
50.000000	69.678925	-135.9912
51.500000	69.582947	-138.6150
53.000000	69.962120	-137.0202
54.500000	70.127213	-139.5810
56.000000	70.198166	-139.8702
58.000000	70.450745	-140.6891
60.000000	70.043449	-138.4332
61.500000	70.336349	-139.5783
63.000000	70.505928	-139.4851
65.000000	70.313858	-139.9592
67.000000	70.518417	-141.9139
69.000000	71.093384	-138.5634
71.000000	70.659180	-139.7726
73.000000	70.816750	-140.7696
75.000000	70.431313	-141.9371
77.500000	70.817810	-141.9759
80.000000	70.988762	-142.4817
82.500000	71.003555	-143.0036
85.000000	70.749023	-144.1615
87.500000	70.842293	-141.7661
90.000000	71.004044	-141.9820
92.500000	71.042755	-143.2744
95.000000	71.231689	-142.1658
97.500000	71.494431	-143.4267
100.000000	71.057037	-141.9283
103.000000	71.074905	-143.1660
106.000000	71.320877	-141.9741
109.000000	71.319473	-142.6749
112.000000	70.928490	-143.3653
115.000000	71.148178	-141.3926
118.000000	71.235817	-141.8014
122.000000	71.397568	-141.6643
125.000000	71.382072	-142.4493
128.000000	71.632530	-143.5442
132.000000	71.545494	-142.1541
136.000000	71.501450	-141.2844
140.000000	71.489365	-139.5322
145.000000	71.510872	-142.0983
150.000000	71.555374	-139.8115
155.000000	71.493027	-138.7130
160.000000	71.565521	-141.1383
165.000000	71.561424	-138.3080
170.000000	71.567635	-138.0531
175.000000	71.751526	-137.5887
180.000000	71.557144	-137.9774
185.000000	71.637306	-138.1181
