* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 22, 2020 11:52:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MEST CIEM  < 1 Ohm
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	78.912781	-149.6197
21.200001	78.958527	-151.0136
21.799999	79.026756	-152.4566
22.400000	79.094711	-154.1102
23.000000	79.129898	-155.7129
23.600000	79.155945	-156.9849
24.299999	79.224487	-158.3027
25.000000	79.289803	-159.9019
25.799999	79.284119	-161.7029
26.500000	79.270203	-162.8718
27.200001	79.297157	-164.0517
28.000000	79.322929	-165.6956
29.000000	79.331848	-167.6540
30.000000	79.349167	-169.4247
30.700001	79.338905	-170.5258
31.500000	79.326233	-171.6673
32.500000	79.318810	-173.2995
33.500000	79.296600	-174.8881
34.500000	79.284760	-176.2774
35.500000	79.246811	-177.7301
36.500000	79.184586	-179.0895
37.500000	79.155403	179.6780
38.700001	79.138725	178.1218
40.000000	79.074738	176.6186
41.200001	79.020889	175.2999
42.500000	78.949905	173.9012
43.700001	78.892448	172.6695
45.000000	78.816795	171.4026
46.200001	78.761612	170.2115
47.500000	78.696732	169.1319
48.700001	78.652267	168.1455
50.000000	78.567619	167.0009
51.500000	78.475830	165.7315
53.000000	78.374382	164.6359
54.500000	78.295555	163.5000
56.000000	78.201462	162.4630
58.000000	78.088699	161.1450
60.000000	77.990692	159.9097
61.500000	77.870354	159.0080
63.000000	77.782799	158.2208
65.000000	77.684135	157.0895
67.000000	77.544395	156.0815
69.000000	77.415787	155.2115
71.000000	77.296906	154.2644
73.000000	77.198708	153.4410
75.000000	77.085808	152.5223
77.500000	76.944054	151.6750
80.000000	76.792786	150.6171
82.500000	76.667328	149.8693
85.000000	76.464325	149.0305
87.500000	76.415039	148.4888
90.000000	76.140663	147.7729
92.500000	76.181984	146.8203
95.000000	76.032547	146.3386
97.500000	75.928947	145.8682
100.000000	75.801140	145.2007
103.000000	75.676399	144.5436
106.000000	75.512123	144.4044
109.000000	75.397736	143.3589
112.000000	75.296036	142.9484
115.000000	75.159668	142.4437
118.000000	75.034134	142.1171
122.000000	74.913773	141.5883
125.000000	74.786453	140.8535
128.000000	74.683517	140.7577
132.000000	74.559372	140.3080
136.000000	74.424393	139.7278
140.000000	74.321671	139.2953
145.000000	74.173271	138.8318
150.000000	74.029312	138.4595
155.000000	73.902069	138.0834
160.000000	73.786102	137.7628
165.000000	73.672783	137.4345
170.000000	73.568527	137.0890
175.000000	73.451599	136.7859
180.000000	73.381706	136.4694
185.000000	73.288521	136.3163
190.000000	73.207497	136.0587
195.000000	73.132347	135.8542
200.000000	73.053070	135.6567
206.000000	72.985489	135.4319
212.000000	72.907822	135.1750
218.000000	72.847229	134.9985
224.000000	72.786591	134.7831
230.000000	72.734299	134.6148
236.000000	72.684280	134.4121
243.000000	72.630615	134.2039
250.000000	72.595001	133.9951
258.000000	72.561310	133.7722
265.000000	72.523178	133.6154
272.000000	72.499229	133.4202
280.000000	72.474358	133.2205
290.000000	72.451523	132.9607
300.000000	72.435753	132.7708
307.000000	72.434143	132.5623
315.000000	72.434875	132.3889
325.000000	72.437119	132.1275
335.000000	72.446968	131.9716
345.000000	72.461319	131.6855
355.000000	72.483124	131.4665
365.000000	72.506569	131.2502
375.000000	72.531097	131.0366
387.000000	72.567535	130.7632
400.000000	72.616577	130.4830
412.000000	72.657425	130.2496
425.000000	72.709435	130.0147
437.000000	72.762032	129.7651
450.000000	72.814972	129.4984
462.000000	72.867020	129.2679
475.000000	72.930115	129.0120
487.000000	72.984665	128.8177
500.000000	73.041428	128.5949
515.000000	73.110909	128.3365
530.000000	73.177437	128.1015
545.000000	73.240967	127.8983
560.000000	73.306580	127.6900
580.000000	73.386604	127.4980
600.000000	73.461739	127.2831
615.000000	73.511696	127.1428
630.000000	73.548203	127.0278
650.000000	73.554276	127.2377
670.000000	73.709946	127.9786
690.000000	73.826477	127.5842
710.000000	73.880394	127.5132
730.000000	73.924202	127.6267
750.000000	73.971489	127.8718
775.000000	74.029099	128.3257
800.000000	74.096283	128.8978
825.000000	74.167854	129.5441
850.000000	74.248886	130.3065
875.000000	74.336227	131.1374
900.000000	74.435066	132.0119
925.000000	74.544731	132.9211
950.000000	74.663254	133.8420
975.000000	74.790855	134.7676
1000.000000	74.930161	135.6497
1030.000000	75.105400	136.6880
1060.000000	75.283218	137.6377
1090.000000	75.466385	138.4898
1120.000000	75.645737	139.2813
1150.000000	75.814796	139.9492
1180.000000	75.978889	140.5682
1220.000000	76.173294	141.3005
1250.000000	76.297745	141.8010
1280.000000	76.409996	142.2673
1320.000000	76.533913	142.9277
1360.000000	76.631729	143.6288
1400.000000	76.706062	144.4042
1450.000000	76.771164	145.4928
1500.000000	76.816803	146.7371
1550.000000	76.841263	148.1429
1600.000000	76.857025	149.7115
1650.000000	76.869431	151.4167
1700.000000	76.881111	153.2406
1750.000000	76.895615	155.1686
1800.000000	76.915382	157.1541
1850.000000	76.937027	159.1907
1900.000000	76.964233	161.2789
1950.000000	76.996521	163.3887
2000.000000	77.035492	165.4937
2060.000000	77.092545	168.0135
2120.000000	77.160187	170.4734
2180.000000	77.233688	172.8640
2240.000000	77.312462	175.1228
2300.000000	77.392334	177.2619
2360.000000	77.472984	179.2552
2430.000000	77.556175	-178.6342
2500.000000	77.627823	-176.7569
2580.000000	77.684540	-174.8943
2650.000000	77.704979	-173.5128
2720.000000	77.693298	-172.3268
2800.000000	77.638626	-171.1934
2900.000000	77.500969	-170.0324
3000.000000	77.292892	-169.0452
3070.000000	77.111664	-168.4190
3150.000000	76.876701	-167.7467
3250.000000	76.556335	-166.9493
3350.000000	76.228348	-166.2613
3450.000000	75.912376	-165.7220
3550.000000	75.627617	-165.4895
3650.000000	75.392921	-165.6610
3750.000000	75.210419	-166.3709
3870.000000	75.069992	-168.0228
4000.000000	75.007133	-170.7741
4120.000000	75.032158	-173.9984
4250.000000	75.142967	-177.8754
4370.000000	75.358353	178.4930
4500.000000	75.714867	174.3828
4620.000000	76.084770	170.0367
4750.000000	76.308151	164.8201
4870.000000	76.209778	161.0966
5000.000000	75.956146	159.7612
5150.000000	75.758484	161.0405
5300.000000	75.717224	163.7363
5450.000000	75.742088	166.9312
5600.000000	75.741829	170.3772
5800.000000	75.597992	175.4735
6000.000000	75.248680	-178.3383
6150.000000	74.872803	-172.6420
6300.000000	74.438446	-165.9002
6500.000000	73.844879	-155.2698
6700.000000	73.295517	-143.0919
6900.000000	72.840202	-129.8814
7100.000000	72.453827	-116.1743
7300.000000	72.045303	-101.7523
7500.000000	71.754776	-85.9044
7750.000000	71.696465	-65.8189
8000.000000	71.828018	-46.6359
8250.000000	71.996277	-28.0742
8500.000000	72.172569	-9.8239
8750.000000	72.368347	8.4467
9000.000000	72.631554	26.6631
9250.000000	72.973740	44.6601
9500.000000	73.406403	62.1761
9750.000000	73.886368	78.9887
10000.000000	74.400940	95.2550
10300.000000	75.099678	114.0917
10600.000000	75.944756	131.8159
10900.000000	76.953827	147.6378
11200.000000	78.054733	160.5404
11500.000000	79.038177	169.9938
11800.000000	79.761719	176.7316
12200.000000	80.241013	-177.3223
12500.000000	80.318657	-174.7770
12800.000000	80.038322	-174.8305
13200.000000	78.546127	-175.3587
13600.000000	76.779037	-170.3076
14000.000000	75.255295	-169.9622
14500.000000	71.425888	-168.6022
15000.000000	67.181129	-156.2327
15500.000000	63.596260	-139.2210
16000.000000	60.591278	-122.7882
16500.000000	57.783096	-109.1578
17000.000000	54.832306	-99.2077
17500.000000	51.454956	-91.2267
18000.000000	48.307842	-83.6735
18500.000000	45.351345	-94.6788
19000.000000	37.859055	-105.9861
19500.000000	33.815681	-71.5875
