* Measurement data measured by REW V5.20 Beta 59
* Source: Frequency Response Averaged data
* Format: Averaged data produced from UM MEST CIEM - L, UM MEST CIEM - R
* Dated: Sep 22, 2020 11:47:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from UM MEST CIEM - L, UM MEST CIEM - R
* Measurement: UM MEST CIEM
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.933968	0
21.200001	82.961357	0
21.799999	82.990540	0
22.400000	83.020325	0
23.000000	83.049545	0
23.600000	83.077263	0
24.299999	83.106712	0
25.000000	83.132355	0
25.799999	83.156578	0
26.500000	83.173256	0
27.200001	83.185905	0
28.000000	83.195732	0
29.000000	83.201622	0
30.000000	83.200935	0
30.700001	83.196823	0
31.500000	83.188652	0
32.500000	83.173668	0
33.500000	83.153931	0
34.500000	83.130005	0
35.500000	83.102432	0
36.500000	83.071640	0
37.500000	83.037964	0
38.700001	82.994133	0
40.000000	82.942871	0
41.200001	82.892426	0
42.500000	82.834839	0
43.700001	82.779327	0
45.000000	82.717087	0
46.200001	82.658051	0
47.500000	82.592735	0
48.700001	82.531456	0
50.000000	82.464233	0
51.500000	82.385841	0
53.000000	82.306793	0
54.500000	82.227287	0
56.000000	82.147514	0
58.000000	82.041077	0
60.000000	81.935013	0
61.500000	81.856003	0
63.000000	81.777679	0
65.000000	81.674614	0
67.000000	81.573448	0
69.000000	81.474419	0
71.000000	81.377495	0
73.000000	81.282463	0
75.000000	81.188950	0
77.500000	81.073685	0
80.000000	80.959969	0
82.500000	80.847763	0
85.000000	80.736824	0
87.500000	80.626442	0
90.000000	80.515831	0
92.500000	80.404678	0
95.000000	80.293518	0
97.500000	80.183434	0
100.000000	80.075615	0
103.000000	79.949654	0
106.000000	79.827507	0
109.000000	79.709801	0
112.000000	79.596725	0
115.000000	79.488174	0
118.000000	79.383896	0
122.000000	79.250961	0
125.000000	79.155472	0
128.000000	79.063278	0
132.000000	78.945160	0
136.000000	78.832214	0
140.000000	78.724205	0
145.000000	78.595764	0
150.000000	78.474144	0
155.000000	78.358818	0
160.000000	78.249451	0
165.000000	78.145950	0
170.000000	78.048302	0
175.000000	77.956482	0
180.000000	77.870285	0
185.000000	77.789413	0
190.000000	77.713516	0
195.000000	77.642311	0
200.000000	77.575577	0
206.000000	77.501183	0
212.000000	77.432732	0
218.000000	77.369965	0
224.000000	77.312576	0
230.000000	77.260269	0
236.000000	77.212791	0
243.000000	77.163162	0
250.000000	77.119370	0
258.000000	77.075935	0
265.000000	77.043335	0
272.000000	77.015450	0
280.000000	76.988960	0
290.000000	76.963440	0
300.000000	76.945923	0
307.000000	76.938202	0
315.000000	76.933617	0
325.000000	76.933640	0
335.000000	76.939362	0
345.000000	76.950211	0
355.000000	76.965691	0
365.000000	76.985344	0
375.000000	77.008713	0
387.000000	77.041039	0
400.000000	77.080727	0
412.000000	77.121094	0
425.000000	77.168228	0
437.000000	77.214218	0
450.000000	77.266190	0
462.000000	77.315704	0
475.000000	77.370575	0
487.000000	77.421982	0
500.000000	77.478149	0
515.000000	77.543098	0
530.000000	77.607620	0
545.000000	77.671120	0
560.000000	77.733009	0
580.000000	77.812233	0
600.000000	77.887222	0
615.000000	77.941055	0
630.000000	77.993904	0
650.000000	78.065262	0
670.000000	78.139030	0
690.000000	78.212875	0
710.000000	78.283173	0
730.000000	78.348785	0
750.000000	78.410988	0
775.000000	78.487160	0
800.000000	78.565010	0
825.000000	78.647308	0
850.000000	78.735977	0
875.000000	78.832352	0
900.000000	78.937401	0
925.000000	79.051682	0
950.000000	79.175262	0
975.000000	79.307434	0
1000.000000	79.446899	0
1030.000000	79.621307	0
1060.000000	79.799973	0
1090.000000	79.978996	0
1120.000000	80.154434	0
1150.000000	80.322586	0
1180.000000	80.480331	0
1220.000000	80.670624	0
1250.000000	80.796585	0
1280.000000	80.907639	0
1320.000000	81.032898	0
1360.000000	81.133682	0
1400.000000	81.212494	0
1450.000000	81.284622	0
1500.000000	81.333069	0
1550.000000	81.363770	0
1600.000000	81.382286	0
1650.000000	81.393486	0
1700.000000	81.401451	0
1750.000000	81.409500	0
1800.000000	81.420250	0
