* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 14, 2022 8:02:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MEXT L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	100.210022	-148.8799
21.200001	100.245598	-150.3437
21.799999	100.263000	-151.7632
22.400000	100.260201	-153.2299
23.000000	100.247566	-154.7400
23.600000	100.240005	-156.1695
24.299999	100.229424	-157.6739
25.000000	100.202156	-159.0994
25.799999	100.150429	-160.7209
26.500000	100.102509	-162.1597
27.200001	100.063461	-163.5189
28.000000	100.007645	-164.9689
29.000000	99.940811	-166.7983
30.000000	99.867447	-168.4603
30.700001	99.813828	-169.6580
31.500000	99.761269	-170.9493
32.500000	99.684845	-172.5312
33.500000	99.610764	-174.0317
34.500000	99.532784	-175.4692
35.500000	99.454247	-176.8333
36.500000	99.373947	-178.1806
37.500000	99.298309	-179.4539
38.700001	99.200134	179.0487
40.000000	99.092926	177.4844
41.200001	98.997437	176.1621
42.500000	98.893677	174.6873
43.700001	98.795547	173.4888
45.000000	98.692429	172.1711
46.200001	98.595261	171.0094
47.500000	98.490616	169.8064
48.700001	98.393936	168.7368
50.000000	98.289581	167.6309
51.500000	98.172966	166.3944
53.000000	98.054169	165.2333
54.500000	97.935677	164.1234
56.000000	97.819107	163.0403
58.000000	97.666885	161.6854
60.000000	97.523758	160.4197
61.500000	97.404953	159.4908
63.000000	97.294647	158.6076
65.000000	97.147888	157.4896
67.000000	97.004318	156.4434
69.000000	96.860130	155.4361
71.000000	96.720421	154.4768
73.000000	96.582916	153.5992
75.000000	96.442833	152.7419
77.500000	96.275429	151.7320
80.000000	96.109680	150.7863
82.500000	95.946060	149.8867
85.000000	95.786240	149.0541
87.500000	95.629639	148.2764
90.000000	95.468796	147.5322
92.500000	95.329880	146.8283
95.000000	95.186432	146.1696
97.500000	95.045952	145.5388
100.000000	94.910545	144.9597
103.000000	94.753906	144.2982
