* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2023 1:27:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH-EX300AP R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.544	-86.4849
20.600000	68.979	-88.2544
21.200001	69.345	-91.3779
21.799999	69.455	-94.5750
22.400000	69.424	-96.3340
23.000000	69.490	-96.7528
23.600000	69.716	-97.2129
24.299999	70.028	-98.7023
25.000000	70.246	-101.1299
25.799999	70.260	-104.3307
26.500000	70.094	-106.2778
27.200001	69.961	-107.1423
28.000000	69.940	-107.8909
29.000000	70.090	-108.6638
30.000000	70.521	-110.9571
30.700001	70.694	-113.8588
31.500000	70.703	-116.3387
32.500000	70.790	-117.8637
33.500000	70.959	-119.4398
34.500000	71.066	-121.0760
35.500000	71.114	-122.5709
36.500000	71.090	-123.8613
37.500000	71.122	-124.4741
38.700001	71.271	-126.5902
40.000000	71.197	-128.3752
41.200001	71.260	-129.7691
42.500000	71.305	-130.6577
43.700001	71.465	-132.5896
45.000000	71.423	-134.5635
46.200001	71.499	-136.3067
47.500000	71.356	-138.2836
48.700001	71.474	-137.6814
50.000000	71.686	-139.1443
51.500000	71.891	-140.5829
53.000000	71.617	-140.8940
54.500000	71.937	-141.9689
56.000000	71.734	-143.9385
58.000000	71.558	-145.7029
60.000000	71.762	-145.5762
61.500000	71.779	-148.4554
63.000000	71.686	-149.1257
65.000000	71.620	-150.9947
67.000000	71.606	-151.5857
69.000000	71.549	-152.9133
71.000000	71.656	-153.7486
73.000000	71.689	-155.2351
75.000000	71.574	-156.1477
77.500000	71.611	-156.6574
80.000000	71.652	-157.7428
82.500000	71.602	-159.0312
85.000000	71.620	-159.9355
87.500000	71.596	-161.2766
90.000000	71.574	-161.7852
92.500000	71.612	-162.8028
95.000000	71.481	-163.7357
97.500000	71.538	-164.2249
100.000000	71.547	-165.1544
103.000000	71.501	-165.8316
106.000000	71.494	-167.1042
109.000000	71.520	-167.3019
112.000000	71.618	-168.7095
115.000000	71.464	-168.8662
118.000000	71.369	-169.5325
122.000000	71.384	-170.4161
125.000000	71.347	-170.9956
128.000000	71.300	-171.6303
132.000000	71.292	-172.4762
136.000000	71.255	-173.0814
140.000000	71.225	-173.7010
145.000000	71.149	-174.6242
150.000000	71.124	-175.2221
155.000000	71.067	-175.9114
160.000000	71.051	-176.4781
165.000000	70.963	-177.5562
170.000000	70.927	-177.7232
175.000000	70.896	-178.3399
180.000000	70.875	-178.5132
185.000000	70.743	-179.2175
190.000000	70.695	-179.7069
195.000000	70.640	179.9175
200.000000	70.590	179.5693
206.000000	70.515	179.1303
212.000000	70.445	178.8884
218.000000	70.449	178.4528
224.000000	70.347	178.0502
230.000000	70.236	177.8372
236.000000	70.172	177.5743
243.000000	70.094	177.3339
250.000000	70.027	177.1223
258.000000	69.902	176.6808
265.000000	69.808	176.5094
272.000000	69.746	176.4582
280.000000	69.650	176.3517
290.000000	69.554	176.1641
300.000000	69.464	175.6635
307.000000	69.385	176.1061
315.000000	69.274	176.1307
325.000000	69.170	176.2542
335.000000	69.078	176.2242
345.000000	68.947	176.3041
355.000000	68.902	176.4171
365.000000	68.797	176.7552
375.000000	68.711	176.9164
387.000000	68.594	177.3955
400.000000	68.458	177.5394
412.000000	68.356	177.6398
425.000000	68.255	178.2145
437.000000	68.154	178.5765
450.000000	68.046	179.1100
462.000000	67.979	179.6360
475.000000	67.865	-179.8152
487.000000	67.777	-179.3604
500.000000	67.687	-178.6917
515.000000	67.598	-178.0042
530.000000	67.510	-177.2787
545.000000	67.426	-176.5871
560.000000	67.323	-175.6160
580.000000	67.212	-174.5340
600.000000	67.128	-173.4612
615.000000	67.059	-172.5748
630.000000	67.005	-171.7252
650.000000	66.927	-170.4154
670.000000	66.871	-169.1169
690.000000	66.810	-167.8274
710.000000	66.784	-166.5405
730.000000	66.763	-165.2982
750.000000	66.755	-164.0422
775.000000	66.752	-162.7231
800.000000	66.782	-161.8126
825.000000	66.649	-162.7841
850.000000	65.308	-158.3866
875.000000	66.251	-148.9180
900.000000	66.888	-148.0437
925.000000	67.313	-147.4461
950.000000	67.736	-147.9665
975.000000	67.867	-150.1600
1000.000000	67.520	-151.0508
1030.000000	67.215	-148.0602
1060.000000	67.288	-144.7764
1090.000000	67.515	-142.2437
1120.000000	67.768	-140.3242
1150.000000	68.033	-138.8904
1180.000000	68.296	-137.7336
1220.000000	68.621	-136.6296
1250.000000	68.846	-135.8985
1280.000000	69.047	-135.3647
1320.000000	69.303	-134.6808
1360.000000	69.533	-134.1484
1400.000000	69.739	-133.6622
1450.000000	69.987	-133.0889
1500.000000	70.208	-132.4621
1550.000000	70.420	-131.8114
1600.000000	70.621	-131.2116
1650.000000	70.831	-130.5314
1700.000000	71.035	-129.9027
1750.000000	71.240	-129.2812
1800.000000	71.451	-128.7037
1850.000000	71.664	-128.1343
1900.000000	71.879	-127.6333
1950.000000	72.103	-127.1929
2000.000000	72.320	-126.8221
2060.000000	72.598	-126.4808
2120.000000	72.866	-126.2409
2180.000000	73.130	-126.1322
2240.000000	73.393	-126.1513
2300.000000	73.650	-126.2908
2360.000000	73.894	-126.5233
2430.000000	74.165	-126.9709
2500.000000	74.415	-127.4800
2580.000000	74.677	-128.2023
2650.000000	74.880	-128.9360
2720.000000	75.063	-129.6815
2800.000000	75.238	-130.5342
2900.000000	75.426	-131.5511
3000.000000	75.581	-132.4476
3070.000000	75.674	-133.0174
3150.000000	75.781	-133.5584
3250.000000	75.904	-134.1380
3350.000000	76.027	-134.5468
3450.000000	76.163	-134.9055
3550.000000	76.316	-135.1799
3650.000000	76.489	-135.4731
3750.000000	76.688	-135.8109
3870.000000	76.955	-136.3471
4000.000000	77.287	-137.1811
4120.000000	77.626	-138.3390
4250.000000	78.022	-140.1640
4370.000000	78.395	-142.6150
4500.000000	78.759	-146.4798
4620.000000	78.726	-151.0125
4750.000000	78.978	-151.7006
4870.000000	79.331	-157.7161
5000.000000	79.213	-164.4814
5150.000000	78.728	-171.5522
5300.000000	77.958	-177.3426
5450.000000	77.020	178.7141
5600.000000	76.041	176.3278
5800.000000	74.743	175.2713
6000.000000	73.553	176.2104
6150.000000	72.763	177.8342
6300.000000	72.047	-179.9701
6500.000000	71.218	-175.9912
6700.000000	70.701	-170.4469
6900.000000	70.553	-166.4366
7100.000000	70.432	-162.8431
7300.000000	70.486	-159.3872
7500.000000	70.729	-156.5366
7750.000000	71.323	-154.1792
8000.000000	72.263	-154.4894
8250.000000	73.434	-159.1161
8500.000000	74.446	-170.1797
8750.000000	74.513	173.2500
9000.000000	73.249	157.5741
9250.000000	71.282	147.8751
9500.000000	69.309	143.5402
9750.000000	67.564	142.3582
10000.000000	66.035	143.2368
10300.000000	64.492	147.3890
10600.000000	63.732	155.2076
10900.000000	64.196	160.0576
11200.000000	64.802	158.4869
11500.000000	65.212	153.8214
11800.000000	65.477	146.5066
12200.000000	65.170	132.5564
12500.000000	64.390	121.6090
12800.000000	63.290	111.5617
13200.000000	61.258	98.0303
13600.000000	58.957	88.2903
14000.000000	56.892	78.3739
14500.000000	54.509	63.5257
15000.000000	52.535	41.8788
15500.000000	51.116	7.4048
16000.000000	49.673	-38.4598
16500.000000	47.180	-86.5475
17000.000000	44.426	-114.4667
17500.000000	44.125	-130.5262
18000.000000	45.274	-157.1387
18500.000000	46.761	166.3013
19000.000000	47.968	115.0541
19500.000000	47.864	45.4854
