* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.500. Timing signal peak level -58.3 dBFS, measurement signal peak level -22.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Aug 27, 2023 3:33:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0249 ms (8.5 mm, 0.34 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 0.2 ppm
* Measurement: MP145 Silver R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.306	-102.3673
21.200001	93.438	-104.7621
21.799999	93.564	-107.1177
22.400000	93.681	-109.2410
23.000000	93.765	-110.9783
23.600000	93.823	-112.2989
24.299999	93.911	-113.6320
25.000000	94.050	-115.2997
25.799999	94.197	-117.8386
26.500000	94.232	-120.0893
27.200001	94.189	-121.7263
28.000000	94.174	-122.8284
29.000000	94.298	-124.4036
30.000000	94.413	-126.6824
30.700001	94.448	-128.2281
31.500000	94.475	-129.8293
32.500000	94.512	-131.7001
33.500000	94.548	-133.4669
34.500000	94.576	-135.1378
35.500000	94.596	-136.8069
36.500000	94.608	-138.3845
37.500000	94.632	-139.9101
38.700001	94.670	-141.6515
40.000000	94.707	-143.4664
41.200001	94.665	-144.6747
42.500000	94.646	-146.3154
43.700001	94.594	-147.7087
45.000000	94.673	-149.1105
46.200001	94.678	-150.6319
47.500000	94.689	-152.0289
48.700001	94.694	-153.2569
50.000000	94.690	-154.4455
51.500000	94.665	-155.8629
53.000000	94.658	-157.3564
54.500000	94.658	-158.6120
56.000000	94.628	-159.8632
58.000000	94.621	-161.5510
60.000000	94.670	-163.1821
61.500000	94.578	-164.1074
63.000000	94.545	-165.2082
65.000000	94.514	-166.5956
67.000000	94.486	-167.8925
69.000000	94.447	-169.1597
71.000000	94.412	-170.3365
73.000000	94.369	-171.4651
75.000000	94.329	-172.5913
77.500000	94.251	-173.8761
80.000000	94.215	-175.2607
82.500000	94.152	-176.4361
85.000000	94.091	-177.5204
87.500000	94.025	-178.6178
90.000000	93.979	-179.7594
92.500000	93.906	179.2418
95.000000	93.846	178.2206
97.500000	93.785	177.3556
100.000000	93.724	176.3960
103.000000	93.643	175.3862
106.000000	93.570	174.3661
109.000000	93.491	173.4492
112.000000	93.418	172.5629
115.000000	93.351	171.7157
118.000000	93.275	170.8903
122.000000	93.173	169.8322
125.000000	93.097	169.0696
128.000000	93.023	168.3492
132.000000	92.925	167.4673
136.000000	92.826	166.5802
140.000000	92.722	165.8557
145.000000	92.594	164.9151
150.000000	92.471	164.0018
155.000000	92.346	163.1687
160.000000	92.217	162.4377
165.000000	92.091	161.6887
170.000000	91.964	161.0756
175.000000	91.844	160.4495
180.000000	91.733	159.9610
185.000000	91.600	159.3721
190.000000	91.480	158.8911
195.000000	91.363	158.4330
200.000000	91.245	158.0165
206.000000	91.107	157.5545
212.000000	90.967	157.1241
218.000000	90.834	156.7729
224.000000	90.702	156.4001
230.000000	90.573	156.1164
236.000000	90.442	155.8655
243.000000	90.297	155.5799
250.000000	90.151	155.3185
258.000000	89.989	155.1035
265.000000	89.855	154.9677
272.000000	89.722	154.8427
280.000000	89.572	154.7015
290.000000	89.385	154.6375
300.000000	89.210	154.5032
307.000000	89.088	154.5959
315.000000	88.958	154.6040
325.000000	88.788	154.6812
335.000000	88.637	154.7991
345.000000	88.484	154.9251
355.000000	88.349	155.0910
365.000000	88.195	155.2817
375.000000	88.057	155.5047
387.000000	87.899	155.8796
400.000000	87.733	156.1876
412.000000	87.587	156.5800
425.000000	87.436	156.9557
437.000000	87.306	157.4190
450.000000	87.167	157.8783
462.000000	87.045	158.3459
475.000000	86.917	158.8819
487.000000	86.805	159.3771
500.000000	86.691	159.9115
515.000000	86.564	160.6119
530.000000	86.445	161.3380
545.000000	86.337	162.0045
560.000000	86.229	162.7318
580.000000	86.100	163.7155
600.000000	85.987	164.7205
615.000000	85.903	165.5172
630.000000	85.827	166.3066
650.000000	85.735	167.3892
670.000000	85.655	168.4905
690.000000	85.588	169.6003
710.000000	85.525	170.7564
730.000000	85.480	171.8721
750.000000	85.445	173.0449
775.000000	85.414	174.4894
800.000000	85.406	175.9381
825.000000	85.422	177.4057
850.000000	85.447	178.8624
875.000000	85.496	-179.7460
900.000000	85.564	-178.3746
925.000000	85.649	-177.0852
950.000000	85.755	-175.8488
975.000000	85.878	-174.7051
1000.000000	86.009	-173.6560
1030.000000	86.183	-172.5519
1060.000000	86.370	-171.6055
1090.000000	86.562	-170.8538
1120.000000	86.753	-170.2484
1150.000000	86.947	-169.7829
1180.000000	87.134	-169.4426
1220.000000	87.372	-169.1320
1250.000000	87.542	-169.0042
1280.000000	87.705	-168.9358
1320.000000	87.909	-168.9026
1360.000000	88.103	-168.9239
1400.000000	88.286	-168.9783
1450.000000	88.509	-169.0647
1500.000000	88.727	-169.1646
1550.000000	88.945	-169.2522
1600.000000	89.173	-169.3423
1650.000000	89.415	-169.4831
1700.000000	89.672	-169.7022
1750.000000	89.946	-170.0647
1800.000000	90.231	-170.6047
1850.000000	90.520	-171.3540
1900.000000	90.807	-172.3120
1950.000000	91.087	-173.4928
2000.000000	91.353	-174.8691
2060.000000	91.648	-176.7590
2120.000000	91.910	-178.8913
2180.000000	92.130	178.8186
2240.000000	92.309	176.4071
2300.000000	92.445	173.9456
2360.000000	92.540	171.4896
2430.000000	92.605	168.6980
2500.000000	92.631	166.0208
2580.000000	92.623	163.1265
2650.000000	92.592	160.7056
2720.000000	92.538	158.3870
2800.000000	92.446	155.8757
2900.000000	92.296	153.0127
3000.000000	92.117	150.4664
3070.000000	91.975	148.8597
3150.000000	91.795	147.2831
3250.000000	91.572	145.8062
3350.000000	91.390	144.7513
3450.000000	91.255	143.9294
3550.000000	91.166	143.2202
3650.000000	91.119	142.5510
3750.000000	91.111	141.8552
3870.000000	91.147	140.9385
4000.000000	91.234	139.7462
4120.000000	91.351	138.4103
4250.000000	91.511	136.6473
4370.000000	91.679	134.6348
4500.000000	91.869	131.9942
4620.000000	92.035	129.0486
4750.000000	92.177	125.2075
4870.000000	92.225	121.0581
5000.000000	92.117	116.1824
5150.000000	91.769	111.0031
5300.000000	91.303	106.9630
5450.000000	90.810	103.8450
5600.000000	90.314	101.4626
5800.000000	89.689	99.3693
6000.000000	89.154	98.1960
6150.000000	88.815	97.7368
6300.000000	88.534	97.6393
6500.000000	88.275	97.9201
6700.000000	88.178	98.4090
6900.000000	88.222	98.6789
7100.000000	88.326	99.1760
7300.000000	88.793	99.9852
7500.000000	89.490	98.9448
7750.000000	90.551	94.9989
8000.000000	91.588	87.7080
8250.000000	92.428	77.2928
8500.000000	92.833	64.8245
8750.000000	92.835	52.6929
9000.000000	92.777	40.3067
9250.000000	92.175	25.7547
9500.000000	90.644	17.3387
9750.000000	90.412	15.8033
10000.000000	90.973	5.5695
10300.000000	90.101	-15.5688
10600.000000	87.372	-17.8860
10900.000000	87.969	-19.0668
11200.000000	88.292	-30.5194
11500.000000	88.363	-44.9705
11800.000000	87.572	-66.8430
12200.000000	83.028	-76.4306
12500.000000	82.389	-68.7200
12800.000000	83.044	-69.7289
13200.000000	83.816	-77.1901
13600.000000	85.716	-86.1229
14000.000000	88.527	-107.4792
14500.000000	90.317	-160.8923
15000.000000	88.069	161.2127
15500.000000	88.325	120.8540
16000.000000	86.870	75.4615
16500.000000	87.638	39.3637
17000.000000	89.919	-31.7052
17500.000000	85.857	-123.4971
18000.000000	79.865	-175.9204
18500.000000	73.200	130.3505
19000.000000	72.095	92.5833
19500.000000	72.191	7.9216
