* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -36.2 dBFS, measurement signal peak level -27.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: May 27, 2023 8:11:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0168 ms (-5.8 mm, -0.23 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -0.2 ppm
* Measurement: Maestro Mini L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.723	4.6992
21.200001	91.655	3.0475
21.799999	91.576	1.4466
22.400000	91.483	-0.0980
23.000000	91.376	-1.5767
23.600000	91.262	-2.9955
24.299999	91.123	-4.5830
25.000000	90.976	-6.1004
25.799999	90.811	-7.7700
26.500000	90.667	-9.1816
27.200001	90.515	-10.5161
28.000000	90.343	-11.9389
29.000000	90.135	-13.6747
30.000000	89.917	-15.3442
30.700001	89.773	-16.3992
31.500000	89.615	-17.5747
32.500000	89.417	-19.0439
33.500000	89.221	-20.3748
34.500000	89.022	-21.6744
35.500000	88.832	-22.9011
36.500000	88.647	-24.0329
37.500000	88.460	-25.1547
38.700001	88.246	-26.3587
40.000000	88.013	-27.6453
41.200001	87.803	-28.7200
42.500000	87.590	-29.8359
43.700001	87.390	-30.7852
45.000000	87.175	-31.8597
46.200001	86.993	-32.6319
47.500000	86.788	-33.5112
48.700001	86.598	-34.3358
50.000000	86.412	-35.1261
51.500000	86.187	-35.9287
53.000000	85.973	-36.7465
54.500000	85.763	-37.4757
56.000000	85.562	-38.1424
58.000000	85.297	-38.9912
60.000000	84.998	-40.1273
61.500000	84.854	-40.2964
63.000000	84.665	-40.8217
65.000000	84.430	-41.4376
67.000000	84.197	-41.9884
69.000000	83.968	-42.5267
71.000000	83.746	-42.9782
73.000000	83.527	-43.3808
75.000000	83.318	-43.7791
77.500000	83.058	-44.2172
80.000000	82.809	-44.5869
82.500000	82.565	-44.9233
85.000000	82.325	-45.2345
87.500000	82.095	-45.4815
90.000000	81.868	-45.6488
92.500000	81.654	-45.8443
95.000000	81.436	-45.9826
97.500000	81.240	-46.0818
100.000000	81.039	-46.1752
103.000000	80.809	-46.2212
106.000000	80.584	-46.2274
109.000000	80.370	-46.2428
112.000000	80.162	-46.1775
115.000000	79.963	-46.1250
118.000000	79.767	-46.0123
122.000000	79.512	-45.8535
125.000000	79.327	-45.6934
128.000000	79.154	-45.4993
132.000000	78.923	-45.2786
136.000000	78.700	-44.9684
140.000000	78.485	-44.6407
145.000000	78.228	-44.1746
150.000000	77.977	-43.6839
155.000000	77.745	-43.1640
160.000000	77.517	-42.6079
165.000000	77.303	-42.0221
170.000000	77.092	-41.4029
175.000000	76.895	-40.7664
180.000000	76.712	-39.9089
185.000000	76.524	-39.4238
190.000000	76.355	-38.7235
195.000000	76.189	-38.0376
200.000000	76.033	-37.3007
206.000000	75.853	-36.4348
212.000000	75.688	-35.5545
218.000000	75.531	-34.6780
224.000000	75.381	-33.7706
230.000000	75.238	-32.8907
236.000000	75.110	-31.9884
243.000000	74.971	-30.9505
250.000000	74.838	-29.9401
258.000000	74.705	-28.7832
265.000000	74.592	-27.7665
272.000000	74.492	-26.7822
280.000000	74.389	-25.6896
290.000000	74.267	-24.3339
300.000000	74.131	-22.9725
307.000000	74.094	-22.1603
315.000000	74.030	-21.1695
325.000000	73.954	-19.9634
335.000000	73.890	-18.8257
345.000000	73.830	-17.7198
355.000000	73.776	-16.6817
365.000000	73.728	-15.6759
375.000000	73.685	-14.6937
387.000000	73.644	-13.5680
400.000000	73.601	-12.4271
412.000000	73.568	-11.4006
425.000000	73.537	-10.3664
437.000000	73.507	-9.4323
450.000000	73.482	-8.4585
462.000000	73.458	-7.6087
475.000000	73.433	-6.7147
487.000000	73.413	-5.9204
500.000000	73.390	-5.0762
515.000000	73.364	-4.1607
530.000000	73.338	-3.2341
545.000000	73.316	-2.3557
560.000000	73.291	-1.4471
580.000000	73.263	-0.3234
600.000000	73.230	0.8425
615.000000	73.206	1.7005
630.000000	73.184	2.5501
650.000000	73.159	3.6689
670.000000	73.132	4.8130
690.000000	73.111	5.9479
710.000000	73.091	7.1238
730.000000	73.077	8.3126
750.000000	73.067	9.5030
775.000000	73.060	11.0276
800.000000	73.064	12.5917
825.000000	73.080	14.2179
850.000000	73.127	16.2458
875.000000	73.388	17.1227
900.000000	73.271	17.7305
925.000000	73.291	19.6423
950.000000	73.384	21.2137
975.000000	73.492	22.6111
1000.000000	73.611	23.8738
1030.000000	73.765	25.2147
1060.000000	73.924	26.4156
1090.000000	74.086	27.4395
1120.000000	74.240	28.2941
1150.000000	74.388	29.0233
1180.000000	74.528	29.6363
1220.000000	74.688	30.3332
1250.000000	74.792	30.7951
1280.000000	74.881	31.2560
1320.000000	74.986	31.8502
1360.000000	75.070	32.4674
1400.000000	75.141	33.1621
1450.000000	75.220	34.1029
1500.000000	75.292	35.1811
1550.000000	75.363	36.3303
1600.000000	75.443	37.5898
1650.000000	75.531	38.9470
1700.000000	75.631	40.3566
1750.000000	75.747	41.8044
1800.000000	75.880	43.2707
1850.000000	76.031	44.7557
1900.000000	76.200	46.2345
1950.000000	76.388	47.6869
2000.000000	76.596	49.1002
2060.000000	76.876	50.7494
2120.000000	77.191	52.2857
2180.000000	77.533	53.6457
2240.000000	77.911	54.8098
2300.000000	78.315	55.7060
2360.000000	78.741	56.3232
2430.000000	79.262	56.5793
2500.000000	79.790	56.3052
2580.000000	80.376	55.2758
2650.000000	80.850	53.7632
2720.000000	81.260	51.7526
2800.000000	81.623	49.0180
2900.000000	81.898	45.3935
3000.000000	81.991	42.1509
3070.000000	81.982	40.3732
3150.000000	81.943	38.9789
3250.000000	81.920	38.2065
3350.000000	82.010	38.3310
3450.000000	82.293	38.9666
3550.000000	82.840	39.4455
3650.000000	83.686	38.7520
3750.000000	84.765	35.3238
3870.000000	85.923	25.7261
4000.000000	86.133	11.2753
4120.000000	85.437	1.0948
4250.000000	84.655	-5.1508
4370.000000	84.254	-9.9482
4500.000000	83.867	-17.2216
4620.000000	83.010	-25.0142
4750.000000	81.478	-29.5851
4870.000000	80.167	-28.4015
5000.000000	79.399	-24.5027
5150.000000	79.175	-21.2778
5300.000000	79.173	-20.6417
5450.000000	79.061	-21.6749
5600.000000	78.831	-22.7218
5800.000000	78.447	-23.3799
6000.000000	78.122	-22.9141
6150.000000	77.984	-22.1166
6300.000000	77.958	-21.2467
6500.000000	78.099	-20.5033
6700.000000	78.403	-20.9166
6900.000000	78.768	-23.1219
7100.000000	79.048	-27.3692
7300.000000	79.067	-33.4355
7500.000000	78.626	-39.9471
7750.000000	77.648	-45.7282
8000.000000	76.487	-48.7236
8250.000000	75.369	-48.8002
8500.000000	74.480	-46.6727
8750.000000	73.887	-43.1480
9000.000000	73.644	-38.8637
9250.000000	73.622	-34.2084
9500.000000	74.101	-29.2410
9750.000000	74.985	-25.4883
10000.000000	76.246	-24.0717
10300.000000	77.947	-27.4551
10600.000000	79.297	-36.0008
10900.000000	80.106	-47.2590
11200.000000	80.366	-60.2250
11500.000000	80.120	-73.3794
11800.000000	79.482	-88.1370
12200.000000	77.564	-108.4686
12500.000000	75.373	-122.3615
12800.000000	72.692	-133.8136
13200.000000	68.797	-145.0997
13600.000000	65.025	-153.5557
14000.000000	61.728	-161.7429
14500.000000	58.644	-172.8127
15000.000000	57.129	175.7710
15500.000000	56.877	166.2425
16000.000000	57.757	158.3017
16500.000000	58.848	143.6542
17000.000000	59.201	131.0352
17500.000000	60.369	116.2991
18000.000000	61.955	92.3974
18500.000000	63.606	55.4658
19000.000000	64.891	0.8593
19500.000000	64.692	-79.1656
