* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2024 1:45:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maestro SE L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.416 18.9855
0.732422 68.431 20.0746
1.098633 73.291 11.3440
1.464844 77.444 -1.2922
1.831055 80.824 -15.3367
2.197266 83.491 -29.5924
2.563477 85.533 -43.3511
2.929688 87.050 -56.1118
3.295898 88.144 -67.5005
3.662109 88.928 -77.2892
4.028320 89.513 -85.4631
4.394531 89.999 -92.2605
4.760742 90.445 -98.0975
5.126953 90.866 -103.3778
5.493164 91.247 -108.3302
5.859375 91.574 -112.9911
6.225586 91.846 -117.3076
6.591797 92.077 -121.2508
6.958008 92.282 -124.8614
7.324219 92.468 -128.2197
7.690430 92.635 -131.3886
8.056641 92.780 -134.3856
8.422852 92.903 -137.2017
8.789062 93.010 -139.8356
9.155273 93.105 -142.3091
9.521484 93.190 -144.6543
9.887695 93.266 -146.8934
10.253906 93.330 -149.0335
10.620117 93.386 -151.0779
10.986328 93.434 -153.0372
11.352539 93.474 -154.9254
11.718750 93.506 -156.7465
12.084961 93.528 -158.4889
12.451172 93.543 -160.1382
12.817383 93.557 -161.6977
13.183594 93.573 -163.1952
13.549805 93.590 -164.6674
13.916016 93.603 -166.1331
14.282227 93.608 -167.5792
14.648438 93.604 -168.9726
15.014648 93.593 -170.2856
15.380859 93.583 -171.5171
15.747070 93.576 -172.6917
16.113281 93.573 -173.8428
16.479492 93.571 -174.9925
16.845703 93.566 -176.1444
17.211914 93.556 -177.2886
17.578125 93.540 -178.4108
17.944336 93.519 -179.4982
18.310547 93.493 179.4578
18.676758 93.466 178.4600
19.042969 93.439 177.5032
19.409180 93.414 176.5738
19.775391 93.391 175.6543
20.141602 93.367 174.7313
20.507812 93.340 173.8015
20.874023 93.299 172.8727
21.240234 93.250 171.9589
21.606445 93.191 171.0738
21.972656 93.127 170.2246
22.338867 93.062 169.4103
22.705078 92.994 168.6224
23.071289 92.928 167.8498
23.437500 92.860 167.0847
23.803711 92.791 166.3268
24.169922 92.721 165.5813
24.536133 92.650 164.8531
24.902344 92.578 164.1411
25.268555 92.507 163.4389
25.634766 92.435 162.7426
26.000977 92.361 162.0569
26.367188 92.285 161.3923
26.733398 92.211 160.7533
27.099609 92.138 160.1291
27.465820 92.068 159.4974
27.832031 91.997 158.8438
28.198242 91.921 158.1790
28.564453 91.838 157.5388
28.930664 91.750 156.9609
29.296875 91.666 156.4543
29.663086 91.592 155.9879
30.029297 91.527 155.5084
30.395508 91.469 154.9779
30.761719 91.407 154.3990
31.127930 91.340 153.8098
31.494141 91.266 153.2530
31.860352 91.194 152.7454
32.226562 91.126 152.2696
32.592773 91.065 151.7910
32.958984 91.008 151.2856
33.325195 90.948 150.7549
33.691406 90.884 150.2203
34.057617 90.817 149.7065
34.423828 90.747 149.2260
34.790039 90.680 148.7761
35.156250 90.616 148.3437
35.522461 90.554 147.9137
35.888672 90.494 147.4758
36.254883 90.433 147.0294
36.621094 90.369 146.5840
36.987305 90.304 146.1549
37.353516 90.237 145.7530
37.719727 90.173 145.3750
38.085938 90.113 145.0034
38.452148 90.055 144.6180
38.818359 89.997 144.2125
39.184570 89.935 143.8018
39.550781 89.871 143.4115
39.916992 89.806 143.0565
40.283203 89.747 142.7277
40.649414 89.693 142.3965
41.015625 89.644 142.0370
41.381836 89.594 141.6443
41.748047 89.541 141.2351
42.114258 89.486 140.8298
42.480469 89.429 140.4349
42.846680 89.372 140.0415
43.212891 89.314 139.6425
43.579102 89.251 139.2498
43.945312 89.183 138.8946
44.311523 89.115 138.6039
44.677734 89.053 138.3738
45.043945 89.003 138.1623
45.410156 88.963 137.9116
45.776367 88.926 137.5878
46.142578 88.883 137.2047
46.508789 88.828 136.8148
46.875000 88.764 136.4752
47.241211 88.700 136.2099
47.607422 88.643 135.9969
47.973633 88.596 135.7863
48.339844 88.554 135.5359
48.706055 88.511 135.2365
49.072266 88.464 134.9111
49.438477 88.410 134.5922
49.804688 88.353 134.2986
50.170898 88.297 134.0278
50.537109 88.243 133.7660
50.903320 88.189 133.5045
51.269531 88.135 133.2460
51.635742 88.081 132.9977
52.001953 88.029 132.7599
52.368164 87.980 132.5230
52.734375 87.933 132.2766
53.100586 87.887 132.0188
53.466797 87.841 131.7563
53.833008 87.795 131.4935
54.199219 87.751 131.2241
54.565430 87.707 130.9380
54.931641 87.659 130.6399
55.297852 87.606 130.3588
55.664062 87.549 130.1328
56.030273 87.497 129.9731
56.396484 87.457 129.8414
56.762695 87.427 129.6688
57.128906 87.398 129.4131
57.495117 87.356 129.1072
57.861328 87.298 128.8501
58.227539 87.235 128.7357
58.593750 87.188 128.7642
58.959961 87.171 128.8120
59.326172 87.181 128.7037
59.692383 87.191 128.3396
60.058594 87.173 127.7748
60.424805 87.112 127.1889
60.791016 87.018 126.7753
61.157227 86.918 126.6232
61.523438 86.839 126.6664
61.889648 86.792 126.7383
62.255859 86.767 126.6948
62.622070 86.742 126.5009
62.988281 86.705 126.2229
63.354492 86.654 125.9531
63.720703 86.598 125.7400
64.086914 86.545 125.5722
64.453125 86.497 125.4120
64.819336 86.451 125.2389
65.185547 86.406 125.0605
65.551758 86.362 124.8912
65.917969 86.321 124.7278
66.284180 86.284 124.5494
66.650391 86.247 124.3411
67.016602 86.206 124.1132
67.382812 86.161 123.8975
67.749023 86.113 123.7216
68.115234 86.068 123.5864
68.481445 86.029 123.4662
68.847656 85.995 123.3312
69.213867 85.961 123.1698
69.580078 85.925 122.9940
69.946289 85.886 122.8250
70.312500 85.846 122.6744
70.678711 85.807 122.5374
71.044922 85.770 122.3994
71.411133 85.734 122.2495
71.777344 85.697 122.0881
72.143555 85.658 121.9246
72.509766 85.617 121.7692
72.875977 85.576 121.6263
73.242188 85.536 121.4926
73.608398 85.497 121.3593
73.974609 85.460 121.2177
74.340820 85.423 121.0640
74.707031 85.385 120.9026
75.073242 85.344 120.7446
75.439453 85.302 120.6015
75.805664 85.261 120.4776
76.171875 85.223 120.3652
76.538086 85.189 120.2485
76.904297 85.156 120.1133
77.270508 85.123 119.9575
77.636719 85.086 119.7939
78.002930 85.046 119.6432
78.369141 85.005 119.5206
78.735352 84.966 119.4255
79.101562 84.933 119.3398
79.467773 84.904 119.2372
79.833984 84.877 119.0988
80.200195 84.847 118.9247
80.566406 84.811 118.7356
80.932617 84.769 118.5624
81.298828 84.723 118.4304
81.665039 84.679 118.3451
82.031250 84.641 118.2885
82.397461 84.609 118.2284
82.763672 84.583 118.1361
83.129883 84.557 118.0007
83.496094 84.526 117.8344
83.862305 84.490 117.6637
84.228516 84.449 117.5160
84.594727 84.407 117.4053
84.960938 84.367 117.3266
85.327148 84.332 117.2602
85.693359 84.303 117.1826
86.059570 84.275 117.0789
86.425781 84.246 116.9494
86.791992 84.213 116.8084
87.158203 84.177 116.6749
87.524414 84.140 116.5621
87.890625 84.103 116.4707
88.256836 84.069 116.3903
88.623047 84.038 116.3074
88.989258 84.008 116.2136
89.355469 83.979 116.1080
89.721680 83.948 115.9948
90.087891 83.917 115.8781
90.454102 83.884 115.7607
90.820312 83.850 115.6456
91.186523 83.815 115.5390
91.552734 83.779 115.4482
91.918945 83.744 115.3757
92.285156 83.712 115.3145
92.651367 83.683 115.2497
93.017578 83.657 115.1674
93.383789 83.631 115.0633
93.750000 83.602 114.9449
94.116211 83.571 114.8256
94.482422 83.538 114.7149
94.848633 83.505 114.6142
95.214844 83.472 114.5197
95.581055 83.439 114.4284
95.947266 83.406 114.3423
96.313477 83.374 114.2643
96.679688 83.342 114.1934
97.045898 83.313 114.1223
97.412109 83.285 114.0425
97.778320 83.258 113.9515
98.144531 83.229 113.8548
98.510742 83.200 113.7603
98.876953 83.171 113.6702
99.243164 83.144 113.5770
99.609375 83.117 113.4708
99.975586 83.088 113.3503
100.341797 83.055 113.2289
100.708008 83.019 113.1293
101.074219 82.982 113.0689
101.440430 82.949 113.0462
101.806641 82.922 113.0391
102.172852 82.902 113.0167
102.539062 82.885 112.9562
102.905273 82.868 112.8538
103.271484 82.847 112.7235
103.637695 82.821 112.5871
104.003906 82.791 112.4623
104.370117 82.758 112.3578
104.736328 82.725 112.2740
105.102539 82.692 112.2073
105.468750 82.660 112.1536
105.834961 82.630 112.1091
106.201172 82.602 112.0700
106.567383 82.575 112.0325
106.933594 82.551 111.9931
107.299805 82.528 111.9487
107.666016 82.506 111.8954
108.032227 82.486 111.8292
108.398438 82.465 111.7462
108.764648 82.444 111.6458
109.130859 82.421 111.5324
109.497070 82.394 111.4149
109.863281 82.365 111.3034
110.229492 82.334 111.2051
110.595703 82.302 111.1224
110.961914 82.270 111.0538
111.328125 82.239 110.9976
111.694336 82.207 110.9544
112.060547 82.177 110.9268
112.426758 82.149 110.9153
112.792969 82.125 110.9141
113.159180 82.105 110.9095
113.525391 82.090 110.8843
113.891602 82.076 110.8259
114.257812 82.062 110.7332
114.624023 82.043 110.6177
114.990234 82.021 110.4978
115.356445 81.995 110.3884
115.722656 81.968 110.2940
116.088867 81.942 110.2081
116.455078 81.916 110.1210
116.821289 81.889 110.0283
117.187500 81.860 109.9355
117.553711 81.829 109.8546
117.919922 81.796 109.7956
118.286133 81.764 109.7605
118.652344 81.735 109.7433
119.018555 81.708 109.7346
119.384766 81.684 109.7273
119.750977 81.662 109.7181
120.117188 81.642 109.7059
120.483398 81.624 109.6889
120.849609 81.607 109.6648
121.215820 81.591 109.6312
121.582031 81.577 109.5862
121.948242 81.564 109.5270
122.314453 81.551 109.4485
122.680664 81.537 109.3461
123.046875 81.520 109.2205
123.413086 81.499 109.0827
123.779297 81.472 108.9515
124.145508 81.441 108.8452
124.511719 81.409 108.7709
124.877930 81.379 108.7201
125.244141 81.352 108.6753
125.610352 81.326 108.6226
125.976562 81.300 108.5609
126.342773 81.271 108.5017
126.708984 81.240 108.4593
127.075195 81.209 108.4406
127.441406 81.181 108.4415
127.807617 81.155 108.4517
128.173828 81.133 108.4620
128.540039 81.113 108.4678
128.906250 81.094 108.4673
129.272461 81.078 108.4575
129.638672 81.062 108.4343
130.004883 81.047 108.3965
130.371094 81.031 108.3488
130.737305 81.014 108.2997
131.103516 80.996 108.2548
131.469727 80.980 108.2104
131.835938 80.966 108.1556
132.202148 80.952 108.0809
132.568359 80.936 107.9874
132.934570 80.916 107.8887
133.300781 80.893 107.8026
133.666992 80.870 107.7383
134.033203 80.848 107.6889
134.399414 80.830 107.6360
134.765625 80.814 107.5623
135.131836 80.795 107.4647
135.498047 80.773 107.3570
135.864258 80.746 107.2612
136.230469 80.717 107.1939
136.596680 80.689 107.1564
136.962891 80.664 107.1343
137.329102 80.643 107.1084
137.695312 80.623 107.0659
138.061523 80.602 107.0080
138.427734 80.578 106.9468
138.793945 80.552 106.8960
139.160156 80.526 106.8629
139.526367 80.500 106.8448
139.892578 80.476 106.8341
140.258789 80.454 106.8243
140.625000 80.432 106.8134
140.991211 80.411 106.8016
141.357422 80.391 106.7868
141.723633 80.372 106.7637
142.089844 80.352 106.7292
142.456055 80.330 106.6888
142.822266 80.305 106.6568
143.188477 80.280 106.6479
143.554688 80.256 106.6638
143.920898 80.238 106.6872
144.287109 80.225 106.6901
144.653320 80.213 106.6537
145.019531 80.197 106.5844
145.385742 80.175 106.5120
145.751953 80.148 106.4711
146.118164 80.121 106.4760
146.484375 80.100 106.5099
146.850586 80.086 106.5371
147.216797 80.076 106.5293
147.583008 80.063 106.4854
147.949219 80.046 106.4300
148.315430 80.025 106.3931
148.681641 80.004 106.3867
149.047852 79.987 106.3971
149.414062 79.974 106.3980
149.780273 79.962 106.3725
150.146484 79.948 106.3256
150.512695 79.931 106.2781
150.878906 79.911 106.2488
151.245117 79.893 106.2384
151.611328 79.878 106.2299
