* Measurement data measured by REW V5.20 Beta 47
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 1, 2020 8:08:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: F-Audio Major - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	88.822815	25.9018
21.200001	88.841156	25.2600
21.799999	88.870255	24.5639
22.400000	88.900108	23.8099
23.000000	88.919128	23.0970
23.600000	88.929016	22.4659
24.299999	88.936638	21.7621
25.000000	88.946518	21.0440
25.799999	88.972580	20.2471
26.500000	89.006096	19.5949
27.200001	89.032730	19.0015
28.000000	89.046158	18.3894
29.000000	89.051445	17.6123
30.000000	89.062439	16.7986
30.700001	89.073486	16.2636
31.500000	89.082565	15.7300
32.500000	89.091110	15.1002
33.500000	89.089119	14.4099
34.500000	89.082222	13.8508
35.500000	89.090103	13.3676
36.500000	89.089859	12.8078
37.500000	89.085182	12.2295
38.700001	89.082085	11.5497
40.000000	89.074097	10.9602
41.200001	89.064301	10.3970
42.500000	89.054001	9.8085
43.700001	89.044075	9.3280
45.000000	89.032578	8.8508
46.200001	89.015427	8.3218
47.500000	88.997391	7.8718
48.700001	88.987305	7.4030
50.000000	88.955345	6.9615
51.500000	88.940918	6.4573
53.000000	88.914673	6.0139
54.500000	88.886421	5.5004
56.000000	88.860825	5.2641
58.000000	88.794632	4.4389
60.000000	88.962677	3.4201
61.500000	88.774048	3.6904
63.000000	88.703018	3.3477
65.000000	88.679092	2.9193
67.000000	88.625160	2.4214
69.000000	88.589111	2.1189
71.000000	88.533669	1.6691
73.000000	88.494308	1.3765
75.000000	88.438667	0.9664
77.500000	88.375565	0.5750
80.000000	88.307816	0.2114
82.500000	88.242790	-0.1076
85.000000	88.189529	-0.4529
87.500000	88.122597	-0.7397
90.000000	88.048691	-0.9637
92.500000	87.978302	-1.2326
95.000000	87.915131	-1.4508
97.500000	87.846184	-1.7891
100.000000	87.771881	-1.9556
103.000000	87.689728	-2.0994
106.000000	87.612564	-2.3541
109.000000	87.513908	-2.4051
112.000000	87.427338	-2.6331
115.000000	87.348900	-2.7794
118.000000	87.277924	-2.9367
122.000000	87.158173	-3.0108
125.000000	87.057312	-3.0337
128.000000	86.971077	-3.0843
132.000000	86.860558	-3.0600
136.000000	86.753700	-3.0807
140.000000	86.631721	-3.0516
145.000000	86.487244	-3.0203
150.000000	86.347832	-2.9622
155.000000	86.208809	-2.7248
160.000000	86.063660	-2.6095
165.000000	85.933754	-2.4040
170.000000	85.802216	-2.0849
175.000000	85.670891	-1.8082
180.000000	85.531662	-1.3868
185.000000	85.403740	-1.2275
190.000000	85.268974	-0.9242
195.000000	85.142906	-0.5327
200.000000	85.034470	-0.1117
206.000000	84.868805	0.3503
212.000000	84.725273	0.9336
218.000000	84.576385	1.3759
224.000000	84.446495	2.0280
230.000000	84.293991	2.5303
236.000000	84.160278	3.3012
243.000000	84.024490	4.1466
250.000000	83.849281	4.6300
258.000000	83.681221	5.5134
265.000000	83.539330	6.1963
272.000000	83.405502	7.0543
280.000000	83.245804	8.1607
290.000000	83.046165	9.3575
300.000000	82.861679	10.8657
307.000000	82.744263	11.4452
315.000000	82.587029	12.4740
325.000000	82.419632	13.8159
335.000000	82.256424	15.2022
345.000000	82.078598	16.5080
355.000000	81.927986	17.9271
365.000000	81.792435	19.3173
375.000000	81.647163	20.5538
387.000000	81.474045	22.2950
400.000000	81.307037	24.2988
412.000000	81.146469	25.8027
425.000000	80.999168	27.6807
437.000000	80.845833	29.5917
450.000000	80.698502	31.3963
462.000000	80.574768	33.2076
475.000000	80.456146	35.2351
487.000000	80.309357	36.8837
500.000000	80.207138	38.6961
515.000000	80.059616	40.9804
530.000000	79.932343	43.1228
545.000000	79.812851	45.2419
560.000000	79.692940	47.6800
580.000000	79.565063	50.5762
600.000000	79.433449	53.5631
615.000000	79.346550	55.7352
630.000000	79.238503	57.9657
650.000000	79.167091	60.9558
670.000000	79.069397	63.6265
690.000000	78.988235	66.7444
710.000000	78.909630	69.6075
730.000000	78.839287	72.5618
750.000000	78.781242	75.4197
775.000000	78.743668	79.0422
800.000000	78.694923	82.6558
825.000000	78.657928	86.0584
850.000000	78.628067	89.7070
875.000000	78.627808	93.3027
900.000000	78.617409	96.9024
925.000000	78.650772	100.3789
950.000000	78.659531	103.9996
975.000000	78.718987	107.6883
1000.000000	78.724785	110.6983
1030.000000	78.911476	115.7499
1060.000000	79.104546	120.1226
1090.000000	79.353912	124.3401
1120.000000	79.631821	128.1953
1150.000000	79.922607	131.6295
1180.000000	80.237862	134.9328
1220.000000	80.656921	138.5824
1250.000000	80.968102	141.0908
1280.000000	81.269188	143.3256
1320.000000	81.628143	146.0143
1360.000000	81.969666	148.6334
1400.000000	82.275322	151.0554
1450.000000	82.626175	153.8364
1500.000000	82.968925	156.4724
1550.000000	83.292877	159.1819
1600.000000	83.621414	161.8737
1650.000000	83.935966	164.3937
1700.000000	84.264542	166.6541
1750.000000	84.592789	168.8846
1800.000000	84.925934	170.9428
1850.000000	85.265358	172.7829
1900.000000	85.602440	174.5315
1950.000000	85.950409	176.0158
2000.000000	86.267563	177.3895
2060.000000	86.704971	178.4954
2120.000000	87.096756	179.2342
2180.000000	87.471069	179.6745
2240.000000	87.808350	179.7207
2300.000000	88.109039	179.3442
2360.000000	88.341141	178.7403
2430.000000	88.532631	177.6970
2500.000000	88.622459	176.5350
2580.000000	88.612778	175.1217
2650.000000	88.512337	174.1666
2720.000000	88.322594	173.4738
2800.000000	88.048820	173.1341
2900.000000	87.640419	173.4854
3000.000000	87.190643	174.7078
3070.000000	86.895828	175.9393
3150.000000	86.566605	177.7589
3250.000000	86.190765	-179.5304
3350.000000	85.862221	-176.3658
3450.000000	85.603622	-172.8616
3550.000000	85.391884	-169.0770
3650.000000	85.259499	-165.1262
3750.000000	85.181458	-161.0623
3870.000000	85.183205	-156.1758
4000.000000	85.329208	-150.9133
4120.000000	85.527916	-146.2173
4250.000000	85.904221	-141.3138
4370.000000	86.377579	-137.1515
4500.000000	87.040985	-133.4202
4620.000000	87.801941	-130.7202
4750.000000	88.778755	-129.1462
4870.000000	89.789871	-129.4120
5000.000000	90.983940	-132.2695
5150.000000	92.239624	-140.3030
5300.000000	92.815399	-153.4267
5450.000000	92.231682	-167.4399
5600.000000	90.785385	-177.3010
5800.000000	88.508224	177.4201
6000.000000	86.468063	178.0004
6150.000000	85.193588	-179.3968
6300.000000	84.142593	-175.7835
6500.000000	83.009178	-169.9691
6700.000000	82.193962	-163.5789
6900.000000	81.633430	-157.0808
7100.000000	81.307465	-150.6393
7300.000000	81.239777	-144.2891
7500.000000	81.422440	-138.4904
7750.000000	82.067970	-132.2811
8000.000000	83.179321	-128.5630
8250.000000	84.792274	-128.9438
8500.000000	86.676651	-137.4228
8750.000000	87.615921	-157.0331
9000.000000	86.322189	-178.0071
9250.000000	83.778320	171.1361
9500.000000	81.351166	168.8380
9750.000000	79.415176	171.1195
10000.000000	77.949356	175.6818
10300.000000	76.846001	-176.9944
10600.000000	76.435837	-169.0914
10900.000000	76.986084	-162.7440
11200.000000	78.269974	-162.4696
11500.000000	79.360428	-171.6844
11800.000000	79.325089	173.7077
12200.000000	77.266304	157.9326
